"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","1,900.00","1,800.00","1,900.00","1,800.00","10.30K","5.56%"
"04/05/2020","1,800.00","1,800.00","1,800.00","1,800.00","0.40K","0.00%"
"29/04/2020","1,800.00","1,800.00","1,800.00","1,800.00","0.60K","0.00%"
"28/04/2020","1,800.00","1,800.00","1,800.00","1,800.00","2.00K","5.88%"
"27/04/2020","1,700.00","1,700.00","1,700.00","1,700.00","13.00K","-5.56%"
"24/04/2020","1,800.00","1,800.00","1,800.00","1,800.00","3.50K","0.00%"
"22/04/2020","1,800.00","1,800.00","1,800.00","1,800.00","4.00K","0.00%"
"21/04/2020","1,800.00","1,900.00","1,900.00","1,800.00","10.20K","-5.26%"
"20/04/2020","1,900.00","2,000.00","2,000.00","1,800.00","5.40K","0.00%"
"17/04/2020","1,900.00","1,900.00","1,900.00","1,900.00","2.70K","0.00%"
"16/04/2020","1,900.00","1,800.00","1,900.00","1,800.00","7.40K","-5.00%"
"15/04/2020","2,000.00","1,800.00","2,000.00","1,800.00","10.30K","0.00%"
"14/04/2020","2,000.00","1,900.00","2,000.00","1,800.00","4.10K","0.00%"
"13/04/2020","2,000.00","2,300.00","2,300.00","2,000.00","0.30K","-9.09%"
"10/04/2020","2,200.00","2,200.00","2,200.00","2,200.00","0.10K","10.00%"
"09/04/2020","2,000.00","1,900.00","2,000.00","1,900.00","10.10K","0.00%"
"08/04/2020","2,000.00","2,000.00","2,000.00","2,000.00","0.30K","-9.09%"
"07/04/2020","2,200.00","2,200.00","2,200.00","2,200.00","0.10K","4.76%"
"06/04/2020","2,100.00","2,000.00","2,100.00","2,000.00","2.20K","5.00%"
"03/04/2020","2,000.00","2,000.00","2,000.00","1,800.00","15.15K","5.26%"
"01/04/2020","1,900.00","1,800.00","1,900.00","1,800.00","19.40K","0.00%"
"31/03/2020","1,900.00","1,900.00","1,900.00","1,800.00","13.06K","5.56%"
"30/03/2020","1,800.00","1,900.00","1,900.00","1,800.00","6.10K","0.00%"
"27/03/2020","1,800.00","1,800.00","1,800.00","1,800.00","7.40K","-5.26%"
"26/03/2020","1,900.00","1,800.00","1,900.00","1,800.00","16.20K","0.00%"
"25/03/2020","1,900.00","2,000.00","2,000.00","1,800.00","11.30K","0.00%"
"24/03/2020","1,900.00","1,900.00","1,900.00","1,800.00","6.10K","0.00%"
"23/03/2020","1,900.00","1,800.00","1,900.00","1,800.00","9.50K","0.00%"
"20/03/2020","1,900.00","1,900.00","1,900.00","1,900.00","0.10K","5.56%"
"19/03/2020","1,800.00","1,800.00","1,800.00","1,800.00","2.00K","-10.00%"
"18/03/2020","2,000.00","1,900.00","2,000.00","1,900.00","0.20K","5.26%"
"16/03/2020","1,900.00","1,800.00","1,900.00","1,800.00","3.10K","5.56%"
"13/03/2020","1,800.00","1,800.00","1,900.00","1,800.00","5.70K","-10.00%"
"12/03/2020","2,000.00","1,800.00","2,000.00","1,800.00","1.50K","5.26%"
"10/03/2020","1,900.00","1,800.00","1,900.00","1,800.00","0.90K","-5.00%"
"09/03/2020","2,000.00","1,800.00","2,000.00","1,800.00","2.30K","5.26%"
"06/03/2020","1,900.00","1,900.00","1,900.00","1,900.00","0.10K","5.56%"
"05/03/2020","1,800.00","1,800.00","1,800.00","1,800.00","9.50K","5.88%"
"03/03/2020","1,700.00","1,700.00","1,700.00","1,700.00","0.70K","0.00%"
"02/03/2020","1,700.00","1,700.00","1,700.00","1,700.00","0.10K","-5.56%"
"28/02/2020","1,800.00","1,800.00","1,800.00","1,800.00","2.00K","-5.26%"
"27/02/2020","1,900.00","1,900.00","1,900.00","1,900.00","0.10K","5.56%"
"25/02/2020","1,800.00","1,800.00","1,900.00","1,800.00","4.90K","-5.26%"
"24/02/2020","1,900.00","1,900.00","1,900.00","1,900.00","0.11K","5.56%"
"21/02/2020","1,800.00","1,900.00","1,900.00","1,800.00","1.10K","0.00%"
"20/02/2020","1,800.00","1,800.00","1,800.00","1,800.00","0.60K","-5.26%"
"19/02/2020","1,900.00","1,800.00","1,900.00","1,800.00","3.30K","5.56%"
"18/02/2020","1,800.00","1,800.00","1,800.00","1,800.00","0.10K","5.88%"
"17/02/2020","1,700.00","1,700.00","1,700.00","1,700.00","1.10K","-5.56%"
"14/02/2020","1,800.00","1,700.00","1,800.00","1,700.00","2.70K","5.88%"
"06/02/2020","1,700.00","1,600.00","1,700.00","1,600.00","3.10K","0.00%"
"05/02/2020","1,700.00","1,700.00","1,700.00","1,700.00","0.10K","6.25%"
"04/02/2020","1,600.00","1,600.00","1,600.00","1,600.00","0.10K","6.67%"
"03/02/2020","1,500.00","1,500.00","1,500.00","1,500.00","0.20K","-6.25%"
"31/01/2020","1,600.00","1,600.00","1,600.00","1,600.00","0.20K","-5.88%"
"21/01/2020","1,700.00","1,700.00","1,700.00","1,700.00","0.20K","6.25%"
"17/01/2020","1,600.00","1,600.00","1,600.00","1,600.00","0.40K","-5.88%"
"16/01/2020","1,700.00","1,700.00","1,700.00","1,700.00","0.10K","-5.56%"
"15/01/2020","1,800.00","1,800.00","1,800.00","1,800.00","0.10K","5.88%"
"10/01/2020","1,700.00","1,700.00","1,700.00","1,700.00","0.10K","-5.56%"
"09/01/2020","1,800.00","1,600.00","1,800.00","1,600.00","0.60K","5.88%"
"08/01/2020","1,700.00","1,700.00","1,700.00","1,700.00","3.00K","-5.56%"
"07/01/2020","1,800.00","1,700.00","1,800.00","1,700.00","5.10K","0.00%"
"06/01/2020","1,800.00","1,800.00","1,800.00","1,800.00","0.20K","-5.26%"
"03/01/2020","1,900.00","1,900.00","1,900.00","1,900.00","0.20K","5.56%"
"02/01/2020","1,800.00","1,800.00","1,800.00","1,800.00","2.10K","5.88%"
"31/12/2019","1,700.00","1,700.00","1,700.00","1,700.00","2.10K","-5.56%"
"30/12/2019","1,800.00","1,800.00","1,800.00","1,800.00","8.60K","-10.00%"
"27/12/2019","2,000.00","2,000.00","2,000.00","2,000.00","0.10K","5.26%"
"26/12/2019","1,900.00","1,700.00","1,900.00","1,700.00","44.10K","5.56%"
"25/12/2019","1,800.00","1,800.00","1,800.00","1,800.00","2.00K","-10.00%"
"24/12/2019","2,000.00","1,800.00","2,000.00","1,800.00","27.10K","5.26%"
"23/12/2019","1,900.00","2,000.00","2,000.00","1,900.00","0.20K","0.00%"
"20/12/2019","1,900.00","1,900.00","2,300.00","1,900.00","0.50K","-9.52%"
"19/12/2019","2,100.00","2,100.00","2,100.00","2,100.00","1.20K","-8.70%"
"18/12/2019","2,300.00","2,300.00","2,300.00","2,300.00","0.11K","9.52%"
"17/12/2019","2,100.00","2,200.00","2,200.00","2,100.00","0.20K","5.00%"
"16/12/2019","2,000.00","1,900.00","2,000.00","1,900.00","2.30K","5.26%"
"13/12/2019","1,900.00","1,800.00","1,900.00","1,800.00","5.10K","0.00%"
"12/12/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.10K","5.56%"
"11/12/2019","1,800.00","1,800.00","1,800.00","1,800.00","0.10K","-10.00%"
"10/12/2019","2,000.00","2,000.00","2,000.00","2,000.00","0.40K","-9.09%"
"09/12/2019","2,200.00","1,800.00","2,200.00","1,800.00","39.41K","10.00%"
"06/12/2019","2,000.00","2,000.00","2,000.00","2,000.00","0.10K","-9.09%"
"05/12/2019","2,200.00","2,200.00","2,200.00","2,200.00","0.10K","10.00%"
"03/12/2019","2,000.00","2,000.00","2,000.00","2,000.00","1.20K","-9.09%"
"02/12/2019","2,200.00","2,000.00","2,200.00","2,000.00","0.61K","0.00%"
"29/11/2019","2,200.00","2,000.00","2,200.00","2,000.00","5.10K","0.00%"
"28/11/2019","2,200.00","2,200.00","2,200.00","2,200.00","0.10K","10.00%"
"27/11/2019","2,000.00","2,000.00","2,000.00","2,000.00","0.10K","0.00%"
"26/11/2019","2,000.00","2,000.00","2,000.00","2,000.00","0.50K","-9.09%"
"22/11/2019","2,200.00","2,200.00","2,200.00","2,200.00","0.10K","-8.33%"
"15/11/2019","2,400.00","2,500.00","2,500.00","2,100.00","1.70K","4.35%"
