"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"30/07/2019","5,100.0","5,100.0","5,100.0","5,100.0","6.00K","2.00%"
"09/07/2019","5,000.0","5,000.0","5,000.0","5,000.0","-","0.00%"
"08/07/2019","5,000.0","5,000.0","5,000.0","5,000.0","-","0.00%"
"24/06/2019","5,000.0","5,000.0","5,000.0","5,000.0","-","0.00%"
"20/06/2019","5,000.0","5,000.0","5,000.0","5,000.0","-","0.00%"
"19/06/2019","5,000.0","5,000.0","5,000.0","5,000.0","-","0.00%"
"18/06/2019","5,000.0","5,000.0","5,000.0","5,000.0","-","6.38%"
"14/05/2019","4,700.0","4,700.0","4,700.0","4,700.0","0.10K","-9.62%"
"13/05/2019","5,200.0","5,200.0","5,200.0","5,200.0","0.10K","6.12%"
"10/05/2019","4,900.0","4,900.0","4,900.0","4,900.0","0.11K","-9.26%"
"08/05/2019","5,400.0","5,400.0","5,400.0","5,400.0","0.50K","-8.47%"
"06/05/2019","5,900.0","5,900.0","5,900.0","5,900.0","0.10K","7.27%"
"18/04/2019","5,500.0","5,500.0","5,500.0","5,500.0","0.10K","10.00%"
"16/04/2019","5,000.0","5,000.0","5,000.0","5,000.0","0.10K","8.70%"
"12/04/2019","4,600.0","4,600.0","4,600.0","4,600.0","0.10K","9.52%"
"09/04/2019","4,200.0","4,200.0","4,200.0","4,200.0","0.10K","-8.70%"
"08/04/2019","4,600.0","4,600.0","4,600.0","4,600.0","0.20K","-9.80%"
"04/04/2019","5,100.0","5,100.0","5,100.0","5,100.0","1.00K","-8.93%"
"28/03/2019","5,600.0","5,600.0","5,600.0","5,600.0","0.30K","0.00%"
"21/03/2019","5,600.0","5,600.0","5,600.0","5,600.0","0.10K","5.66%"
"20/03/2019","5,300.0","5,300.0","5,300.0","5,300.0","0.11K","8.16%"
"19/03/2019","4,900.0","5,900.0","5,900.0","4,900.0","3.50K","-9.26%"
"18/03/2019","5,400.0","5,400.0","5,400.0","5,400.0","0.10K","5.88%"
"15/03/2019","5,100.0","5,100.0","5,100.0","5,100.0","0.10K","8.51%"
"14/03/2019","4,700.0","4,700.0","4,700.0","4,700.0","1.00K","2.17%"
"12/03/2019","4,600.0","4,600.0","4,600.0","4,600.0","0.40K","-2.13%"
"08/03/2019","4,700.0","4,700.0","4,700.0","4,700.0","-","4.44%"
"07/03/2019","4,500.0","4,500.0","4,500.0","4,500.0","0.10K","-6.25%"
"06/03/2019","4,800.0","4,800.0","4,800.0","4,800.0","1.00K","-9.43%"
"05/03/2019","5,300.0","5,300.0","5,300.0","5,300.0","7.01K","-8.62%"
"28/02/2019","5,800.0","5,800.0","5,800.0","5,800.0","0.10K","-9.38%"
"15/02/2019","6,400.0","6,400.0","6,400.0","6,400.0","0.10K","4.92%"
"26/12/2018","6,100.0","6,100.0","6,100.0","6,100.0","0.10K","8.93%"
"07/11/2018","5,600.0","5,600.0","5,600.0","5,600.0","1.00K","0.00%"
"01/11/2018","5,600.0","6,800.0","6,800.0","5,600.0","0.20K","-9.68%"
"31/10/2018","6,200.0","6,200.0","6,200.0","6,200.0","0.10K","5.08%"
"30/10/2018","5,900.0","5,900.0","5,900.0","5,900.0","0.10K","9.26%"
"29/10/2018","5,400.0","4,700.0","5,400.0","4,700.0","5.10K","3.85%"
"26/10/2018","5,200.0","5,200.0","5,200.0","5,200.0","0.10K","6.12%"
"25/10/2018","4,900.0","4,600.0","4,900.0","4,500.0","2.30K","0.00%"
"19/10/2018","4,900.0","4,900.0","4,900.0","4,900.0","0.30K","8.89%"
"17/10/2018","4,500.0","4,500.0","4,500.0","4,500.0","0.50K","9.76%"
"12/10/2018","4,100.0","4,100.0","4,100.0","4,100.0","2.70K","-8.89%"
"11/10/2018","4,500.0","4,600.0","4,600.0","4,500.0","7.30K","-8.16%"
"04/10/2018","4,900.0","4,900.0","4,900.0","4,900.0","0.10K","6.52%"
"25/09/2018","4,600.0","4,600.0","4,600.0","4,600.0","0.20K","-9.80%"
"14/09/2018","5,100.0","4,600.0","5,100.0","4,600.0","0.60K","4.08%"
"31/08/2018","4,900.0","4,500.0","4,900.0","4,500.0","0.22K","8.89%"
"28/08/2018","4,500.0","4,600.0","4,600.0","4,500.0","0.83K","-10.00%"
