"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","25,000","25,000","25,600","25,000","8.20K","12.11%"
"29/04/2020","22,300","22,300","22,300","22,300","18.60K","14.95%"
"28/04/2020","19,400","19,400","19,400","19,400","0.80K","14.79%"
"27/04/2020","16,900","16,900","16,900","16,900","0.70K","14.97%"
"24/04/2020","14,700","14,600","14,700","14,600","4.90K","14.84%"
"23/04/2020","12,800","12,800","13,000","12,700","1.50K","-11.72%"
"22/04/2020","14,500","11,800","14,500","11,800","0.50K","9.85%"
"21/04/2020","13,200","14,400","14,400","13,100","6.70K","2.33%"
"20/04/2020","12,900","12,500","12,900","12,500","5.20K","10.26%"
"17/04/2020","11,700","11,100","11,700","11,100","1.40K","14.71%"
"16/04/2020","10,200","10,100","10,200","10,100","1.20K","0.99%"
"15/04/2020","10,100","10,100","10,100","10,100","2.60K","14.77%"
"14/04/2020","8,800","8,800","8,800","8,800","0.30K","8.64%"
"10/04/2020","8,100","6,100","8,100","6,100","0.50K","14.08%"
"09/04/2020","7,100","7,100","7,100","7,100","0.20K","10.94%"
"08/04/2020","6,400","6,400","6,400","6,400","0.10K","14.29%"
"07/04/2020","5,600","5,600","5,600","5,600","0.10K","-13.85%"
"06/04/2020","6,500","6,500","6,500","6,500","0.10K","-12.16%"
"03/04/2020","7,400","7,400","7,400","7,400","29.20K","-14.94%"
"01/04/2020","8,700","8,700","8,700","8,700","2.00K","-14.71%"
"27/03/2020","10,200","10,200","10,200","10,200","0.10K","9.68%"
"26/03/2020","9,300","9,300","9,300","9,300","0.10K","14.81%"
"25/03/2020","8,100","8,100","8,100","8,100","4.40K","1.25%"
"24/03/2020","8,000","9,000","9,000","8,000","2.20K","-11.11%"
"09/03/2020","9,000","9,000","9,000","9,000","5.40K","-5.26%"
"06/03/2020","9,500","9,500","9,500","9,500","0.20K","0.00%"
"05/03/2020","9,500","9,500","9,500","9,500","0.40K","-5.00%"
"04/03/2020","10,000","10,000","10,000","10,000","0.10K","0.00%"
"03/03/2020","10,000","10,500","10,500","10,000","5.20K","-4.76%"
"25/02/2020","10,500","10,500","10,500","10,500","0.60K","0.00%"
"18/02/2020","10,500","10,500","10,500","10,500","0.50K","-5.41%"
"17/02/2020","11,100","11,100","11,100","11,100","0.50K","-3.48%"
"06/02/2020","11,500","11,500","11,500","11,500","1.70K","-4.17%"
"05/02/2020","12,000","12,000","12,000","12,000","1.30K","-4.00%"
"05/11/2019","12,500","12,500","12,500","12,500","0.10K","13.64%"
"25/10/2019","11,000","11,000","11,000","11,000","0.20K","-7.56%"
"18/10/2019","11,900","11,900","11,900","11,900","0.10K","8.18%"
"17/10/2019","11,000","11,000","11,000","11,000","0.20K","0.00%"
"16/10/2019","11,000","11,000","11,000","11,000","0.10K","10.00%"
"11/10/2019","10,000","10,000","10,000","10,000","1.00K","-9.09%"
"13/09/2019","11,000","10,900","11,000","10,900","0.30K","-39.23%"
"28/12/2018","18,100","18,100","18,100","18,100","0.10K","14.56%"
"27/12/2018","15,800","15,800","15,800","15,800","0.10K","39.82%"
"24/10/2018","11,300","11,300","11,300","11,300","0.10K","-14.39%"
"12/10/2018","13,200","13,200","13,200","13,200","0.10K","14.78%"
"05/10/2018","11,500","11,500","11,500","11,500","0.10K","15.00%"
"03/10/2018","10,000","10,000","10,000","10,000","0.40K","0.00%"
"01/10/2018","10,000","10,000","10,000","10,000","0.20K","0.00%"
"28/09/2018","10,000","10,000","10,000","10,000","0.50K","5.26%"
"27/09/2018","9,500","9,500","9,500","9,500","0.50K","14.46%"
"25/09/2018","8,300","8,300","8,300","8,300","0.20K","18.57%"
"17/09/2018","7,000","8,000","8,000","7,000","0.40K","-10.26%"
"13/09/2018","7,800","7,700","7,800","7,700","1.80K","-13.33%"
"12/09/2018","9,000","9,000","9,000","9,000","0.10K","-14.29%"
"06/09/2018","10,500","10,500","10,500","10,500","0.10K","-14.63%"
"31/08/2018","12,300","12,300","12,300","12,300","0.10K","-3.15%"
"01/08/2018","12,700","12,700","12,700","12,700","0.20K","-14.77%"
"26/07/2018","14,900","14,900","14,900","14,900","0.10K","7.19%"
"20/07/2018","13,900","13,900","13,900","13,900","0.10K","12.10%"
"19/07/2018","12,400","12,400","12,400","12,400","0.10K","13.76%"
"18/07/2018","10,900","10,900","10,900","10,900","0.10K","9.00%"
"17/07/2018","10,000","10,000","10,000","10,000","0.10K","8.70%"
"16/07/2018","9,200","9,200","9,200","9,200","0.10K","15.00%"
"11/07/2018","8,000","8,000","8,000","8,000","0.10K","26.98%"
"07/06/2018","6,300","6,300","6,300","6,300","1.00K","-10.00%"
"05/06/2018","7,000","7,000","7,000","7,000","0.20K","0.00%"
"04/06/2018","7,000","7,000","7,000","7,000","0.10K","6.06%"
"31/05/2018","6,600","6,600","6,600","6,600","0.20K","-9.59%"
"30/05/2018","7,300","7,300","7,300","7,300","0.10K","7.35%"
"22/05/2018","6,800","6,600","7,000","6,600","2.30K","-6.85%"
"17/05/2018","7,300","7,400","7,400","7,300","7.00K","-9.88%"
"16/05/2018","8,100","8,800","8,800","8,100","7.10K","-10.00%"
"15/05/2018","9,000","8,100","9,000","8,100","2.10K","0.00%"
"14/05/2018","9,000","9,000","9,000","9,000","0.10K","-10.00%"
"16/04/2018","10,000","10,000","10,000","10,000","0.10K","-8.26%"
"13/04/2018","10,900","10,900","10,900","10,900","0.10K","9.00%"
"02/04/2018","10,000","9,000","10,000","9,000","6.00K","5.26%"
"30/03/2018","9,500","9,500","9,500","9,500","0.10K","9.20%"
"21/03/2018","8,700","8,700","8,700","8,700","0.20K","4.82%"
"16/03/2018","8,300","8,300","8,300","8,300","0.30K","2.47%"
"09/03/2018","8,100","8,100","8,100","8,100","0.10K","-10.00%"
"06/03/2018","9,000","9,000","9,000","9,000","6.00K","-10.00%"
"02/03/2018","10,000","10,000","10,000","10,000","0.10K","9.89%"
"23/02/2018","9,100","9,100","9,100","9,100","1.40K","-9.00%"
"09/02/2018","10,000","10,000","10,000","10,000","19.90K","-2.91%"
"06/02/2018","10,300","10,300","10,300","10,300","0.40K","-9.65%"
"02/02/2018","11,400","11,400","11,400","11,400","0.10K","9.62%"
"01/02/2018","10,400","10,400","10,400","10,400","0.10K","-9.57%"
"30/01/2018","11,500","11,300","12,000","11,300","0.40K","-8.00%"
"24/01/2018","12,500","12,500","12,500","12,500","0.10K","3.31%"
"23/01/2018","12,100","14,700","14,700","12,100","2.90K","-9.70%"
"22/01/2018","13,400","14,000","14,000","13,400","3.60K","-8.22%"
"19/01/2018","14,600","14,700","14,700","14,600","0.40K","-9.32%"
"17/01/2018","16,100","16,100","16,100","16,100","0.10K","1.26%"
"16/01/2018","15,900","15,900","15,900","15,900","0.10K","4.61%"
"15/01/2018","15,200","16,200","16,200","15,200","0.80K","-5.59%"
"12/01/2018","16,100","15,000","16,100","15,000","0.40K","1.26%"
"11/01/2018","15,900","15,000","16,200","14,000","0.40K","7.43%"
"09/01/2018","14,800","13,000","14,800","12,500","1.00K","8.03%"
"08/01/2018","13,700","11,700","13,700","11,700","0.20K","6.20%"
"05/01/2018","12,900","10,800","12,900","10,800","0.30K","7.50%"
"04/01/2018","12,000","12,000","12,000","12,000","0.10K","9.09%"
"02/01/2018","11,000","10,500","11,000","10,500","3.10K","4.76%"
"29/12/2017","10,500","10,500","10,500","10,500","2.00K","-4.55%"
"27/12/2017","11,000","11,000","11,000","11,000","0.10K","8.91%"
"26/12/2017","10,100","10,100","10,100","10,100","1.20K","1.00%"
"25/12/2017","10,000","10,000","10,000","10,000","5.60K","0.00%"
"22/12/2017","10,000","10,000","10,000","10,000","1.10K","0.00%"
"19/12/2017","10,000","10,000","10,000","10,000","1.80K","0.00%"
"18/12/2017","10,000","10,000","10,000","10,000","1.00K","-4.76%"
"13/12/2017","10,500","10,000","10,500","10,000","0.30K","-5.41%"
"08/12/2017","11,100","10,500","11,100","10,500","9.30K","-4.31%"
"07/12/2017","11,600","11,000","11,600","11,000","0.20K","0.87%"
"04/12/2017","11,500","11,500","11,500","11,500","0.10K","4.55%"
"01/12/2017","11,000","11,000","11,000","11,000","5.20K","-9.84%"
"30/11/2017","12,200","11,000","12,200","11,000","0.30K","9.91%"
"28/11/2017","11,100","11,100","11,100","11,100","0.20K","2.78%"
"27/11/2017","10,800","11,000","11,000","10,800","0.50K","-5.26%"
"24/11/2017","11,400","11,400","11,400","11,400","0.10K","3.64%"
"23/11/2017","11,000","11,000","11,000","11,000","0.10K","10.00%"
"21/11/2017","10,000","10,000","10,000","10,000","2.20K","0.00%"
"20/11/2017","10,000","10,000","10,000","10,000","0.40K","-9.09%"
"17/11/2017","11,000","11,000","11,000","11,000","0.50K","-9.84%"
"14/11/2017","12,200","12,200","12,200","12,200","0.10K","8.93%"
"13/11/2017","11,200","11,200","11,200","11,200","0.30K","-9.68%"
"10/11/2017","12,400","12,400","12,400","12,400","0.10K","3.33%"
"09/11/2017","12,000","12,000","12,000","12,000","0.20K","4.35%"
"08/11/2017","11,500","11,000","11,500","11,000","1.50K","9.52%"
"03/11/2017","10,500","10,500","10,500","10,500","1.00K","-4.55%"
"26/10/2017","11,000","11,000","11,000","11,000","1.40K","-4.35%"
"23/10/2017","11,500","12,200","12,200","11,500","2.00K","-4.17%"
"20/10/2017","12,000","11,500","12,000","11,500","4.10K","0.00%"
"18/10/2017","12,000","12,000","12,000","12,000","0.10K","0.00%"
"17/10/2017","12,000","11,500","12,000","11,500","0.70K","0.84%"
"16/10/2017","11,900","11,900","11,900","11,900","0.20K","-2.46%"
"12/10/2017","12,200","12,000","12,200","12,000","0.70K","-1.61%"
"11/10/2017","12,400","12,400","12,400","12,400","0.10K","-0.80%"
"10/10/2017","12,500","12,500","12,500","12,500","0.10K","-3.85%"
"09/10/2017","13,000","13,000","13,000","13,000","1.70K","0.00%"
"06/10/2017","13,000","13,200","13,200","13,000","1.10K","-1.52%"
"28/09/2017","13,200","13,200","13,200","13,200","0.40K","0.00%"
"26/09/2017","13,200","13,200","13,200","13,200","0.20K","-4.35%"
"22/09/2017","13,800","12,800","13,800","12,800","0.70K","-1.43%"
"21/09/2017","14,000","14,000","14,000","14,000","0.10K","0.00%"
"20/09/2017","14,000","14,500","14,500","14,000","4.20K","-9.68%"
"12/09/2017","15,500","15,500","15,500","15,500","0.40K","-1.27%"
"08/09/2017","15,700","15,700","15,700","15,700","0.10K","-9.77%"
"07/09/2017","17,400","17,400","17,400","17,400","0.10K","7.41%"
"06/09/2017","16,200","16,200","16,200","16,200","0.30K","9.46%"
"01/09/2017","14,800","14,800","14,800","14,800","0.30K","-6.92%"
"30/08/2017","15,900","15,900","15,900","15,900","0.10K","9.66%"
"25/08/2017","14,500","15,200","15,200","14,400","10.40K","-9.38%"
"24/08/2017","16,000","16,500","16,500","16,000","0.80K","-3.03%"
"23/08/2017","16,500","17,000","17,000","16,500","0.70K","-2.94%"
"17/08/2017","17,000","17,000","17,000","17,000","0.20K","-2.86%"
"15/08/2017","17,500","16,100","17,500","15,000","11.10K","6.71%"
"14/08/2017","16,400","17,000","17,000","16,000","6.80K","-3.53%"
"10/08/2017","17,000","17,000","17,000","17,000","0.30K","0.00%"
"09/08/2017","17,000","16,800","17,000","16,800","0.80K","0.00%"
"08/08/2017","17,000","18,000","18,000","17,000","0.50K","-4.49%"
"07/08/2017","17,800","17,000","17,800","17,000","1.50K","4.71%"
"04/08/2017","17,000","17,400","17,400","17,000","6.20K","-2.30%"
"03/08/2017","17,400","18,000","18,000","17,400","0.71K","0.00%"
"02/08/2017","17,400","17,300","18,000","17,300","4.20K","-3.33%"
"01/08/2017","18,000","17,200","18,000","17,200","0.50K","1.12%"
"31/07/2017","17,800","18,200","18,500","17,800","0.30K","-2.73%"
"28/07/2017","18,300","17,600","18,300","17,600","0.20K","1.67%"
"27/07/2017","18,000","18,000","19,000","17,800","7.20K","-2.70%"
"26/07/2017","18,500","18,900","19,400","18,500","2.00K","-2.12%"
