"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","19,000.0","19,000.0","19,000.0","19,000.0","-","-0.26%"
"04/05/2020","19,050.0","19,000.0","19,050.0","18,700.0","2.37K","0.00%"
"29/04/2020","19,050.0","19,000.0","19,200.0","19,000.0","1.22K","-2.31%"
"28/04/2020","19,500.0","19,450.0","19,500.0","19,100.0","21.65K","0.00%"
"27/04/2020","19,500.0","18,550.0","19,500.0","18,550.0","40.37K","2.09%"
"24/04/2020","19,100.0","18,500.0","19,100.0","18,500.0","12.01K","0.00%"
"23/04/2020","19,100.0","19,000.0","19,100.0","18,500.0","19.10K","0.53%"
"22/04/2020","19,000.0","19,000.0","19,000.0","18,600.0","0.33K","-1.04%"
"21/04/2020","19,200.0","18,800.0","19,200.0","18,500.0","118.93K","0.00%"
"20/04/2020","19,200.0","19,200.0","19,200.0","19,000.0","56.69K","0.52%"
"17/04/2020","19,100.0","19,300.0","19,300.0","18,500.0","33.32K","0.53%"
"16/04/2020","19,000.0","19,000.0","19,100.0","18,750.0","105.74K","0.53%"
"15/04/2020","18,900.0","18,950.0","19,000.0","18,900.0","195.14K","0.27%"
"14/04/2020","18,850.0","18,850.0","18,850.0","18,750.0","146.52K","0.00%"
"13/04/2020","18,850.0","18,800.0","18,850.0","18,350.0","69.68K","0.27%"
"10/04/2020","18,800.0","17,150.0","18,800.0","17,150.0","80.23K","4.44%"
"09/04/2020","18,000.0","19,000.0","19,000.0","18,000.0","30.59K","-5.26%"
"08/04/2020","19,000.0","18,100.0","19,000.0","17,900.0","272.73K","2.43%"
"07/04/2020","18,550.0","17,550.0","18,550.0","17,100.0","232.32K","6.92%"
"06/04/2020","17,350.0","17,150.0","17,400.0","17,000.0","90.20K","1.17%"
"03/04/2020","17,150.0","17,100.0","17,450.0","16,550.0","29.70K","-0.29%"
"01/04/2020","17,200.0","18,000.0","18,000.0","16,500.0","60.23K","-11.79%"
"31/03/2020","19,500.0","19,850.0","19,950.0","19,350.0","278.42K","-1.52%"
"30/03/2020","19,800.0","19,500.0","19,900.0","19,350.0","74.12K","-0.50%"
"27/03/2020","19,900.0","20,000.0","20,300.0","19,700.0","204.70K","0.00%"
"26/03/2020","19,900.0","19,800.0","20,100.0","19,800.0","187.60K","0.00%"
"25/03/2020","19,900.0","18,950.0","19,900.0","18,700.0","529.91K","6.99%"
"24/03/2020","18,600.0","18,750.0","18,800.0","18,200.0","46.03K","2.76%"
"23/03/2020","18,100.0","19,500.0","19,500.0","18,100.0","213.69K","-6.94%"
"20/03/2020","19,450.0","19,650.0","19,700.0","19,400.0","100.42K","-0.26%"
"19/03/2020","19,500.0","19,750.0","19,750.0","19,350.0","46.25K","-1.27%"
