"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","24,200","24,200","24,200","24,200","0.20K","0.83%"
"28/04/2020","24,000","24,000","24,000","24,000","0.10K","-2.04%"
"22/04/2020","24,500","24,300","24,500","24,300","10.19K","1.66%"
"21/04/2020","24,100","24,000","24,100","24,000","10.50K","0.42%"
"20/04/2020","24,000","24,000","24,000","24,000","5.31K","-0.83%"
"17/04/2020","24,200","24,000","24,200","24,000","2.15K","0.00%"
"16/04/2020","24,200","24,000","24,200","24,000","2.10K","0.83%"
"14/04/2020","24,000","24,000","24,000","24,000","65.00K","0.00%"
"13/04/2020","24,000","24,000","24,000","24,000","1.00K","0.00%"
"08/04/2020","24,000","24,000","24,000","24,000","6.25K","0.00%"
"07/04/2020","24,000","24,000","24,000","24,000","-","0.00%"
"06/04/2020","24,000","24,000","24,000","24,000","11.00K","0.00%"
"03/04/2020","24,000","24,000","24,000","24,000","13.00K","0.00%"
"01/04/2020","24,000","24,000","24,000","24,000","13.00K","0.00%"
"31/03/2020","24,000","24,000","24,000","24,000","1.00K","0.00%"
"30/03/2020","24,000","24,000","24,000","24,000","11.60K","0.00%"
"27/03/2020","24,000","24,000","24,000","24,000","1.00K","0.00%"
"25/03/2020","24,000","24,000","25,000","24,000","7.95K","-1.23%"
"24/03/2020","24,300","24,000","24,300","24,000","10.15K","1.25%"
"23/03/2020","24,000","24,000","24,000","24,000","0.63K","0.00%"
"19/03/2020","24,000","24,000","24,000","24,000","4.00K","2.13%"
"18/03/2020","23,500","23,500","23,500","23,500","-","0.00%"
"17/03/2020","23,500","23,000","23,500","23,000","7.40K","2.17%"
"16/03/2020","23,000","23,000","23,000","23,000","0.60K","4.55%"
"13/03/2020","22,000","22,000","22,000","22,000","-","0.00%"
"09/03/2020","22,000","22,000","22,000","22,000","0.10K","-4.76%"
"06/03/2020","23,100","23,100","23,100","23,100","0.40K","0.87%"
"05/03/2020","22,900","22,900","22,900","22,900","5.00K","-2.55%"
"04/03/2020","23,500","22,000","23,500","22,000","1.36K","2.17%"
"03/03/2020","23,000","23,000","23,000","23,000","5.50K","0.00%"
"02/03/2020","23,000","23,000","23,000","23,000","0.61K","4.55%"
"27/02/2020","22,000","22,000","22,000","22,000","-","0.00%"
"24/02/2020","22,000","22,000","22,000","22,000","0.50K","-8.33%"
"18/02/2020","24,000","24,000","24,000","24,000","3.70K","0.00%"
"17/02/2020","24,000","24,000","24,000","24,000","8.11K","0.00%"
"14/02/2020","24,000","24,000","24,000","24,000","8.50K","0.00%"
"13/02/2020","24,000","24,000","24,000","24,000","3.10K","0.00%"
"11/02/2020","24,000","24,000","24,000","24,000","3.40K","14.29%"
"16/01/2020","21,000","21,000","21,000","21,000","0.40K","-4.35%"
"15/01/2020","21,955","21,955","21,955","21,955","0.10K","-3.77%"
"08/01/2020","22,814","22,814","22,814","22,814","1.00K","0.00%"
"07/01/2020","22,814","22,814","22,814","22,814","0.10K","-4.94%"
"31/12/2019","24,000","21,000","24,000","21,000","0.20K","0.00%"
"25/12/2019","24,000","24,000","24,000","24,000","1.00K","0.00%"
"23/12/2019","24,000","24,000","24,000","24,000","29.90K","0.00%"
"19/12/2019","24,000","24,000","24,000","24,000","10.00K","0.00%"
"18/12/2019","24,000","24,000","24,000","24,000","50.00K","0.00%"
"17/12/2019","24,000","24,000","24,000","24,000","13.10K","0.00%"
"12/12/2019","24,000","24,000","24,000","24,000","17.90K","0.00%"
"11/12/2019","24,000","24,000","24,000","24,000","0.80K","0.00%"
"10/12/2019","24,000","24,000","24,000","24,000","5.50K","0.00%"
"09/12/2019","24,000","24,000","24,000","24,000","0.20K","0.00%"
"03/12/2019","24,000","24,000","24,000","24,000","3.90K","0.00%"
"02/12/2019","24,000","24,000","24,000","24,000","4.00K","2.13%"
"28/11/2019","23,500","23,500","23,500","23,500","1.00K","-0.42%"
"25/11/2019","23,600","23,600","23,600","23,600","2.00K","0.43%"
"22/11/2019","23,500","23,000","24,000","23,000","9.50K","-2.08%"
"21/11/2019","24,000","24,000","24,500","24,000","10.50K","0.00%"
"19/11/2019","24,000","23,700","24,000","23,700","4.00K","4.35%"
"18/11/2019","23,000","23,000","23,000","23,000","1.00K","-2.13%"
"15/11/2019","23,500","23,500","23,500","23,500","2.40K","2.17%"
"14/11/2019","23,000","23,000","23,000","23,000","0.30K","1.77%"
"13/11/2019","22,600","22,600","22,700","22,600","3.16K","-1.74%"
"12/11/2019","23,000","23,000","23,000","23,000","1.50K","0.00%"
"11/11/2019","23,000","23,000","23,000","22,900","26.80K","2.22%"
"07/11/2019","22,500","22,500","22,500","22,500","0.10K","0.00%"
"06/11/2019","22,500","22,500","22,500","22,500","10.90K","0.00%"
"05/11/2019","22,500","22,500","22,500","22,500","5.00K","4.65%"
"01/11/2019","21,500","21,500","21,500","21,500","0.10K","0.00%"
"28/10/2019","21,500","21,500","21,500","21,500","-","0.00%"
"23/10/2019","21,500","21,500","21,500","21,500","4.00K","0.00%"
"22/10/2019","21,500","21,500","21,500","21,500","-","0.00%"
"21/10/2019","21,500","21,500","21,500","21,500","-","0.00%"
"16/10/2019","21,500","21,500","21,500","21,500","1.10K","2.38%"
"11/10/2019","21,000","21,000","21,000","21,000","0.10K","-2.33%"
"10/10/2019","21,500","21,500","21,500","21,500","-","0.00%"
"09/10/2019","21,500","21,500","21,500","21,500","3.00K","2.38%"
"30/09/2019","21,000","20,500","21,000","20,500","1.49K","-2.33%"
"25/09/2019","21,500","20,100","21,500","20,000","9.40K","0.00%"
"23/09/2019","21,500","21,500","21,500","21,500","2.30K","0.00%"
"16/09/2019","21,500","21,500","21,500","21,500","0.80K","2.38%"
"13/09/2019","21,000","21,000","21,000","21,000","5.00K","0.00%"
"12/09/2019","21,000","21,000","21,000","21,000","0.10K","-4.55%"
"10/09/2019","22,000","21,900","22,000","21,900","21.60K","9.45%"
"09/09/2019","20,100","20,100","20,100","20,100","7.80K","-6.51%"
