"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","34,700.0","34,700.0","34,700.0","34,700.0","-","0.00%"
"04/05/2020","34,700.0","34,700.0","34,700.0","34,700.0","0.80K","-0.86%"
"22/04/2020","35,000.0","35,000.0","35,000.0","35,000.0","0.10K","9.72%"
"21/04/2020","31,900.0","31,900.0","31,900.0","31,900.0","0.10K","10.00%"
"20/04/2020","29,000.0","29,000.0","29,000.0","29,000.0","0.33K","-1.69%"
"17/04/2020","29,500.0","29,000.0","29,500.0","29,000.0","2.45K","8.06%"
"14/04/2020","27,300.0","27,300.0","27,300.0","27,300.0","0.28K","-13.88%"
"13/04/2020","31,700.0","34,700.0","34,700.0","31,700.0","3.00K","0.00%"
"10/04/2020","31,700.0","32,000.0","32,000.0","31,700.0","2.10K","-9.94%"
"26/03/2020","35,200.0","35,200.0","35,200.0","35,200.0","0.10K","10.00%"
"18/03/2020","32,000.0","32,000.0","32,000.0","32,000.0","0.21K","0.00%"
"14/02/2020","32,000.0","32,000.0","32,000.0","32,000.0","2.58K","0.00%"
"11/02/2020","32,000.0","32,000.0","32,000.0","32,000.0","0.70K","-4.19%"
"30/01/2020","33,400.0","33,400.0","33,400.0","33,400.0","0.10K","-9.97%"
"22/01/2020","37,100.0","37,100.0","37,100.0","37,100.0","0.10K","9.12%"
"21/01/2020","34,000.0","34,000.0","34,000.0","34,000.0","0.10K","9.68%"
"16/01/2020","31,000.0","31,000.0","31,000.0","31,000.0","2.60K","0.00%"
"15/01/2020","31,000.0","34,100.0","34,100.0","31,000.0","2.60K","0.00%"
"14/01/2020","31,000.0","35,200.0","35,200.0","31,000.0","0.40K","-3.13%"
"09/01/2020","32,000.0","32,000.0","32,000.0","32,000.0","1.80K","-5.60%"
"08/01/2020","33,900.0","33,900.0","33,900.0","33,900.0","0.10K","7.96%"
"07/01/2020","31,400.0","31,400.0","31,400.0","31,400.0","1.60K","-9.77%"
"11/12/2019","34,800.0","34,800.0","34,800.0","34,800.0","0.10K","0.58%"
"06/12/2019","34,600.0","34,600.0","34,600.0","34,600.0","0.10K","9.84%"
"02/12/2019","31,500.0","31,500.0","31,500.0","31,500.0","1.40K","-8.96%"
"29/11/2019","34,600.0","34,600.0","34,600.0","34,600.0","0.10K","9.84%"
"22/11/2019","31,500.0","31,500.0","31,500.0","31,500.0","5.50K","0.00%"
"21/11/2019","31,500.0","31,500.0","31,500.0","31,500.0","5.80K","-1.56%"
"20/11/2019","32,000.0","30,000.0","32,000.0","30,000.0","4.11K","6.67%"
"19/11/2019","30,000.0","30,000.0","30,000.0","30,000.0","1.00K","0.00%"
"18/11/2019","30,000.0","30,100.0","30,100.0","30,000.0","1.40K","0.00%"
"14/11/2019","30,000.0","30,000.0","30,000.0","30,000.0","0.20K","-4.76%"
"11/11/2019","31,500.0","31,500.0","31,500.0","31,500.0","0.50K","-3.51%"
"06/11/2019","32,645.0","33,409.0","33,409.0","32,645.0","1.20K","5.99%"
"15/10/2019","30,800.0","30,800.0","30,800.0","30,800.0","-","-9.94%"
"04/10/2019","34,200.0","34,200.0","34,200.0","34,200.0","0.10K","9.97%"
"02/10/2019","31,100.0","31,100.0","31,100.0","31,100.0","0.10K","-9.86%"
"26/09/2019","34,500.0","34,500.0","34,500.0","34,500.0","0.30K","4.55%"
"25/09/2019","33,000.0","36,300.0","36,300.0","33,000.0","0.20K","0.00%"
"24/09/2019","33,000.0","33,000.0","33,000.0","33,000.0","0.10K","10.00%"
"23/09/2019","30,000.0","30,800.0","30,800.0","30,000.0","0.20K","7.14%"
"20/09/2019","28,000.0","28,000.0","28,000.0","28,000.0","0.11K","-8.20%"
"19/09/2019","30,500.0","30,500.0","30,500.0","30,500.0","0.10K","0.00%"
"18/09/2019","30,500.0","30,000.0","30,500.0","30,000.0","2.70K","-1.61%"
"17/09/2019","31,000.0","31,000.0","31,000.0","31,000.0","5.50K","-9.88%"
"10/05/2019","34,400.0","34,400.0","34,400.0","34,400.0","0.10K","1.78%"
"08/05/2019","33,800.0","32,000.0","33,800.0","32,000.0","3.90K","2.42%"
"06/05/2019","33,000.0","32,000.0","33,000.0","32,000.0","6.60K","3.13%"
"03/05/2019","32,000.0","32,000.0","32,000.0","32,000.0","1.58K","0.00%"
"02/05/2019","32,000.0","32,000.0","32,000.0","31,600.0","1.00K","-8.57%"
"03/04/2019","35,000.0","35,000.0","35,000.0","35,000.0","0.10K","6.71%"
"01/04/2019","32,800.0","32,800.0","32,800.0","32,800.0","0.10K","-0.29%"
"28/03/2019","32,896.0","32,896.0","32,896.0","32,896.0","0.10K","7.50%"
"27/03/2019","30,601.0","30,601.0","30,601.0","30,601.0","2.90K","0.00%"
"26/03/2019","30,601.0","30,601.0","30,696.0","30,601.0","2.60K","-9.73%"
"21/03/2019","33,900.0","33,900.0","33,900.0","33,900.0","0.30K","0.00%"
"15/03/2019","33,900.0","31,000.0","33,900.0","31,000.0","0.30K","-0.88%"
"14/03/2019","34,200.0","31,100.0","34,200.0","31,100.0","0.23K","-0.87%"
"05/03/2019","34,500.0","34,500.0","34,500.0","34,500.0","0.10K","9.87%"
"04/03/2019","31,400.0","31,400.0","31,400.0","31,400.0","0.10K","9.79%"
"01/03/2019","28,600.0","34,100.0","34,100.0","28,600.0","0.34K","-7.74%"
"28/02/2019","31,000.0","31,000.0","31,000.0","31,000.0","0.12K","1.64%"
"27/02/2019","30,500.0","30,500.0","30,500.0","30,500.0","0.10K","-7.58%"
"12/02/2019","33,000.0","35,200.0","35,200.0","33,000.0","0.30K","3.13%"
"11/02/2019","32,000.0","32,000.0","32,000.0","32,000.0","1.00K","-8.05%"
"31/01/2019","34,800.0","34,800.0","34,800.0","34,800.0","1.70K","-0.29%"
"25/01/2019","34,900.0","34,900.0","34,900.0","34,900.0","0.10K","5.76%"
"15/01/2019","33,000.0","33,000.0","33,000.0","33,000.0","0.10K","-4.62%"
"08/01/2019","34,600.0","34,600.0","34,600.0","34,600.0","0.10K","9.49%"
"07/01/2019","31,600.0","31,600.0","31,600.0","31,600.0","0.10K","-9.46%"
"04/01/2019","34,900.0","31,500.0","34,900.0","31,500.0","0.80K","-0.29%"
"28/12/2018","35,000.0","31,500.0","35,000.0","31,500.0","0.40K","0.00%"
"14/12/2018","35,000.0","32,000.0","35,000.0","32,000.0","1.10K","9.38%"
"13/12/2018","32,000.0","32,000.0","32,000.0","32,000.0","0.20K","-1.54%"
"04/12/2018","32,500.0","32,500.0","32,500.0","32,500.0","1.10K","1.56%"
"29/11/2018","32,000.0","32,000.0","32,000.0","32,000.0","0.10K","0.00%"
"20/11/2018","32,000.0","32,000.0","32,000.0","32,000.0","1.40K","-1.54%"
"19/11/2018","32,500.0","32,500.0","32,500.0","32,500.0","0.10K","-9.72%"
"26/10/2018","36,000.0","32,400.0","36,000.0","32,400.0","0.30K","0.00%"
"23/10/2018","36,000.0","36,000.0","36,000.0","36,000.0","0.10K","4.35%"
