"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","6,540.0","6,300.0","6,900.0","6,300.0","402.37K","-0.15%"
"04/05/2020","6,550.0","6,460.0","6,640.0","6,400.0","2.34M","1.24%"
"29/04/2020","6,470.0","6,400.0","6,500.0","6,320.0","1.76M","-1.97%"
"28/04/2020","6,600.0","6,800.0","6,800.0","6,400.0","1.26M","-0.90%"
"27/04/2020","6,660.0","6,600.0","6,660.0","6,500.0","2.94M","6.90%"
"24/04/2020","6,230.0","5,990.0","6,230.0","5,850.0","3.03M","6.86%"
"23/04/2020","5,830.0","6,030.0","6,030.0","5,790.0","769.02K","3.19%"
"22/04/2020","5,650.0","5,210.0","5,690.0","5,210.0","1.32M","6.20%"
"21/04/2020","5,320.0","5,500.0","5,550.0","5,310.0","969.69K","-6.17%"
"20/04/2020","5,670.0","5,790.0","5,830.0","5,340.0","767.02K","-1.22%"
"17/04/2020","5,740.0","5,840.0","5,840.0","5,680.0","934.47K","0.35%"
"16/04/2020","5,720.0","5,550.0","5,850.0","5,500.0","650.39K","1.78%"
"15/04/2020","5,620.0","5,750.0","5,750.0","5,600.0","939.29K","2.18%"
"14/04/2020","5,500.0","5,250.0","5,560.0","5,140.0","1.15M","5.77%"
"13/04/2020","5,200.0","5,030.0","5,300.0","5,030.0","444.51K","0.00%"
"10/04/2020","5,200.0","5,360.0","5,360.0","5,000.0","498.55K","-1.33%"
"09/04/2020","5,270.0","5,110.0","5,400.0","5,110.0","545.17K","2.33%"
"08/04/2020","5,150.0","5,130.0","5,180.0","4,950.0","956.83K","0.19%"
"07/04/2020","5,140.0","5,200.0","5,400.0","5,130.0","539.15K","-0.58%"
"06/04/2020","5,170.0","4,900.0","5,170.0","4,900.0","2.23M","6.82%"
"03/04/2020","4,840.0","4,700.0","4,900.0","4,640.0","583.70K","4.76%"
"01/04/2020","4,620.0","4,380.0","4,700.0","4,380.0","922.39K","5.00%"
"31/03/2020","4,400.0","4,620.0","4,870.0","4,400.0","554.98K","-6.38%"
"30/03/2020","4,700.0","4,620.0","4,900.0","4,600.0","608.85K","-4.08%"
"27/03/2020","4,900.0","4,760.0","5,200.0","4,760.0","418.22K","0.00%"
"26/03/2020","4,900.0","4,740.0","4,940.0","4,690.0","1.25M","6.06%"
"25/03/2020","4,620.0","4,830.0","4,900.0","4,550.0","2.14M","-4.35%"
"24/03/2020","4,830.0","4,830.0","4,900.0","4,830.0","1.90M","-6.94%"
"23/03/2020","5,190.0","5,220.0","5,500.0","5,190.0","1.15M","-6.99%"
"20/03/2020","5,580.0","5,900.0","5,990.0","5,580.0","2.33M","-7.00%"
"19/03/2020","6,000.0","6,000.0","6,000.0","5,930.0","441.83K","0.00%"
"18/03/2020","6,000.0","6,510.0","6,510.0","6,000.0","1.87M","-1.64%"
"17/03/2020","6,100.0","5,650.0","6,150.0","5,650.0","156.87K","1.16%"
"16/03/2020","6,030.0","6,000.0","6,190.0","6,000.0","654.66K","-2.43%"
"13/03/2020","6,180.0","6,030.0","6,470.0","6,030.0","2.30M","-4.63%"
"12/03/2020","6,480.0","6,510.0","6,640.0","6,480.0","758.25K","-6.90%"
"11/03/2020","6,960.0","7,380.0","7,450.0","6,900.0","621.58K","-5.69%"
"10/03/2020","7,380.0","7,020.0","7,500.0","7,020.0","499.10K","-2.12%"
"09/03/2020","7,540.0","7,540.0","7,650.0","7,540.0","643.14K","-6.91%"
"06/03/2020","8,100.0","8,250.0","8,250.0","8,100.0","520.56K","-1.82%"
"05/03/2020","8,250.0","8,250.0","8,350.0","8,250.0","658.19K","0.36%"
"04/03/2020","8,220.0","8,250.0","8,300.0","8,220.0","881.41K","-0.84%"
"03/03/2020","8,290.0","8,290.0","8,450.0","8,280.0","732.87K","0.00%"
"02/03/2020","8,290.0","8,260.0","8,350.0","8,180.0","731.49K","0.00%"
"28/02/2020","8,290.0","8,510.0","8,510.0","8,260.0","520.54K","-2.59%"
"27/02/2020","8,510.0","8,320.0","8,540.0","8,260.0","1.21M","1.43%"
"26/02/2020","8,390.0","8,570.0","8,570.0","8,360.0","382.70K","-2.10%"
"25/02/2020","8,570.0","8,360.0","8,630.0","8,360.0","652.98K","0.00%"
"24/02/2020","8,570.0","8,360.0","8,790.0","8,360.0","541.49K","-2.61%"
"21/02/2020","8,800.0","9,000.0","9,020.0","8,690.0","407.13K","1.38%"
"20/02/2020","8,680.0","8,200.0","8,680.0","8,120.0","1.86M","6.90%"
"19/02/2020","8,120.0","8,120.0","8,300.0","8,120.0","321.65K","-0.12%"
"18/02/2020","8,130.0","8,040.0","8,190.0","8,040.0","823.15K","0.00%"
"17/02/2020","8,130.0","8,160.0","8,300.0","8,050.0","335.68K","-0.37%"
"14/02/2020","8,160.0","8,070.0","8,230.0","8,070.0","115.39K","-0.12%"
"13/02/2020","8,170.0","8,250.0","8,250.0","8,030.0","166.21K","0.37%"
"12/02/2020","8,140.0","8,030.0","8,260.0","8,030.0","228.95K","1.37%"
"11/02/2020","8,030.0","8,150.0","8,400.0","8,030.0","204.38K","-1.47%"
"10/02/2020","8,150.0","8,000.0","8,220.0","7,900.0","608.01K","1.49%"
"07/02/2020","8,030.0","8,170.0","8,280.0","7,970.0","224.01K","-1.71%"
"06/02/2020","8,170.0","7,900.0","8,250.0","7,840.0","398.37K","4.74%"
"05/02/2020","7,800.0","8,000.0","8,200.0","7,800.0","307.88K","-1.27%"
"04/02/2020","7,900.0","8,190.0","8,190.0","7,780.0","531.33K","-0.25%"
"03/02/2020","7,920.0","7,760.0","8,300.0","7,760.0","783.17K","-5.04%"
"31/01/2020","8,340.0","8,510.0","8,770.0","8,340.0","903.54K","-5.66%"
"30/01/2020","8,840.0","9,300.0","9,800.0","8,840.0","814.54K","-6.95%"
"22/01/2020","9,500.0","9,000.0","9,500.0","9,000.0","433.34K","3.26%"
"21/01/2020","9,200.0","8,570.0","9,210.0","8,570.0","702.53K","-0.11%"
