"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","22,400.0","22,500.0","23,100.0","22,000.0","265.17K","-0.44%"
"04/05/2020","22,500.0","22,500.0","22,550.0","22,000.0","1.72M","0.00%"
"29/04/2020","22,500.0","21,600.0","22,500.0","21,350.0","981.80K","4.17%"
"28/04/2020","21,600.0","21,500.0","21,600.0","21,100.0","374.62K","0.70%"
"27/04/2020","21,450.0","21,650.0","21,700.0","21,200.0","413.81K","-0.69%"
"24/04/2020","21,600.0","21,500.0","21,700.0","21,350.0","707.59K","-0.23%"
"23/04/2020","21,650.0","21,800.0","21,800.0","21,400.0","901.49K","0.46%"
"22/04/2020","21,550.0","21,150.0","21,600.0","21,100.0","629.62K","0.23%"
"21/04/2020","21,500.0","21,500.0","21,600.0","20,800.0","1.46M","-1.38%"
"20/04/2020","21,800.0","21,100.0","22,000.0","21,100.0","1.18M","2.35%"
"17/04/2020","21,300.0","21,000.0","21,350.0","20,900.0","701.75K","1.43%"
"16/04/2020","21,000.0","21,350.0","21,350.0","20,800.0","631.36K","-1.64%"
"15/04/2020","21,350.0","20,800.0","21,400.0","20,750.0","629.44K","3.14%"
"14/04/2020","20,700.0","21,300.0","21,600.0","20,100.0","1.60M","-3.27%"
"13/04/2020","21,400.0","21,650.0","21,700.0","21,400.0","918.96K","-1.15%"
"10/04/2020","21,650.0","21,650.0","21,800.0","21,200.0","1.58M","0.23%"
"09/04/2020","21,600.0","21,400.0","21,800.0","21,400.0","1.01M","1.89%"
"08/04/2020","21,200.0","20,500.0","21,200.0","20,150.0","1.41M","3.41%"
"07/04/2020","20,500.0","20,000.0","20,500.0","19,750.0","2.04M","2.50%"
"06/04/2020","20,000.0","20,450.0","20,500.0","19,800.0","1.19M","0.00%"
"03/04/2020","20,000.0","20,800.0","20,800.0","19,900.0","1.36M","-3.85%"
"01/04/2020","20,800.0","20,000.0","20,800.0","19,300.0","704.42K","4.00%"
"31/03/2020","20,000.0","19,400.0","20,400.0","18,450.0","986.13K","1.52%"
"30/03/2020","19,700.0","19,500.0","20,000.0","18,900.0","609.55K","-2.96%"
"27/03/2020","20,300.0","20,500.0","20,700.0","19,650.0","650.05K","-0.98%"
"26/03/2020","20,500.0","19,750.0","21,100.0","19,400.0","1.43M","3.80%"
"25/03/2020","19,750.0","18,950.0","19,750.0","18,600.0","1.99M","6.76%"
"24/03/2020","18,500.0","18,200.0","18,500.0","17,700.0","1.18M","-2.63%"
"23/03/2020","19,000.0","20,400.0","20,400.0","19,000.0","369.45K","-6.86%"
"20/03/2020","20,400.0","20,850.0","20,850.0","20,150.0","363.19K","-2.86%"
"19/03/2020","21,000.0","21,400.0","21,400.0","19,950.0","851.90K","-1.87%"
"18/03/2020","21,400.0","22,000.0","22,400.0","20,700.0","703.02K","-3.17%"
"17/03/2020","22,100.0","20,500.0","22,100.0","20,500.0","585.44K","0.45%"
"16/03/2020","22,000.0","23,300.0","23,300.0","21,950.0","867.98K","-6.78%"
"13/03/2020","23,600.0","20,600.0","23,600.0","20,600.0","882.88K","6.79%"
"12/03/2020","22,100.0","22,700.0","23,000.0","21,900.0","758.88K","-5.96%"
"11/03/2020","23,500.0","24,600.0","24,700.0","22,700.0","520.29K","-3.09%"
"10/03/2020","24,250.0","24,000.0","24,900.0","24,000.0","470.75K","-0.61%"
"09/03/2020","24,400.0","24,800.0","25,400.0","24,400.0","437.29K","-6.87%"
"06/03/2020","26,200.0","26,100.0","26,250.0","25,900.0","532.64K","-0.19%"
"05/03/2020","26,250.0","25,850.0","26,500.0","25,750.0","790.70K","1.74%"
"04/03/2020","25,800.0","25,600.0","25,850.0","25,300.0","321.71K","0.00%"
"03/03/2020","25,800.0","25,750.0","25,950.0","25,650.0","500.35K","0.78%"
"02/03/2020","25,600.0","25,100.0","25,600.0","24,700.0","571.76K","2.40%"
"28/02/2020","25,000.0","24,900.0","25,200.0","24,800.0","278.55K","-1.19%"
"27/02/2020","25,300.0","24,450.0","25,350.0","24,450.0","466.18K","2.43%"
"26/02/2020","24,700.0","24,500.0","25,250.0","24,200.0","356.25K","-1.00%"
"25/02/2020","24,950.0","24,100.0","24,950.0","23,950.0","718.30K","1.42%"
"24/02/2020","24,600.0","25,450.0","25,850.0","24,600.0","512.86K","-5.38%"
"21/02/2020","26,000.0","26,000.0","26,000.0","25,550.0","690.54K","0.00%"
