"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/04/2020","6,400","6,400","6,400","6,400","0.10K","1.59%"
"23/04/2020","6,300","6,300","6,300","6,300","0.10K","0.00%"
"22/04/2020","6,300","5,400","6,300","5,400","0.20K","1.61%"
"20/04/2020","6,200","6,200","6,200","6,200","0.10K","-13.89%"
"17/04/2020","7,200","5,600","7,200","5,600","2.30K","14.29%"
"16/04/2020","6,300","6,300","6,300","6,300","0.10K","0.00%"
"14/04/2020","6,300","6,300","6,300","6,300","0.10K","0.00%"
"13/04/2020","6,300","5,500","6,300","5,500","0.30K","0.00%"
"10/04/2020","6,300","5,200","6,300","5,200","0.20K","0.00%"
"09/04/2020","6,300","5,500","6,300","5,500","0.20K","-7.35%"
"08/04/2020","6,800","5,700","6,800","5,700","0.20K","9.68%"
"07/04/2020","6,200","6,200","6,200","6,200","0.10K","-13.89%"
"06/04/2020","7,200","5,500","7,200","5,500","2.40K","5.88%"
"03/04/2020","6,800","5,900","6,800","5,900","0.20K","0.00%"
"30/03/2020","6,800","6,800","6,800","6,800","0.10K","6.25%"
"25/03/2020","6,400","6,400","6,400","6,400","0.10K","1.59%"
"24/03/2020","6,300","6,300","6,300","6,300","5.40K","0.00%"
"23/03/2020","6,300","6,500","6,500","6,300","4.90K","-3.08%"
"20/03/2020","6,500","6,500","6,500","6,500","0.10K","0.00%"
"19/03/2020","6,500","6,500","6,500","6,500","0.20K","0.00%"
"18/03/2020","6,500","6,800","6,800","6,100","18.00K","-4.41%"
"17/03/2020","6,800","7,800","7,800","6,800","6.00K","-12.82%"
"16/03/2020","7,800","8,000","8,000","7,800","1.60K","-2.50%"
"13/03/2020","8,000","8,000","8,000","8,000","3.80K","0.00%"
"12/03/2020","8,000","8,200","8,200","8,000","3.30K","0.00%"
"11/03/2020","8,000","8,000","8,000","8,000","-","0.00%"
"10/03/2020","8,000","8,200","8,200","8,000","1.30K","-8.05%"
"09/03/2020","8,700","8,900","8,900","8,700","1.30K","-6.45%"
"05/03/2020","9,300","9,900","9,900","9,300","0.30K","0.00%"
"04/03/2020","9,300","9,300","9,300","9,300","0.30K","-30.60%"
"31/12/2019","13,400","13,400","13,400","13,400","0.10K","8.06%"
"30/12/2019","12,400","12,400","12,400","12,400","0.10K","4.20%"
"27/12/2019","11,900","11,900","11,900","11,900","0.20K","2.59%"
"26/11/2019","11,600","11,600","11,600","11,600","0.10K","14.85%"
"21/11/2019","10,100","10,100","10,100","10,100","0.10K","14.77%"
"16/10/2019","8,800","8,800","8,800","8,800","0.60K","0.00%"
"04/10/2019","8,800","8,800","8,800","8,800","2.00K","6.02%"
"23/09/2019","8,300","10,000","10,000","8,300","1.40K","-4.60%"
"19/09/2019","8,700","8,700","8,700","8,700","1.00K","0.00%"
"18/09/2019","8,700","8,700","8,700","8,700","0.10K","0.00%"
"10/09/2019","8,700","8,700","8,700","8,700","2.30K","-11.22%"
"23/08/2019","9,800","9,800","9,800","9,800","1.00K","-1.01%"
"20/08/2019","9,900","9,900","9,900","9,900","0.40K","2.06%"
"30/07/2019","9,700","9,700","9,700","9,700","0.10K","0.00%"
"25/07/2019","9,700","9,700","9,700","9,700","1.00K","7.78%"
"22/07/2019","9,000","9,700","9,700","8,800","1.10K","5.88%"
"05/07/2019","8,500","8,500","8,500","8,500","1.50K","0.00%"
"28/06/2019","8,500","8,500","8,500","8,500","18.20K","0.00%"
"25/06/2019","8,500","8,500","8,500","8,500","18.20K","6.25%"
"19/06/2019","8,000","8,000","8,000","8,000","0.50K","-10.11%"
"18/06/2019","8,900","8,900","8,900","8,900","0.10K","11.25%"
"10/06/2019","8,000","8,000","8,000","8,000","0.50K","-4.76%"
"21/05/2019","8,400","8,500","8,700","8,400","2.60K","-13.40%"
"08/05/2019","9,700","9,700","9,700","9,700","0.10K","14.12%"
"07/05/2019","8,500","8,500","8,500","8,500","1.00K","0.00%"
"06/05/2019","8,500","8,500","8,500","8,500","1.00K","0.00%"
"26/04/2019","8,500","8,500","8,500","8,500","0.50K","-5.56%"
"24/04/2019","9,000","9,000","9,000","9,000","5.10K","-13.46%"
"23/04/2019","10,400","9,500","10,400","9,500","7.00K","9.47%"
"18/04/2019","9,500","9,500","9,500","9,500","0.50K","-5.94%"
"03/04/2019","10,100","10,100","10,100","10,100","0.60K","14.77%"
"29/03/2019","8,800","8,800","8,800","8,800","0.10K","0.00%"
"28/03/2019","8,800","8,800","8,800","8,800","0.10K","-14.56%"
"27/03/2019","10,300","10,300","10,300","10,300","0.10K","-14.88%"
"26/03/2019","12,100","12,100","12,100","12,100","0.10K","-14.79%"
"28/02/2019","14,200","14,200","14,200","14,200","0.10K","14.52%"
