"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","300","300","300","300","20.00K","-25.00%"
"17/04/2020","400","400","400","400","10.00K","-20.00%"
"10/04/2020","500","500","500","500","0.90K","-16.67%"
"10/01/2020","600","600","600","600","1.50K","20.00%"
"20/12/2019","500","500","500","500","4.00K","25.00%"
"22/11/2019","400","400","400","400","1.20K","33.33%"
"15/11/2019","300","300","300","300","20.60K","0.00%"
"08/11/2019","300","300","300","300","2.00K","0.00%"
"25/10/2019","300","300","300","300","0.40K","-25.00%"
"18/10/2019","400","400","400","400","0.10K","33.33%"
"04/10/2019","300","300","300","300","0.20K","0.00%"
"13/09/2019","300","300","300","300","0.50K","0.00%"
"30/08/2019","300","300","300","300","10.00K","0.00%"
"02/08/2019","300","300","300","300","1.00K","0.00%"
"07/06/2019","300","300","300","300","2.60K","0.00%"
"31/05/2019","300","300","300","300","0.10K","0.00%"
"24/05/2019","300","200","300","200","9.90K","0.00%"
"17/05/2019","300","300","300","300","7.80K","0.00%"
"10/05/2019","300","300","300","300","10.00K","0.00%"
"26/04/2019","300","400","400","300","11.50K","-25.00%"
"19/04/2019","400","400","400","400","1.30K","0.00%"
"12/04/2019","400","400","400","400","0.10K","0.00%"
"05/04/2019","400","400","400","400","0.30K","0.00%"
"29/03/2019","400","400","400","400","0.20K","0.00%"
"22/03/2019","400","400","400","400","1.00K","33.33%"
"15/03/2019","300","400","400","300","10.10K","-25.00%"
"08/03/2019","400","400","400","400","2.11K","0.00%"
"22/02/2019","400","400","400","400","0.40K","0.00%"
"18/01/2019","400","400","400","400","0.20K","0.00%"
"11/01/2019","400","400","400","400","0.45K","0.00%"
"21/12/2018","400","400","400","400","0.50K","0.00%"
"14/12/2018","400","400","400","400","0.70K","0.00%"
"07/12/2018","400","400","400","400","1.30K","33.33%"
"23/11/2018","300","300","300","300","11.90K","-25.00%"
"16/11/2018","400","400","400","400","1.30K","0.00%"
"02/11/2018","400","400","400","400","1.80K","0.00%"
"26/10/2018","400","400","400","400","1.30K","0.00%"
"19/10/2018","400","400","400","400","0.30K","33.33%"
"12/10/2018","300","400","400","300","7.20K","-25.00%"
"28/09/2018","400","400","400","400","5.20K","0.00%"
"21/09/2018","400","400","400","400","3.20K","0.00%"
"14/09/2018","400","400","400","400","5.00K","0.00%"
"07/09/2018","400","400","400","400","0.80K","33.33%"
"31/08/2018","300","300","300","300","1.12K","0.00%"
"17/08/2018","300","300","300","300","11.20K","-25.00%"
"03/08/2018","400","400","400","400","0.10K","33.33%"
"13/07/2018","300","300","300","300","4.80K","0.00%"
"29/06/2018","300","300","300","300","18.60K","-25.00%"
"15/06/2018","400","400","400","400","0.10K","0.00%"
"08/06/2018","400","300","400","300","68.10K","0.00%"
"01/06/2018","400","400","400","400","0.30K","0.00%"
"25/05/2018","400","400","400","400","0.50K","0.00%"
"11/05/2018","400","400","400","400","3.70K","-20.00%"
"04/05/2018","500","500","500","500","4.00K","-16.67%"
"30/03/2018","600","600","600","600","0.10K","-14.29%"
"02/03/2018","700","700","700","700","0.10K","16.67%"
"23/02/2018","600","600","600","600","0.10K","20.00%"
"26/01/2018","500","500","500","500","0.10K","0.00%"
"12/01/2018","500","500","500","500","0.40K","0.00%"
"05/01/2018","500","500","500","500","0.10K","25.00%"
"22/12/2017","400","400","400","400","5.10K","33.33%"
"15/12/2017","300","300","400","300","48.50K","-25.00%"
"08/12/2017","400","400","400","400","1.00K","0.00%"
"01/12/2017","400","400","400","400","2.80K","-20.00%"
"24/11/2017","500","500","500","500","0.10K","25.00%"
"17/11/2017","400","400","400","400","6.10K","0.00%"
"03/11/2017","400","400","400","400","29.60K","-20.00%"
"27/10/2017","500","500","500","500","0.10K","25.00%"
"20/10/2017","400","400","400","400","30.00K","0.00%"
"13/10/2017","400","300","400","300","21.81K","0.00%"
"06/10/2017","400","400","400","400","17.80K","0.00%"
"22/09/2017","400","400","400","400","42.10K","33.33%"
"15/09/2017","300","300","300","300","0.10K","-25.00%"
"06/09/2017","400","400","400","400","-","0.00%"
"05/09/2017","400","400","400","400","-","0.00%"
"01/09/2017","400","400","400","400","3.30K","0.00%"
"25/08/2017","400","400","400","400","1.60K","0.00%"
"18/08/2017","400","400","400","400","1.40K","0.00%"
"11/08/2017","400","400","400","400","30.10K","0.00%"
"04/08/2017","400","400","400","400","8.10K","-20.00%"
"28/07/2017","500","400","500","400","5.60K","0.00%"
"21/07/2017","500","500","500","500","2.00K","0.00%"
"14/07/2017","500","500","500","500","22.50K","0.00%"
"07/07/2017","500","500","500","400","42.82K","0.00%"
"30/06/2017","500","500","500","500","24.90K","0.00%"
"23/06/2017","500","400","600","400","23.90K","0.00%"
"16/06/2017","500","500","600","500","55.10K","0.00%"
"09/06/2017","500","500","500","500","75.30K","25.00%"
"02/06/2017","400","400","400","400","46.30K","33.33%"
"26/05/2017","300","300","300","300","23.70K","-25.00%"
"12/05/2017","400","300","400","300","21.10K","0.00%"
"05/05/2017","400","400","400","400","1.30K","0.00%"
"28/04/2017","400","400","400","400","0.10K","0.00%"
"21/04/2017","400","300","400","300","1.40K","33.33%"
"07/04/2017","300","300","300","300","18.60K","-25.00%"
"31/03/2017","400","300","400","300","30.20K","33.33%"
"24/03/2017","300","300","300","300","10.70K","-25.00%"
"17/03/2017","400","500","500","400","1.10K","-20.00%"
"10/03/2017","500","500","500","500","0.10K","-16.67%"
"24/02/2017","600","500","600","500","23.90K","20.00%"
"17/02/2017","500","500","500","400","31.70K","0.00%"
"10/02/2017","500","400","500","400","1.00K","25.00%"
"03/02/2017","400","400","400","300","25.70K","33.33%"
"13/01/2017","300","300","300","300","9.10K","0.00%"
"06/01/2017","300","300","300","300","18.50K","0.00%"
"30/12/2016","300","300","300","300","19.80K","0.00%"
"16/12/2016","300","300","300","300","6.50K","-25.00%"
"02/12/2016","400","400","400","400","10.10K","-20.00%"
"25/11/2016","500","500","500","500","0.10K","25.00%"
"04/11/2016","400","300","400","300","0.50K","33.33%"
"28/10/2016","300","300","300","300","1.00K","0.00%"
"14/10/2016","300","300","300","300","12.90K","-25.00%"
"09/09/2016","400","300","400","300","2.40K","33.33%"
"19/08/2016","300","300","300","300","0.10K","-25.00%"
"12/08/2016","400","300","400","300","64.20K","0.00%"
"05/08/2016","400","400","400","400","7.10K","0.00%"
"22/07/2016","400","500","500","400","9.50K","-20.00%"
"15/07/2016","500","500","500","500","3.10K","25.00%"
"08/07/2016","400","500","500","400","45.20K","-20.00%"
