"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","64,000.0","62,000.0","64,000.0","62,000.0","0.56K","0.00%"
"04/05/2020","64,000.0","65,800.0","65,800.0","62,000.0","1.84K","1.75%"
"29/04/2020","62,900.0","63,000.0","63,000.0","62,500.0","2.90K","-0.16%"
"28/04/2020","63,000.0","62,600.0","63,000.0","62,500.0","1.96K","0.00%"
"27/04/2020","63,000.0","63,000.0","63,500.0","62,500.0","6.85K","-0.79%"
"24/04/2020","63,500.0","64,000.0","64,000.0","62,500.0","2.02K","0.00%"
"23/04/2020","63,500.0","65,600.0","65,600.0","62,000.0","8.16K","-3.20%"
"22/04/2020","65,600.0","65,800.0","66,000.0","65,000.0","11.56K","-2.09%"
"21/04/2020","67,000.0","68,000.0","68,000.0","67,000.0","2.71K","-1.47%"
"20/04/2020","68,000.0","69,800.0","69,800.0","68,000.0","3.19K","-2.58%"
"17/04/2020","69,800.0","68,000.0","70,000.0","67,400.0","13.23K","2.65%"
"16/04/2020","68,000.0","70,000.0","70,000.0","65,200.0","2.55K","-2.86%"
"15/04/2020","70,000.0","70,000.0","70,000.0","69,500.0","0.33K","0.00%"
"14/04/2020","70,000.0","69,800.0","71,400.0","68,700.0","0.51K","0.00%"
"13/04/2020","70,000.0","69,500.0","70,000.0","69,500.0","0.35K","0.72%"
"10/04/2020","69,500.0","70,000.0","70,000.0","67,500.0","18.96K","3.42%"
"09/04/2020","67,200.0","70,000.0","70,000.0","67,200.0","4.75K","-4.00%"
"08/04/2020","70,000.0","74,000.0","74,000.0","69,600.0","2.78K","-6.04%"
"07/04/2020","74,500.0","74,700.0","74,700.0","73,500.0","0.28K","6.43%"
"06/04/2020","70,000.0","70,000.0","74,700.0","69,700.0","46.26K","0.14%"
"03/04/2020","69,900.0","75,000.0","75,000.0","69,900.0","3.54K","-1.55%"
"01/04/2020","71,000.0","77,000.0","77,000.0","71,000.0","0.19K","-3.40%"
"31/03/2020","73,500.0","73,500.0","78,900.0","73,500.0","0.48K","-6.96%"
"30/03/2020","79,000.0","79,000.0","79,000.0","79,000.0","0.15K","0.00%"
"27/03/2020","79,000.0","76,000.0","79,000.0","75,000.0","0.24K","6.33%"
"26/03/2020","74,300.0","74,300.0","74,300.0","74,300.0","0.04K","-6.89%"
"25/03/2020","79,800.0","79,800.0","79,800.0","79,800.0","0.24K","0.00%"
"24/03/2020","79,800.0","79,800.0","79,800.0","79,800.0","0.25K","0.00%"
"23/03/2020","79,800.0","79,800.0","79,800.0","79,800.0","0.21K","5.28%"
"20/03/2020","75,800.0","71,300.0","75,800.0","71,100.0","2.31K","-0.79%"
