"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","19,950.0","20,000.0","20,100.0","19,950.0","136.81K","-0.50%"
"04/05/2020","20,050.0","20,250.0","20,450.0","20,050.0","235.86K","-2.43%"
"29/04/2020","20,550.0","20,550.0","20,950.0","20,500.0","338.95K","0.24%"
"28/04/2020","20,500.0","20,400.0","20,500.0","20,200.0","277.81K","0.49%"
"27/04/2020","20,400.0","21,050.0","21,050.0","20,350.0","579.44K","-1.21%"
"24/04/2020","20,650.0","19,750.0","20,800.0","19,550.0","724.29K","4.56%"
"23/04/2020","19,750.0","20,300.0","20,300.0","19,700.0","287.01K","-0.75%"
"22/04/2020","19,900.0","19,550.0","20,250.0","19,300.0","377.27K","1.79%"
"21/04/2020","19,550.0","19,200.0","20,350.0","18,700.0","1.03M","1.82%"
"20/04/2020","19,200.0","18,900.0","19,350.0","18,750.0","784.46K","1.59%"
"17/04/2020","18,900.0","19,250.0","19,300.0","18,700.0","783.78K","-0.53%"
"16/04/2020","19,000.0","18,600.0","19,400.0","18,500.0","496.47K","2.15%"
"15/04/2020","18,600.0","18,500.0","18,900.0","18,350.0","861.00K","1.09%"
"14/04/2020","18,400.0","18,300.0","18,450.0","18,200.0","489.50K","0.55%"
"13/04/2020","18,300.0","18,400.0","18,500.0","18,000.0","491.22K","-0.54%"
"10/04/2020","18,400.0","18,550.0","18,600.0","18,200.0","282.99K","-0.54%"
"09/04/2020","18,500.0","18,500.0","18,900.0","18,400.0","561.59K","0.54%"
"08/04/2020","18,400.0","18,000.0","18,500.0","17,900.0","417.77K","0.00%"
"07/04/2020","18,400.0","18,200.0","18,450.0","17,800.0","605.42K","1.66%"
"06/04/2020","18,100.0","17,150.0","18,100.0","17,150.0","598.43K","6.16%"
"03/04/2020","17,050.0","16,600.0","17,250.0","16,600.0","339.94K","3.33%"
"01/04/2020","16,500.0","16,250.0","16,650.0","16,250.0","153.81K","1.54%"
"31/03/2020","16,250.0","16,600.0","16,950.0","16,000.0","431.17K","-2.11%"
"30/03/2020","16,600.0","16,400.0","16,650.0","16,000.0","318.45K","-0.60%"
"27/03/2020","16,700.0","16,850.0","16,850.0","16,400.0","258.19K","0.30%"
"26/03/2020","16,650.0","16,900.0","16,900.0","16,500.0","347.30K","-0.89%"
"25/03/2020","16,800.0","16,800.0","17,000.0","16,600.0","297.11K","2.13%"
