"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","32,800.0","32,500.0","32,800.0","31,600.0","13.32K","1.86%"
"04/05/2020","32,200.0","32,900.0","33,300.0","32,200.0","17.01K","-3.59%"
"29/04/2020","33,400.0","32,200.0","33,600.0","32,200.0","16.28K","1.83%"
"28/04/2020","32,800.0","32,700.0","33,000.0","32,200.0","38.06K","0.31%"
"27/04/2020","32,700.0","33,000.0","33,600.0","32,600.0","53.24K","0.93%"
"24/04/2020","32,400.0","32,400.0","33,000.0","32,000.0","27.88K","-0.92%"
"23/04/2020","32,700.0","32,400.0","33,100.0","32,200.0","26.97K","3.81%"
"22/04/2020","31,500.0","31,000.0","31,800.0","30,100.0","62.10K","0.64%"
"21/04/2020","31,300.0","32,500.0","32,700.0","31,000.0","72.51K","-4.28%"
"20/04/2020","32,700.0","33,300.0","33,300.0","32,200.0","80.41K","-0.61%"
"17/04/2020","32,900.0","31,500.0","33,000.0","31,500.0","53.92K","4.78%"
"16/04/2020","31,400.0","30,600.0","31,400.0","30,500.0","44.36K","2.61%"
"15/04/2020","30,600.0","30,000.0","30,900.0","30,000.0","65.07K","4.44%"
"14/04/2020","29,300.0","30,500.0","30,500.0","29,300.0","28.52K","-2.66%"
"13/04/2020","30,100.0","29,700.0","31,900.0","29,700.0","55.08K","1.69%"
"10/04/2020","29,600.0","30,000.0","30,000.0","29,500.0","13.21K","-2.31%"
"09/04/2020","30,300.0","28,800.0","30,300.0","28,400.0","54.10K","5.94%"
"08/04/2020","28,600.0","28,500.0","28,600.0","27,900.0","45.02K","0.70%"
"07/04/2020","28,400.0","28,200.0","28,500.0","27,900.0","9.74K","0.71%"
"06/04/2020","28,200.0","27,900.0","28,800.0","27,900.0","12.12K","0.36%"
"03/04/2020","28,100.0","27,700.0","28,100.0","27,700.0","6.12K","3.31%"
"01/04/2020","27,200.0","27,100.0","27,700.0","27,100.0","3.13K","0.37%"
"31/03/2020","27,100.0","27,500.0","27,500.0","27,100.0","33.16K","0.00%"
"30/03/2020","27,100.0","27,000.0","27,400.0","27,000.0","30.54K","-1.45%"
