"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","2,900.0","2,900.0","2,900.0","2,900.0","-","-3.33%"
"04/05/2020","3,000.0","3,000.0","3,100.0","3,000.0","3.60K","-3.23%"
"29/04/2020","3,100.0","3,000.0","3,100.0","3,000.0","10.90K","3.33%"
"28/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","1.30K","0.00%"
"27/04/2020","3,000.0","3,100.0","3,100.0","3,000.0","33.84K","-9.09%"
"24/04/2020","3,300.0","3,000.0","3,300.0","3,000.0","14.91K","10.00%"
"23/04/2020","3,000.0","3,000.0","3,100.0","3,000.0","18.27K","3.45%"
"22/04/2020","2,900.0","2,900.0","3,000.0","2,900.0","7.71K","0.00%"
"21/04/2020","2,900.0","3,000.0","3,000.0","2,900.0","5.70K","-3.33%"
"20/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","3.70K","0.00%"
"17/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","1.24K","7.14%"
"16/04/2020","2,800.0","2,900.0","2,900.0","2,800.0","0.70K","-6.67%"
"15/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","4.50K","0.00%"
"14/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","20.95K","0.00%"
"13/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","0.10K","3.45%"
"10/04/2020","2,900.0","2,900.0","2,900.0","2,900.0","9.70K","7.41%"
"09/04/2020","2,700.0","3,000.0","3,000.0","2,700.0","6.10K","-6.90%"
"08/04/2020","2,900.0","3,000.0","3,000.0","2,900.0","9.00K","-3.33%"
"07/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","1.00K","0.00%"
"06/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","0.10K","0.00%"
"03/04/2020","3,000.0","2,900.0","3,000.0","2,900.0","6.42K","0.00%"
"01/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","0.10K","3.45%"
"31/03/2020","2,900.0","2,900.0","2,900.0","2,900.0","0.17K","3.57%"
"30/03/2020","2,800.0","2,800.0","2,800.0","2,800.0","1.10K","-6.67%"
"26/03/2020","3,000.0","3,000.0","3,000.0","3,000.0","0.10K","-3.23%"
"25/03/2020","3,100.0","3,100.0","3,100.0","3,100.0","0.10K","3.33%"
"24/03/2020","3,000.0","3,000.0","3,100.0","3,000.0","35.00K","-3.23%"
"23/03/2020","3,100.0","2,900.0","3,100.0","2,800.0","6.50K","0.00%"
"20/03/2020","3,100.0","3,000.0","3,100.0","2,900.0","8.10K","0.00%"
"19/03/2020","3,100.0","2,900.0","3,100.0","2,800.0","50.20K","3.33%"
"18/03/2020","3,000.0","3,000.0","3,100.0","3,000.0","30.11K","0.00%"
"17/03/2020","3,000.0","2,800.0","3,000.0","2,800.0","0.30K","7.14%"
"16/03/2020","2,800.0","3,300.0","3,300.0","2,800.0","0.30K","-6.67%"
"13/03/2020","3,000.0","3,000.0","3,000.0","2,900.0","5.20K","-3.23%"
"12/03/2020","3,100.0","3,200.0","3,200.0","3,000.0","28.70K","-6.06%"
"11/03/2020","3,300.0","3,200.0","3,300.0","3,200.0","0.30K","-2.94%"
"10/03/2020","3,400.0","3,200.0","3,400.0","3,200.0","0.50K","3.03%"
"09/03/2020","3,300.0","3,300.0","3,300.0","3,300.0","13.30K","-2.94%"
"05/03/2020","3,400.0","3,400.0","3,400.0","3,400.0","0.20K","0.00%"
"04/03/2020","3,400.0","3,400.0","3,400.0","3,400.0","24.11K","0.00%"
"03/03/2020","3,400.0","3,400.0","3,400.0","3,400.0","0.50K","3.03%"
"02/03/2020","3,300.0","3,300.0","3,300.0","3,300.0","0.50K","-5.71%"
"24/02/2020","3,500.0","3,500.0","3,500.0","3,500.0","50.01K","0.00%"
"21/02/2020","3,500.0","3,500.0","3,500.0","3,400.0","6.00K","0.00%"
"19/02/2020","3,500.0","3,500.0","3,500.0","3,500.0","2.02K","0.00%"
"18/02/2020","3,500.0","3,500.0","3,500.0","3,500.0","0.10K","2.94%"
"17/02/2020","3,400.0","3,400.0","3,500.0","3,400.0","24.30K","-5.56%"
"14/02/2020","3,600.0","3,600.0","3,600.0","3,600.0","0.10K","0.00%"
"13/02/2020","3,600.0","3,400.0","3,600.0","3,400.0","17.00K","5.88%"
"12/02/2020","3,400.0","3,400.0","3,400.0","3,400.0","28.50K","-2.86%"
"11/02/2020","3,500.0","3,400.0","3,500.0","3,400.0","6.40K","2.94%"
"10/02/2020","3,400.0","3,400.0","3,400.0","3,400.0","3.60K","-2.86%"
"06/02/2020","3,500.0","3,400.0","3,500.0","3,400.0","9.10K","2.94%"
"05/02/2020","3,400.0","3,400.0","3,400.0","3,400.0","9.00K","0.00%"
"04/02/2020","3,400.0","3,300.0","3,400.0","3,300.0","20.10K","3.03%"
"03/02/2020","3,300.0","3,400.0","3,400.0","3,300.0","5.20K","-5.71%"
"21/01/2020","3,500.0","3,500.0","3,500.0","3,500.0","3.01K","0.00%"
"15/01/2020","3,500.0","3,500.0","3,500.0","3,500.0","2.02K","-5.41%"
"14/01/2020","3,700.0","3,600.0","3,700.0","3,600.0","8.80K","2.78%"
"13/01/2020","3,600.0","3,600.0","3,600.0","3,600.0","1.20K","5.88%"
"10/01/2020","3,400.0","3,400.0","3,400.0","3,400.0","6.60K","-2.86%"
"08/01/2020","3,500.0","3,500.0","3,500.0","3,500.0","2.00K","0.00%"
"07/01/2020","3,500.0","3,500.0","3,500.0","3,500.0","11.30K","0.00%"
"06/01/2020","3,500.0","3,500.0","3,500.0","3,500.0","21.00K","0.00%"
"03/01/2020","3,500.0","3,500.0","3,500.0","3,500.0","11.00K","2.94%"
"27/12/2019","3,400.0","3,400.0","3,400.0","3,400.0","18.70K","0.00%"
"25/12/2019","3,400.0","3,500.0","3,500.0","3,400.0","0.52K","-2.86%"
"24/12/2019","3,500.0","3,500.0","3,500.0","3,500.0","0.20K","0.00%"
"23/12/2019","3,500.0","3,500.0","3,500.0","3,500.0","0.35K","0.00%"
"19/12/2019","3,500.0","3,500.0","3,500.0","3,500.0","0.20K","-2.78%"
"18/12/2019","3,600.0","3,600.0","3,600.0","3,600.0","0.90K","0.00%"
"17/12/2019","3,600.0","3,600.0","3,600.0","3,500.0","1.25K","0.00%"
"16/12/2019","3,600.0","3,500.0","3,600.0","3,400.0","3.60K","0.00%"
"13/12/2019","3,600.0","3,500.0","3,600.0","3,400.0","5.40K","0.00%"
"12/12/2019","3,600.0","3,500.0","3,600.0","3,500.0","1.20K","2.86%"
"11/12/2019","3,500.0","3,500.0","3,500.0","3,500.0","0.10K","0.00%"
"10/12/2019","3,500.0","3,500.0","3,500.0","3,500.0","0.20K","0.00%"
"05/12/2019","3,500.0","3,400.0","3,700.0","3,400.0","4.90K","0.00%"
"04/12/2019","3,500.0","3,500.0","3,500.0","3,500.0","17.20K","0.00%"
"03/12/2019","3,500.0","3,500.0","3,500.0","3,500.0","21.70K","0.00%"
"02/12/2019","3,500.0","3,500.0","3,500.0","3,500.0","3.12K","0.00%"
"28/11/2019","3,500.0","3,500.0","3,500.0","3,500.0","3.60K","0.00%"
"27/11/2019","3,500.0","3,500.0","3,675.0","3,500.0","61.92K","0.00%"
"26/11/2019","3,500.0","3,413.0","3,500.0","3,413.0","5.70K","0.00%"
"25/11/2019","3,500.0","3,588.0","3,588.0","3,500.0","4.48K","-14.63%"
"22/11/2019","4,100.0","4,100.0","4,100.0","4,000.0","6.60K","0.00%"
"21/11/2019","4,100.0","4,000.0","4,100.0","4,000.0","0.90K","0.00%"
"20/11/2019","4,100.0","4,100.0","4,100.0","4,100.0","1.00K","-2.38%"
"18/11/2019","4,200.0","4,000.0","4,200.0","3,900.0","25.50K","5.00%"
"15/11/2019","4,000.0","4,100.0","4,400.0","3,900.0","38.90K","0.00%"
"14/11/2019","4,000.0","3,900.0","4,000.0","3,800.0","45.90K","2.56%"
