"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"21/02/2020","14,300","14,300","14,300","14,300","0.10K","-0.69%"
"14/02/2020","14,400","14,400","14,400","14,400","0.12K","-0.69%"
"07/02/2020","14,500","14,500","14,500","14,500","0.10K","0.00%"
"17/01/2020","14,500","14,500","14,500","14,500","0.10K","3.57%"
"10/01/2020","14,000","14,000","14,000","14,000","0.10K","5.26%"
"03/01/2020","13,300","13,300","13,300","13,300","0.10K","-0.75%"
"27/12/2019","13,400","13,400","13,400","13,400","0.10K","-0.74%"
"06/12/2019","13,500","13,500","13,500","13,500","0.10K","5.47%"
"29/11/2019","12,800","12,800","12,800","12,800","0.14K","11.30%"
"22/11/2019","11,500","11,000","11,500","11,000","0.21K","15.00%"
"15/11/2019","10,000","10,000","10,000","10,000","0.10K","-18.03%"
"08/11/2019","12,200","12,400","12,400","9,200","0.30K","-6.87%"
"01/11/2019","13,100","13,100","13,100","9,700","0.60K","14.91%"
"25/10/2019","11,400","11,400","11,400","11,400","0.20K","0.00%"
"18/10/2019","11,400","15,200","15,200","11,400","0.24K","-15.56%"
"11/10/2019","13,500","13,100","13,500","13,100","0.20K","-11.76%"
"04/10/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"27/09/2019","15,300","13,500","15,300","13,500","0.20K","0.00%"
"20/09/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"13/09/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"06/09/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"23/08/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"09/08/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"26/07/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"05/07/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"10/05/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"03/05/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"26/04/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"19/04/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"12/04/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"05/04/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"29/03/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"08/03/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"22/02/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"15/02/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"01/02/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"25/01/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"18/01/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"11/01/2019","15,300","15,300","15,300","15,300","0.10K","0.00%"
"28/12/2018","15,300","15,300","15,300","15,300","0.10K","0.00%"
"14/12/2018","15,300","15,300","15,300","15,300","0.60K","0.00%"
"07/12/2018","15,300","15,300","15,300","15,300","0.10K","0.66%"
"30/11/2018","15,200","15,200","15,200","15,200","0.10K","0.00%"
"23/11/2018","15,200","15,200","15,200","15,200","0.10K","0.00%"
"16/11/2018","15,200","15,200","15,200","15,200","0.10K","0.00%"
"09/11/2018","15,200","15,200","15,200","15,200","0.10K","0.00%"
"02/11/2018","15,200","15,200","15,200","15,200","0.10K","0.00%"
"26/10/2018","15,200","15,200","15,200","15,200","0.10K","0.66%"
"19/10/2018","15,100","15,100","15,100","15,100","0.10K","0.67%"
"12/10/2018","15,000","15,000","15,000","15,000","0.10K","0.67%"
"28/09/2018","14,900","14,900","14,900","14,900","0.10K","0.68%"
"21/09/2018","14,800","14,800","14,800","14,800","0.10K","0.68%"
"31/08/2018","14,700","14,700","14,700","14,700","0.10K","0.68%"
"24/08/2018","14,600","14,600","14,600","14,600","0.10K","-0.68%"
"17/08/2018","14,700","14,700","14,700","14,700","0.10K","0.68%"
"10/08/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"03/08/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"27/07/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"20/07/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"13/07/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"06/07/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"29/06/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"22/06/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"15/06/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"08/06/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"01/06/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"18/05/2018","14,600","14,600","14,600","14,600","0.10K","0.00%"
"17/05/2018","14,600","14,600","14,600","14,600","0.10K","-0.68%"
"15/05/2018","14,700","14,700","14,700","14,700","0.10K","-0.68%"
"09/05/2018","14,800","14,800","14,800","14,800","0.10K","-1.99%"
"02/05/2018","15,100","15,100","15,100","15,100","0.10K","-1.31%"
"27/04/2018","15,300","15,300","15,300","15,300","0.10K","-1.92%"
"26/04/2018","15,600","15,600","15,600","15,600","0.10K","-3.11%"
"12/04/2018","16,100","16,100","16,100","16,100","0.10K","0.63%"
"11/04/2018","16,000","16,000","16,000","16,000","0.10K","0.00%"
"10/04/2018","16,000","16,000","16,000","16,000","0.10K","-0.62%"
"09/04/2018","16,100","16,100","16,100","16,100","0.10K","-0.62%"
"04/04/2018","16,200","16,200","16,200","16,200","0.10K","-1.22%"
"30/03/2018","16,400","16,400","16,400","16,400","0.10K","0.00%"
"22/02/2018","16,400","16,400","16,400","16,400","0.10K","0.00%"
"21/02/2018","16,400","16,400","16,400","16,400","0.10K","0.00%"
"02/02/2018","16,400","16,600","16,700","16,400","0.30K","0.00%"
"01/02/2018","16,400","16,400","16,400","16,400","0.10K","0.00%"
"23/01/2018","16,400","16,400","16,400","16,400","0.10K","0.61%"
"22/01/2018","16,300","16,300","16,300","16,300","0.10K","0.00%"
