"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","6,300.0","6,300.0","6,300.0","6,300.0","-","-10.00%"
"28/04/2020","7,000.0","7,000.0","7,000.0","7,000.0","6.10K","-9.09%"
"27/04/2020","7,700.0","7,700.0","7,700.0","7,700.0","11.20K","-9.41%"
"18/03/2020","8,500.0","8,500.0","8,500.0","8,500.0","0.10K","-9.57%"
"19/02/2020","9,400.0","9,400.0","9,400.0","9,400.0","0.10K","8.05%"
"13/12/2019","8,700.0","8,700.0","8,700.0","8,700.0","0.10K","7.41%"
"11/12/2019","8,100.0","8,100.0","8,100.0","8,100.0","0.10K","8.00%"
"09/12/2019","7,500.0","7,500.0","7,500.0","7,500.0","0.10K","8.70%"
"27/11/2019","6,900.0","6,900.0","6,900.0","6,900.0","0.70K","-1.43%"
"16/10/2019","7,000.0","7,000.0","7,000.0","7,000.0","0.10K","7.69%"
"24/09/2019","6,500.0","6,500.0","6,500.0","6,500.0","0.10K","0.00%"
"23/09/2019","6,500.0","6,500.0","6,500.0","6,500.0","0.10K","0.00%"
"20/09/2019","6,500.0","6,500.0","6,500.0","6,500.0","0.10K","8.33%"
"19/09/2019","6,000.0","6,000.0","6,000.0","6,000.0","0.10K","7.14%"
"17/09/2019","5,600.0","5,600.0","5,600.0","5,600.0","1.40K","-6.67%"
"16/09/2019","6,000.0","5,500.0","6,000.0","5,500.0","2.70K","5.26%"
"13/09/2019","5,700.0","5,400.0","5,700.0","5,400.0","1.50K","0.00%"
"12/09/2019","5,700.0","5,700.0","5,700.0","5,700.0","1.40K","-5.00%"
"11/09/2019","6,000.0","6,000.0","6,000.0","6,000.0","0.10K","-9.09%"
"10/09/2019","6,600.0","6,600.0","6,600.0","6,600.0","0.10K","10.00%"
"06/09/2019","6,000.0","6,000.0","6,000.0","6,000.0","0.10K","3.45%"
"03/09/2019","5,800.0","5,800.0","5,800.0","5,800.0","0.10K","9.43%"
"30/08/2019","5,300.0","5,600.0","5,600.0","5,300.0","0.20K","3.92%"
"28/08/2019","5,100.0","5,700.0","5,700.0","5,100.0","0.30K","-1.92%"
"27/08/2019","5,200.0","5,200.0","5,200.0","5,200.0","0.10K","-3.70%"
"23/08/2019","5,400.0","5,400.0","5,400.0","5,400.0","26.40K","-1.82%"
"22/08/2019","5,500.0","5,800.0","5,800.0","5,500.0","2.10K","-5.17%"
"21/08/2019","5,800.0","5,800.0","5,800.0","5,800.0","24.50K","0.00%"
"16/08/2019","5,800.0","5,800.0","5,800.0","5,800.0","0.10K","-9.38%"
"13/08/2019","6,400.0","6,400.0","6,400.0","6,400.0","0.20K","8.47%"
"06/08/2019","5,900.0","5,900.0","5,900.0","5,900.0","0.10K","9.26%"
"31/07/2019","5,400.0","5,900.0","5,900.0","5,400.0","0.30K","0.00%"
"26/07/2019","5,400.0","6,400.0","6,400.0","5,400.0","1.10K","-8.47%"
"25/07/2019","5,900.0","5,900.0","5,900.0","5,900.0","2.10K","9.26%"
"24/07/2019","5,400.0","5,400.0","5,400.0","5,400.0","0.40K","0.00%"
"22/07/2019","5,400.0","5,400.0","5,400.0","5,400.0","1.00K","0.00%"
"17/07/2019","5,400.0","5,400.0","5,400.0","5,400.0","2.10K","0.00%"
"15/07/2019","5,400.0","5,400.0","5,400.0","5,400.0","1.00K","-1.82%"
"12/07/2019","5,500.0","5,500.0","5,500.0","5,500.0","1.90K","-5.17%"
"10/07/2019","5,800.0","5,800.0","5,800.0","5,800.0","0.40K","9.43%"
"05/07/2019","5,300.0","5,300.0","5,300.0","5,300.0","2.00K","0.00%"
"04/07/2019","5,300.0","5,300.0","5,300.0","5,300.0","2.00K","0.00%"
"03/07/2019","5,300.0","5,300.0","5,300.0","5,300.0","2.00K","0.00%"
"19/06/2019","5,300.0","5,300.0","5,300.0","5,300.0","1.70K","-1.85%"
"18/06/2019","5,400.0","5,400.0","5,400.0","5,400.0","6.00K","-3.57%"
"13/06/2019","5,600.0","5,600.0","5,600.0","5,600.0","4.80K","-6.67%"
"10/06/2019","6,000.0","6,000.0","6,000.0","6,000.0","5.00K","5.26%"
"07/06/2019","5,700.0","5,600.0","5,700.0","5,600.0","5.10K","1.79%"
"31/05/2019","5,600.0","5,600.0","5,600.0","5,600.0","0.30K","-8.20%"
"20/05/2019","6,100.0","6,100.0","6,100.0","6,100.0","5.00K","-8.96%"
"16/05/2019","6,700.0","6,700.0","6,700.0","6,700.0","0.50K","9.84%"
"14/05/2019","6,100.0","6,100.0","6,100.0","6,100.0","1.30K","0.00%"
"13/05/2019","6,100.0","6,100.0","6,100.0","6,100.0","0.10K","7.02%"
"10/05/2019","5,700.0","5,500.0","5,700.0","5,500.0","1.30K","-5.00%"
"09/05/2019","6,000.0","5,600.0","6,000.0","5,600.0","1.00K","0.00%"
"07/05/2019","6,000.0","6,000.0","6,000.0","6,000.0","0.50K","0.00%"
"23/04/2019","6,000.0","6,000.0","6,000.0","6,000.0","1.40K","0.00%"
"22/04/2019","6,000.0","6,000.0","6,000.0","6,000.0","2.60K","-9.09%"
"08/04/2019","6,600.0","6,600.0","6,600.0","6,600.0","3.20K","-9.59%"
"02/04/2019","7,300.0","7,300.0","7,300.0","7,300.0","0.10K","8.96%"
"21/03/2019","6,700.0","7,200.0","7,200.0","6,700.0","1.10K","-6.94%"
"20/03/2019","7,200.0","7,200.0","7,200.0","7,200.0","0.10K","0.00%"
