"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/03/2020","26,600","26,600","26,600","26,600","0.10K","-14.74%"
"24/02/2020","31,200","31,200","31,200","31,200","0.10K","-14.75%"
"20/02/2020","36,600","36,600","36,600","36,600","0.10K","-14.88%"
"10/02/2020","43,000","43,000","43,000","43,000","0.20K","2.38%"
"07/02/2020","42,000","42,000","42,000","42,000","0.10K","-6.67%"
"09/01/2020","45,000","45,000","45,000","45,000","1.00K","0.00%"
"23/12/2019","45,000","45,000","45,000","45,000","0.20K","12.50%"
"16/12/2019","40,000","40,000","40,000","40,000","1.20K","12.99%"
"16/10/2019","35,400","35,400","35,400","35,400","0.50K","14.94%"
"03/10/2019","30,800","30,800","30,800","30,800","0.10K","-14.92%"
"10/09/2019","36,200","36,200","36,200","36,200","-","0.00%"
"06/09/2019","36,200","36,200","36,200","36,200","0.20K","14.92%"
"12/08/2019","31,500","31,500","31,500","31,500","0.10K","-14.86%"
"09/08/2019","37,000","37,000","37,000","37,000","13.40K","14.55%"
"07/08/2019","32,300","25,900","32,300","25,900","9.50K","-2.71%"
"06/08/2019","33,200","25,600","33,200","25,600","0.30K","14.88%"
"05/08/2019","28,900","28,900","28,900","28,900","0.30K","-14.75%"
"01/08/2019","33,900","33,000","33,900","33,000","9.60K","14.92%"
"30/07/2019","29,500","29,500","29,500","29,500","0.10K","14.79%"
"29/07/2019","25,700","25,700","25,700","25,700","0.20K","-16.83%"
"23/07/2019","30,900","25,300","30,900","25,300","0.40K","14.87%"
"22/07/2019","26,900","26,900","26,900","26,900","0.10K","-13.78%"
"18/07/2019","31,200","31,200","31,200","31,200","0.10K","14.71%"
"17/07/2019","27,200","27,200","27,200","27,200","0.10K","-17.58%"
"12/07/2019","33,000","31,900","33,000","31,500","0.90K","14.19%"
"11/07/2019","28,900","28,900","28,900","28,900","1.50K","14.68%"
"09/07/2019","25,200","25,200","25,200","25,200","0.10K","-9.35%"
"08/07/2019","27,800","27,800","27,800","27,800","0.10K","-14.98%"
"05/07/2019","32,700","32,700","32,700","32,700","1.00K","13.54%"
"04/07/2019","28,800","28,800","28,800","25,100","5.60K","14.74%"
"03/07/2019","25,100","25,100","25,100","25,100","0.10K","-10.68%"
"01/07/2019","28,100","28,100","28,100","28,100","0.10K","-14.85%"
"27/06/2019","33,000","33,000","33,000","33,000","0.10K","14.98%"
"20/06/2019","28,700","28,700","28,700","28,700","0.10K","14.80%"
"19/06/2019","25,000","25,000","25,000","25,000","0.10K","-14.68%"
"13/06/2019","29,300","29,300","29,300","29,300","0.10K","14.90%"
"12/06/2019","25,500","25,500","25,500","25,500","-","0.00%"
"05/06/2019","25,500","25,500","25,500","25,500","0.10K","-1.92%"
"04/06/2019","26,000","26,000","26,000","26,000","0.20K","-5.45%"
"30/05/2019","27,500","27,500","27,500","27,500","0.10K","-11.58%"
"29/05/2019","31,100","31,100","31,100","31,100","0.10K","-14.79%"
"27/05/2019","36,500","36,500","36,500","36,500","0.50K","14.78%"
"24/05/2019","31,800","31,800","31,800","31,800","0.10K","15.64%"
"21/05/2019","27,500","27,500","27,500","27,500","-","0.00%"
"23/04/2019","27,500","32,000","32,000","27,500","12.80K","-14.86%"
"19/04/2019","32,300","32,300","32,300","32,300","0.10K","-15.00%"
"18/03/2019","38,000","38,000","38,000","38,000","0.01K","0.00%"
"14/03/2019","38,000","38,000","38,000","38,000","0.10K","-13.64%"
"12/03/2019","44,000","39,000","44,000","39,000","0.70K","0.00%"
"11/03/2019","44,000","44,000","44,000","44,000","1.90K","7.84%"
"07/03/2019","40,800","36,000","40,800","36,000","1.51K","16.57%"
"06/03/2019","35,000","36,000","36,000","35,000","3.80K","-10.26%"
"05/03/2019","39,000","39,000","39,000","39,000","0.20K","-15.22%"
"04/03/2019","46,000","44,000","46,000","44,000","3.50K","9.52%"
"27/02/2019","42,000","33,400","42,000","33,400","3.34K","40.94%"
"26/02/2019","29,800","40,000","40,000","29,800","1.30K","-14.86%"
"25/02/2019","35,000","35,000","35,000","35,000","0.10K","-16.67%"
"22/02/2019","42,000","33,600","42,000","33,600","5.90K","5.00%"
"21/02/2019","40,000","39,000","40,000","39,000","3.80K","12.04%"
"22/01/2019","35,700","35,700","35,700","35,700","0.10K","14.79%"
"10/01/2019","31,100","31,100","31,100","31,100","0.10K","-15.95%"
"08/01/2019","37,000","31,500","37,000","31,500","1.10K","0.00%"
"07/01/2019","37,000","37,000","37,000","37,000","1.10K","12.12%"
"03/01/2019","33,000","33,000","33,000","33,000","-","0.00%"
"07/12/2018","33,000","33,000","33,000","33,000","0.10K","14.98%"
"06/12/2018","28,700","28,700","28,700","28,700","0.10K","14.80%"
"05/12/2018","25,000","25,000","25,000","25,000","-","0.00%"
"04/12/2018","25,000","25,000","25,000","25,000","0.10K","-13.79%"
