"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2020","12,500.0","12,200.0","12,500.0","12,200.0","2.00K","1.63%"
"27/04/2020","12,300.0","12,300.0","12,300.0","12,300.0","0.70K","9.82%"
"24/04/2020","11,200.0","11,500.0","11,500.0","11,200.0","3.50K","-8.94%"
"21/04/2020","12,300.0","12,200.0","12,300.0","12,200.0","0.20K","0.82%"
"20/04/2020","12,200.0","12,200.0","12,200.0","12,200.0","0.80K","0.00%"
"17/04/2020","12,200.0","12,200.0","12,200.0","12,200.0","0.50K","7.96%"
"16/04/2020","11,300.0","11,500.0","11,500.0","11,300.0","1.60K","-7.38%"
"10/04/2020","12,200.0","12,200.0","12,200.0","12,200.0","0.15K","5.17%"
"09/04/2020","11,600.0","13,000.0","13,000.0","11,600.0","1.30K","-4.13%"
"08/04/2020","12,100.0","12,800.0","12,800.0","12,100.0","1.30K","3.42%"
"07/04/2020","11,700.0","12,900.0","12,900.0","11,700.0","3.10K","-9.30%"
"06/04/2020","12,900.0","12,700.0","12,900.0","12,700.0","0.30K","9.32%"
"03/04/2020","11,800.0","11,400.0","11,800.0","11,400.0","0.30K","9.26%"
"01/04/2020","10,800.0","10,800.0","10,800.0","10,800.0","0.10K","9.09%"
"30/03/2020","9,900.0","10,500.0","10,500.0","9,900.0","0.70K","-6.60%"
"27/03/2020","10,600.0","11,500.0","11,500.0","10,600.0","2.10K","-7.83%"
"26/03/2020","11,500.0","11,500.0","11,500.0","11,500.0","0.10K","-8.73%"
"24/03/2020","12,600.0","12,600.0","12,600.0","12,600.0","0.12K","8.62%"
"23/03/2020","11,600.0","11,600.0","11,600.0","11,600.0","0.30K","-7.94%"
"19/03/2020","12,600.0","12,600.0","12,600.0","12,600.0","0.10K","-4.55%"
"18/03/2020","13,200.0","13,200.0","13,200.0","13,200.0","0.11K","9.09%"
"17/03/2020","12,100.0","11,600.0","12,100.0","11,600.0","1.20K","10.00%"
"16/03/2020","11,000.0","11,000.0","11,000.0","11,000.0","0.10K","-5.98%"
"13/03/2020","11,700.0","11,700.0","11,700.0","11,700.0","0.18K","-10.00%"
"12/03/2020","13,000.0","13,200.0","13,200.0","13,000.0","0.40K","3.17%"
"10/03/2020","12,600.0","12,600.0","12,600.0","12,600.0","0.30K","-10.00%"
"09/03/2020","14,000.0","14,200.0","14,200.0","14,000.0","0.21K","3.70%"
"05/03/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.10K","0.00%"
"04/03/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.17K","4.65%"
"03/03/2020","12,900.0","12,900.0","12,900.0","12,900.0","0.20K","-0.77%"
"02/03/2020","13,000.0","13,000.0","13,000.0","13,000.0","1.20K","0.00%"
"28/02/2020","13,000.0","13,000.0","13,000.0","13,000.0","5.40K","0.00%"
