"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","56,000.0","56,500.0","60,400.0","55,700.0","431.51K","-0.88%"
"04/05/2020","56,500.0","56,800.0","58,000.0","56,200.0","274.49K","-0.70%"
"29/04/2020","56,900.0","57,200.0","57,400.0","56,700.0","890.67K","-0.52%"
"28/04/2020","57,200.0","58,000.0","58,400.0","57,000.0","716.42K","-1.38%"
"27/04/2020","58,000.0","60,000.0","60,200.0","58,000.0","932.47K","-2.52%"
"24/04/2020","59,500.0","59,600.0","59,700.0","59,100.0","434.14K","0.17%"
"23/04/2020","59,400.0","60,500.0","60,600.0","59,000.0","634.07K","1.02%"
"22/04/2020","58,800.0","56,200.0","58,900.0","56,200.0","873.32K","1.55%"
"21/04/2020","57,900.0","59,500.0","60,200.0","56,900.0","1.31M","-3.82%"
"20/04/2020","60,200.0","61,000.0","61,200.0","59,500.0","1.22M","0.84%"
"17/04/2020","59,700.0","59,800.0","60,500.0","59,400.0","1.19M","1.19%"
"16/04/2020","59,000.0","58,800.0","59,500.0","57,500.0","621.76K","-0.34%"
"15/04/2020","59,200.0","57,800.0","59,400.0","57,800.0","797.85K","2.96%"
"14/04/2020","57,500.0","58,400.0","58,400.0","56,500.0","740.38K","-0.17%"
"13/04/2020","57,600.0","57,600.0","59,400.0","56,700.0","820.65K","0.00%"
"10/04/2020","57,600.0","58,000.0","58,800.0","56,100.0","847.96K","-0.69%"
"09/04/2020","58,000.0","56,200.0","59,900.0","56,200.0","1.08M","3.20%"
"08/04/2020","56,200.0","54,300.0","56,500.0","54,300.0","833.93K","-1.40%"
"07/04/2020","57,000.0","56,000.0","57,300.0","55,000.0","1.21M","2.70%"
"06/04/2020","55,500.0","54,600.0","55,500.0","53,100.0","1.28M","6.94%"
"03/04/2020","51,900.0","49,500.0","52,000.0","49,200.0","873.07K","6.79%"
"01/04/2020","48,600.0","45,100.0","49,100.0","45,100.0","545.62K","3.62%"
"31/03/2020","46,900.0","48,300.0","49,800.0","45,000.0","595.87K","-2.90%"
"30/03/2020","48,300.0","48,300.0","50,000.0","48,300.0","1.03M","-6.94%"
"27/03/2020","51,900.0","54,100.0","54,500.0","51,100.0","936.12K","-3.53%"
"26/03/2020","53,800.0","55,000.0","56,400.0","53,800.0","1.10M","-2.00%"
"25/03/2020","54,900.0","53,900.0","54,900.0","53,000.0","1.19M","6.81%"
"24/03/2020","51,400.0","51,500.0","52,500.0","50,300.0","824.75K","0.39%"
"23/03/2020","51,200.0","53,000.0","53,000.0","51,200.0","931.29K","-6.91%"
"20/03/2020","55,000.0","54,000.0","55,100.0","53,400.0","808.07K","1.10%"
"19/03/2020","54,400.0","56,500.0","56,500.0","54,000.0","467.22K","-5.23%"
"18/03/2020","57,400.0","57,000.0","58,500.0","57,000.0","777.38K","0.70%"
"17/03/2020","57,000.0","53,300.0","57,000.0","53,300.0","1.24M","-0.52%"
"16/03/2020","57,300.0","60,500.0","60,500.0","57,300.0","903.30K","-6.98%"
