"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/04/2020","7,000","7,000","7,000","7,000","0.20K","0.00%"
"23/04/2020","7,000","7,000","7,000","7,000","0.10K","40.00%"
"11/03/2020","5,000","5,000","5,000","5,000","0.10K","-41.86%"
"09/01/2020","8,600","7,800","8,600","7,500","14.50K","14.67%"
"30/12/2019","7,500","7,500","7,500","7,500","-","0.00%"
"27/12/2019","7,500","7,500","7,500","7,500","0.10K","-6.25%"
"17/12/2019","8,000","8,000","8,000","8,000","-","0.00%"
"16/12/2019","8,000","8,000","8,000","8,000","0.10K","6.67%"
"28/11/2019","7,500","7,500","7,500","7,500","1.00K","-5.06%"
"07/11/2019","7,900","7,900","7,900","7,900","0.10K","14.49%"
"06/11/2019","6,900","6,900","6,900","6,900","0.10K","15.00%"
"05/11/2019","6,000","6,000","6,000","6,000","2.50K","-11.76%"
"04/11/2019","6,800","6,800","6,800","6,800","2.00K","-15.00%"
"01/11/2019","8,000","8,000","8,000","8,000","0.80K","-13.98%"
"04/10/2019","9,300","9,300","9,300","9,300","0.10K","2.20%"
"30/09/2019","9,100","9,100","9,100","9,100","0.10K","1.11%"
"11/07/2019","9,000","9,000","9,000","9,000","0.50K","1.12%"
"26/06/2019","8,900","8,900","8,900","8,900","0.70K","8.54%"
"21/06/2019","8,200","8,200","8,200","8,200","4.30K","0.00%"
"24/05/2019","8,200","8,200","8,200","8,200","0.10K","0.00%"
"23/05/2019","8,200","8,200","8,200","8,200","0.10K","13.89%"
"22/05/2019","7,200","7,200","7,200","7,200","0.10K","14.29%"
"21/05/2019","6,300","6,300","6,300","6,300","0.10K","14.55%"
"03/05/2019","5,500","5,500","5,500","5,500","0.11K","-12.70%"
"09/04/2019","6,300","6,300","6,300","6,300","0.10K","-12.50%"
"02/04/2019","7,200","7,200","7,200","7,200","0.10K","14.29%"
"22/03/2019","6,300","6,300","6,300","6,300","0.10K","14.55%"
"20/03/2019","5,500","5,500","5,500","5,500","0.11K","-8.33%"
"19/03/2019","6,000","6,000","6,000","6,000","0.10K","-14.29%"
"15/03/2019","7,000","7,000","7,000","7,000","4.10K","11.11%"
"14/03/2019","6,300","6,300","6,300","6,300","0.30K","5.00%"
"04/03/2019","6,000","6,000","6,000","6,000","2.00K","0.00%"
"28/02/2019","6,000","6,100","6,100","6,000","4.00K","9.09%"
"27/02/2019","5,500","5,500","5,500","5,500","1.00K","0.00%"
"19/02/2019","5,500","5,500","5,500","5,500","1.00K","0.00%"
"13/02/2019","5,500","5,500","5,500","5,500","1.00K","0.00%"
"31/01/2019","5,500","5,500","5,500","5,500","0.10K","0.00%"
"25/01/2019","5,500","5,500","5,500","5,500","0.10K","-12.70%"
"14/01/2019","6,300","6,000","6,300","6,000","15.10K","3.28%"
"04/12/2018","6,100","6,100","6,100","6,100","3.80K","1.67%"
"23/11/2018","6,000","6,000","6,000","6,000","3.00K","-1.64%"
"16/11/2018","6,100","6,100","6,100","6,100","2.00K","-3.17%"
"13/11/2018","6,300","6,300","6,300","6,300","3.00K","3.28%"
"12/11/2018","6,100","6,100","6,100","6,100","2.00K","1.67%"
"09/11/2018","6,000","6,000","6,000","6,000","0.10K","3.45%"
