"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/11/2019","9,500.0","9,500.0","9,500.0","9,500.0","0.10K","-9.52%"
"26/06/2019","10,500.0","10,500.0","10,500.0","10,500.0","5.00K","5.00%"
"25/06/2019","10,000.0","10,000.0","10,000.0","10,000.0","-","0.00%"
"20/05/2019","10,000.0","10,000.0","10,000.0","10,000.0","-","-13.79%"
"11/04/2019","11,600.0","11,600.0","11,600.0","11,600.0","0.20K","-9.38%"
"30/01/2019","12,800.0","12,800.0","12,800.0","12,800.0","0.10K","9.40%"
"03/12/2018","11,700.0","11,700.0","11,700.0","11,700.0","7.50K","-10.00%"
"20/08/2018","13,000.0","13,000.0","13,000.0","13,000.0","4.00K","-1.52%"
"03/08/2018","13,200.0","13,200.0","13,200.0","13,200.0","4.90K","3.13%"
"27/07/2018","12,800.0","12,800.0","12,800.0","12,800.0","0.20K","0.00%"
"26/07/2018","12,800.0","12,800.0","12,800.0","12,800.0","27.00K","9.40%"
"24/07/2018","11,700.0","13,000.0","13,000.0","11,700.0","4.10K","-10.00%"
"23/07/2018","13,000.0","13,000.0","13,000.0","13,000.0","1.00K","-9.72%"
"10/07/2018","14,400.0","14,400.0","14,400.0","14,400.0","1.10K","-9.43%"
"05/07/2018","15,900.0","15,900.0","15,900.0","15,900.0","0.10K","-9.66%"
"29/05/2018","17,600.0","17,600.0","17,600.0","17,600.0","0.80K","0.00%"
"25/05/2018","17,600.0","17,400.0","17,600.0","17,400.0","30.90K","10.00%"
"24/05/2018","16,000.0","16,000.0","16,000.0","16,000.0","0.10K","0.63%"
"23/05/2018","15,900.0","15,900.0","15,900.0","15,900.0","0.10K","1.92%"
"21/05/2018","15,600.0","15,600.0","15,600.0","15,600.0","0.10K","9.86%"
"17/05/2018","14,200.0","14,200.0","14,200.0","14,200.0","0.10K","1.43%"
"16/05/2018","14,000.0","14,500.0","14,500.0","14,000.0","0.20K","-6.67%"
"14/05/2018","15,000.0","15,000.0","15,000.0","15,000.0","0.20K","-6.25%"
"19/04/2018","16,000.0","16,000.0","16,000.0","16,000.0","0.10K","0.00%"
"04/04/2018","16,000.0","16,000.0","16,000.0","16,000.0","1.00K","-2.70%"
"07/03/2018","16,444.0","16,444.0","16,444.0","16,444.0","0.50K","-2.63%"
"05/03/2018","16,889.0","16,889.0","16,889.0","16,889.0","0.20K","-7.32%"
"02/03/2018","18,222.0","18,222.0","18,222.0","18,222.0","0.20K","9.63%"
"26/02/2018","16,622.0","16,622.0","16,622.0","16,622.0","0.10K","10.00%"
"16/01/2018","15,111.0","15,111.0","15,111.0","15,111.0","0.20K","0.00%"
"30/11/2017","15,111.0","15,111.0","15,111.0","15,111.0","1.60K","0.00%"
"16/11/2017","15,111.0","15,111.0","15,111.0","15,111.0","0.10K","9.67%"
"01/11/2017","13,778.0","13,778.0","13,778.0","13,778.0","3.00K","-9.88%"
"05/10/2017","15,289.0","15,289.0","15,289.0","15,289.0","0.10K","-3.37%"
"04/10/2017","15,822.0","15,822.0","15,822.0","15,822.0","1.10K","0.00%"
"27/09/2017","15,822.0","15,822.0","15,822.0","15,822.0","0.10K","-1.11%"
"21/09/2017","16,000.0","16,000.0","16,000.0","16,000.0","0.70K","-4.76%"
"15/06/2017","16,800.0","16,800.0","16,800.0","16,800.0","0.10K","4.42%"
"05/04/2017","16,089.0","16,089.0","16,089.0","16,089.0","0.20K","0.00%"
"20/03/2017","16,089.0","16,089.0","16,089.0","16,089.0","0.20K","-9.46%"
"13/03/2017","17,770.0","17,770.0","17,770.0","17,770.0","0.30K","-9.39%"
"09/03/2017","19,611.0","19,611.0","19,611.0","19,611.0","0.30K","9.87%"
"08/03/2017","17,850.0","17,850.0","17,850.0","17,850.0","0.10K","-9.72%"
"03/03/2017","19,771.0","19,771.0","19,771.0","19,771.0","0.10K","9.78%"
"02/03/2017","18,010.0","18,010.0","18,010.0","18,010.0","0.20K","9.76%"
"01/03/2017","16,409.0","16,409.0","16,409.0","16,409.0","0.30K","9.63%"
"28/02/2017","14,968.0","14,968.0","14,968.0","14,968.0","0.20K","9.99%"
"27/02/2017","13,608.0","13,608.0","13,608.0","13,608.0","0.10K","9.68%"
"24/02/2017","12,407.0","12,407.0","12,407.0","12,407.0","0.10K","9.93%"
"23/02/2017","11,286.0","11,286.0","11,286.0","11,286.0","0.10K","9.30%"
"22/02/2017","10,326.0","10,326.0","10,326.0","10,326.0","0.10K","9.33%"
"20/02/2017","9,445.0","9,445.0","9,445.0","9,445.0","0.10K","9.25%"
"22/11/2016","8,645.0","8,645.0","8,645.0","8,645.0","0.50K","-8.47%"
"14/11/2016","9,445.0","9,445.0","9,445.0","9,445.0","28.20K","-9.93%"
"11/11/2016","10,486.0","9,445.0","10,486.0","9,445.0","32.00K","0.00%"
"07/11/2016","10,486.0","10,486.0","10,486.0","10,486.0","2.00K","0.00%"
"11/10/2016","10,486.0","10,486.0","10,486.0","10,486.0","-","0.00%"
"29/09/2016","10,486.0","10,486.0","10,486.0","10,486.0","0.80K","-9.65%"
"20/09/2016","11,606.0","11,606.0","11,606.0","11,606.0","0.10K","-7.89%"
"05/09/2016","12,600.0","12,600.0","12,600.0","12,600.0","-","12.44%"
"29/08/2016","11,206.0","11,206.0","11,206.0","11,206.0","8.50K","0.00%"
"26/08/2016","11,206.0","11,366.0","11,366.0","11,206.0","132.10K","0.00%"
"25/08/2016","11,206.0","11,206.0","11,206.0","11,206.0","39.90K","0.00%"
"12/07/2016","11,206.0","11,206.0","11,206.0","11,206.0","5.00K","5.26%"
"07/07/2016","10,646.0","10,646.0","10,646.0","10,646.0","2.80K","9.92%"
"30/06/2016","9,685.0","9,685.0","9,685.0","9,685.0","0.10K","9.99%"
"24/06/2016","8,805.0","8,805.0","8,805.0","8,805.0","0.10K","10.01%"
"22/06/2016","8,004.0","8,004.0","8,004.0","8,004.0","0.50K","-9.92%"
"07/06/2016","8,885.0","8,885.0","8,885.0","8,885.0","0.50K","-6.72%"
"21/04/2016","9,525.0","9,525.0","9,525.0","9,525.0","3.00K","1.71%"
"20/04/2016","9,365.0","9,365.0","9,365.0","9,365.0","0.50K","-10.00%"
"11/04/2016","10,406.0","10,406.0","10,406.0","10,406.0","1.00K","-2.25%"
"31/03/2016","10,646.0","10,646.0","10,646.0","10,646.0","0.10K","9.92%"
"29/03/2016","9,685.0","9,685.0","9,685.0","9,685.0","0.10K","-10.32%"
"23/03/2016","10,800.0","10,800.0","10,800.0","10,800.0","-","12.44%"
"07/03/2016","9,605.0","9,605.0","9,605.0","9,605.0","0.50K","-4.01%"
"03/03/2016","10,006.0","10,006.0","10,006.0","10,006.0","2.00K","-8.08%"
"01/02/2016","10,886.0","10,886.0","10,886.0","10,886.0","0.10K","-0.66%"
"26/01/2016","10,958.0","10,958.0","10,958.0","10,958.0","5.00K","0.00%"
"25/01/2016","10,958.0","10,958.0","10,958.0","10,958.0","5.00K","-8.99%"
"08/01/2016","12,040.0","9,877.0","12,040.0","9,877.0","0.20K","9.87%"
"07/01/2016","10,958.0","10,958.0","10,958.0","10,958.0","10.00K","-13.03%"
"29/12/2015","12,600.0","12,600.0","12,600.0","12,600.0","-","0.00%"
"17/12/2015","12,600.0","12,600.0","12,600.0","12,600.0","-","0.00%"
"14/12/2015","12,600.0","12,600.0","12,600.0","12,600.0","-","25.74%"
"23/11/2015","10,021.0","9,949.0","10,021.0","9,949.0","3.80K","0.72%"
"17/11/2015","9,949.0","9,877.0","9,949.0","9,877.0","4.20K","0.73%"
"16/11/2015","9,877.0","9,805.0","9,877.0","9,805.0","3.40K","1.48%"
"13/11/2015","9,733.0","9,733.0","9,733.0","9,733.0","3.70K","1.51%"
"06/11/2015","9,588.0","9,588.0","9,588.0","9,588.0","0.10K","-0.75%"
"04/11/2015","9,660.0","9,660.0","9,660.0","9,660.0","1.00K","9.84%"
"02/11/2015","8,795.0","8,795.0","8,795.0","8,795.0","0.10K","6.08%"
"23/10/2015","8,291.0","8,363.0","8,363.0","8,291.0","0.20K","0.00%"
"22/10/2015","8,291.0","8,291.0","8,291.0","8,291.0","0.10K","-6.50%"
"19/10/2015","8,867.0","8,867.0","8,867.0","8,867.0","0.10K","-8.21%"
"14/10/2015","9,660.0","9,588.0","9,660.0","9,588.0","8.90K","-2.90%"
"23/09/2015","9,949.0","9,949.0","9,949.0","9,588.0","6.71K","-0.72%"
"22/09/2015","10,021.0","10,021.0","10,021.0","10,021.0","2.00K","0.00%"
"21/09/2015","10,021.0","10,021.0","10,021.0","10,021.0","2.00K","1.46%"
"18/09/2015","9,877.0","9,949.0","9,949.0","9,877.0","6.30K","0.00%"
"17/09/2015","9,877.0","9,877.0","9,877.0","9,877.0","2.04K","1.48%"
"16/09/2015","9,733.0","9,733.0","9,733.0","9,733.0","2.00K","-0.73%"
"15/09/2015","9,805.0","9,805.0","9,805.0","9,805.0","2.00K","3.82%"
"14/09/2015","9,444.0","9,444.0","9,444.0","9,444.0","2.00K","0.77%"
"11/09/2015","9,372.0","9,444.0","9,516.0","9,372.0","5.70K","3.17%"
"10/09/2015","9,084.0","9,084.0","9,084.0","9,084.0","2.00K","-3.07%"
"09/09/2015","9,372.0","8,651.0","9,372.0","8,651.0","3.10K","0.00%"
"25/08/2015","9,372.0","9,372.0","9,372.0","9,372.0","2.10K","9.24%"
"12/08/2015","8,579.0","8,579.0","8,579.0","8,579.0","0.10K","9.18%"
"24/07/2015","7,858.0","7,858.0","7,858.0","7,858.0","0.10K","-9.17%"
