"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","23,500","24,000","25,900","23,500","1.80K","-6.37%"
"29/04/2020","25,100","25,700","25,700","25,100","0.24K","3.29%"
"28/04/2020","24,300","23,300","25,600","23,000","13.26K","8.00%"
"27/04/2020","22,500","23,300","23,300","20,000","1.06K","0.00%"
"24/04/2020","22,500","20,200","23,200","20,200","12.30K","2.27%"
"23/04/2020","22,000","22,500","22,500","19,500","1.46K","0.00%"
"22/04/2020","22,000","17,500","22,000","17,500","1.58K","7.32%"
"21/04/2020","20,500","20,000","20,700","20,000","16.10K","-14.58%"
"20/04/2020","24,000","24,000","25,500","21,500","3.41K","4.35%"
"17/04/2020","23,000","22,500","23,000","22,500","10.64K","12.75%"
"16/04/2020","20,400","17,600","20,400","17,600","10.10K","13.33%"
"15/04/2020","18,000","17,000","18,000","17,000","5.90K","0.00%"
"14/04/2020","18,000","17,900","18,000","17,900","4.50K","0.56%"
"13/04/2020","17,900","17,900","17,900","17,900","1.00K","0.00%"
"10/04/2020","17,900","17,800","17,900","17,800","0.60K","-0.56%"
"09/04/2020","18,000","16,300","18,000","16,000","5.90K","10.43%"
"08/04/2020","16,300","16,300","16,300","16,300","0.50K","1.24%"
"07/04/2020","16,100","16,500","16,500","16,100","0.84K","-2.42%"
"06/04/2020","16,500","16,500","16,500","16,500","0.63K","0.00%"
"03/04/2020","16,500","16,500","16,500","16,500","1.20K","0.00%"
"01/04/2020","16,500","16,500","16,500","16,500","0.40K","6.45%"
"31/03/2020","15,500","15,500","15,500","15,500","0.60K","-3.13%"
"30/03/2020","16,000","15,000","16,000","15,000","5.10K","0.00%"
"26/03/2020","16,000","16,500","16,500","16,000","0.20K","-5.88%"
"25/03/2020","17,000","17,000","17,000","17,000","0.10K","5.59%"
"24/03/2020","16,100","17,000","17,000","16,100","0.60K","-0.62%"
"23/03/2020","16,200","16,000","16,200","16,000","0.30K","-5.81%"
"20/03/2020","17,200","16,000","17,200","16,000","0.60K","14.67%"
"19/03/2020","15,000","17,000","19,500","15,000","34.30K","-9.64%"
"18/03/2020","16,600","17,000","17,500","16,600","2.11K","-2.35%"
