"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","5,500","5,500","5,500","5,500","7.10K","0.00%"
"29/04/2020","5,500","5,500","5,500","5,500","8.70K","0.00%"
"27/04/2020","5,500","5,500","5,600","5,500","5.30K","-1.79%"
"24/04/2020","5,600","5,500","5,600","5,500","1.30K","1.82%"
"21/04/2020","5,500","5,500","5,500","5,500","3.00K","0.00%"
"20/04/2020","5,500","5,500","5,500","5,500","2.60K","1.85%"
"17/04/2020","5,400","5,200","5,400","5,200","6.60K","-1.82%"
"15/04/2020","5,500","5,500","5,600","5,500","16.90K","-3.51%"
"14/04/2020","5,700","5,700","5,700","5,700","0.50K","0.00%"
"13/04/2020","5,700","5,800","5,800","5,700","1.40K","5.56%"
"10/04/2020","5,400","5,400","5,400","5,400","4.30K","1.89%"
"09/04/2020","5,300","5,500","5,500","5,300","3.70K","-3.64%"
"07/04/2020","5,500","5,600","5,600","5,500","0.70K","0.00%"
"06/04/2020","5,500","5,100","5,500","5,100","3.70K","5.77%"
"03/04/2020","5,200","5,200","5,200","5,200","12.10K","0.00%"
"01/04/2020","5,200","5,200","5,200","5,200","2.00K","-3.70%"
"31/03/2020","5,400","5,500","5,500","5,400","2.40K","-1.82%"
"30/03/2020","5,500","5,600","5,600","5,500","1.00K","-5.17%"
"27/03/2020","5,800","5,700","5,800","5,700","0.70K","-1.69%"
"25/03/2020","5,900","5,700","5,900","5,700","1.20K","7.27%"
"24/03/2020","5,500","5,500","5,500","5,500","2.40K","-5.17%"
"23/03/2020","5,800","6,000","6,000","5,800","0.20K","-3.33%"
"20/03/2020","6,000","5,800","6,000","5,800","2.10K","0.00%"
"18/03/2020","6,000","6,000","6,000","6,000","0.20K","0.00%"
"05/03/2020","6,000","6,000","6,000","6,000","17.80K","7.14%"
"04/03/2020","5,600","5,600","5,600","5,600","0.51K","-6.67%"
"03/03/2020","6,000","6,000","6,000","6,000","0.80K","-3.23%"
"02/03/2020","6,200","6,200","6,200","6,200","3.00K","0.00%"
"28/02/2020","6,200","6,000","6,200","6,000","4.80K","-4.62%"
"27/02/2020","6,500","6,500","6,500","6,500","1.00K","1.56%"
"24/02/2020","6,400","6,400","6,400","6,400","-","0.00%"
"21/02/2020","6,400","6,400","6,400","6,400","0.50K","1.59%"
"20/02/2020","6,300","6,300","6,300","6,300","3.70K","-4.55%"
"18/02/2020","6,600","6,600","6,600","6,600","0.10K","3.13%"
"14/02/2020","6,400","6,400","6,400","6,400","1.00K","0.00%"
"12/02/2020","6,400","6,300","6,400","6,300","1.10K","0.00%"
"10/02/2020","6,400","6,400","6,400","6,300","3.10K","-1.54%"
"07/02/2020","6,500","6,500","6,500","6,500","0.10K","0.00%"
"06/02/2020","6,500","6,200","6,500","6,200","2.30K","1.56%"
"05/02/2020","6,400","6,400","6,400","6,400","2.00K","3.23%"
"31/01/2020","6,200","6,200","6,200","6,200","0.20K","-3.13%"
"30/01/2020","6,400","6,400","6,400","6,400","1.50K","-3.03%"
"22/01/2020","6,600","6,600","6,600","6,600","0.10K","1.54%"
"21/01/2020","6,500","6,500","6,500","6,500","0.20K","1.56%"
"16/01/2020","6,400","6,400","6,400","6,400","0.10K","0.00%"
"15/01/2020","6,400","6,400","6,400","6,400","6.70K","0.00%"
"14/01/2020","6,400","6,400","6,400","6,400","9.20K","0.00%"
"13/01/2020","6,400","6,400","6,400","6,400","3.90K","0.00%"
"10/01/2020","6,400","6,400","6,400","6,400","13.80K","0.00%"
"09/01/2020","6,400","6,500","6,500","6,400","3.50K","0.00%"
"08/01/2020","6,400","6,300","6,400","6,300","17.70K","1.59%"
"07/01/2020","6,300","6,400","6,500","6,300","10.40K","0.00%"
"06/01/2020","6,300","6,300","6,300","6,300","3.00K","1.61%"
"03/01/2020","6,200","6,300","6,300","5,900","5.90K","0.00%"
"02/01/2020","6,200","6,200","6,200","6,100","4.30K","1.64%"
"31/12/2019","6,100","6,100","6,100","6,100","2.00K","0.00%"
"30/12/2019","6,100","6,100","6,100","6,100","2.50K","0.00%"
"27/12/2019","6,100","6,200","6,200","6,100","10.80K","0.00%"
"24/12/2019","6,100","6,000","6,100","6,000","5.01K","1.67%"
"23/12/2019","6,000","6,000","6,000","6,000","6.50K","0.00%"
"20/12/2019","6,000","5,900","6,000","5,900","7.30K","1.69%"
"19/12/2019","5,900","5,900","5,900","5,900","2.20K","0.00%"
"16/12/2019","5,900","5,900","5,900","5,900","1.30K","1.72%"
"13/12/2019","5,800","5,900","5,900","5,800","2.90K","0.00%"
"12/12/2019","5,800","5,800","5,900","5,800","17.40K","0.00%"
"11/12/2019","5,800","5,800","5,800","5,800","1.80K","0.00%"
"10/12/2019","5,800","5,900","5,900","5,500","5.70K","0.00%"
"05/12/2019","5,800","5,800","5,800","5,800","5.50K","-1.69%"
"04/12/2019","5,900","5,900","5,900","5,900","0.10K","1.72%"
"03/12/2019","5,800","5,800","5,800","5,800","0.30K","3.57%"
"02/12/2019","5,600","5,700","5,700","5,600","2.40K","-5.08%"
"29/11/2019","5,900","5,900","5,900","5,900","1.50K","-3.28%"
"28/11/2019","6,100","6,100","6,100","6,100","0.10K","3.39%"
"27/11/2019","5,900","5,900","5,900","5,800","4.90K","0.00%"
"26/11/2019","5,900","5,900","5,900","5,900","3.60K","-1.67%"
"22/11/2019","6,000","6,000","6,000","6,000","0.60K","-3.23%"
"21/11/2019","6,200","6,100","6,200","6,100","7.00K","3.33%"
"20/11/2019","6,000","6,000","6,000","6,000","4.00K","0.00%"
"19/11/2019","6,000","6,000","6,000","6,000","1.00K","3.45%"
"18/11/2019","5,800","5,900","5,900","5,800","8.40K","-4.92%"
"15/11/2019","6,100","6,100","6,100","6,000","6.10K","7.02%"
"14/11/2019","5,700","5,900","6,000","5,700","10.30K","-1.72%"
"13/11/2019","5,800","5,800","5,800","5,800","2.50K","0.00%"
"12/11/2019","5,800","5,800","5,900","5,600","20.30K","0.00%"
"11/11/2019","5,800","5,800","5,800","5,800","1.10K","1.75%"
"08/11/2019","5,700","5,600","5,900","5,600","11.13K","0.00%"
"07/11/2019","5,700","5,700","5,800","5,600","8.70K","0.00%"
"06/11/2019","5,700","5,700","5,700","5,700","0.30K","-5.00%"
"05/11/2019","6,000","6,000","6,000","6,000","10.70K","0.00%"
"04/11/2019","6,000","5,700","6,000","5,700","35.00K","3.45%"
"01/11/2019","5,800","5,700","5,800","5,700","8.30K","0.00%"
"31/10/2019","5,800","6,000","6,100","5,800","1.10K","-3.33%"
"30/10/2019","6,000","6,000","6,000","6,000","0.50K","3.45%"
"29/10/2019","5,800","5,700","5,800","5,700","1.80K","1.75%"
"28/10/2019","5,700","5,700","5,700","5,700","0.10K","-3.39%"
"24/10/2019","5,900","5,900","5,900","5,900","0.21K","1.72%"
"23/10/2019","5,800","5,800","5,800","5,800","5.00K","0.00%"
"22/10/2019","5,800","6,000","6,000","5,700","9.10K","-1.69%"
"21/10/2019","5,900","6,000","6,000","5,900","6.50K","1.72%"
"18/10/2019","5,800","5,800","5,900","5,800","9.40K","-3.33%"
"17/10/2019","6,000","6,000","6,000","6,000","0.40K","1.69%"
"16/10/2019","5,900","6,000","6,000","5,900","11.20K","-3.28%"
"15/10/2019","6,100","6,100","6,100","6,100","0.10K","3.39%"
"14/10/2019","5,900","6,000","6,000","5,900","8.50K","-1.67%"
"11/10/2019","6,000","6,200","6,200","6,000","10.20K","0.00%"
"09/10/2019","6,000","6,200","6,200","6,000","2.50K","-4.76%"
"08/10/2019","6,300","6,200","6,300","6,200","6.10K","5.00%"
"04/10/2019","6,000","6,200","6,300","6,000","10.60K","0.00%"
"03/10/2019","6,000","6,000","6,000","6,000","2.40K","-1.64%"
"02/10/2019","6,100","6,000","6,100","6,000","3.50K","-1.61%"
"01/10/2019","6,200","6,400","6,400","6,000","14.90K","1.64%"
"30/09/2019","6,100","6,000","6,300","6,000","12.50K","1.67%"
"27/09/2019","6,000","6,800","6,800","6,000","44.40K","-11.76%"
"26/09/2019","6,800","6,800","6,800","6,800","5.01K","0.00%"
"25/09/2019","6,800","7,000","7,000","6,700","3.50K","-4.23%"
"24/09/2019","7,100","7,100","7,100","7,100","2.10K","0.00%"
"23/09/2019","7,100","7,100","7,100","7,000","8.30K","-2.74%"
"20/09/2019","7,300","7,200","7,300","7,000","5.30K","1.39%"
"19/09/2019","7,200","7,000","7,200","7,000","14.50K","1.41%"
"18/09/2019","7,100","7,200","7,300","7,100","4.70K","1.43%"
"17/09/2019","7,000","7,200","7,200","7,000","2.10K","-4.11%"
"16/09/2019","7,300","7,000","7,400","7,000","8.60K","4.29%"
"13/09/2019","7,000","7,400","7,400","6,900","14.10K","-2.78%"
"12/09/2019","7,200","7,000","7,300","6,900","7.60K","0.00%"
"11/09/2019","7,200","7,000","7,200","6,900","5.50K","0.00%"
"10/09/2019","7,200","7,400","7,400","7,200","1.40K","0.00%"
"09/09/2019","7,200","7,700","7,800","7,200","5.30K","2.86%"
"06/09/2019","7,000","7,200","7,400","7,000","10.40K","-1.41%"
"05/09/2019","7,100","7,600","7,600","7,100","10.20K","-2.74%"
"04/09/2019","7,300","7,500","7,500","7,000","14.50K","-5.19%"
"03/09/2019","7,700","8,000","8,000","7,500","10.80K","-2.53%"
"30/08/2019","7,900","8,000","8,100","7,800","20.10K","-4.82%"
"29/08/2019","8,300","8,600","8,700","8,000","12.50K","-3.49%"
"28/08/2019","8,600","7,900","8,700","7,900","96.45K","10.26%"
"27/08/2019","7,800","7,500","8,000","7,200","50.00K","4.00%"
"26/08/2019","7,500","7,200","7,500","7,000","12.80K","1.35%"
"23/08/2019","7,400","7,100","7,400","7,100","19.80K","1.37%"
"22/08/2019","7,300","7,400","7,500","7,200","23.50K","0.00%"
"21/08/2019","7,300","6,700","7,700","6,700","40.10K","4.29%"
"20/08/2019","7,000","6,700","7,000","6,600","93.63K","6.06%"
"19/08/2019","6,600","7,000","7,000","6,600","3.75K","-5.71%"
"16/08/2019","7,000","6,800","7,000","6,800","6.60K","-2.78%"
"15/08/2019","7,200","7,200","7,300","6,500","19.30K","5.88%"
"14/08/2019","6,800","8,000","8,000","6,800","57.40K","-15.00%"
"13/08/2019","8,000","7,700","8,300","7,400","34.80K","3.90%"
"12/08/2019","7,700","8,000","8,800","7,500","98.30K","0.00%"
"09/08/2019","7,700","7,300","7,700","7,200","165.79K","20.31%"
"08/08/2019","6,400","6,000","6,900","6,000","59.31K","6.67%"
"02/08/2019","6,000","6,000","6,000","6,000","7.50K","0.00%"
"30/07/2019","6,000","6,000","6,100","5,900","44.30K","0.00%"
"29/07/2019","6,000","6,000","6,000","6,000","9.00K","0.00%"
"26/07/2019","6,000","6,000","6,000","6,000","0.10K","1.69%"
"25/07/2019","5,900","5,900","5,900","5,900","3.00K","0.00%"
"24/07/2019","5,900","5,800","5,900","5,800","6.80K","-1.67%"
"22/07/2019","6,000","5,900","6,000","5,800","4.20K","3.45%"
"18/07/2019","5,800","5,800","5,800","5,800","1.80K","-4.92%"
"17/07/2019","6,100","6,100","6,100","6,100","0.20K","1.67%"
"16/07/2019","6,000","6,000","6,000","6,000","3.00K","0.00%"
"15/07/2019","6,000","6,000","6,000","6,000","3.90K","-1.64%"
"11/07/2019","6,100","6,100","6,100","6,100","1.30K","0.00%"
"10/07/2019","6,100","6,100","6,100","6,100","0.10K","1.67%"
"03/07/2019","6,000","6,000","6,000","5,700","10.60K","0.00%"
"02/07/2019","6,000","6,100","6,100","6,000","0.50K","-4.76%"
"01/07/2019","6,300","6,000","6,300","6,000","0.20K","-1.56%"
"28/06/2019","6,400","5,900","6,400","5,900","3.50K","0.00%"
"26/06/2019","6,400","6,400","6,400","6,400","0.12K","6.67%"
"25/06/2019","6,000","6,000","6,000","6,000","4.80K","0.00%"
"21/06/2019","6,000","6,000","6,100","6,000","4.00K","-1.64%"
"18/06/2019","6,100","6,100","6,100","6,100","1.70K","0.00%"
"17/06/2019","6,100","6,100","6,100","6,100","6.80K","0.00%"
"14/06/2019","6,100","6,100","6,100","6,100","43.50K","0.00%"
"13/06/2019","6,100","6,100","6,100","6,100","4.70K","0.00%"
"12/06/2019","6,100","6,100","6,100","6,100","5.00K","0.00%"
"11/06/2019","6,100","6,100","6,100","6,100","4.00K","-3.17%"
"06/06/2019","6,300","6,300","6,300","6,300","0.10K","-1.56%"
"05/06/2019","6,400","6,000","6,400","6,000","2.70K","3.23%"
"04/06/2019","6,200","6,200","6,200","6,200","0.10K","1.64%"
"03/06/2019","6,100","6,400","6,400","6,100","3.50K","-3.17%"
"31/05/2019","6,300","6,200","6,300","6,200","0.30K","1.61%"
"30/05/2019","6,200","6,200","6,200","6,200","0.10K","1.64%"
"28/05/2019","6,100","5,900","6,100","5,900","4.07K","-1.61%"
"27/05/2019","6,200","6,200","6,200","6,200","15.00K","0.00%"
"24/05/2019","6,200","6,200","6,200","6,200","38.00K","0.00%"
"23/05/2019","6,200","6,200","6,200","6,200","0.10K","1.64%"
"22/05/2019","6,100","6,000","6,100","6,000","3.10K","0.00%"
"20/05/2019","6,100","6,100","6,100","6,100","0.20K","0.00%"
"17/05/2019","6,100","6,100","6,100","5,800","4.10K","0.00%"
"13/05/2019","6,100","6,100","6,100","6,100","1.00K","0.00%"
"07/05/2019","6,100","6,100","6,100","6,100","0.10K","3.39%"
"03/05/2019","5,900","5,900","5,900","5,900","1.80K","-4.84%"
"26/04/2019","6,200","6,200","6,200","6,200","2.00K","0.00%"
"25/04/2019","6,200","6,200","6,200","6,200","5.00K","0.00%"
"22/04/2019","6,200","6,200","6,200","6,200","0.10K","0.00%"
"17/04/2019","6,200","6,200","6,200","6,200","45.57K","0.00%"
"16/04/2019","6,200","6,100","6,200","6,100","56.01K","1.64%"
"12/04/2019","6,100","6,100","6,100","6,100","1.00K","1.67%"
"11/04/2019","6,000","6,000","6,000","6,000","4.70K","1.69%"
"10/04/2019","5,900","5,900","5,900","5,900","0.10K","-1.67%"
"08/04/2019","6,000","5,900","6,000","5,600","2.60K","-3.23%"
"05/04/2019","6,200","6,200","6,200","6,200","15.00K","0.00%"
"04/04/2019","6,200","6,000","6,200","6,000","8.30K","0.00%"
"01/04/2019","6,200","6,200","6,200","6,200","0.10K","0.00%"
"29/03/2019","6,200","5,900","6,200","5,900","1.60K","0.00%"
"26/03/2019","6,200","6,200","6,200","6,200","0.10K","5.08%"
"22/03/2019","5,900","5,900","5,900","5,900","0.10K","-3.28%"
"20/03/2019","6,100","6,100","6,100","6,100","14.00K","0.00%"
"19/03/2019","6,100","6,100","6,100","6,100","117.30K","0.00%"
"18/03/2019","6,100","6,100","6,100","6,100","12.10K","-1.61%"
"15/03/2019","6,200","6,200","6,200","6,200","0.60K","0.00%"
"14/03/2019","6,200","6,200","6,200","6,200","7.60K","0.00%"
"13/03/2019","6,200","6,200","6,200","6,200","13.40K","0.00%"
"08/03/2019","6,200","6,200","6,200","6,200","40.00K","0.00%"
"06/03/2019","6,200","6,200","6,200","6,200","79.80K","0.00%"
"05/03/2019","6,200","6,300","6,300","6,000","126.10K","0.00%"
"04/03/2019","6,200","6,200","6,200","6,200","170.00K","-3.13%"
"01/03/2019","6,400","6,300","6,400","6,300","51.50K","3.23%"
"26/02/2019","6,200","6,200","6,200","6,200","2.40K","-4.62%"
"25/02/2019","6,500","6,500","6,500","6,500","5.50K","4.84%"
"21/02/2019","6,200","6,200","6,200","6,200","0.50K","1.64%"
"14/02/2019","6,100","6,000","6,100","6,000","2.60K","3.39%"
"12/02/2019","5,900","5,900","5,900","5,900","1.00K","1.72%"
"11/02/2019","5,800","5,800","5,800","5,800","0.20K","1.75%"
"30/01/2019","5,700","5,700","5,700","5,700","4.00K","5.56%"
"28/01/2019","5,400","5,400","5,400","5,400","0.30K","1.89%"
"23/01/2019","5,300","5,300","5,300","5,300","0.50K","-7.02%"
"21/01/2019","5,700","5,700","5,700","5,700","5.00K","14.00%"
"18/01/2019","5,000","5,500","5,500","5,000","2.40K","-12.28%"
"14/01/2019","5,700","5,700","5,700","5,700","0.50K","0.00%"
"07/01/2019","5,700","5,700","5,700","5,700","2.40K","-6.56%"
"24/12/2018","6,100","6,100","6,100","6,100","3.00K","1.67%"
"21/12/2018","6,000","6,000","6,000","6,000","0.20K","5.26%"
"17/12/2018","5,700","5,900","5,900","5,700","0.40K","-6.56%"
"13/12/2018","6,100","6,100","6,100","6,100","0.10K","1.67%"
"04/12/2018","6,000","6,000","6,000","6,000","9.00K","0.00%"
"29/11/2018","6,000","6,000","6,000","6,000","0.80K","0.00%"
"28/11/2018","6,000","6,000","6,000","6,000","2.40K","0.00%"
"27/11/2018","6,000","6,000","6,000","6,000","0.10K","0.00%"
"23/11/2018","6,000","6,000","6,000","6,000","10.20K","-1.64%"
"21/11/2018","6,100","6,200","6,200","6,100","13.10K","-1.61%"
"20/11/2018","6,200","6,200","6,200","6,200","7.00K","0.00%"
"14/11/2018","6,200","6,200","6,200","6,200","1.00K","0.00%"
"13/11/2018","6,200","6,200","6,200","6,200","0.80K","0.00%"
"31/10/2018","6,200","6,200","6,200","6,200","0.10K","5.08%"
"30/10/2018","5,900","5,900","5,900","5,900","0.10K","-1.67%"
"19/10/2018","6,000","6,300","6,300","6,000","4.70K","-4.76%"
"18/10/2018","6,300","6,300","6,300","6,300","3.00K","0.00%"
"16/10/2018","6,300","6,300","6,300","6,300","2.40K","-3.08%"
"15/10/2018","6,500","6,500","6,500","6,500","2.10K","0.00%"
"12/10/2018","6,500","6,500","6,500","6,500","2.00K","0.00%"
"11/10/2018","6,500","6,500","6,500","6,500","0.50K","-2.99%"
"10/10/2018","6,700","6,800","6,800","6,700","10.50K","0.00%"
"09/10/2018","6,700","6,500","6,900","6,500","11.80K","0.00%"
"08/10/2018","6,700","6,700","7,000","6,700","47.80K","0.00%"
"05/10/2018","6,700","6,500","6,700","6,500","1.70K","11.67%"
"04/10/2018","6,000","6,000","6,200","6,000","5.20K","-3.23%"
"03/10/2018","6,200","6,200","6,200","6,200","0.20K","1.64%"
"01/10/2018","6,100","6,100","6,100","6,100","1.00K","0.00%"
"28/09/2018","6,100","6,100","6,100","5,700","5.20K","1.67%"
"27/09/2018","6,000","6,000","6,000","6,000","2.00K","0.00%"
"26/09/2018","6,000","6,000","6,000","6,000","2.00K","0.00%"
"24/09/2018","6,000","5,600","6,000","5,600","1.30K","7.14%"
"21/09/2018","5,600","5,600","5,600","5,600","2.40K","-5.08%"
"19/09/2018","5,900","5,800","5,900","5,800","10.20K","13.46%"
"17/09/2018","5,200","5,500","5,500","5,200","3.30K","-5.45%"
"13/09/2018","5,500","5,500","5,500","5,500","2.30K","0.00%"
"11/09/2018","5,500","5,500","5,500","5,500","0.20K","-5.17%"
"10/09/2018","5,800","5,100","5,800","5,100","3.30K","5.45%"
"06/09/2018","5,500","5,600","5,600","5,500","2.20K","-3.51%"
"05/09/2018","5,700","5,700","5,700","5,600","5.50K","1.79%"
"04/09/2018","5,600","5,900","6,000","5,600","6.50K","-8.20%"
"29/08/2018","6,100","6,100","6,100","6,100","1.40K","10.75%"
"27/08/2018","5,508","5,692","5,692","5,508","4.80K","0.00%"
"20/08/2018","5,508","5,508","5,692","5,508","0.40K","5.26%"
"17/08/2018","5,233","5,233","5,233","5,233","2.40K","-3.38%"
"10/08/2018","5,416","5,416","5,416","5,416","2.40K","-6.36%"
"08/08/2018","5,784","5,325","5,784","5,325","6.10K","10.53%"
"07/08/2018","5,233","5,049","5,325","5,049","2.60K","-1.73%"
"06/08/2018","5,325","5,141","5,325","5,141","4.20K","3.58%"
"01/08/2018","5,141","5,141","5,141","5,141","0.10K","1.82%"
"31/07/2018","5,049","5,049","5,049","5,049","2.40K","-8.33%"
"27/07/2018","5,508","4,590","5,508","4,590","2.90K","9.09%"
"26/07/2018","5,049","5,049","5,049","5,049","2.40K","-8.33%"
"25/07/2018","5,508","5,049","5,508","4,682","2.90K","-1.64%"
"24/07/2018","5,600","5,508","5,600","5,508","2.90K","1.67%"
"20/07/2018","5,508","5,508","5,508","5,508","0.10K","13.19%"
"19/07/2018","4,866","4,774","4,866","4,774","0.30K","-3.62%"
"18/07/2018","5,049","4,590","5,049","4,590","3.40K","0.00%"
