"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","18,800.0","18,800.0","18,800.0","18,800.0","0.50K","-1.05%"
"28/04/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.10K","1.06%"
"27/04/2020","18,800.0","17,200.0","18,800.0","17,200.0","0.20K","9.30%"
"23/04/2020","17,200.0","17,200.0","17,200.0","17,200.0","0.50K","-8.99%"
"22/04/2020","18,900.0","18,900.0","18,900.0","18,900.0","0.26K","-9.57%"
"20/04/2020","20,900.0","20,900.0","20,900.0","20,900.0","0.10K","9.42%"
"17/04/2020","19,100.0","16,500.0","19,100.0","15,800.0","3.32K","9.14%"
"15/04/2020","17,500.0","17,500.0","17,500.0","17,500.0","0.13K","-7.89%"
"13/04/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.50K","-5.00%"
"08/04/2020","20,000.0","20,000.0","20,000.0","20,000.0","2.01K","0.00%"
"06/04/2020","20,000.0","20,000.0","21,800.0","20,000.0","3.40K","0.00%"
"03/04/2020","20,000.0","20,000.0","20,000.0","20,000.0","2.65K","-2.44%"
"01/04/2020","20,500.0","20,500.0","20,500.0","20,500.0","0.51K","0.00%"
"31/03/2020","20,500.0","18,000.0","20,500.0","18,000.0","38.30K","7.89%"
"30/03/2020","19,000.0","18,000.0","19,000.0","16,700.0","10.71K","4.40%"
"27/03/2020","18,200.0","16,600.0","18,200.0","16,600.0","65.70K","9.64%"
"26/03/2020","16,600.0","15,200.0","16,600.0","15,200.0","531.03K","9.93%"
"25/03/2020","15,100.0","15,100.0","15,100.0","15,000.0","3.90K","0.00%"
"23/03/2020","15,100.0","15,100.0","15,100.0","15,100.0","3.80K","0.67%"
"20/03/2020","15,000.0","15,000.0","15,000.0","15,000.0","4.60K","0.00%"
"19/03/2020","15,000.0","15,000.0","15,000.0","15,000.0","3.62K","0.00%"
"18/03/2020","15,000.0","15,000.0","15,000.0","15,000.0","69.01K","0.00%"
"17/03/2020","15,000.0","15,000.0","15,000.0","15,000.0","0.90K","0.00%"
"16/03/2020","15,000.0","15,000.0","15,000.0","15,000.0","7.12K","0.00%"
"13/03/2020","15,000.0","15,000.0","15,500.0","15,000.0","2.30K","0.00%"
"12/03/2020","15,000.0","15,000.0","15,000.0","15,000.0","8.20K","0.00%"
"11/03/2020","15,000.0","15,100.0","15,100.0","15,000.0","3.40K","0.00%"
"09/03/2020","15,000.0","16,000.0","16,600.0","15,000.0","35.40K","-0.66%"
"06/03/2020","15,100.0","15,100.0","15,100.0","15,100.0","0.30K","-5.63%"
"05/03/2020","16,000.0","16,000.0","16,000.0","16,000.0","7.10K","1.27%"
"04/03/2020","15,800.0","15,800.0","15,800.0","15,800.0","2.30K","-1.25%"
"03/03/2020","16,000.0","16,000.0","16,000.0","16,000.0","0.10K","1.27%"
"02/03/2020","15,800.0","15,800.0","15,800.0","15,800.0","0.50K","1.94%"
"28/02/2020","15,500.0","15,500.0","15,500.0","15,000.0","4.50K","0.00%"
"27/02/2020","15,500.0","15,500.0","15,500.0","15,500.0","2.12K","-5.49%"
"21/02/2020","16,400.0","15,000.0","16,400.0","15,000.0","3.48K","-0.61%"
"20/02/2020","16,500.0","15,000.0","16,500.0","15,000.0","305.10K","10.00%"
"18/02/2020","15,000.0","15,000.0","15,000.0","15,000.0","6.40K","0.00%"
"17/02/2020","15,000.0","15,000.0","15,000.0","15,000.0","0.10K","0.00%"
"13/02/2020","15,000.0","15,000.0","15,000.0","15,000.0","0.90K","0.00%"
"07/02/2020","15,000.0","15,000.0","15,000.0","15,000.0","1.00K","0.00%"
"06/02/2020","15,000.0","15,000.0","15,000.0","15,000.0","0.70K","0.00%"
"03/02/2020","15,000.0","15,000.0","15,000.0","15,000.0","1.10K","0.00%"
"30/01/2020","15,000.0","15,000.0","15,000.0","15,000.0","0.22K","-0.66%"
"15/01/2020","15,100.0","15,100.0","15,100.0","15,100.0","2.20K","0.00%"
"10/01/2020","15,100.0","15,100.0","15,500.0","15,100.0","10.43K","0.00%"
"09/01/2020","15,100.0","15,100.0","15,100.0","15,100.0","2.10K","0.00%"
"08/01/2020","15,100.0","15,100.0","15,100.0","15,100.0","6.10K","0.67%"
"06/01/2020","15,000.0","15,000.0","15,000.0","15,000.0","0.10K","-6.25%"
"03/01/2020","16,000.0","17,800.0","17,800.0","16,000.0","3.20K","-9.60%"
"02/01/2020","17,700.0","18,000.0","18,000.0","17,700.0","1.45K","-9.23%"
"31/12/2019","19,500.0","19,500.0","19,500.0","19,500.0","36.45K","4.28%"
"30/12/2019","18,700.0","18,500.0","18,700.0","18,000.0","165.90K","1.08%"
