"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","13,800.0","14,000.0","14,000.0","13,500.0","38.10K","-0.72%"
"04/05/2020","13,900.0","14,500.0","14,500.0","13,600.0","94.85K","-0.71%"
"29/04/2020","14,000.0","13,200.0","14,100.0","13,000.0","216.90K","8.53%"
"28/04/2020","12,900.0","13,100.0","13,300.0","12,700.0","238.60K","-3.01%"
"27/04/2020","13,300.0","14,100.0","14,100.0","13,100.0","319.11K","-5.67%"
"24/04/2020","14,100.0","15,000.0","15,000.0","14,100.0","171.93K","-4.73%"
"23/04/2020","14,800.0","15,000.0","15,500.0","14,400.0","228.52K","-1.33%"
"22/04/2020","15,000.0","15,000.0","15,300.0","14,300.0","203.45K","-1.96%"
"21/04/2020","15,300.0","16,100.0","16,100.0","13,900.0","892.10K","4.08%"
"20/04/2020","14,700.0","13,400.0","14,700.0","13,400.0","825.60K","9.70%"
"17/04/2020","13,400.0","12,300.0","13,400.0","12,300.0","89.03K","9.84%"
"16/04/2020","12,200.0","12,200.0","12,500.0","12,000.0","178.90K","-2.40%"
"15/04/2020","12,500.0","12,300.0","12,700.0","11,900.0","234.60K","-0.79%"
"14/04/2020","12,600.0","12,600.0","12,800.0","12,000.0","333.05K","0.00%"
"13/04/2020","12,600.0","11,600.0","12,600.0","11,500.0","233.17K","9.57%"
"10/04/2020","11,500.0","10,900.0","11,500.0","10,800.0","251.01K","2.68%"
"09/04/2020","11,200.0","10,200.0","11,200.0","10,100.0","412.10K","9.80%"
"08/04/2020","10,200.0","10,000.0","10,300.0","9,500.0","177.60K","0.99%"
"07/04/2020","10,100.0","10,200.0","10,300.0","9,500.0","304.53K","5.21%"
"06/04/2020","9,600.0","9,300.0","9,600.0","9,000.0","285.70K","9.09%"
"03/04/2020","8,800.0","8,600.0","8,800.0","8,400.0","147.00K","10.00%"
"01/04/2020","8,000.0","6,900.0","8,200.0","6,900.0","142.40K","5.26%"
"31/03/2020","7,600.0","8,400.0","8,600.0","7,600.0","519.00K","-9.52%"
"30/03/2020","8,400.0","9,000.0","9,000.0","8,400.0","149.80K","-9.68%"
"27/03/2020","9,300.0","9,500.0","9,700.0","9,100.0","62.70K","1.09%"
"26/03/2020","9,200.0","9,600.0","9,700.0","9,200.0","50.00K","-4.17%"
"25/03/2020","9,600.0","9,900.0","9,900.0","9,300.0","168.60K","3.23%"
"24/03/2020","9,300.0","9,300.0","9,800.0","9,200.0","55.45K","-5.10%"
"23/03/2020","9,800.0","10,800.0","10,800.0","9,800.0","134.50K","-9.26%"
"20/03/2020","10,800.0","10,600.0","10,900.0","10,400.0","124.20K","1.89%"
"19/03/2020","10,600.0","10,500.0","10,600.0","10,200.0","57.10K","-0.93%"
"18/03/2020","10,700.0","10,600.0","11,000.0","10,500.0","122.24K","0.94%"
"17/03/2020","10,600.0","10,000.0","10,600.0","10,000.0","52.90K","0.00%"
"16/03/2020","10,600.0","10,400.0","10,600.0","10,400.0","32.20K","1.92%"
"13/03/2020","10,400.0","10,600.0","10,900.0","10,300.0","332.60K","-8.77%"
"12/03/2020","11,400.0","12,200.0","12,200.0","11,400.0","109.50K","-9.52%"
"11/03/2020","12,600.0","13,000.0","13,000.0","12,300.0","105.70K","-3.08%"
"10/03/2020","13,000.0","12,600.0","13,100.0","12,500.0","141.35K","-5.11%"
"09/03/2020","13,700.0","14,500.0","14,800.0","13,700.0","80.50K","-9.87%"
"06/03/2020","15,200.0","15,100.0","15,200.0","15,000.0","5.40K","0.66%"
"05/03/2020","15,100.0","15,700.0","15,700.0","15,100.0","29.04K","-0.66%"
"04/03/2020","15,200.0","15,300.0","15,300.0","15,100.0","12.60K","-0.65%"
"03/03/2020","15,300.0","15,500.0","15,800.0","15,200.0","17.50K","0.66%"
"02/03/2020","15,200.0","15,100.0","15,600.0","15,000.0","14.20K","0.66%"
"28/02/2020","15,100.0","15,000.0","15,100.0","14,800.0","76.24K","0.67%"
"27/02/2020","15,000.0","15,600.0","15,800.0","14,700.0","52.81K","0.00%"
"26/02/2020","15,000.0","15,200.0","15,200.0","14,900.0","12.40K","-1.32%"
"25/02/2020","15,200.0","15,200.0","16,000.0","14,900.0","109.26K","0.00%"
"24/02/2020","15,200.0","15,600.0","15,600.0","15,100.0","118.90K","-3.18%"
"21/02/2020","15,700.0","16,000.0","16,000.0","15,700.0","27.30K","-0.63%"
"20/02/2020","15,800.0","15,900.0","16,200.0","15,800.0","46.80K","-0.63%"
