"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","9,340.0","9,650.0","9,650.0","9,260.0","1.86M","1.19%"
"04/05/2020","9,230.0","9,700.0","9,700.0","9,200.0","4.86M","0.87%"
"29/04/2020","9,150.0","8,900.0","9,230.0","8,900.0","2.95M","4.45%"
"28/04/2020","8,760.0","8,800.0","8,900.0","8,550.0","5.53M","-2.88%"
"27/04/2020","9,020.0","9,390.0","9,450.0","9,000.0","6.19M","-3.94%"
"24/04/2020","9,390.0","9,670.0","9,690.0","9,290.0","4.04M","-2.09%"
"23/04/2020","9,590.0","9,600.0","9,700.0","9,400.0","4.50M","2.13%"
"22/04/2020","9,390.0","9,040.0","9,520.0","9,040.0","7.48M","-3.40%"
"21/04/2020","9,720.0","9,720.0","10,300.0","9,720.0","10.49M","-6.99%"
"20/04/2020","10,450.0","9,850.0","10,450.0","9,700.0","12.18M","6.63%"
"17/04/2020","9,800.0","9,860.0","9,860.0","9,680.0","8.51M","2.08%"
"16/04/2020","9,600.0","9,350.0","9,790.0","9,160.0","5.46M","1.37%"
"15/04/2020","9,470.0","9,360.0","9,700.0","9,350.0","5.23M","-2.37%"
"14/04/2020","9,700.0","9,900.0","9,910.0","9,310.0","5.25M","-2.02%"
"13/04/2020","9,900.0","9,700.0","9,970.0","9,550.0","7.21M","6.11%"
"10/04/2020","9,330.0","9,300.0","9,430.0","9,000.0","7.28M","-2.51%"
"09/04/2020","9,570.0","9,300.0","9,770.0","9,250.0","8.97M","4.70%"
"08/04/2020","9,140.0","8,500.0","9,190.0","8,400.0","5.86M","6.03%"
"07/04/2020","8,620.0","8,620.0","8,620.0","8,250.0","14.12M","6.95%"
"06/04/2020","8,060.0","8,060.0","8,060.0","8,060.0","1.34M","6.90%"
"03/04/2020","7,540.0","7,540.0","7,540.0","7,540.0","1.18M","6.95%"
"01/04/2020","7,050.0","6,750.0","7,200.0","6,750.0","3.63M","4.44%"
"31/03/2020","6,750.0","7,300.0","7,400.0","6,720.0","7.21M","-6.51%"
"30/03/2020","7,220.0","7,240.0","7,250.0","7,220.0","2.81M","-6.96%"
"27/03/2020","7,760.0","8,150.0","8,150.0","7,700.0","3.50M","-4.79%"
"26/03/2020","8,150.0","8,300.0","8,460.0","8,150.0","2.80M","-3.66%"
"25/03/2020","8,460.0","8,600.0","8,730.0","8,340.0","3.70M","3.42%"
"24/03/2020","8,180.0","8,160.0","8,390.0","8,000.0","4.38M","0.25%"
"23/03/2020","8,160.0","8,180.0","8,500.0","8,160.0","7.46M","-6.96%"
"20/03/2020","8,770.0","8,500.0","8,770.0","8,410.0","3.79M","6.95%"
"19/03/2020","8,200.0","8,500.0","8,660.0","8,130.0","6.03M","-5.75%"
"18/03/2020","8,700.0","9,300.0","9,350.0","8,700.0","5.53M","-6.45%"
"17/03/2020","9,300.0","8,720.0","9,300.0","8,720.0","3.46M","0.87%"
"16/03/2020","9,220.0","9,200.0","9,500.0","8,900.0","4.04M","-0.86%"
"13/03/2020","9,300.0","8,700.0","9,300.0","8,700.0","5.89M","-0.53%"
"12/03/2020","9,350.0","9,500.0","9,800.0","9,350.0","5.18M","-6.97%"
"11/03/2020","10,050.0","11,100.0","11,100.0","10,050.0","8.16M","-6.94%"
"10/03/2020","10,800.0","10,650.0","11,050.0","10,650.0","7.71M","-5.26%"
"09/03/2020","11,400.0","11,400.0","11,400.0","11,400.0","977.95K","-6.94%"
"06/03/2020","12,250.0","12,250.0","12,400.0","12,100.0","1.78M","-1.21%"
"05/03/2020","12,400.0","12,700.0","12,850.0","12,400.0","3.05M","-1.20%"
"04/03/2020","12,550.0","12,000.0","12,700.0","12,000.0","4.79M","3.72%"
"03/03/2020","12,100.0","12,350.0","12,350.0","12,000.0","2.10M","2.11%"
"02/03/2020","11,850.0","11,900.0","12,000.0","11,750.0","3.06M","0.85%"
"28/02/2020","11,750.0","12,000.0","12,150.0","11,650.0","4.90M","-5.24%"
"27/02/2020","12,400.0","12,250.0","12,400.0","12,150.0","1.45M","1.64%"
"26/02/2020","12,200.0","12,200.0","12,500.0","12,150.0","1.99M","-2.79%"
"25/02/2020","12,550.0","12,100.0","12,650.0","12,100.0","2.79M","2.03%"
"24/02/2020","12,300.0","12,600.0","12,700.0","12,300.0","6.76M","-6.82%"
"21/02/2020","13,200.0","13,450.0","13,500.0","13,200.0","2.97M","-1.12%"
"20/02/2020","13,350.0","13,600.0","13,650.0","13,300.0","3.49M","0.38%"
"19/02/2020","13,300.0","13,350.0","13,450.0","13,250.0","1.98M","-0.37%"
"18/02/2020","13,350.0","13,500.0","13,550.0","13,350.0","1.79M","-0.74%"
"17/02/2020","13,450.0","13,350.0","13,600.0","13,350.0","2.73M","0.75%"
"14/02/2020","13,350.0","13,400.0","13,550.0","13,250.0","2.60M","-1.11%"
"13/02/2020","13,500.0","13,600.0","13,700.0","13,450.0","2.12M","-0.37%"
"12/02/2020","13,550.0","13,350.0","13,700.0","13,350.0","3.21M","1.50%"
"11/02/2020","13,350.0","13,050.0","13,500.0","13,000.0","3.43M","2.69%"
"10/02/2020","13,000.0","12,900.0","13,350.0","12,800.0","2.61M","-1.89%"
"07/02/2020","13,250.0","13,400.0","13,550.0","13,250.0","3.20M","-0.75%"
"06/02/2020","13,350.0","12,650.0","13,350.0","12,650.0","4.84M","6.80%"
"05/02/2020","12,500.0","12,350.0","12,850.0","12,150.0","4.84M","2.46%"
"04/02/2020","12,200.0","12,700.0","12,750.0","12,150.0","3.09M","-2.40%"
"03/02/2020","12,500.0","12,400.0","12,750.0","12,400.0","6.49M","-6.02%"
"31/01/2020","13,300.0","14,200.0","14,300.0","13,300.0","4.47M","-6.67%"
"30/01/2020","14,250.0","14,550.0","14,550.0","14,100.0","4.05M","-4.68%"
"22/01/2020","14,950.0","14,800.0","15,100.0","14,750.0","2.44M","1.01%"
"21/01/2020","14,800.0","14,600.0","15,000.0","14,400.0","2.65M","2.07%"
"20/01/2020","14,500.0","14,700.0","14,700.0","14,400.0","1.88M","-1.02%"
"17/01/2020","14,650.0","14,800.0","14,850.0","14,650.0","1.37M","-0.34%"
"16/01/2020","14,700.0","14,550.0","14,950.0","14,400.0","3.92M","0.68%"
"15/01/2020","14,600.0","14,900.0","14,900.0","14,550.0","1.38M","-0.68%"
"14/01/2020","14,700.0","14,900.0","14,900.0","14,600.0","3.11M","-1.67%"
"13/01/2020","14,950.0","15,050.0","15,050.0","14,900.0","2.76M","-1.32%"
"10/01/2020","15,150.0","15,250.0","15,300.0","14,950.0","2.24M","-0.33%"
"09/01/2020","15,200.0","15,250.0","15,400.0","15,150.0","3.15M","-2.88%"
"08/01/2020","15,650.0","16,000.0","16,200.0","15,600.0","4.32M","0.00%"
"07/01/2020","15,650.0","15,700.0","15,800.0","15,550.0","1.70M","-1.26%"
"06/01/2020","15,850.0","15,750.0","16,000.0","15,650.0","6.01M","4.28%"
"03/01/2020","15,200.0","15,300.0","15,600.0","15,200.0","4.78M","1.00%"
"02/01/2020","15,050.0","15,050.0","15,100.0","14,950.0","1.18M","0.00%"
"31/12/2019","15,050.0","15,200.0","15,250.0","15,000.0","1.23M","-0.99%"
"30/12/2019","15,200.0","15,100.0","15,400.0","15,000.0","2.70M","1.33%"
"27/12/2019","15,000.0","14,950.0","15,050.0","14,900.0","1.07M","0.67%"
"26/12/2019","14,900.0","14,950.0","15,150.0","14,850.0","1.53M","0.34%"
"25/12/2019","14,850.0","14,900.0","15,050.0","14,850.0","863.39K","-0.34%"
"24/12/2019","14,900.0","14,800.0","14,900.0","14,750.0","1.10M","0.00%"
"23/12/2019","14,900.0","15,200.0","15,200.0","14,800.0","2.04M","-1.65%"
"20/12/2019","15,150.0","15,300.0","15,450.0","15,100.0","1.29M","-0.33%"
"19/12/2019","15,200.0","15,200.0","15,450.0","15,100.0","1.36M","0.33%"
"18/12/2019","15,150.0","14,950.0","15,450.0","14,850.0","2.72M","1.68%"
"17/12/2019","14,900.0","15,100.0","15,150.0","14,850.0","1.73M","-1.00%"
"16/12/2019","15,050.0","14,850.0","15,250.0","14,800.0","2.24M","1.35%"
"13/12/2019","14,850.0","14,800.0","14,900.0","14,700.0","1.74M","1.37%"
"12/12/2019","14,650.0","14,450.0","14,900.0","14,300.0","2.03M","1.38%"
"11/12/2019","14,450.0","14,700.0","14,700.0","14,100.0","2.59M","-1.37%"
"10/12/2019","14,650.0","14,850.0","14,900.0","14,500.0","2.26M","-1.68%"
"09/12/2019","14,900.0","15,000.0","15,200.0","14,850.0","1.38M","-0.67%"
"06/12/2019","15,000.0","15,150.0","15,200.0","14,950.0","682.63K","0.00%"
"05/12/2019","15,000.0","15,400.0","15,600.0","15,000.0","1.79M","-1.32%"
"04/12/2019","15,200.0","14,850.0","15,200.0","14,700.0","1.80M","2.36%"
"03/12/2019","14,850.0","14,900.0","15,200.0","14,700.0","1.93M","-1.33%"
"02/12/2019","15,050.0","15,500.0","15,500.0","14,850.0","1.86M","-2.59%"
"29/11/2019","15,450.0","15,400.0","15,700.0","15,400.0","1.05M","0.00%"
"28/11/2019","15,450.0","15,400.0","15,500.0","15,300.0","1.31M","-0.32%"
"27/11/2019","15,500.0","15,600.0","15,650.0","15,500.0","1.12M","0.00%"
"26/11/2019","15,500.0","15,650.0","15,650.0","15,450.0","1.76M","0.00%"
"25/11/2019","15,500.0","15,650.0","15,850.0","15,500.0","1.26M","-0.96%"
"22/11/2019","15,650.0","16,050.0","16,250.0","15,300.0","3.31M","-2.49%"
"21/11/2019","16,050.0","16,150.0","16,300.0","16,050.0","1.73M","-0.62%"
"20/11/2019","16,150.0","16,350.0","16,400.0","16,150.0","1.42M","-1.52%"
"19/11/2019","16,400.0","16,450.0","16,600.0","16,400.0","639.80K","-0.30%"
"18/11/2019","16,450.0","16,700.0","16,750.0","16,400.0","1.12M","0.30%"
"15/11/2019","16,400.0","16,350.0","16,550.0","16,300.0","1.05M","0.61%"
"14/11/2019","16,300.0","16,500.0","16,500.0","16,250.0","1.43M","0.31%"
"13/11/2019","16,250.0","16,600.0","16,650.0","16,250.0","2.36M","-2.11%"
"12/11/2019","16,600.0","16,500.0","16,650.0","16,450.0","749.90K","0.61%"
"11/11/2019","16,500.0","16,600.0","16,700.0","16,450.0","1.03M","-0.60%"
"08/11/2019","16,600.0","16,950.0","16,950.0","16,600.0","1.68M","-0.90%"
"07/11/2019","16,750.0","16,750.0","16,900.0","16,650.0","1.29M","-0.30%"
"06/11/2019","16,800.0","17,000.0","17,000.0","16,800.0","1.26M","-0.88%"
"05/11/2019","16,950.0","16,500.0","17,050.0","16,350.0","3.89M","3.67%"
"04/11/2019","16,350.0","16,600.0","16,700.0","16,300.0","2.05M","-0.30%"
"01/11/2019","16,400.0","16,300.0","16,500.0","16,200.0","1.44M","0.00%"
"31/10/2019","16,400.0","16,650.0","16,700.0","16,250.0","1.24M","-0.91%"
"30/10/2019","16,550.0","16,350.0","16,700.0","16,150.0","2.06M","1.22%"
"29/10/2019","16,350.0","16,350.0","16,400.0","16,200.0","919.29K","-0.30%"
"28/10/2019","16,400.0","16,400.0","16,500.0","16,300.0","1.10M","0.00%"
"25/10/2019","16,400.0","16,400.0","16,500.0","16,250.0","1.17M","1.23%"
"24/10/2019","16,200.0","16,100.0","16,300.0","16,100.0","1.15M","1.89%"
"23/10/2019","15,900.0","16,300.0","16,350.0","15,900.0","2.55M","-2.45%"
"22/10/2019","16,300.0","16,400.0","16,500.0","15,900.0","2.41M","-0.31%"
"21/10/2019","16,350.0","16,650.0","16,650.0","16,350.0","1.16M","-1.21%"
"18/10/2019","16,550.0","16,650.0","16,750.0","16,550.0","701.65K","-0.60%"
"17/10/2019","16,650.0","16,750.0","16,800.0","16,650.0","559.69K","-0.60%"
"16/10/2019","16,750.0","16,700.0","16,900.0","16,650.0","708.91K","0.30%"
"15/10/2019","16,700.0","16,750.0","16,900.0","16,650.0","957.86K","-0.30%"
"14/10/2019","16,750.0","17,200.0","17,250.0","16,750.0","1.60M","-1.76%"
"11/10/2019","17,050.0","17,100.0","17,150.0","16,700.0","1.86M","0.89%"
"10/10/2019","16,900.0","16,950.0","17,200.0","16,850.0","1.28M","0.60%"
"09/10/2019","16,800.0","16,550.0","16,800.0","16,550.0","1.20M","1.20%"
"08/10/2019","16,600.0","16,800.0","16,950.0","16,350.0","2.75M","-1.19%"
"07/10/2019","16,800.0","17,050.0","17,150.0","16,800.0","1.44M","-1.18%"
"04/10/2019","17,000.0","17,500.0","17,500.0","16,950.0","3.18M","-2.86%"
"03/10/2019","17,500.0","17,100.0","17,600.0","17,050.0","2.15M","0.57%"
"02/10/2019","17,400.0","17,800.0","17,800.0","17,400.0","2.44M","-2.25%"
"01/10/2019","17,800.0","18,300.0","18,350.0","17,700.0","4.41M","-1.93%"
"30/09/2019","18,150.0","18,500.0","18,600.0","18,150.0","2.99M","-0.27%"
"27/09/2019","18,200.0","17,800.0","18,200.0","17,800.0","1.91M","2.25%"
"26/09/2019","17,800.0","18,000.0","18,050.0","17,750.0","1.34M","-1.11%"
"25/09/2019","18,000.0","17,750.0","18,100.0","17,600.0","1.12M","1.41%"
"24/09/2019","17,750.0","18,150.0","18,200.0","17,700.0","2.46M","-1.93%"
"23/09/2019","18,100.0","18,300.0","18,400.0","18,100.0","1.79M","-0.55%"
"20/09/2019","18,200.0","18,250.0","18,450.0","18,100.0","2.27M","0.55%"
"19/09/2019","18,100.0","18,100.0","18,300.0","18,100.0","1.43M","-0.82%"
"18/09/2019","18,250.0","18,300.0","18,450.0","18,250.0","1.67M","-1.35%"
"17/09/2019","18,500.0","18,250.0","18,700.0","18,150.0","4.68M","2.49%"
"16/09/2019","18,050.0","18,400.0","18,400.0","18,050.0","3.86M","2.56%"
"13/09/2019","17,600.0","17,600.0","17,800.0","17,500.0","1.47M","-0.56%"
"12/09/2019","17,700.0","17,500.0","17,800.0","17,250.0","1.33M","2.61%"
"11/09/2019","17,250.0","17,100.0","17,350.0","17,050.0","1.31M","0.88%"
"10/09/2019","17,100.0","17,900.0","18,000.0","17,000.0","4.08M","-3.93%"
"09/09/2019","17,800.0","17,850.0","18,250.0","17,750.0","2.96M","-0.28%"
"06/09/2019","17,850.0","17,850.0","18,000.0","17,750.0","591.24K","0.00%"
"05/09/2019","17,850.0","18,200.0","18,200.0","17,700.0","1.57M","-0.56%"
"04/09/2019","17,950.0","17,600.0","18,200.0","17,400.0","2.49M","1.41%"
"03/09/2019","17,700.0","18,650.0","18,650.0","17,700.0","2.74M","-5.09%"
"30/08/2019","18,650.0","18,600.0","18,950.0","18,450.0","3.14M","0.54%"
"29/08/2019","18,550.0","18,700.0","18,800.0","18,500.0","3.19M","0.27%"
"28/08/2019","18,500.0","18,600.0","18,800.0","18,350.0","3.85M","0.54%"
"27/08/2019","18,400.0","18,100.0","18,850.0","17,950.0","5.86M","2.51%"
"26/08/2019","17,950.0","17,700.0","17,950.0","17,600.0","4.24M","-0.83%"
"23/08/2019","18,100.0","17,700.0","18,300.0","17,700.0","3.04M","1.12%"
"22/08/2019","17,900.0","18,300.0","18,350.0","17,800.0","6.37M","2.58%"
"21/08/2019","17,450.0","16,700.0","17,450.0","16,700.0","6.99M","6.73%"
"20/08/2019","16,350.0","16,000.0","16,400.0","16,000.0","2.00M","2.19%"
"19/08/2019","16,000.0","16,250.0","16,300.0","16,000.0","1.11M","-0.31%"
"16/08/2019","16,050.0","15,700.0","16,200.0","15,500.0","2.60M","2.56%"
"15/08/2019","15,650.0","15,250.0","15,650.0","15,250.0","1.12M","-0.32%"
"14/08/2019","15,700.0","16,150.0","16,200.0","15,700.0","882.91K","-0.32%"
"13/08/2019","15,750.0","15,900.0","15,950.0","15,750.0","1.49M","-2.17%"
"12/08/2019","16,100.0","16,150.0","16,250.0","16,000.0","1.33M","0.00%"
