"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/10/2019","2,600.0","2,500.0","2,600.0","2,400.0","93.51K","4.00%"
"27/09/2019","2,500.0","2,500.0","2,600.0","2,500.0","84.80K","0.00%"
"20/09/2019","2,500.0","2,600.0","2,700.0","2,500.0","2.39K","-7.41%"
"13/09/2019","2,700.0","2,600.0","2,700.0","2,600.0","26.60K","-3.57%"
"06/09/2019","2,800.0","2,700.0","2,800.0","2,700.0","7.88K","0.00%"
"30/08/2019","2,800.0","2,800.0","2,800.0","2,700.0","53.21K","0.00%"
"23/08/2019","2,800.0","2,900.0","2,900.0","2,800.0","83.13K","3.70%"
"16/08/2019","2,700.0","2,500.0","2,700.0","2,500.0","78.01K","8.00%"
"09/08/2019","2,500.0","2,500.0","2,600.0","2,500.0","94.90K","0.00%"
"02/08/2019","2,500.0","2,300.0","2,500.0","2,300.0","19.40K","4.17%"
"26/07/2019","2,400.0","2,300.0","2,400.0","2,300.0","43.90K","4.35%"
"19/07/2019","2,300.0","2,500.0","2,500.0","2,300.0","67.80K","-4.17%"
"12/07/2019","2,400.0","2,400.0","2,400.0","2,300.0","8.78K","-4.00%"
"05/07/2019","2,500.0","2,600.0","2,600.0","2,400.0","71.50K","-3.85%"
"28/06/2019","2,600.0","2,700.0","2,800.0","2,500.0","19.80K","0.00%"
"21/06/2019","2,600.0","2,600.0","2,600.0","2,600.0","23.61K","0.00%"
"14/06/2019","2,600.0","2,700.0","2,800.0","2,600.0","85.90K","-7.14%"
"07/06/2019","2,800.0","3,000.0","3,000.0","2,700.0","126.30K","-6.67%"
"31/05/2019","3,000.0","3,200.0","3,200.0","3,000.0","19.58K","0.00%"
"24/05/2019","3,000.0","3,300.0","3,300.0","3,000.0","107.10K","-9.09%"
"17/05/2019","3,300.0","3,700.0","3,800.0","3,300.0","53.20K","-5.71%"
"10/05/2019","3,500.0","3,700.0","3,700.0","3,500.0","31.00K","-5.41%"
"03/05/2019","3,700.0","3,900.0","4,000.0","3,700.0","12.52K","-5.13%"
"26/04/2019","3,900.0","4,000.0","4,000.0","3,800.0","27.00K","-4.88%"
"19/04/2019","4,100.0","4,100.0","4,100.0","3,900.0","41.70K","-2.38%"
"12/04/2019","4,200.0","3,900.0","4,200.0","3,900.0","17.50K","2.44%"
"05/04/2019","4,100.0","4,000.0","4,100.0","4,000.0","63.30K","5.13%"
"29/03/2019","3,900.0","3,700.0","3,900.0","3,700.0","4.88K","-2.50%"
"22/03/2019","4,000.0","3,800.0","4,100.0","3,800.0","6.37K","0.00%"
"15/03/2019","4,000.0","3,700.0","4,000.0","3,700.0","73.40K","8.11%"
"08/03/2019","3,700.0","3,600.0","3,800.0","3,600.0","97.00K","0.00%"
"01/03/2019","3,700.0","3,800.0","3,900.0","3,700.0","9.82K","-7.50%"
