"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","11,800","11,800","11,800","11,800","0.10K","2.61%"
"28/04/2020","11,500","11,500","11,500","11,500","1.00K","-6.50%"
"19/03/2020","12,300","12,300","12,300","12,300","0.10K","0.00%"
"18/03/2020","12,300","11,000","12,300","11,000","0.30K","-0.81%"
"12/03/2020","12,400","12,400","12,400","12,400","0.30K","12.73%"
"11/03/2020","11,000","11,000","11,000","11,000","0.30K","-8.33%"
"10/03/2020","12,000","13,000","13,000","12,000","0.30K","-9.09%"
"04/03/2020","13,200","13,200","13,200","13,200","0.10K","-0.75%"
"03/03/2020","13,300","13,300","13,300","13,300","0.20K","-0.75%"
"26/02/2020","13,400","13,400","13,400","13,400","0.20K","0.00%"
"25/02/2020","13,400","11,000","13,400","11,000","1.50K","8.94%"
"21/02/2020","12,300","12,300","12,300","12,300","0.10K","-14.58%"
"18/02/2020","14,400","14,400","14,400","14,400","2.00K","-14.79%"
"15/01/2020","16,900","16,900","16,900","16,900","0.10K","14.19%"
"13/01/2020","14,800","14,800","14,800","14,800","0.10K","6.47%"
"07/01/2020","13,900","13,000","13,900","13,000","0.30K","-7.33%"
"31/12/2019","15,000","12,000","15,000","12,000","62.10K","8.70%"
"30/12/2019","13,800","13,500","13,800","13,500","20.00K","1.47%"
"27/12/2019","13,600","13,600","13,600","13,600","0.10K","1.49%"
"26/12/2019","13,400","12,000","13,500","12,000","41.80K","11.67%"
"25/12/2019","12,000","11,500","12,000","11,500","2.20K","3.45%"
"24/12/2019","11,600","11,600","11,600","11,600","3.00K","0.00%"
"19/12/2019","11,600","11,600","11,600","11,600","2.00K","-0.85%"
"18/12/2019","11,700","11,700","11,700","11,700","3.00K","1.74%"
"17/12/2019","11,500","11,700","11,700","11,500","19.60K","0.00%"
"16/12/2019","11,500","11,500","11,500","11,500","18.51K","8.49%"
"12/12/2019","10,600","10,600","10,600","10,600","0.10K","4.95%"
