"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","11,700.0","11,800.0","11,900.0","11,500.0","2.09M","1.74%"
"04/05/2020","11,500.0","11,600.0","12,100.0","11,500.0","5.28M","-0.86%"
"29/04/2020","11,600.0","11,300.0","11,600.0","11,300.0","1.45M","2.65%"
"28/04/2020","11,300.0","11,500.0","11,500.0","11,100.0","2.96M","-2.59%"
"27/04/2020","11,600.0","11,700.0","11,800.0","11,500.0","2.89M","-0.85%"
"24/04/2020","11,700.0","11,900.0","12,000.0","11,500.0","3.86M","-0.85%"
"23/04/2020","11,800.0","12,500.0","12,500.0","11,600.0","5.47M","2.61%"
"22/04/2020","11,500.0","10,800.0","11,700.0","10,700.0","5.38M","-1.71%"
"21/04/2020","11,700.0","12,800.0","12,800.0","11,700.0","10.32M","-9.30%"
"20/04/2020","12,900.0","12,500.0","13,100.0","12,000.0","10.10M","5.74%"
"17/04/2020","12,200.0","12,100.0","12,400.0","12,000.0","5.61M","2.52%"
"16/04/2020","11,900.0","11,800.0","12,100.0","11,500.0","4.54M","0.85%"
"15/04/2020","11,800.0","11,900.0","12,200.0","11,800.0","5.12M","-3.28%"
"14/04/2020","12,200.0","12,300.0","12,400.0","11,900.0","3.63M","-0.81%"
"13/04/2020","12,300.0","12,300.0","12,600.0","12,200.0","6.49M","0.82%"
"10/04/2020","12,200.0","12,500.0","12,500.0","11,200.0","6.48M","-0.81%"
"09/04/2020","12,300.0","12,100.0","12,600.0","11,900.0","6.75M","3.36%"
"08/04/2020","11,900.0","10,700.0","12,000.0","10,700.0","6.62M","0.85%"
"07/04/2020","11,800.0","12,000.0","12,000.0","11,300.0","11.48M","4.42%"
"06/04/2020","11,300.0","10,500.0","11,300.0","10,500.0","6.77M","9.71%"
"03/04/2020","10,300.0","9,500.0","10,300.0","9,500.0","4.95M","9.57%"
"01/04/2020","9,400.0","8,100.0","9,700.0","8,100.0","3.63M","4.44%"
"31/03/2020","9,000.0","8,400.0","9,700.0","8,400.0","4.50M","-3.23%"
"30/03/2020","9,300.0","10,000.0","10,100.0","9,200.0","4.15M","-8.82%"
"27/03/2020","10,200.0","10,200.0","10,400.0","10,100.0","2.38M","0.00%"
"26/03/2020","10,200.0","10,600.0","10,700.0","10,200.0","3.29M","-3.77%"
"25/03/2020","10,600.0","10,300.0","10,900.0","10,300.0","4.27M","3.92%"
"24/03/2020","10,200.0","10,500.0","10,600.0","10,100.0","4.44M","0.99%"
