"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/03/2020","11,600.0","11,600.0","11,600.0","11,600.0","0.10K","1.75%"
"20/03/2020","11,400.0","11,400.0","11,400.0","11,400.0","4.60K","-8.80%"
"19/03/2020","12,500.0","11,400.0","12,500.0","11,400.0","0.80K","0.00%"
"27/02/2020","12,500.0","12,500.0","12,500.0","12,500.0","0.10K","-11.35%"
"12/02/2020","14,100.0","14,100.0","14,100.0","14,100.0","0.10K","5.22%"
"17/07/2019","13,400.0","13,400.0","13,400.0","13,400.0","0.10K","9.84%"
"10/07/2019","12,200.0","12,200.0","12,200.0","12,200.0","0.20K","9.91%"
"22/03/2019","11,100.0","11,100.0","11,100.0","11,100.0","0.10K","-2.63%"
"11/03/2019","11,400.0","11,400.0","11,400.0","11,400.0","0.10K","-1.72%"
"01/03/2019","11,600.0","11,600.0","11,600.0","11,600.0","17.30K","-1.69%"
"02/03/2018","11,800.0","11,800.0","11,800.0","11,800.0","0.10K","9.26%"
"09/01/2018","10,800.0","12,500.0","12,500.0","10,800.0","7.20K","-10.00%"
"24/10/2017","12,000.0","12,000.0","12,000.0","12,000.0","0.40K","0.00%"
"12/10/2017","12,000.0","12,000.0","12,000.0","12,000.0","0.60K","0.00%"
"29/09/2017","12,000.0","12,000.0","12,000.0","12,000.0","0.20K","2.56%"
"21/09/2017","11,700.0","11,700.0","11,700.0","11,700.0","4.00K","-10.00%"
"06/09/2017","13,000.0","13,000.0","13,000.0","13,000.0","0.30K","0.00%"
"11/08/2017","13,000.0","13,000.0","13,000.0","13,000.0","0.30K","0.00%"
"09/08/2017","13,000.0","13,000.0","13,000.0","13,000.0","0.10K","0.00%"
"25/07/2017","13,000.0","13,000.0","13,000.0","13,000.0","0.50K","-7.80%"
"03/07/2017","14,100.0","14,100.0","14,100.0","14,100.0","0.20K","9.30%"
"16/05/2017","12,900.0","12,900.0","12,900.0","12,900.0","0.10K","2.38%"
"17/04/2017","12,600.0","12,600.0","12,600.0","12,600.0","0.80K","-10.00%"
"13/03/2017","14,000.0","14,000.0","14,000.0","14,000.0","0.10K","9.38%"
"14/02/2017","12,800.0","12,800.0","12,800.0","12,800.0","1.00K","-2.10%"
"09/02/2017","13,074.0","13,074.0","13,074.0","13,074.0","0.10K","2.14%"
"07/02/2017","12,800.0","12,800.0","12,800.0","12,800.0","0.10K","8.53%"
"03/02/2017","11,794.0","11,794.0","11,794.0","11,794.0","0.10K","9.32%"
"20/01/2017","10,789.0","10,789.0","10,789.0","10,789.0","-","0.00%"
"09/01/2017","10,789.0","10,789.0","10,789.0","10,789.0","3.30K","9.27%"
"05/01/2017","9,874.0","9,874.0","9,874.0","9,874.0","0.20K","9.09%"
"29/11/2016","9,051.0","9,051.0","9,051.0","9,051.0","0.10K","9.99%"
"24/11/2016","8,229.0","8,229.0","8,229.0","8,229.0","2.72K","-10.00%"
"13/10/2016","9,143.0","9,143.0","9,143.0","9,143.0","-","0.00%"
"21/09/2016","9,143.0","9,143.0","9,143.0","9,143.0","0.36K","9.89%"
"19/08/2016","8,320.0","8,320.0","8,320.0","8,320.0","0.20K","3.41%"
"04/08/2016","8,046.0","8,046.0","8,046.0","8,046.0","0.50K","-3.29%"
"29/07/2016","8,320.0","8,320.0","8,320.0","8,320.0","0.50K","-9.00%"
"27/05/2016","9,143.0","9,143.0","9,143.0","9,143.0","1.70K","-1.96%"
"21/04/2016","9,326.0","9,326.0","9,326.0","9,326.0","0.10K","9.68%"
"14/04/2016","8,503.0","8,503.0","8,503.0","8,503.0","1.00K","0.00%"
"13/04/2016","8,503.0","8,503.0","8,503.0","8,503.0","0.60K","9.42%"
"05/04/2016","7,771.0","7,771.0","7,771.0","7,771.0","0.10K","9.45%"
"04/04/2016","7,100.0","7,100.0","7,100.0","7,100.0","-","-0.43%"
"30/03/2016","7,131.0","7,131.0","7,131.0","7,131.0","0.10K","-4.92%"
"10/03/2016","7,500.0","7,500.0","7,500.0","7,500.0","-","0.00%"
"07/03/2016","7,500.0","7,500.0","7,500.0","7,500.0","-","0.00%"
"04/03/2016","7,500.0","7,500.0","7,500.0","7,500.0","-","0.00%"
"19/11/2015","0.0","7,500.0","7,500.0","0.0","-","-100.00%"
"09/11/2015","7,589.0","7,589.0","7,589.0","7,589.0","3.96K","-7.78%"
"21/10/2015","8,229.0","8,229.0","8,229.0","8,229.0","0.10K","-10.00%"
"23/07/2015","9,143.0","9,143.0","9,143.0","9,143.0","0.40K","-4.76%"
"12/06/2015","9,600.0","9,600.0","9,600.0","9,600.0","3.86K","9.38%"
"08/06/2015","8,777.0","8,777.0","8,777.0","8,777.0","0.60K","0.00%"
"28/05/2015","8,777.0","8,777.0","8,777.0","8,777.0","0.10K","0.00%"
"01/04/2015","8,777.0","8,777.0","8,777.0","8,777.0","1.20K","5.49%"
"31/03/2015","8,320.0","8,320.0","8,320.0","8,320.0","1.00K","1.11%"
"30/03/2015","8,229.0","8,229.0","8,229.0","8,229.0","0.20K","8.43%"
"20/03/2015","7,589.0","7,589.0","7,589.0","7,589.0","0.30K","-5.14%"
