"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","17,200.0","17,200.0","17,200.0","17,200.0","0.10K","4.24%"
"28/04/2020","16,500.0","16,500.0","16,500.0","16,500.0","0.50K","0.00%"
"27/04/2020","16,500.0","16,500.0","16,500.0","16,100.0","2.10K","2.48%"
"24/04/2020","16,100.0","16,500.0","16,500.0","16,100.0","0.80K","-5.29%"
"23/04/2020","17,000.0","16,500.0","17,000.0","16,500.0","2.20K","3.66%"
"22/04/2020","16,400.0","16,400.0","16,500.0","16,400.0","1.60K","6.49%"
"20/04/2020","15,400.0","16,000.0","16,500.0","15,400.0","2.50K","-3.75%"
"14/04/2020","16,000.0","16,000.0","16,000.0","16,000.0","0.10K","-3.03%"
"09/04/2020","16,500.0","16,500.0","16,500.0","16,500.0","0.10K","3.77%"
"08/04/2020","15,900.0","14,200.0","15,900.0","14,200.0","6.13K","2.58%"
"06/04/2020","15,500.0","15,000.0","16,500.0","15,000.0","4.70K","-3.73%"
"27/03/2020","16,100.0","16,100.0","16,100.0","16,100.0","0.20K","1.26%"
"25/03/2020","15,900.0","15,500.0","15,900.0","15,500.0","0.70K","0.00%"
"23/03/2020","15,900.0","14,800.0","15,900.0","14,800.0","4.20K","7.43%"
"19/03/2020","14,800.0","15,500.0","15,500.0","14,800.0","0.60K","0.00%"
"18/03/2020","14,800.0","12,500.0","14,800.0","12,500.0","0.83K","7.25%"
"16/03/2020","13,800.0","15,000.0","15,000.0","13,800.0","2.80K","0.00%"
"13/03/2020","13,800.0","14,700.0","16,500.0","13,700.0","3.70K","-9.21%"
"10/03/2020","15,200.0","15,200.0","15,200.0","15,200.0","0.10K","-7.88%"
"05/03/2020","16,500.0","16,500.0","16,500.0","16,500.0","0.10K","0.00%"
"04/03/2020","16,500.0","16,500.0","16,500.0","16,500.0","0.20K","0.00%"
"02/03/2020","16,500.0","16,500.0","16,500.0","16,500.0","0.10K","6.45%"
"26/02/2020","15,500.0","15,500.0","15,500.0","15,500.0","1.30K","1.97%"
"25/02/2020","15,200.0","15,000.0","15,200.0","15,000.0","2.00K","-0.65%"
"24/02/2020","15,300.0","15,000.0","15,300.0","15,000.0","3.50K","-1.29%"
"21/02/2020","15,500.0","15,500.0","15,500.0","15,500.0","0.40K","0.00%"
"14/01/2020","15,500.0","15,500.0","15,500.0","15,500.0","0.10K","3.33%"
"10/01/2020","15,000.0","15,000.0","15,000.0","15,000.0","4.10K","0.00%"
"09/01/2020","15,000.0","15,000.0","15,000.0","15,000.0","1.20K","-2.60%"
"10/12/2019","15,400.0","15,000.0","15,400.0","15,000.0","0.60K","-1.28%"
"09/12/2019","15,600.0","15,600.0","15,600.0","15,600.0","0.50K","0.65%"
"05/12/2019","15,500.0","15,600.0","15,600.0","15,500.0","0.60K","4.73%"
"04/12/2019","14,800.0","15,000.0","15,000.0","14,800.0","1.30K","-1.33%"
"03/12/2019","15,000.0","15,500.0","15,500.0","15,000.0","1.70K","-6.25%"
"28/11/2019","16,000.0","16,000.0","16,000.0","16,000.0","0.60K","2.56%"
"27/11/2019","15,600.0","15,600.0","15,600.0","15,600.0","0.40K","-5.45%"
"26/11/2019","16,500.0","16,500.0","16,500.0","16,500.0","0.10K","5.77%"
"25/11/2019","15,600.0","15,600.0","15,600.0","15,600.0","0.10K","-6.02%"
"22/11/2019","16,600.0","16,600.0","16,600.0","16,600.0","0.40K","3.75%"
"21/11/2019","16,000.0","16,000.0","16,000.0","16,000.0","5.00K","0.00%"
"20/11/2019","16,000.0","16,000.0","16,000.0","16,000.0","0.40K","2.56%"
"18/11/2019","15,600.0","16,000.0","16,000.0","15,600.0","0.40K","-2.50%"
