"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","7,500","7,500","7,500","7,500","2.50K","0.00%"
"29/04/2020","7,500","7,500","7,500","7,500","1.00K","0.00%"
"28/04/2020","7,500","7,800","7,800","7,500","6.70K","-3.85%"
"27/04/2020","7,800","7,600","7,800","7,500","2.90K","1.30%"
"24/04/2020","7,700","7,600","7,700","7,600","14.00K","2.67%"
"23/04/2020","7,500","7,600","7,600","7,500","10.00K","-2.60%"
"22/04/2020","7,700","7,300","7,700","7,300","3.80K","2.67%"
"21/04/2020","7,500","7,600","7,600","7,000","33.90K","0.00%"
"20/04/2020","7,500","7,800","8,100","7,400","22.50K","0.00%"
"17/04/2020","7,500","7,700","8,500","7,500","19.93K","-13.79%"
"16/04/2020","8,700","8,100","8,700","8,100","2.30K","0.00%"
"15/04/2020","8,700","8,700","8,700","7,500","20.50K","1.16%"
"14/04/2020","8,600","8,700","8,800","8,600","4.96K","-2.27%"
"13/04/2020","8,800","8,800","8,800","8,600","2.00K","2.33%"
"10/04/2020","8,600","8,600","8,600","8,600","1.94K","2.38%"
"09/04/2020","8,400","9,000","9,000","8,400","6.40K","-8.70%"
"08/04/2020","9,200","8,500","9,200","8,500","20.90K","2.22%"
"07/04/2020","9,000","9,000","9,000","9,000","2.30K","3.45%"
"06/04/2020","8,700","10,500","10,500","8,700","10.40K","-6.45%"
"03/04/2020","9,300","9,900","11,300","9,300","1.90K","-6.06%"
"01/04/2020","9,900","9,900","9,900","9,900","0.20K","0.00%"
"31/03/2020","9,900","9,000","9,900","9,000","5.50K","10.00%"
"30/03/2020","9,000","9,900","9,900","9,000","1.20K","-7.22%"
"26/03/2020","9,700","10,000","10,000","9,700","1.21K","-2.02%"
"25/03/2020","9,900","9,800","10,000","9,800","1.80K","0.00%"
"24/03/2020","9,900","9,900","9,900","9,900","0.10K","0.00%"
"23/03/2020","9,900","8,500","9,900","8,500","0.60K","7.61%"
"20/03/2020","9,200","9,300","9,300","9,200","1.00K","-8.91%"
"18/03/2020","10,100","9,900","10,100","9,900","1.20K","-2.88%"
"13/03/2020","10,400","10,000","10,400","9,900","2.10K","15.56%"
"12/03/2020","9,000","9,000","10,200","9,000","1.70K","-12.62%"
"10/03/2020","10,300","10,300","10,300","10,300","0.10K","13.19%"
"09/03/2020","9,100","9,100","9,100","9,100","0.70K","-9.00%"
"06/03/2020","10,000","10,000","10,000","10,000","3.00K","-11.50%"
"05/03/2020","11,300","9,800","11,300","9,800","6.00K","17.71%"
"04/03/2020","9,600","10,000","10,000","9,600","1.71K","-4.00%"
"03/03/2020","10,000","9,900","10,000","9,900","0.60K","9.89%"
"02/03/2020","9,100","10,000","10,000","9,100","2.10K","-9.00%"
"27/02/2020","10,000","10,000","10,000","10,000","1.00K","0.00%"
"26/02/2020","10,000","10,000","10,000","10,000","1.60K","0.00%"
"25/02/2020","10,000","10,000","10,000","10,000","3.00K","-5.66%"
"24/02/2020","10,600","10,000","10,600","9,900","3.20K","3.92%"
"21/02/2020","10,200","11,000","11,000","10,200","1.00K","-4.67%"
"19/02/2020","10,700","11,000","11,000","10,700","15.00K","-2.73%"
"18/02/2020","11,000","10,400","11,000","10,400","0.20K","4.76%"
"17/02/2020","10,500","10,500","10,500","10,500","1.80K","0.00%"
"14/02/2020","10,500","9,700","11,800","9,600","1.60K","-2.78%"
"13/02/2020","10,800","10,800","10,800","10,800","1.50K","11.34%"
"12/02/2020","9,700","10,400","10,400","9,700","0.70K","-6.73%"
"11/02/2020","10,400","10,400","10,400","10,400","0.30K","7.22%"
"10/02/2020","9,700","9,600","10,400","9,600","5.00K","2.11%"
"07/02/2020","9,500","10,100","10,100","9,500","1.20K","-6.86%"
"06/02/2020","10,200","10,200","10,200","10,100","1.50K","0.00%"
"05/02/2020","10,200","10,200","10,300","10,200","6.00K","-1.92%"
"04/02/2020","10,400","10,500","10,500","8,400","5.20K","-0.95%"
"03/02/2020","10,500","9,600","10,600","9,100","9.20K","3.96%"
"31/01/2020","10,100","10,200","11,700","10,000","10.50K","-0.98%"
"30/01/2020","10,200","10,400","10,400","10,200","1.10K","5.15%"
"22/01/2020","9,700","10,500","10,500","9,700","0.70K","-11.01%"
"21/01/2020","10,900","10,000","10,900","10,000","2.20K","9.00%"
"20/01/2020","10,000","10,900","10,900","10,000","1.11K","-11.50%"
"17/01/2020","11,300","10,600","11,300","10,500","5.60K","-1.74%"
"16/01/2020","11,500","11,800","11,800","10,300","2.80K","-2.54%"
"15/01/2020","11,800","10,300","11,800","10,300","9.31K","3.51%"
"14/01/2020","11,400","10,600","11,400","10,100","2.60K","-0.87%"
"13/01/2020","11,500","11,500","11,500","11,500","0.10K","1.77%"
"10/01/2020","11,300","11,400","11,900","11,300","3.60K","1.80%"
"08/01/2020","11,100","11,900","11,900","11,100","8.50K","-4.31%"
"07/01/2020","11,600","12,000","12,000","11,500","9.30K","-3.33%"
"06/01/2020","12,000","11,900","12,000","11,900","0.40K","-6.98%"
"03/01/2020","12,900","12,900","12,900","12,900","0.10K","-0.77%"
"02/01/2020","13,000","13,000","13,000","12,000","0.30K","0.00%"
"31/12/2019","13,000","13,000","13,000","12,600","4.40K","0.00%"
"30/12/2019","13,000","11,900","13,000","11,300","7.00K","8.33%"
"27/12/2019","12,000","12,600","12,600","11,300","4.10K","6.19%"
"26/12/2019","11,300","11,300","11,300","11,300","0.70K","-12.40%"
"25/12/2019","12,900","12,900","12,900","12,900","0.10K","2.38%"
"24/12/2019","12,600","11,600","13,000","11,600","1.00K","-3.82%"
"23/12/2019","13,100","13,100","13,100","13,100","0.10K","1.55%"
"20/12/2019","12,900","12,900","12,900","12,900","2.10K","0.00%"
"19/12/2019","12,900","11,000","13,000","11,000","3.70K","18.35%"
"18/12/2019","10,900","11,900","11,900","10,900","4.30K","-7.63%"
"17/12/2019","11,800","12,800","12,800","11,800","6.79K","-7.09%"
"16/12/2019","12,700","13,000","13,000","12,700","8.40K","-8.63%"
"13/12/2019","13,900","14,500","14,500","13,500","31.11K","-25.27%"
"12/12/2019","18,600","18,500","18,600","18,200","36.81K","0.54%"
"11/12/2019","18,500","18,400","18,600","18,400","23.20K","1.09%"
"10/12/2019","18,300","18,400","18,400","18,200","20.60K","-0.54%"
"09/12/2019","18,400","18,500","18,500","18,300","26.60K","0.55%"
"06/12/2019","18,300","18,400","18,500","18,200","28.00K","-0.54%"
"05/12/2019","18,400","18,600","18,600","18,000","16.00K","-1.60%"
"04/12/2019","18,700","18,800","18,800","18,500","4.90K","-1.06%"
"03/12/2019","18,900","18,500","18,900","18,500","28.00K","0.53%"
"02/12/2019","18,800","18,900","19,000","18,200","154.01K","-1.05%"
"29/11/2019","19,000","18,300","19,000","17,800","54.31K","3.26%"
"28/11/2019","18,400","17,100","19,000","17,100","12.60K","7.60%"
"27/11/2019","17,100","17,000","17,200","17,000","42.70K","-0.58%"
"26/11/2019","17,200","17,300","17,300","16,700","75.80K","1.18%"
"25/11/2019","17,000","17,100","17,700","17,000","39.71K","0.00%"
"22/11/2019","17,000","17,800","17,800","17,000","86.90K","-3.95%"
"21/11/2019","17,700","18,200","18,200","17,500","43.80K","-0.56%"
"20/11/2019","17,800","20,800","20,800","16,400","20.04K","-3.78%"
"19/11/2019","18,500","20,000","20,300","18,500","22.00K","-15.53%"
"18/11/2019","21,900","22,300","22,300","18,900","29.50K","7.88%"
"15/11/2019","20,300","22,000","22,300","20,300","72.36K","4.10%"
"14/11/2019","19,500","19,000","19,500","19,000","3.50K","14.71%"
"29/10/2019","17,000","17,000","17,000","17,000","0.60K","-15.00%"
"28/10/2019","20,000","20,000","20,000","20,000","0.10K","11.11%"
"25/10/2019","18,000","18,000","18,000","18,000","-","0.00%"
"16/10/2019","18,000","18,000","18,000","18,000","0.40K","-10.00%"
"09/10/2019","20,000","20,000","20,000","20,000","0.10K","-13.04%"
"26/07/2019","23,000","23,000","23,000","23,000","0.10K","9.52%"
"04/07/2019","21,000","21,000","21,000","21,000","0.10K","10.53%"
"06/06/2019","19,000","19,000","19,000","19,000","0.10K","14.46%"
"04/06/2019","16,600","16,600","16,600","16,600","1.90K","-14.87%"
"17/05/2019","19,500","19,500","19,500","19,500","0.10K","0.00%"
"16/05/2019","19,500","19,500","19,500","19,500","0.10K","0.52%"
"15/05/2019","19,400","19,400","19,400","19,400","0.10K","2.11%"
"14/05/2019","19,000","19,000","19,000","19,000","0.10K","5.56%"
"13/05/2019","18,000","18,500","18,500","18,000","0.50K","11.80%"
"10/05/2019","16,100","16,100","16,100","16,100","0.20K","15.00%"
"09/05/2019","14,000","14,000","14,000","14,000","0.20K","-7.89%"
"08/05/2019","15,200","15,200","15,200","15,200","0.10K","14.29%"
"03/05/2019","13,300","13,300","13,300","13,300","0.10K","12.71%"
"02/05/2019","11,800","11,800","11,800","11,800","0.10K","-5.60%"
"25/04/2019","12,500","12,500","12,500","12,500","0.40K","-14.97%"
"24/04/2019","14,700","14,700","14,700","14,700","0.10K","13.08%"
"23/04/2019","13,000","13,000","13,000","13,000","0.40K","8.33%"
