"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2020","27,500.0","27,500.0","27,500.0","27,500.0","0.05K","0.00%"
"27/04/2020","27,500.0","27,500.0","27,500.0","27,500.0","2.02K","1.48%"
"24/04/2020","27,100.0","27,150.0","27,150.0","27,000.0","1.24K","-3.21%"
"23/04/2020","28,000.0","28,000.0","28,000.0","26,300.0","0.81K","1.45%"
"21/04/2020","27,600.0","26,300.0","27,600.0","26,300.0","6.01K","-2.13%"
"20/04/2020","28,200.0","26,600.0","28,200.0","26,500.0","1.01K","6.42%"
"17/04/2020","26,500.0","26,500.0","26,500.0","26,500.0","0.50K","-2.57%"
"16/04/2020","27,200.0","27,200.0","27,200.0","27,200.0","1.00K","0.00%"
"15/04/2020","27,200.0","26,600.0","27,200.0","26,600.0","1.00K","0.37%"
"14/04/2020","27,100.0","26,600.0","27,100.0","26,600.0","1.00K","-0.37%"
"10/04/2020","27,200.0","29,100.0","29,100.0","27,200.0","1.02K","0.00%"
"09/04/2020","27,200.0","27,200.0","27,200.0","27,200.0","0.33K","0.00%"
"08/04/2020","27,200.0","27,200.0","27,200.0","27,200.0","0.01K","-2.86%"
"07/04/2020","28,000.0","28,000.0","28,000.0","28,000.0","0.01K","0.00%"
"06/04/2020","28,000.0","27,800.0","28,000.0","27,800.0","0.02K","1.82%"
"03/04/2020","27,500.0","27,500.0","27,500.0","27,500.0","0.04K","0.00%"
"01/04/2020","27,500.0","27,000.0","27,500.0","27,000.0","1.41K","1.10%"
"31/03/2020","27,200.0","26,500.0","27,200.0","26,000.0","2.02K","-0.73%"
"30/03/2020","27,400.0","27,400.0","27,400.0","27,400.0","0.02K","-0.36%"
"26/03/2020","27,500.0","27,500.0","27,500.0","27,500.0","0.01K","3.38%"
"25/03/2020","26,600.0","27,200.0","27,200.0","26,500.0","0.54K","3.91%"
"24/03/2020","25,600.0","27,200.0","27,200.0","25,600.0","0.26K","-5.88%"
"23/03/2020","27,200.0","27,100.0","27,200.0","27,100.0","1.50K","0.00%"
"20/03/2020","27,200.0","27,600.0","27,600.0","27,200.0","0.08K","-0.73%"
"19/03/2020","27,400.0","27,800.0","27,800.0","27,000.0","2.71K","-1.08%"
"18/03/2020","27,700.0","27,200.0","27,700.0","27,000.0","3.11K","0.73%"
"17/03/2020","27,500.0","27,200.0","27,500.0","27,000.0","5.42K","1.10%"
