"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","300","300","400","300","6.60K","-25.00%"
"17/04/2020","400","400","400","400","3.14K","33.33%"
"10/04/2020","300","300","400","300","491.50K","-25.00%"
"03/04/2020","400","400","400","400","0.10K","0.00%"
"27/03/2020","400","400","400","300","0.30K","0.00%"
"20/03/2020","400","400","400","300","0.90K","33.33%"
"13/03/2020","300","300","300","300","5.70K","-25.00%"
"28/02/2020","400","400","400","400","0.60K","33.33%"
"21/02/2020","300","400","400","300","32.00K","-25.00%"
"14/02/2020","400","400","400","400","10.00K","0.00%"
"07/02/2020","400","300","400","300","0.20K","33.33%"
"31/01/2020","300","300","300","300","0.50K","0.00%"
"17/01/2020","300","300","300","300","0.50K","0.00%"
"10/01/2020","300","400","400","300","55.40K","-25.00%"
"03/01/2020","400","400","400","400","0.50K","-20.00%"
"13/12/2019","500","500","500","500","0.10K","0.00%"
"06/12/2019","500","500","500","500","0.50K","25.00%"
"22/11/2019","400","400","500","300","15.80K","0.00%"
"15/11/2019","400","400","400","400","32.20K","0.00%"
"08/11/2019","400","300","400","300","67.00K","-20.00%"
"01/11/2019","500","300","500","300","2.30K","25.00%"
"25/10/2019","400","300","400","300","5.50K","0.00%"
"18/10/2019","400","300","400","300","1.10K","0.00%"
"04/10/2019","400","400","400","400","0.90K","0.00%"
"27/09/2019","400","500","500","300","4.00K","0.00%"
"20/09/2019","400","400","400","400","0.10K","-20.00%"
"13/09/2019","500","400","500","400","0.50K","0.00%"
"30/08/2019","500","400","500","400","188.70K","0.00%"
"23/08/2019","500","500","500","400","7.70K","0.00%"
"16/08/2019","500","500","500","400","25.11K","0.00%"
"02/08/2019","500","500","500","500","0.30K","25.00%"
"26/07/2019","400","300","500","300","34.50K","-20.00%"
"19/07/2019","500","400","500","400","128.50K","-16.67%"
"12/07/2019","600","400","600","400","92.40K","20.00%"
"05/07/2019","500","500","500","500","0.11K","25.00%"
"28/06/2019","400","400","400","400","3.00K","0.00%"
"21/06/2019","400","400","400","400","13.40K","0.00%"
"14/06/2019","400","400","400","400","10.00K","0.00%"
"07/06/2019","400","400","400","400","21.00K","0.00%"
"31/05/2019","400","400","400","400","2.10K","-20.00%"
"24/05/2019","500","500","500","500","3.40K","0.00%"
"17/05/2019","500","500","500","400","1.30K","0.00%"
"10/05/2019","500","500","500","500","0.10K","0.00%"
"03/05/2019","500","500","500","400","19.30K","25.00%"
"19/04/2019","400","500","500","400","3.30K","0.00%"
"05/04/2019","400","400","400","400","0.90K","-20.00%"
"22/03/2019","500","500","500","500","0.10K","25.00%"
"08/03/2019","400","400","500","400","0.60K","0.00%"
"22/02/2019","400","400","400","400","14.10K","-20.00%"
"15/02/2019","500","400","500","400","10.60K","0.00%"
"01/02/2019","500","500","500","500","0.10K","0.00%"
"25/01/2019","500","400","500","400","3.80K","0.00%"
"18/01/2019","500","500","500","500","0.10K","0.00%"
"04/01/2019","500","400","500","400","0.50K","0.00%"
"28/12/2018","500","500","500","500","5.70K","0.00%"
"21/12/2018","500","400","500","400","6.50K","0.00%"
"14/12/2018","500","400","500","400","1.40K","-16.67%"
"07/12/2018","600","500","600","500","0.60K","0.00%"
"23/11/2018","600","600","600","600","0.10K","0.00%"
"16/11/2018","600","600","600","400","0.51K","20.00%"
"09/11/2018","500","500","600","500","2.70K","-16.67%"
"19/10/2018","600","600","600","600","0.10K","0.00%"
"12/10/2018","600","500","600","500","10.10K","0.00%"
"05/10/2018","600","600","600","600","0.34K","20.00%"
"28/09/2018","500","600","600","500","9.70K","-28.57%"
"21/09/2018","700","600","700","600","9.20K","0.00%"
"03/08/2018","700","700","700","700","0.10K","0.00%"
"06/07/2018","700","700","700","700","0.10K","0.00%"
"29/06/2018","700","700","700","500","0.30K","16.67%"
"22/06/2018","600","600","600","600","2.10K","-14.29%"
"15/06/2018","700","600","700","600","3.40K","0.00%"
"08/06/2018","700","600","700","600","1.80K","0.00%"
