"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","58,700.0","56,500.0","58,700.0","56,500.0","0.62K","9.93%"
"23/04/2020","53,400.0","53,400.0","53,400.0","53,400.0","0.50K","-9.95%"
"17/04/2020","59,300.0","59,300.0","59,300.0","59,300.0","0.12K","6.08%"
"15/04/2020","55,900.0","50,500.0","55,900.0","49,500.0","0.40K","8.33%"
"14/04/2020","51,600.0","51,600.0","51,600.0","51,600.0","0.20K","8.40%"
"13/04/2020","47,600.0","47,600.0","47,600.0","47,600.0","0.10K","9.93%"
"09/04/2020","43,300.0","43,300.0","43,300.0","43,300.0","0.10K","9.90%"
"08/04/2020","39,400.0","39,400.0","39,400.0","39,400.0","0.10K","-9.63%"
"03/04/2020","43,600.0","43,600.0","43,600.0","43,600.0","0.23K","-5.42%"
"01/04/2020","46,100.0","46,100.0","46,100.0","46,100.0","0.29K","-7.43%"
"31/03/2020","49,800.0","49,800.0","49,800.0","49,800.0","0.10K","-9.12%"
"27/03/2020","54,800.0","54,800.0","54,800.0","54,800.0","0.21K","4.98%"
"26/03/2020","52,200.0","52,200.0","57,900.0","52,200.0","0.30K","-10.00%"
"23/03/2020","58,000.0","55,000.0","58,000.0","55,000.0","0.30K","9.64%"
"18/03/2020","52,900.0","52,900.0","52,900.0","52,900.0","0.12K","6.87%"
"13/03/2020","49,500.0","49,500.0","49,500.0","49,500.0","0.11K","-9.84%"
"11/03/2020","54,900.0","53,000.0","56,000.0","53,000.0","0.44K","7.65%"
"19/02/2020","51,000.0","51,000.0","51,000.0","51,000.0","3.30K","9.44%"
"17/02/2020","46,600.0","46,600.0","46,600.0","46,600.0","0.11K","-6.80%"
"31/01/2020","50,000.0","50,000.0","50,000.0","50,000.0","0.10K","0.00%"
"16/01/2020","50,000.0","50,000.0","50,000.0","50,000.0","0.50K","0.00%"
"14/01/2020","50,000.0","50,000.0","50,000.0","50,000.0","0.83K","0.00%"
"09/01/2020","50,000.0","50,000.0","50,000.0","50,000.0","0.40K","-0.99%"
"02/01/2020","50,500.0","51,200.0","51,200.0","50,500.0","0.20K","-9.98%"
"31/12/2019","56,100.0","55,800.0","56,100.0","55,800.0","0.30K","10.00%"
"30/12/2019","51,000.0","56,200.0","56,200.0","51,000.0","0.40K","-0.20%"
"27/12/2019","51,100.0","51,100.0","51,100.0","47,000.0","2.60K","0.00%"
