"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","12,000","12,000","12,000","12,000","0.10K","14.29%"
"28/04/2020","10,500","10,500","10,500","10,500","0.10K","-12.50%"
"27/04/2020","12,000","12,000","12,000","12,000","0.10K","14.29%"
"24/04/2020","10,500","10,500","10,500","10,500","0.10K","-12.50%"
"23/04/2020","12,000","12,000","12,000","12,000","1.10K","-10.45%"
"22/04/2020","13,400","13,400","13,400","13,400","0.10K","11.67%"
"21/04/2020","12,000","12,000","12,000","12,000","0.20K","-11.11%"
"17/04/2020","13,500","13,500","13,500","13,500","0.10K","12.50%"
"16/04/2020","12,000","12,000","12,000","12,000","0.50K","-14.29%"
"14/04/2020","14,000","14,000","14,000","14,000","0.10K","1.45%"
"08/04/2020","13,800","13,800","13,800","13,800","0.15K","14.05%"
"07/04/2020","12,100","12,100","12,100","12,100","0.10K","-16.55%"
"06/04/2020","14,500","13,100","14,500","13,100","0.20K","0.00%"
"03/04/2020","14,500","13,000","14,500","13,000","0.20K","3.57%"
"01/04/2020","14,000","14,000","14,000","14,000","0.10K","7.69%"
"31/03/2020","13,000","13,000","13,000","13,000","0.10K","12.07%"
"30/03/2020","11,600","11,600","11,600","11,600","1.00K","-14.71%"
"27/03/2020","13,600","13,600","13,600","13,600","0.20K","-13.92%"
"26/03/2020","15,800","15,800","15,800","15,800","0.10K","1.94%"
"23/03/2020","15,500","15,500","15,500","15,500","0.10K","3.33%"
"19/03/2020","15,000","15,000","15,000","15,000","0.10K","7.91%"
"18/03/2020","13,900","13,900","13,900","13,900","0.10K","0.00%"
"17/03/2020","13,900","10,400","13,900","10,400","0.20K","-7.33%"
"12/03/2020","15,000","13,000","15,000","11,600","1.10K","10.29%"
"06/03/2020","13,600","13,600","13,600","13,600","1.10K","-15.00%"
"21/02/2020","16,000","16,000","16,000","16,000","0.10K","7.38%"
"20/02/2020","14,900","14,900","14,900","14,900","0.10K","7.97%"
"18/02/2020","13,800","14,732","14,732","13,800","0.60K","-2.63%"
"17/02/2020","14,173","14,173","14,173","14,173","0.20K","1.34%"
"13/02/2020","13,986","14,826","14,826","13,986","0.20K","-11.48%"
"17/01/2020","15,800","15,800","15,800","15,800","0.10K","0.00%"
"15/01/2020","15,800","15,800","15,800","15,800","0.10K","12.86%"
"14/01/2020","14,000","14,000","14,000","14,000","1.30K","0.00%"
"09/01/2020","14,000","14,000","14,000","14,000","1.20K","9.38%"
"08/01/2020","12,800","12,800","12,800","12,800","0.20K","-14.09%"
"07/01/2020","14,900","14,900","14,900","14,900","0.10K","-3.87%"
"06/01/2020","15,500","15,500","15,500","15,500","0.10K","3.33%"
"26/12/2019","15,000","15,000","15,000","15,000","2.00K","-6.25%"
"24/12/2019","16,000","16,000","16,000","16,000","0.10K","10.34%"
"23/12/2019","14,500","14,500","14,500","14,500","10.00K","-3.33%"
"16/12/2019","15,000","15,000","15,000","15,000","0.10K","4.90%"
"13/12/2019","14,300","14,000","14,300","14,000","3.10K","-4.67%"
"12/12/2019","15,000","14,500","15,000","14,500","2.60K","5.63%"
"10/12/2019","14,200","14,300","14,300","14,200","4.70K","0.00%"
"09/12/2019","14,200","14,500","14,500","14,200","7.10K","-5.33%"
"03/12/2019","15,000","14,500","15,000","14,500","0.20K","6.38%"
"02/12/2019","14,100","14,100","14,100","14,100","0.20K","-2.76%"
"28/11/2019","14,500","14,100","14,500","14,000","0.90K","-2.03%"
"26/11/2019","14,800","14,400","14,800","14,400","0.60K","-1.33%"
"25/11/2019","15,000","15,000","15,000","15,000","-","0.00%"
"22/11/2019","15,000","14,500","15,000","14,500","0.20K","12.78%"
"20/11/2019","13,300","13,300","14,500","13,300","4.10K","-14.19%"
"18/11/2019","15,500","15,500","15,500","15,500","0.20K","6.90%"
"14/11/2019","14,500","15,200","15,200","14,500","2.70K","-3.33%"
"13/11/2019","15,000","15,000","15,000","15,000","0.12K","0.00%"
"12/11/2019","15,000","15,000","15,000","15,000","5.00K","0.00%"
"11/11/2019","15,000","15,000","15,000","15,000","0.10K","4.17%"
"06/11/2019","14,400","14,400","14,400","14,400","0.10K","-0.69%"
"04/11/2019","14,500","14,500","14,500","14,500","0.11K","0.00%"
"01/11/2019","14,500","13,500","14,500","13,500","0.50K","0.00%"
"30/10/2019","14,500","14,500","14,500","14,500","0.10K","0.69%"
"28/10/2019","14,400","14,400","14,400","14,200","4.32K","0.70%"
"25/10/2019","14,300","14,300","14,500","14,300","3.20K","0.00%"
"24/10/2019","14,300","14,300","14,300","14,300","2.30K","0.00%"
"23/10/2019","14,300","14,300","14,300","14,200","0.50K","0.00%"
"22/10/2019","14,300","14,200","14,300","14,200","1.10K","-1.38%"
"21/10/2019","14,500","14,500","14,500","14,500","0.60K","2.11%"
"18/10/2019","14,200","14,200","14,200","14,100","2.86K","1.43%"
"17/10/2019","14,000","14,800","14,800","14,000","1.20K","-12.50%"
"14/10/2019","16,000","15,000","16,000","15,000","1.80K","0.00%"
"04/10/2019","16,000","16,000","16,000","16,000","0.10K","0.63%"
"23/09/2019","15,900","15,900","15,900","15,900","0.10K","2.58%"
"20/09/2019","15,500","15,500","15,500","15,500","0.10K","5.44%"
"18/09/2019","14,700","14,700","14,700","14,700","1.30K","5.00%"
"17/09/2019","14,000","13,300","14,000","13,300","5.00K","7.69%"
"16/09/2019","13,000","13,000","13,000","13,000","0.50K","-11.56%"
"13/09/2019","14,700","14,700","14,700","14,700","1.30K","5.00%"
"12/09/2019","14,000","12,600","14,000","12,600","0.60K","12.00%"
"11/09/2019","12,500","12,500","12,500","12,500","0.30K","-6.72%"
"09/09/2019","13,400","13,400","13,400","13,400","0.50K","-12.99%"
"23/08/2019","15,400","15,400","15,400","15,400","0.10K","5.48%"
"22/08/2019","14,600","14,600","14,600","14,600","44.50K","-5.81%"
"21/08/2019","15,500","15,500","15,500","15,500","0.10K","6.90%"
"20/08/2019","14,500","14,500","14,500","14,500","0.50K","0.00%"
"16/08/2019","14,500","14,500","14,500","14,500","2.50K","0.00%"
"15/08/2019","14,500","14,500","14,500","14,500","2.60K","-4.61%"
"12/08/2019","15,200","15,200","15,200","15,200","0.10K","10.95%"
"09/08/2019","13,700","13,700","13,700","13,700","3.00K","5.38%"
"08/08/2019","13,000","13,000","13,000","13,000","1.00K","-9.09%"
"07/08/2019","14,300","14,300","14,300","14,300","1.00K","-4.67%"
"01/08/2019","15,000","14,000","15,000","14,000","0.91K","5.63%"
"31/07/2019","14,200","14,200","14,200","14,200","0.10K","-1.39%"
"29/07/2019","14,400","14,400","14,500","14,400","13.10K","-0.69%"
"26/07/2019","14,500","14,100","14,500","14,100","5.40K","0.00%"
"25/07/2019","14,500","15,000","15,000","14,500","22.72K","-0.68%"
"24/07/2019","14,600","14,600","14,600","14,600","0.10K","-2.67%"
"23/07/2019","15,000","14,600","15,000","14,500","1.70K","2.74%"
"22/07/2019","14,600","14,500","14,600","14,500","11.18K","2.10%"
"19/07/2019","14,300","14,300","14,300","14,200","0.50K","-0.69%"
"18/07/2019","14,400","14,400","14,400","14,400","0.60K","0.00%"
"17/07/2019","14,400","14,400","14,400","14,200","3.00K","-0.69%"
"16/07/2019","14,500","14,400","14,500","14,400","172.20K","2.11%"
"12/07/2019","14,200","14,300","14,300","14,200","0.60K","4.41%"
"11/07/2019","13,600","13,600","13,600","13,600","0.10K","-4.23%"
"09/07/2019","14,200","14,200","14,200","14,200","1.00K","-0.70%"
"08/07/2019","14,300","14,300","14,300","14,200","2.30K","-4.03%"
"05/07/2019","14,900","14,900","14,900","14,900","2.00K","3.47%"
"04/07/2019","14,400","15,400","15,400","14,400","1.80K","-8.28%"
"03/07/2019","15,700","15,500","15,700","15,200","15.60K","1.95%"
"02/07/2019","15,400","15,900","15,900","15,400","2.10K","-3.75%"
"01/07/2019","16,000","17,400","17,400","15,200","8.40K","6.67%"
"28/06/2019","15,000","17,600","17,600","15,000","5.10K","-6.25%"
"27/06/2019","16,000","15,600","16,000","15,200","6.46K","2.56%"
"26/06/2019","15,600","15,500","16,000","15,500","2.10K","4.00%"
"25/06/2019","15,000","17,900","17,900","15,000","3.10K","-6.25%"
"24/06/2019","16,000","16,000","16,000","16,000","1.00K","0.63%"
"21/06/2019","15,900","15,900","15,900","15,900","0.10K","6.00%"
"20/06/2019","15,000","15,000","15,000","15,000","2.26K","0.00%"
"19/06/2019","15,000","15,000","15,000","15,000","3.00K","18.11%"
"18/06/2019","12,700","12,500","14,700","12,500","0.50K","-13.61%"
"14/06/2019","14,700","14,700","14,700","14,700","0.10K","-8.13%"
"11/06/2019","16,000","16,000","16,000","16,000","0.20K","0.00%"
"06/06/2019","16,000","16,000","16,000","16,000","0.10K","0.00%"
"05/06/2019","16,000","16,100","16,100","16,000","3.50K","-3.03%"
"04/06/2019","16,500","17,400","17,400","16,500","11.90K","3.13%"
"03/06/2019","16,000","16,500","16,500","16,000","1.10K","-4.76%"
"31/05/2019","16,800","16,800","16,800","16,700","2.00K","0.00%"
"30/05/2019","16,800","16,800","16,800","16,800","0.20K","-16.00%"
"29/05/2019","20,000","17,000","20,000","17,000","12.50K","14.29%"
"24/05/2019","17,500","17,500","17,500","17,500","0.50K","-6.91%"
"23/05/2019","18,800","18,800","18,800","18,800","8.10K","13.94%"
"22/05/2019","16,500","16,500","16,500","16,500","0.40K","0.00%"
"21/05/2019","16,500","16,500","16,500","16,500","0.50K","0.00%"
"20/05/2019","16,500","18,500","18,900","16,500","9.70K","0.00%"
"17/05/2019","16,500","16,500","16,500","16,500","2.20K","0.00%"
"08/05/2019","16,500","16,500","16,500","16,500","0.40K","0.00%"
"07/05/2019","16,500","16,500","16,500","16,500","0.50K","0.00%"
"03/05/2019","16,500","16,500","16,500","16,500","0.40K","0.00%"
"02/05/2019","16,500","16,500","16,500","16,500","0.50K","0.00%"
"26/04/2019","16,500","16,500","16,500","16,500","1.50K","0.00%"
"25/04/2019","16,500","16,500","16,600","16,500","2.10K","0.00%"
"22/04/2019","16,500","16,500","16,500","16,500","1.00K","-13.16%"
"19/04/2019","19,000","19,000","19,000","19,000","0.10K","9.20%"
"18/04/2019","17,400","17,400","17,400","17,400","0.50K","0.58%"
"17/04/2019","17,300","18,200","18,200","17,300","1.10K","-14.78%"
"05/04/2019","20,300","20,300","20,300","20,300","0.10K","1.50%"
"01/04/2019","20,000","20,000","20,000","20,000","0.10K","11.11%"
"25/03/2019","18,000","18,000","18,000","18,000","1.00K","-5.26%"
"22/03/2019","19,000","19,000","19,000","19,000","-","0.00%"
"21/03/2019","19,000","19,000","19,000","18,000","2.40K","0.00%"
"15/03/2019","19,000","19,200","19,500","19,000","0.60K","-2.56%"
"14/03/2019","19,500","19,000","19,500","19,000","2.00K","5.41%"
"11/03/2019","18,500","18,500","18,500","18,500","1.00K","-4.15%"
"07/03/2019","19,300","19,300","19,300","19,300","0.60K","6.04%"
"25/02/2019","18,200","18,200","18,200","18,200","1.00K","-4.21%"
"19/02/2019","19,000","19,300","19,300","19,000","1.50K","-1.04%"
"14/02/2019","19,200","19,200","24,500","19,200","8.80K","-14.67%"
"12/02/2019","22,500","22,500","22,500","22,500","0.10K","14.80%"
"01/02/2019","19,600","19,600","24,500","19,600","1.80K","-14.78%"
"28/01/2019","23,000","23,000","23,000","23,000","0.10K","15.58%"
"23/01/2019","19,900","25,500","25,500","19,900","0.60K","-14.96%"
"22/01/2019","23,400","23,400","23,400","23,400","0.10K","-14.91%"
"17/01/2019","27,500","27,500","27,500","27,500","0.10K","12.24%"
"18/12/2018","24,500","24,500","24,500","24,500","0.10K","13.95%"
"12/12/2018","21,500","21,500","21,500","21,500","0.10K","13.16%"
"05/12/2018","19,000","19,000","19,000","19,000","4.00K","5.56%"
"03/12/2018","18,000","18,000","18,000","18,000","0.90K","-10.00%"
"27/11/2018","20,000","20,000","20,000","20,000","0.10K","2.56%"
"22/11/2018","19,500","19,500","19,500","19,500","0.10K","8.33%"
"15/11/2018","18,000","18,000","18,000","18,000","0.50K","-13.46%"
"12/11/2018","20,800","20,800","20,800","20,800","2.00K","15.56%"
"06/11/2018","18,000","18,189","18,189","18,000","0.40K","-5.26%"
"02/11/2018","19,000","19,000","19,000","19,000","0.30K","0.53%"
"01/11/2018","18,900","18,900","18,900","18,900","3.00K","-0.53%"
"31/10/2018","19,000","19,000","19,000","19,000","1.00K","0.00%"
"30/10/2018","19,000","19,000","19,000","19,000","1.00K","0.53%"
"29/10/2018","18,900","19,000","19,000","18,900","4.00K","-0.53%"
"26/10/2018","19,000","19,000","19,000","19,000","1.60K","0.00%"
"10/10/2018","19,000","18,900","19,000","18,900","1.60K","0.00%"
"05/10/2018","19,000","19,000","19,000","19,000","0.10K","0.00%"
"01/10/2018","19,000","19,000","19,000","19,000","0.10K","-1.04%"
"28/09/2018","19,200","19,200","19,200","19,200","1.00K","1.05%"
"27/09/2018","19,000","19,000","19,000","19,000","2.00K","2.70%"
"26/09/2018","18,500","18,600","18,600","18,500","2.00K","-0.54%"
"25/09/2018","18,600","18,500","18,600","18,500","2.50K","-2.11%"
"24/09/2018","19,000","19,000","19,000","19,000","4.00K","0.00%"
"21/09/2018","19,000","19,000","19,000","19,000","0.30K","0.00%"
"20/09/2018","19,000","19,000","19,000","19,000","1.00K","0.00%"
"19/09/2018","19,000","19,000","19,000","19,000","0.10K","0.00%"
"18/09/2018","19,000","19,000","19,000","19,000","1.00K","0.00%"
"14/09/2018","19,000","19,000","19,000","19,000","4.00K","0.00%"
"13/09/2018","19,000","19,000","19,000","19,000","2.00K","0.00%"
"11/09/2018","19,000","19,000","19,000","19,000","2.00K","-2.56%"
"06/09/2018","19,500","19,500","19,500","19,000","19.70K","2.63%"
"05/09/2018","19,000","19,000","19,000","19,000","16.30K","0.00%"
"30/08/2018","19,000","19,000","19,000","19,000","1.00K","0.53%"
"29/08/2018","18,900","18,900","18,900","18,900","0.30K","-0.53%"
"28/08/2018","19,000","19,000","19,000","19,000","0.30K","0.00%"
"23/08/2018","19,000","19,000","19,000","19,000","2.90K","2.70%"
"08/08/2018","18,500","18,500","18,500","18,500","1.50K","0.00%"
"07/08/2018","18,500","18,500","18,500","18,500","3.70K","-7.50%"
"02/08/2018","20,000","20,000","20,000","20,000","0.10K","0.00%"
"26/07/2018","20,000","20,000","20,000","20,000","0.30K","0.00%"
"18/07/2018","20,000","20,000","20,000","20,000","0.20K","2.56%"
"13/07/2018","19,500","19,500","19,500","19,500","1.20K","2.50%"
"09/07/2018","19,024","19,976","19,976","19,024","1.20K","-9.41%"
"06/07/2018","21,000","23,000","23,000","21,000","0.60K","-14.98%"
"21/06/2018","24,700","24,700","24,700","24,700","0.30K","-14.83%"
"04/06/2018","29,000","29,000","29,000","29,000","0.10K","0.00%"
"13/04/2018","29,000","29,000","29,000","29,000","0.10K","14.07%"
"12/04/2018","25,423","25,423","25,423","25,423","0.10K","5.20%"
"11/04/2018","24,167","25,133","25,133","24,167","0.20K","6.38%"
"10/04/2018","22,717","22,717","22,717","22,717","0.10K","8.80%"
"09/04/2018","20,880","20,880","20,880","20,880","0.40K","-1.82%"
"06/04/2018","21,267","21,267","21,267","21,267","0.40K","-2.22%"
"03/04/2018","21,750","21,750","21,750","21,750","0.10K","8.75%"
"29/03/2018","20,000","20,000","20,000","20,000","4.00K","-4.31%"
"26/03/2018","20,900","20,900","20,900","20,900","0.10K","14.84%"
"22/03/2018","18,200","18,200","18,200","18,200","0.30K","-6.67%"
"21/03/2018","19,500","19,500","19,500","19,500","1.00K","4.28%"
"16/03/2018","18,700","18,700","18,700","18,700","0.10K","-14.61%"
"08/03/2018","21,900","21,900","21,900","21,900","0.10K","12.31%"
"02/03/2018","19,500","19,500","19,500","19,000","2.10K","2.63%"
"01/03/2018","19,000","19,500","19,500","19,000","3.90K","0.00%"
"22/02/2018","19,000","19,000","19,000","19,000","0.10K","0.00%"
"21/02/2018","19,000","19,000","19,000","19,000","0.10K","0.00%"
"13/02/2018","19,000","18,100","19,000","18,100","5.10K","0.00%"
"12/02/2018","19,000","19,000","19,000","19,000","1.00K","-5.00%"
"18/01/2018","20,000","20,000","20,000","20,000","0.10K","12.36%"
"16/01/2018","17,800","17,800","17,800","17,800","0.20K","-14.83%"
"12/01/2018","20,900","20,900","20,900","20,900","10.00K","0.00%"
"10/01/2018","20,900","20,900","20,900","20,900","0.90K","8.29%"
"08/01/2018","19,300","19,300","19,300","19,300","0.10K","7.22%"
"03/01/2018","18,000","18,000","18,000","18,000","1.00K","0.00%"
"27/12/2017","18,000","18,000","18,000","18,000","10.22K","0.00%"
"25/12/2017","18,000","18,000","18,000","18,000","3.31K","-4.26%"
"19/12/2017","18,800","18,800","18,800","18,800","0.10K","0.00%"
"23/10/2017","18,800","18,800","18,800","18,800","0.30K","0.00%"
"20/10/2017","18,800","18,800","18,800","18,800","0.50K","0.00%"
"04/10/2017","18,800","18,800","18,800","18,800","0.10K","3.30%"
"29/09/2017","18,200","18,200","18,200","18,200","2.30K","-0.55%"
"28/09/2017","18,300","18,300","18,300","18,300","3.20K","0.00%"
"27/09/2017","18,300","18,300","18,300","18,300","3.80K","-1.08%"
"26/09/2017","18,500","18,300","18,500","18,300","1.40K","1.09%"
"25/09/2017","18,300","18,300","18,300","18,300","0.10K","0.00%"
"22/09/2017","18,300","18,300","18,300","18,300","0.90K","0.00%"
"21/09/2017","18,300","18,300","18,300","18,300","1.80K","0.00%"
