"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","3,700.0","3,400.0","3,700.0","3,400.0","0.40K","8.82%"
"04/05/2020","3,400.0","3,400.0","3,400.0","3,400.0","0.60K","-2.86%"
"29/04/2020","3,500.0","3,300.0","3,500.0","3,300.0","1.20K","-2.78%"
"28/04/2020","3,600.0","3,600.0","3,600.0","3,600.0","1.00K","-7.69%"
"27/04/2020","3,900.0","3,900.0","3,900.0","3,900.0","0.10K","8.33%"
"24/04/2020","3,600.0","3,800.0","3,800.0","3,600.0","1.10K","-7.69%"
"23/04/2020","3,900.0","3,600.0","3,900.0","3,600.0","0.70K","5.41%"
"22/04/2020","3,700.0","3,700.0","3,700.0","3,700.0","1.00K","-2.63%"
"21/04/2020","3,800.0","3,800.0","3,800.0","3,800.0","1.20K","-9.52%"
"20/04/2020","4,200.0","3,600.0","4,200.0","3,600.0","3.70K","7.69%"
"16/04/2020","3,900.0","3,600.0","3,900.0","3,600.0","1.10K","0.00%"
"15/04/2020","3,900.0","3,600.0","3,900.0","3,600.0","2.30K","5.41%"
"14/04/2020","3,700.0","3,700.0","3,700.0","3,700.0","2.00K","0.00%"
"13/04/2020","3,700.0","3,700.0","3,700.0","3,700.0","1.70K","0.00%"
"10/04/2020","3,700.0","3,700.0","3,700.0","3,700.0","0.10K","-2.63%"
"08/04/2020","3,800.0","3,800.0","3,800.0","3,800.0","0.10K","0.00%"
"06/04/2020","3,800.0","4,000.0","4,000.0","3,800.0","2.10K","-5.00%"
"01/04/2020","4,000.0","3,900.0","4,000.0","3,900.0","3.40K","0.00%"
"31/03/2020","4,000.0","4,000.0","4,000.0","4,000.0","6.14K","-2.44%"
"27/03/2020","4,100.0","4,000.0","4,100.0","4,000.0","4.20K","2.50%"
"26/03/2020","4,000.0","4,000.0","4,000.0","4,000.0","0.10K","5.26%"
"20/03/2020","3,800.0","3,200.0","3,800.0","3,200.0","0.30K","8.57%"
"19/03/2020","3,500.0","3,500.0","3,500.0","3,500.0","0.10K","-7.89%"
"12/03/2020","3,800.0","3,900.0","3,900.0","3,800.0","1.50K","-7.32%"
"09/03/2020","4,100.0","4,100.0","4,100.0","4,100.0","0.10K","0.00%"
"06/03/2020","4,100.0","4,100.0","4,100.0","4,100.0","3.90K","-8.89%"
"05/03/2020","4,500.0","4,500.0","4,500.0","4,500.0","0.40K","2.27%"
"27/02/2020","4,400.0","4,400.0","4,400.0","4,400.0","0.10K","10.00%"
"26/02/2020","4,000.0","4,000.0","4,000.0","4,000.0","0.20K","-9.09%"
"25/02/2020","4,400.0","4,300.0","4,400.0","4,300.0","2.50K","2.33%"
"24/02/2020","4,300.0","4,300.0","4,300.0","4,300.0","5.00K","0.00%"
"21/02/2020","4,300.0","4,300.0","4,300.0","4,300.0","0.10K","7.50%"
"19/02/2020","4,000.0","4,000.0","4,000.0","4,000.0","0.90K","0.00%"
"18/02/2020","4,000.0","4,500.0","4,500.0","4,000.0","100.80K","-2.44%"
"17/02/2020","4,100.0","4,200.0","4,200.0","3,800.0","0.60K","5.13%"
"14/02/2020","3,900.0","3,800.0","3,900.0","3,800.0","1.30K","8.33%"
"12/02/2020","3,600.0","3,600.0","3,600.0","3,600.0","0.10K","-7.69%"
"31/01/2020","3,900.0","3,600.0","3,900.0","3,600.0","0.60K","8.33%"
"16/01/2020","3,600.0","3,600.0","3,600.0","3,600.0","0.10K","-7.69%"
"15/01/2020","3,900.0","3,600.0","3,900.0","3,600.0","0.20K","0.00%"
"14/01/2020","3,900.0","3,900.0","3,900.0","3,900.0","0.10K","5.41%"
"08/01/2020","3,700.0","4,100.0","4,100.0","3,700.0","0.20K","-7.50%"
"07/01/2020","4,000.0","3,900.0","4,000.0","3,900.0","0.20K","8.11%"
"06/01/2020","3,700.0","3,700.0","3,700.0","3,700.0","0.10K","-7.50%"
"02/01/2020","4,000.0","3,900.0","4,000.0","3,900.0","0.20K","8.11%"
