"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"03/04/2020","16,200.0","16,200.0","16,200.0","16,200.0","0.10K","9.46%"
"01/04/2020","14,800.0","14,800.0","14,800.0","14,800.0","0.10K","9.63%"
"31/03/2020","13,500.0","16,300.0","16,300.0","13,500.0","0.30K","-9.40%"
"30/03/2020","14,900.0","14,900.0","14,900.0","14,900.0","0.10K","-9.70%"
"10/03/2020","16,500.0","14,900.0","14,900.0","14,900.0","-","0.00%"
"21/01/2020","16,500.0","14,900.0","14,900.0","14,900.0","-","10.74%"
"18/07/2019","14,900.0","14,900.0","14,900.0","14,900.0","-","-9.70%"
"15/07/2019","16,500.0","16,500.0","16,500.0","16,500.0","0.10K","7.14%"
"18/06/2019","15,400.0","15,400.0","15,400.0","15,400.0","0.10K","10.00%"
"11/06/2019","14,000.0","14,000.0","14,000.0","14,000.0","0.10K","9.38%"
"24/05/2019","12,800.0","12,800.0","12,800.0","12,800.0","0.10K","9.40%"
"06/05/2019","11,700.0","11,700.0","11,700.0","11,700.0","0.10K","9.35%"
"26/04/2019","10,700.0","10,700.0","10,700.0","10,700.0","0.10K","8.08%"
"23/04/2019","9,900.0","9,900.0","9,900.0","9,900.0","0.10K","10.00%"
"22/04/2019","9,000.0","10,800.0","10,800.0","9,000.0","3.10K","-9.09%"
"19/04/2019","9,900.0","9,900.0","9,900.0","9,900.0","0.10K","10.00%"
"12/04/2019","9,000.0","9,000.0","9,000.0","9,000.0","0.11K","9.76%"
"11/04/2019","8,200.0","8,300.0","8,300.0","8,200.0","0.40K","-8.89%"
"10/04/2019","9,000.0","9,000.0","9,000.0","9,000.0","0.30K","-9.09%"
"09/04/2019","9,900.0","9,900.0","9,900.0","9,900.0","0.20K","-10.00%"
"08/04/2019","11,000.0","11,000.0","11,000.0","11,000.0","0.10K","-9.84%"
"04/04/2019","12,200.0","12,200.0","12,200.0","12,200.0","0.10K","-9.63%"
"03/04/2019","13,500.0","13,500.0","13,500.0","13,500.0","0.10K","-9.40%"
"02/04/2019","14,900.0","14,900.0","14,900.0","14,900.0","0.10K","-9.70%"
"25/03/2019","16,500.0","16,500.0","16,500.0","16,500.0","0.10K","10.00%"
"08/01/2019","15,000.0","15,000.0","15,000.0","15,000.0","0.10K","9.49%"
