"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","900","900","900","900","2.00K","0.00%"
"28/04/2020","900","900","900","900","0.10K","12.50%"
"27/04/2020","800","1,000","1,000","800","6.10K","-11.11%"
"24/04/2020","900","900","900","900","0.10K","12.50%"
"23/04/2020","800","1,000","1,000","800","16.10K","-11.11%"
"22/04/2020","900","1,100","1,100","900","3.10K","-10.00%"
"20/04/2020","1,000","1,000","1,000","1,000","3.10K","0.00%"
"17/04/2020","1,000","1,000","1,000","1,000","1.10K","0.00%"
"16/04/2020","1,000","1,000","1,000","1,000","2.00K","-9.09%"
"13/04/2020","1,100","1,200","1,200","1,100","1.10K","0.00%"
"10/04/2020","1,100","1,100","1,100","1,100","1.01K","0.00%"
"08/04/2020","1,100","1,100","1,100","1,100","0.10K","10.00%"
"07/04/2020","1,000","1,000","1,000","1,000","0.10K","11.11%"
"06/04/2020","900","1,000","1,000","900","10.30K","0.00%"
"03/04/2020","900","1,000","1,000","900","10.10K","0.00%"
"01/04/2020","900","900","900","900","99.60K","-10.00%"
"31/03/2020","1,000","1,000","1,000","1,000","5.10K","-9.09%"
"27/03/2020","1,100","1,100","1,100","1,100","1.00K","0.00%"
"26/03/2020","1,100","1,100","1,100","1,100","0.10K","10.00%"
"25/03/2020","1,000","1,100","1,100","1,000","0.90K","0.00%"
"24/03/2020","1,000","1,000","1,000","1,000","19.40K","-9.09%"
"23/03/2020","1,100","1,300","1,300","1,100","3.10K","0.00%"
"20/03/2020","1,100","1,300","1,300","1,100","0.20K","-8.33%"
"19/03/2020","1,200","1,200","1,200","1,200","32.00K","-7.69%"
"17/03/2020","1,300","1,300","1,300","1,300","16.70K","-7.14%"
"16/03/2020","1,400","1,400","1,400","1,400","0.60K","7.69%"
"13/03/2020","1,300","1,300","1,300","1,300","0.30K","-13.33%"
"12/03/2020","1,500","1,500","1,500","1,400","3.80K","7.14%"
"11/03/2020","1,400","1,400","1,400","1,400","4.10K","0.00%"
"10/03/2020","1,400","1,300","1,400","1,300","3.80K","-6.67%"
"09/03/2020","1,500","1,300","1,500","1,300","152.30K","0.00%"
"06/03/2020","1,500","1,500","1,500","1,500","0.20K","0.00%"
"05/03/2020","1,500","1,500","1,600","1,500","17.30K","7.14%"
"04/03/2020","1,400","1,400","1,400","1,400","0.40K","-6.67%"
"03/03/2020","1,500","1,500","1,500","1,500","0.20K","7.14%"
"28/02/2020","1,400","1,400","1,400","1,400","10.00K","-6.67%"
"27/02/2020","1,500","1,500","1,500","1,500","0.60K","0.00%"
"26/02/2020","1,500","1,500","1,500","1,500","0.50K","-6.25%"
"21/02/2020","1,600","1,600","1,600","1,600","17.00K","0.00%"
"20/02/2020","1,600","1,600","1,600","1,500","25.15K","6.67%"
"19/02/2020","1,500","1,400","1,500","1,400","7.80K","7.14%"
"18/02/2020","1,400","1,400","1,400","1,400","22.50K","-12.50%"
"17/02/2020","1,600","1,400","1,600","1,300","7.00K","6.67%"
"14/02/2020","1,500","1,500","1,500","1,500","12.00K","-6.25%"
"12/02/2020","1,600","1,600","1,600","1,600","0.10K","-5.88%"
"11/02/2020","1,700","1,500","1,700","1,500","1.20K","0.00%"
"10/02/2020","1,700","1,700","1,700","1,700","0.16K","6.25%"
"05/02/2020","1,600","1,700","1,700","1,600","28.61K","-5.88%"
"04/02/2020","1,700","1,700","1,700","1,700","0.20K","0.00%"
"03/02/2020","1,700","1,600","1,700","1,600","2.70K","6.25%"
"31/01/2020","1,600","1,800","1,800","1,600","42.00K","-5.88%"
"30/01/2020","1,700","1,800","1,800","1,700","33.50K","0.00%"
"22/01/2020","1,700","1,600","1,700","1,600","70.50K","13.33%"
"21/01/2020","1,500","1,600","1,600","1,500","28.60K","0.00%"
"20/01/2020","1,500","1,500","1,500","1,500","20.10K","7.14%"
"17/01/2020","1,400","1,500","1,500","1,400","6.10K","0.00%"
"16/01/2020","1,400","1,400","1,500","1,400","43.50K","0.00%"
"15/01/2020","1,400","1,400","1,400","1,400","1.60K","0.00%"
"14/01/2020","1,400","1,300","1,400","1,300","15.48K","0.00%"
"13/01/2020","1,400","1,400","1,400","1,400","3.30K","-6.67%"
"10/01/2020","1,500","1,500","1,500","1,400","39.20K","0.00%"
