"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/04/2020","20,500.0","20,500.0","20,500.0","20,500.0","0.01K","-4.65%"
"24/04/2020","21,500.0","21,000.0","21,500.0","21,000.0","1.62K","6.97%"
"21/04/2020","20,100.0","20,100.0","20,100.0","20,100.0","0.12K","-2.43%"
"20/04/2020","20,600.0","20,600.0","20,600.0","20,600.0","0.02K","-5.94%"
"17/04/2020","21,900.0","21,900.0","21,900.0","21,900.0","0.20K","0.00%"
"16/04/2020","21,900.0","21,500.0","21,900.0","21,500.0","0.11K","6.83%"
"15/04/2020","20,500.0","20,500.0","20,500.0","20,500.0","0.03K","0.00%"
"14/04/2020","20,500.0","22,800.0","22,800.0","20,500.0","0.05K","-5.53%"
"13/04/2020","21,700.0","21,700.0","21,700.0","21,700.0","0.03K","4.83%"
"10/04/2020","20,700.0","20,800.0","20,800.0","20,200.0","0.05K","0.00%"
"09/04/2020","20,700.0","20,800.0","20,800.0","20,400.0","0.30K","6.15%"
"08/04/2020","19,500.0","19,300.0","19,500.0","19,300.0","0.04K","6.56%"
"07/04/2020","18,300.0","18,300.0","18,300.0","18,300.0","0.01K","6.71%"
"06/04/2020","17,150.0","17,150.0","17,150.0","17,150.0","0.01K","6.19%"
"03/04/2020","16,150.0","16,150.0","16,150.0","16,150.0","0.01K","-5.28%"
"01/04/2020","17,050.0","17,050.0","17,050.0","17,050.0","0.01K","-5.54%"
"31/03/2020","18,050.0","16,500.0","18,050.0","16,100.0","0.41K","6.80%"
"30/03/2020","16,900.0","17,000.0","17,000.0","16,900.0","1.17K","-6.63%"
"27/03/2020","18,100.0","18,050.0","20,000.0","18,050.0","0.08K","-6.70%"
"26/03/2020","19,400.0","19,400.0","19,400.0","19,400.0","0.01K","0.00%"
"25/03/2020","19,400.0","19,350.0","19,400.0","19,350.0","0.91K","-6.73%"
"24/03/2020","20,800.0","21,300.0","21,300.0","18,700.0","0.19K","4.00%"
"23/03/2020","20,000.0","20,900.0","20,900.0","18,600.0","0.12K","0.00%"
"20/03/2020","20,000.0","18,800.0","20,800.0","18,150.0","1.21K","2.56%"
"19/03/2020","19,500.0","19,500.0","19,500.0","19,500.0","0.17K","2.63%"
"17/03/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.01K","5.56%"
"16/03/2020","18,000.0","18,000.0","18,000.0","18,000.0","0.05K","4.05%"
