"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","7,500.0","7,600.0","7,600.0","7,500.0","3.75K","0.00%"
"04/05/2020","7,500.0","7,300.0","7,500.0","7,000.0","9.83K","2.74%"
"29/04/2020","7,300.0","7,100.0","7,300.0","7,100.0","2.10K","2.82%"
"28/04/2020","7,100.0","7,300.0","7,300.0","7,100.0","2.80K","-4.05%"
"27/04/2020","7,400.0","7,100.0","7,400.0","7,000.0","10.81K","8.82%"
"24/04/2020","6,800.0","7,000.0","7,000.0","6,800.0","52.50K","0.00%"
"23/04/2020","6,800.0","6,800.0","6,800.0","6,800.0","0.75K","0.00%"
"22/04/2020","6,800.0","6,800.0","6,900.0","6,500.0","2.31K","0.00%"
"21/04/2020","6,800.0","6,800.0","6,800.0","6,800.0","5.80K","-4.23%"
"20/04/2020","7,100.0","6,900.0","7,100.0","6,900.0","0.36K","1.43%"
"17/04/2020","7,000.0","7,000.0","7,000.0","7,000.0","5.08K","-2.78%"
"16/04/2020","7,200.0","7,000.0","7,200.0","7,000.0","2.33K","2.86%"
"15/04/2020","7,000.0","7,300.0","7,300.0","7,000.0","7.49K","-7.89%"
"14/04/2020","7,600.0","7,300.0","7,800.0","7,200.0","3.62K","5.56%"
"13/04/2020","7,200.0","7,000.0","7,200.0","6,900.0","5.26K","9.09%"
"10/04/2020","6,600.0","6,400.0","6,700.0","5,900.0","59.19K","1.54%"
"09/04/2020","6,500.0","7,100.0","7,100.0","6,500.0","13.41K","-8.45%"
"08/04/2020","7,100.0","7,900.0","7,900.0","7,100.0","3.61K","-8.97%"
"07/04/2020","7,800.0","8,300.0","8,300.0","7,700.0","9.94K","-7.14%"
"06/04/2020","8,400.0","8,500.0","8,500.0","8,400.0","10.10K","-1.18%"
"03/04/2020","8,500.0","8,400.0","8,500.0","8,400.0","13.67K","0.00%"
"01/04/2020","8,500.0","8,200.0","8,500.0","8,200.0","7.31K","4.94%"
"31/03/2020","8,100.0","8,600.0","8,600.0","8,100.0","14.19K","-6.90%"
"30/03/2020","8,700.0","8,600.0","8,700.0","8,600.0","27.50K","-2.25%"
"27/03/2020","8,900.0","8,800.0","8,900.0","8,600.0","49.83K","0.00%"
"26/03/2020","8,900.0","8,700.0","8,900.0","8,600.0","77.50K","1.14%"
"25/03/2020","8,800.0","8,600.0","8,800.0","8,600.0","29.63K","0.00%"
"24/03/2020","8,800.0","8,600.0","8,800.0","8,600.0","22.40K","0.00%"
"23/03/2020","8,800.0","8,600.0","8,800.0","8,300.0","82.71K","-1.12%"
"20/03/2020","8,900.0","8,600.0","8,900.0","8,600.0","2.00K","0.00%"
"19/03/2020","8,900.0","8,700.0","8,900.0","8,700.0","52.16K","0.00%"
"18/03/2020","8,900.0","8,600.0","8,900.0","8,600.0","13.06K","3.49%"
"17/03/2020","8,600.0","8,600.0","8,600.0","8,600.0","4.60K","-3.37%"
"16/03/2020","8,900.0","8,600.0","8,900.0","8,600.0","43.50K","0.00%"
"13/03/2020","8,900.0","8,600.0","8,900.0","8,600.0","7.00K","0.00%"
"12/03/2020","8,900.0","8,600.0","8,900.0","8,600.0","25.20K","0.00%"
"11/03/2020","8,900.0","9,100.0","9,100.0","8,900.0","7.02K","-4.30%"
"10/03/2020","9,300.0","8,600.0","9,300.0","8,600.0","38.20K","5.68%"
"09/03/2020","8,800.0","8,600.0","8,800.0","8,600.0","11.81K","-1.12%"
"06/03/2020","8,900.0","8,900.0","8,900.0","8,800.0","51.00K","-1.11%"
"05/03/2020","9,000.0","9,000.0","9,000.0","9,000.0","35.14K","1.12%"
"04/03/2020","8,900.0","8,900.0","8,900.0","8,900.0","49.48K","0.00%"
"03/03/2020","8,900.0","8,600.0","8,900.0","8,600.0","20.43K","-1.11%"
"02/03/2020","9,000.0","8,600.0","9,000.0","8,600.0","45.67K","1.12%"
"28/02/2020","8,900.0","8,600.0","8,900.0","8,600.0","14.60K","0.00%"
"27/02/2020","8,900.0","8,800.0","8,900.0","8,800.0","33.01K","0.00%"
"26/02/2020","8,900.0","8,600.0","8,900.0","8,600.0","3.70K","0.00%"
"25/02/2020","8,900.0","8,900.0","8,900.0","8,900.0","43.00K","0.00%"
"24/02/2020","8,900.0","8,600.0","8,900.0","8,600.0","5.12K","0.00%"
"21/02/2020","8,900.0","8,800.0","8,900.0","8,800.0","37.60K","1.14%"
"20/02/2020","8,800.0","8,600.0","9,000.0","8,600.0","31.66K","-1.12%"
"19/02/2020","8,900.0","8,900.0","8,900.0","8,900.0","0.21K","-1.11%"
"18/02/2020","9,000.0","8,900.0","9,000.0","8,900.0","45.50K","1.12%"
"17/02/2020","8,900.0","8,600.0","8,900.0","8,600.0","1.10K","0.00%"
"14/02/2020","8,900.0","8,800.0","8,900.0","8,800.0","25.60K","0.00%"
"13/02/2020","8,900.0","8,600.0","8,900.0","8,400.0","51.28K","0.00%"
"12/02/2020","8,900.0","8,700.0","8,900.0","8,600.0","10.00K","-1.11%"
"11/02/2020","9,000.0","9,000.0","9,000.0","9,000.0","26.50K","0.00%"
"10/02/2020","9,000.0","8,800.0","9,000.0","8,600.0","24.90K","0.00%"
"07/02/2020","9,000.0","9,000.0","9,000.0","9,000.0","6.00K","0.00%"
"06/02/2020","9,000.0","8,900.0","9,000.0","8,900.0","2.30K","0.00%"
"05/02/2020","9,000.0","8,600.0","9,000.0","8,300.0","22.60K","3.45%"
"04/02/2020","8,700.0","8,700.0","8,700.0","8,400.0","5.10K","-2.25%"
"03/02/2020","8,900.0","8,300.0","8,900.0","8,200.0","14.90K","0.00%"
"31/01/2020","8,900.0","8,700.0","8,900.0","8,500.0","9.40K","0.00%"
"22/01/2020","8,900.0","9,000.0","9,000.0","8,900.0","4.72K","-1.11%"
"21/01/2020","9,000.0","8,800.0","9,000.0","8,600.0","13.00K","1.12%"
"20/01/2020","8,900.0","8,800.0","8,900.0","8,600.0","10.00K","0.00%"
"17/01/2020","8,900.0","8,900.0","8,900.0","8,900.0","0.50K","0.00%"
"16/01/2020","8,900.0","8,900.0","8,900.0","8,900.0","0.20K","0.00%"
"15/01/2020","8,900.0","8,900.0","8,900.0","8,900.0","4.10K","-1.11%"
"14/01/2020","9,000.0","8,800.0","9,000.0","8,800.0","1.90K","0.00%"
"13/01/2020","9,000.0","9,000.0","9,000.0","9,000.0","20.30K","-5.26%"
"10/01/2020","9,500.0","9,800.0","10,000.0","9,500.0","52.32K","0.00%"
"09/01/2020","9,500.0","8,900.0","9,500.0","8,900.0","35.18K","9.20%"
"08/01/2020","8,700.0","8,700.0","8,700.0","8,700.0","0.30K","-6.45%"
"07/01/2020","9,300.0","8,500.0","9,300.0","8,500.0","46.10K","9.41%"
"06/01/2020","8,500.0","8,600.0","8,900.0","8,500.0","26.60K","-1.16%"
"03/01/2020","8,600.0","8,800.0","8,800.0","8,600.0","12.22K","-4.44%"
"02/01/2020","9,000.0","9,000.0","9,000.0","9,000.0","0.15K","-1.10%"
"31/12/2019","9,100.0","9,000.0","9,100.0","9,000.0","0.36K","0.00%"
"30/12/2019","9,100.0","8,800.0","9,100.0","8,600.0","29.60K","1.11%"
"27/12/2019","9,000.0","9,000.0","9,000.0","9,000.0","1.30K","1.12%"
"26/12/2019","8,900.0","9,000.0","9,000.0","8,900.0","1.42K","0.00%"
"25/12/2019","8,900.0","8,900.0","9,000.0","8,900.0","3.74K","-2.20%"
"24/12/2019","9,100.0","9,100.0","9,100.0","8,900.0","6.45K","0.00%"
"23/12/2019","9,100.0","9,500.0","9,500.0","9,100.0","22.00K","-3.19%"
"20/12/2019","9,400.0","9,500.0","9,500.0","9,300.0","23.74K","2.17%"
"19/12/2019","9,200.0","9,300.0","9,500.0","9,200.0","64.86K","-1.08%"
"18/12/2019","9,300.0","9,000.0","9,900.0","8,900.0","139.76K","3.33%"
"17/12/2019","9,000.0","8,900.0","9,000.0","8,600.0","61.40K","1.12%"
"16/12/2019","8,900.0","8,800.0","8,900.0","8,800.0","24.50K","0.00%"
"13/12/2019","8,900.0","8,900.0","8,900.0","8,900.0","42.20K","0.00%"
"12/12/2019","8,900.0","8,900.0","8,900.0","8,600.0","13.30K","0.00%"
"11/12/2019","8,900.0","8,900.0","8,900.0","8,900.0","0.20K","0.00%"
"10/12/2019","8,900.0","8,600.0","8,900.0","8,600.0","11.25K","0.00%"
"09/12/2019","8,900.0","8,700.0","9,300.0","8,700.0","0.90K","0.00%"
"06/12/2019","8,900.0","9,100.0","9,100.0","8,900.0","4.40K","-7.29%"
"05/12/2019","9,600.0","9,600.0","9,600.0","9,600.0","29.30K","7.87%"
"04/12/2019","8,900.0","8,900.0","8,900.0","8,900.0","8.09K","2.30%"
"03/12/2019","8,700.0","8,700.0","8,700.0","8,700.0","1.10K","-2.25%"
"02/12/2019","8,900.0","8,900.0","8,900.0","8,900.0","1.20K","-1.11%"
"29/11/2019","9,000.0","8,600.0","9,000.0","8,600.0","29.14K","1.12%"
"28/11/2019","8,900.0","8,900.0","8,900.0","8,900.0","0.20K","-1.11%"
"27/11/2019","9,000.0","9,000.0","9,000.0","9,000.0","24.00K","1.12%"
"26/11/2019","8,900.0","8,900.0","8,900.0","8,900.0","0.20K","0.00%"
"25/11/2019","8,900.0","8,900.0","9,000.0","8,900.0","23.58K","0.00%"
"22/11/2019","8,900.0","8,700.0","8,900.0","8,700.0","0.60K","-1.11%"
"21/11/2019","9,000.0","8,700.0","9,000.0","8,700.0","23.44K","1.12%"
"20/11/2019","8,900.0","8,900.0","8,900.0","8,900.0","14.20K","-1.11%"
"19/11/2019","9,000.0","9,000.0","9,000.0","9,000.0","25.00K","1.12%"
"18/11/2019","8,900.0","8,900.0","8,900.0","8,900.0","0.22K","-1.11%"
"15/11/2019","9,000.0","9,000.0","9,000.0","9,000.0","20.30K","1.12%"
"14/11/2019","8,900.0","8,600.0","9,300.0","8,600.0","41.64K","-1.11%"
"13/11/2019","9,000.0","9,000.0","9,000.0","9,000.0","21.00K","1.12%"
"12/11/2019","8,900.0","8,600.0","8,900.0","8,600.0","1.20K","-1.11%"
"11/11/2019","9,000.0","9,000.0","9,000.0","9,000.0","21.00K","1.12%"
"08/11/2019","8,900.0","8,900.0","8,900.0","8,900.0","0.75K","-1.11%"
"07/11/2019","9,000.0","9,000.0","9,000.0","9,000.0","0.30K","0.00%"
"06/11/2019","9,000.0","9,000.0","9,000.0","9,000.0","23.00K","1.12%"
"05/11/2019","8,900.0","9,000.0","9,000.0","8,900.0","3.50K","-2.20%"
"04/11/2019","9,100.0","9,000.0","9,100.0","9,000.0","38.03K","1.11%"
"01/11/2019","9,000.0","8,700.0","9,000.0","8,700.0","59.21K","0.00%"
"31/10/2019","9,000.0","9,000.0","9,000.0","9,000.0","10.16K","-3.23%"
"30/10/2019","9,300.0","8,700.0","9,300.0","8,700.0","46.80K","6.90%"
"29/10/2019","8,700.0","8,700.0","8,700.0","8,700.0","0.30K","0.00%"
"28/10/2019","8,700.0","8,700.0","8,700.0","8,700.0","0.30K","-2.25%"
