"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","400.00","600.00","600.00","400.00","24.70K","-20.00%"
"17/04/2020","500.00","600.00","600.00","500.00","1.30K","-16.67%"
"10/04/2020","600.00","600.00","700.00","600.00","32.00K","-14.29%"
"03/04/2020","700.00","900.00","900.00","700.00","32.40K","-12.50%"
"27/03/2020","800.00","800.00","800.00","800.00","78.03K","-11.11%"
"20/03/2020","900.00","1,100.00","1,100.00","900.00","65.10K","-10.00%"
"13/03/2020","1,000.00","1,000.00","1,000.00","1,000.00","15.50K","-9.09%"
"06/03/2020","1,100.00","1,200.00","1,300.00","1,100.00","33.93K","-8.33%"
"28/02/2020","1,200.00","1,200.00","1,200.00","1,200.00","1.70K","-7.69%"
"21/02/2020","1,300.00","1,300.00","1,300.00","1,300.00","0.70K","-7.14%"
"14/02/2020","1,400.00","1,400.00","1,400.00","1,400.00","0.20K","7.69%"
"31/01/2020","1,300.00","1,200.00","1,300.00","1,200.00","10.20K","8.33%"
"17/01/2020","1,200.00","1,100.00","1,200.00","1,000.00","2.30K","9.09%"
"10/01/2020","1,100.00","1,300.00","1,300.00","1,100.00","1.80K","-8.33%"
"03/01/2020","1,200.00","1,100.00","1,200.00","1,100.00","2.50K","0.00%"
"27/12/2019","1,200.00","1,200.00","1,200.00","1,200.00","23.90K","-7.69%"
"20/12/2019","1,300.00","1,200.00","1,300.00","1,200.00","15.80K","0.00%"
"13/12/2019","1,300.00","1,200.00","1,300.00","1,200.00","7.10K","0.00%"
"06/12/2019","1,300.00","1,300.00","1,400.00","1,300.00","6.20K","-7.14%"
"29/11/2019","1,400.00","1,400.00","1,400.00","1,400.00","6.00K","-6.67%"
"22/11/2019","1,500.00","1,500.00","1,500.00","1,500.00","9.50K","-6.25%"
"15/11/2019","1,600.00","1,600.00","1,600.00","1,600.00","0.70K","-5.88%"
"08/11/2019","1,700.00","1,700.00","1,700.00","1,700.00","13.00K","-5.56%"
"01/11/2019","1,800.00","1,800.00","1,800.00","1,800.00","1.57K","-10.00%"
"25/10/2019","2,000.00","2,000.00","2,400.00","2,000.00","0.50K","-9.09%"
"18/10/2019","2,200.00","1,900.00","2,200.00","1,900.00","0.20K","10.00%"
"11/10/2019","2,000.00","2,000.00","2,000.00","2,000.00","0.20K","0.00%"
"30/09/2019","2,000.00","1,900.00","2,000.00","1,800.00","1.60K","5.26%"
"23/09/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.20K","5.56%"
"20/09/2019","1,800.00","1,800.00","1,800.00","1,800.00","1.40K","5.88%"
"19/09/2019","1,700.00","1,700.00","1,800.00","1,700.00","1.70K","-5.56%"
"17/09/2019","1,800.00","1,800.00","1,800.00","1,700.00","2.90K","0.00%"
"16/09/2019","1,800.00","1,900.00","1,900.00","1,800.00","0.40K","-5.26%"
"12/09/2019","1,900.00","1,900.00","1,900.00","1,800.00","0.95K","0.00%"
"11/09/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.20K","5.56%"
"10/09/2019","1,800.00","1,800.00","1,800.00","1,800.00","1.25K","0.00%"
"09/09/2019","1,800.00","1,900.00","2,000.00","1,800.00","9.80K","-5.26%"
"06/09/2019","1,900.00","1,800.00","1,900.00","1,800.00","0.60K","5.56%"
"05/09/2019","1,800.00","1,800.00","1,800.00","1,800.00","0.45K","5.88%"
"04/09/2019","1,700.00","1,700.00","1,700.00","1,700.00","0.20K","-5.56%"
"29/08/2019","1,800.00","1,800.00","1,800.00","1,800.00","1.75K","0.00%"
"28/08/2019","1,800.00","1,800.00","1,800.00","1,800.00","1.70K","-5.26%"
"27/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.30K","-5.00%"
"21/08/2019","2,000.00","1,900.00","2,000.00","1,800.00","0.71K","5.26%"
"20/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.70K","0.00%"
"19/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.70K","0.00%"
"16/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.50K","0.00%"
"15/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.70K","0.00%"
"14/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","1.00K","0.00%"
"13/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","2.00K","-5.00%"
"12/08/2019","2,000.00","1,800.00","2,000.00","1,800.00","1.10K","5.26%"
"09/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","6.80K","0.00%"
"08/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.70K","0.00%"
"07/08/2019","1,900.00","1,900.00","1,900.00","1,900.00","0.10K","5.56%"
"06/08/2019","1,800.00","1,800.00","1,800.00","1,800.00","1.06K","5.88%"
"05/08/2019","1,700.00","1,800.00","1,900.00","1,700.00","2.50K","-5.56%"
"02/08/2019","1,800.00","1,900.00","1,900.00","1,800.00","10.80K","-5.26%"
"01/08/2019","1,900.00","1,900.00","1,900.00","1,800.00","2.40K","5.56%"
"31/07/2019","1,800.00","1,800.00","1,800.00","1,800.00","2.00K","-5.26%"
"24/07/2019","1,900.00","1,900.00","1,900.00","1,800.00","5.80K","-5.00%"
"22/07/2019","2,000.00","1,900.00","2,000.00","1,900.00","1.30K","0.00%"
"18/07/2019","2,000.00","1,900.00","2,000.00","1,900.00","14.70K","5.26%"
"17/07/2019","1,900.00","2,000.00","2,000.00","1,900.00","6.10K","-5.00%"
"16/07/2019","2,000.00","2,000.00","2,000.00","2,000.00","1.50K","5.26%"
"15/07/2019","1,900.00","1,800.00","1,900.00","1,800.00","7.20K","5.56%"
"12/07/2019","1,800.00","1,900.00","1,900.00","1,800.00","5.00K","-10.00%"
"11/07/2019","2,000.00","2,000.00","2,000.00","2,000.00","7.38K","-9.09%"
"10/07/2019","2,200.00","2,000.00","2,200.00","2,000.00","1.90K","10.00%"
"09/07/2019","2,000.00","1,900.00","2,000.00","1,900.00","1.10K","0.00%"
"08/07/2019","2,000.00","2,000.00","2,000.00","2,000.00","1.50K","0.00%"
"05/07/2019","2,000.00","2,000.00","2,000.00","2,000.00","3.90K","-9.09%"
"04/07/2019","2,200.00","2,300.00","2,300.00","2,200.00","1.90K","-8.33%"
"02/07/2019","2,400.00","2,400.00","2,600.00","2,400.00","0.60K","0.00%"
"28/06/2019","2,400.00","2,400.00","2,400.00","2,400.00","5.00K","-7.69%"
"26/06/2019","2,600.00","2,600.00","2,600.00","2,600.00","0.10K","8.33%"
"25/06/2019","2,400.00","2,200.00","2,400.00","2,200.00","0.41K","9.09%"
"21/06/2019","2,200.00","2,200.00","2,200.00","2,200.00","0.10K","0.00%"
"20/06/2019","2,200.00","2,200.00","2,200.00","2,000.00","3.30K","0.00%"
"19/06/2019","2,200.00","2,100.00","2,200.00","2,100.00","0.20K","4.76%"
"18/06/2019","2,100.00","2,000.00","2,100.00","2,000.00","1.50K","5.00%"
"17/06/2019","2,000.00","2,000.00","2,000.00","2,000.00","1.00K","0.00%"
"14/06/2019","2,000.00","2,000.00","2,100.00","2,000.00","20.70K","0.00%"
"13/06/2019","2,000.00","2,000.00","2,000.00","2,000.00","15.00K","0.00%"
"12/06/2019","2,000.00","2,000.00","2,000.00","2,000.00","4.20K","0.00%"
"10/06/2019","2,000.00","2,000.00","2,000.00","2,000.00","6.30K","5.26%"
"07/06/2019","1,900.00","2,100.00","2,100.00","1,900.00","5.90K","-9.52%"
"06/06/2019","2,100.00","2,100.00","2,100.00","2,100.00","5.20K","0.00%"
"05/06/2019","2,100.00","2,200.00","2,200.00","2,100.00","11.40K","0.00%"
"04/06/2019","2,100.00","2,100.00","2,100.00","2,100.00","35.70K","0.00%"
"31/05/2019","2,100.00","2,000.00","2,100.00","2,000.00","22.00K","5.00%"
"30/05/2019","2,000.00","2,100.00","2,100.00","2,000.00","5.90K","-9.09%"
"29/05/2019","2,200.00","2,000.00","2,200.00","2,000.00","0.30K","10.00%"
"27/05/2019","2,000.00","2,100.00","2,200.00","2,000.00","20.30K","-9.09%"
"24/05/2019","2,200.00","2,100.00","2,200.00","2,100.00","8.70K","-4.35%"
"23/05/2019","2,300.00","2,200.00","2,300.00","2,200.00","9.20K","4.55%"
"22/05/2019","2,200.00","2,200.00","2,300.00","2,000.00","44.90K","0.00%"
"21/05/2019","2,200.00","2,000.00","2,200.00","2,000.00","5.10K","4.76%"
"20/05/2019","2,100.00","2,100.00","2,100.00","2,100.00","12.60K","-8.70%"
"17/05/2019","2,300.00","2,300.00","2,300.00","2,300.00","0.10K","9.52%"
"16/05/2019","2,100.00","2,200.00","2,200.00","2,100.00","7.80K","5.00%"
"15/05/2019","2,000.00","1,800.00","2,000.00","1,800.00","6.60K","5.26%"
"14/05/2019","1,900.00","2,000.00","2,000.00","1,900.00","10.00K","-9.52%"
"13/05/2019","2,100.00","2,000.00","2,100.00","2,000.00","1.10K","0.00%"
"10/05/2019","2,100.00","1,900.00","2,100.00","1,900.00","1.90K","0.00%"
"09/05/2019","2,100.00","2,100.00","2,100.00","1,900.00","0.30K","0.00%"
"08/05/2019","2,100.00","2,200.00","2,200.00","2,000.00","0.30K","5.00%"
"07/05/2019","2,000.00","2,000.00","2,000.00","2,000.00","1.00K","-4.76%"
