"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","17,950.0","17,800.0","18,200.0","17,600.0","13.08K","0.00%"
"04/05/2020","17,950.0","17,800.0","17,950.0","17,700.0","22.91K","-1.37%"
"29/04/2020","18,200.0","17,800.0","18,350.0","17,800.0","38.60K","2.54%"
"28/04/2020","17,750.0","18,450.0","18,450.0","17,750.0","35.54K","-1.39%"
"27/04/2020","18,000.0","18,200.0","18,500.0","17,850.0","70.89K","-0.55%"
"24/04/2020","18,100.0","18,000.0","18,100.0","17,750.0","24.18K","0.56%"
"23/04/2020","18,000.0","18,800.0","18,800.0","17,950.0","45.13K","-1.10%"
"22/04/2020","18,200.0","17,500.0","18,200.0","17,500.0","48.47K","2.25%"
"21/04/2020","17,800.0","18,000.0","18,000.0","17,300.0","93.60K","-1.39%"
"20/04/2020","18,050.0","18,200.0","18,650.0","18,000.0","113.84K","-3.48%"
"17/04/2020","18,700.0","19,600.0","19,600.0","18,700.0","105.55K","-0.80%"
"16/04/2020","18,850.0","19,000.0","19,000.0","18,500.0","56.74K","-0.53%"
"15/04/2020","18,950.0","18,600.0","18,950.0","18,000.0","139.83K","1.61%"
"14/04/2020","18,650.0","19,250.0","19,250.0","18,200.0","215.65K","2.19%"
"13/04/2020","18,250.0","17,400.0","18,250.0","17,400.0","92.49K","6.73%"
"10/04/2020","17,100.0","16,450.0","17,100.0","16,000.0","143.73K","6.88%"
"09/04/2020","16,000.0","16,350.0","16,400.0","15,600.0","144.08K","3.23%"
"08/04/2020","15,500.0","15,200.0","15,900.0","15,200.0","61.35K","-1.27%"
"07/04/2020","15,700.0","17,000.0","17,000.0","15,500.0","106.75K","-3.98%"
"06/04/2020","16,350.0","16,000.0","16,400.0","15,900.0","143.08K","6.17%"
"03/04/2020","15,400.0","14,950.0","15,550.0","14,950.0","104.60K","3.01%"
"01/04/2020","14,950.0","15,100.0","15,200.0","14,850.0","162.63K","1.70%"
"31/03/2020","14,700.0","15,150.0","15,300.0","14,700.0","498.82K","-2.97%"
"30/03/2020","15,150.0","16,000.0","16,000.0","15,000.0","87.91K","-5.31%"
"27/03/2020","16,000.0","16,600.0","16,600.0","16,000.0","155.67K","-4.76%"
"26/03/2020","16,800.0","17,200.0","17,200.0","16,800.0","33.16K","-2.33%"
"25/03/2020","17,200.0","17,400.0","17,650.0","17,100.0","36.68K","0.00%"
"24/03/2020","17,200.0","17,700.0","17,700.0","17,050.0","19.97K","-0.58%"
"23/03/2020","17,300.0","17,600.0","18,400.0","17,300.0","464.44K","-6.99%"
"20/03/2020","18,600.0","18,000.0","18,650.0","17,800.0","122.57K","3.33%"
"19/03/2020","18,000.0","17,300.0","18,300.0","17,300.0","184.36K","0.00%"
"18/03/2020","18,000.0","17,950.0","18,300.0","17,500.0","196.42K","0.28%"
"17/03/2020","17,950.0","16,600.0","18,000.0","16,600.0","157.65K","5.90%"
"16/03/2020","16,950.0","16,900.0","17,000.0","16,550.0","433.45K","1.50%"
"13/03/2020","16,700.0","15,550.0","17,000.0","15,550.0","185.09K","0.30%"
"12/03/2020","16,650.0","17,850.0","17,850.0","16,650.0","389.54K","-6.72%"
"11/03/2020","17,850.0","18,800.0","19,000.0","17,200.0","372.19K","-3.25%"
"10/03/2020","18,450.0","17,650.0","18,450.0","17,600.0","203.68K","0.00%"
"09/03/2020","18,450.0","18,600.0","19,300.0","18,450.0","356.47K","-6.82%"
"06/03/2020","19,800.0","18,850.0","19,800.0","18,850.0","126.89K","0.00%"
"05/03/2020","19,800.0","20,000.0","20,700.0","19,700.0","222.97K","-1.00%"
"04/03/2020","20,000.0","19,350.0","20,000.0","19,000.0","64.52K","3.36%"
"03/03/2020","19,350.0","18,650.0","20,000.0","18,600.0","267.82K","2.11%"
"02/03/2020","18,950.0","18,800.0","19,700.0","18,550.0","201.37K","-2.32%"
"28/02/2020","19,400.0","19,000.0","19,500.0","18,450.0","590.80K","-2.02%"
"27/02/2020","19,800.0","20,500.0","20,700.0","19,400.0","362.86K","-3.41%"
"26/02/2020","20,500.0","20,800.0","20,950.0","20,300.0","230.18K","-1.91%"
"25/02/2020","20,900.0","20,500.0","21,000.0","20,200.0","243.19K","1.95%"
"24/02/2020","20,500.0","20,400.0","20,800.0","19,500.0","441.64K","0.00%"
"21/02/2020","20,500.0","19,500.0","20,750.0","19,400.0","787.85K","5.67%"
"20/02/2020","19,400.0","19,000.0","19,400.0","18,850.0","245.38K","2.11%"
"19/02/2020","19,000.0","19,100.0","19,200.0","18,850.0","189.10K","1.33%"
"18/02/2020","18,750.0","18,100.0","19,000.0","18,100.0","294.04K","3.59%"
"17/02/2020","18,100.0","17,700.0","18,200.0","17,500.0","166.11K","2.26%"
"14/02/2020","17,700.0","17,700.0","18,050.0","17,400.0","150.13K","-0.56%"
"13/02/2020","17,800.0","18,600.0","18,600.0","17,500.0","114.72K","-3.26%"
"12/02/2020","18,400.0","17,900.0","18,800.0","17,900.0","73.31K","2.79%"
"11/02/2020","17,900.0","17,350.0","18,300.0","17,350.0","173.13K","3.17%"
"10/02/2020","17,350.0","17,000.0","17,400.0","16,800.0","127.68K","2.06%"
"07/02/2020","17,000.0","16,900.0","17,200.0","16,700.0","226.42K","0.59%"
"06/02/2020","16,900.0","16,500.0","16,900.0","16,300.0","68.80K","2.42%"
"05/02/2020","16,500.0","16,300.0","16,600.0","16,200.0","153.78K","1.54%"
"04/02/2020","16,250.0","15,750.0","16,300.0","15,300.0","326.99K","3.17%"
"03/02/2020","15,750.0","16,100.0","16,150.0","15,350.0","425.53K","-4.55%"
"31/01/2020","16,500.0","17,000.0","17,000.0","16,500.0","188.09K","-2.94%"
"30/01/2020","17,000.0","17,400.0","17,400.0","16,800.0","90.10K","-2.30%"
"22/01/2020","17,400.0","17,300.0","17,550.0","17,150.0","132.90K","1.46%"
"21/01/2020","17,150.0","16,750.0","17,300.0","16,750.0","133.97K","1.48%"
"20/01/2020","16,900.0","16,800.0","17,100.0","16,800.0","37.05K","0.00%"
"17/01/2020","16,900.0","17,100.0","17,100.0","16,800.0","83.78K","-1.17%"
"16/01/2020","17,100.0","16,500.0","17,200.0","16,500.0","224.89K","3.01%"
"15/01/2020","16,600.0","16,500.0","16,600.0","16,500.0","62.49K","0.30%"
"14/01/2020","16,550.0","16,700.0","16,700.0","16,550.0","104.98K","-0.90%"
"13/01/2020","16,700.0","16,600.0","16,800.0","16,600.0","88.58K","0.30%"
"10/01/2020","16,650.0","16,450.0","16,750.0","16,400.0","143.22K","1.52%"
