"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","800","700","800","700","9.30K","0.00%"
"29/04/2020","800","700","800","700","5.80K","14.29%"
"28/04/2020","700","800","800","700","3.90K","-12.50%"
"27/04/2020","800","800","800","800","0.10K","0.00%"
"24/04/2020","800","800","800","800","0.10K","14.29%"
"23/04/2020","700","800","800","700","3.50K","-12.50%"
"22/04/2020","800","800","800","800","0.10K","0.00%"
"21/04/2020","800","800","800","800","0.10K","0.00%"
"20/04/2020","800","700","800","700","0.20K","14.29%"
"17/04/2020","700","700","800","700","3.93K","0.00%"
"16/04/2020","700","700","700","700","7.30K","-12.50%"
"15/04/2020","800","800","800","800","1.55K","14.29%"
"14/04/2020","700","800","800","700","12.30K","-12.50%"
"13/04/2020","800","800","800","800","1.30K","0.00%"
"10/04/2020","800","800","800","800","0.30K","14.29%"
"09/04/2020","700","800","800","700","63.00K","-22.22%"
"08/04/2020","900","800","900","800","1.70K","12.50%"
"07/04/2020","800","900","900","800","2.60K","0.00%"
"06/04/2020","800","800","800","700","15.20K","14.29%"
"03/04/2020","700","700","700","700","4.16K","0.00%"
"01/04/2020","700","600","700","500","11.70K","0.00%"
"31/03/2020","700","600","700","600","38.20K","0.00%"
"30/03/2020","700","700","700","700","4.90K","-12.50%"
"27/03/2020","800","800","800","800","28.70K","-11.11%"
"26/03/2020","900","900","1,000","900","39.60K","-10.00%"
"25/03/2020","1,000","1,100","1,100","1,000","15.40K","-9.09%"
"24/03/2020","1,100","1,100","1,200","1,100","34.10K","0.00%"
"23/03/2020","1,100","1,300","1,300","1,100","151.80K","-8.33%"
"20/03/2020","1,200","1,200","1,200","1,200","76.80K","9.09%"
"19/03/2020","1,100","1,100","1,100","1,100","46.90K","10.00%"
"18/03/2020","1,000","1,000","1,000","1,000","0.30K","11.11%"
"17/03/2020","900","900","900","900","0.50K","12.50%"
"16/03/2020","800","900","900","800","0.30K","0.00%"
"13/03/2020","800","800","800","800","41.90K","0.00%"
"12/03/2020","800","800","800","800","31.40K","0.00%"
"11/03/2020","800","900","900","800","6.90K","0.00%"
"10/03/2020","800","700","800","700","110.50K","0.00%"
"09/03/2020","800","800","800","800","3.90K","0.00%"
"06/03/2020","800","900","900","800","25.70K","-11.11%"
"05/03/2020","900","1,000","1,000","900","15.80K","0.00%"
