"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","16,500.0","17,100.0","17,100.0","16,500.0","4.10K","-5.44%"
"04/05/2020","17,450.0","17,550.0","17,700.0","16,100.0","4.81K","2.05%"
"29/04/2020","17,100.0","17,700.0","17,700.0","17,100.0","0.02K","0.59%"
"28/04/2020","17,000.0","17,300.0","17,750.0","16,400.0","2.99K","2.41%"
"27/04/2020","16,600.0","17,300.0","17,300.0","16,600.0","4.17K","-1.19%"
"24/04/2020","16,800.0","17,000.0","17,000.0","16,150.0","4.78K","-1.18%"
"23/04/2020","17,000.0","16,450.0","17,000.0","16,000.0","5.78K","5.26%"
"22/04/2020","16,150.0","15,650.0","16,150.0","15,650.0","2.01K","-2.12%"
"21/04/2020","16,500.0","16,300.0","16,500.0","15,900.0","1.50K","-3.23%"
"20/04/2020","17,050.0","17,150.0","17,150.0","17,050.0","5.79K","-0.87%"
"17/04/2020","17,200.0","17,100.0","17,400.0","16,900.0","7.44K","0.58%"
"16/04/2020","17,100.0","16,000.0","17,100.0","16,000.0","11.04K","6.21%"
"15/04/2020","16,100.0","16,300.0","16,300.0","16,100.0","7.11K","-0.31%"
"14/04/2020","16,150.0","16,300.0","16,300.0","16,100.0","7.51K","2.22%"
"13/04/2020","15,800.0","16,500.0","16,500.0","15,800.0","4.40K","0.64%"
"10/04/2020","15,700.0","16,400.0","17,000.0","15,700.0","6.40K","-4.27%"
"09/04/2020","16,400.0","15,800.0","16,400.0","15,800.0","0.42K","1.55%"
"08/04/2020","16,150.0","15,800.0","16,150.0","15,500.0","1.83K","-2.71%"
"07/04/2020","16,600.0","16,600.0","16,600.0","16,600.0","0.01K","3.75%"
"06/04/2020","16,000.0","15,900.0","16,400.0","15,800.0","3.21K","0.63%"
"03/04/2020","15,900.0","16,300.0","16,300.0","15,900.0","1.86K","-1.55%"
"01/04/2020","16,150.0","15,400.0","16,150.0","15,400.0","10.47K","6.95%"
"31/03/2020","15,100.0","15,100.0","15,900.0","15,100.0","0.22K","-5.03%"
"30/03/2020","15,900.0","15,900.0","15,900.0","15,000.0","2.65K","-0.63%"
"27/03/2020","16,000.0","15,100.0","16,000.0","15,100.0","6.02K","0.00%"
"26/03/2020","16,000.0","15,600.0","16,000.0","15,500.0","1.03K","-3.03%"
"25/03/2020","16,500.0","16,700.0","16,800.0","15,500.0","10.67K","-0.60%"
"24/03/2020","16,600.0","17,700.0","17,700.0","15,600.0","3.73K","-0.30%"
"23/03/2020","16,650.0","16,700.0","17,000.0","16,650.0","4.47K","-6.98%"
"20/03/2020","17,900.0","17,500.0","18,300.0","17,500.0","0.16K","2.58%"
"19/03/2020","17,450.0","17,500.0","17,500.0","16,700.0","1.40K","-2.51%"
"18/03/2020","17,900.0","17,600.0","17,900.0","17,600.0","3.80K","-0.56%"
"17/03/2020","18,000.0","18,000.0","18,150.0","18,000.0","0.56K","-4.26%"
"16/03/2020","18,800.0","18,800.0","18,800.0","18,800.0","0.01K","3.30%"
"13/03/2020","18,200.0","17,800.0","18,200.0","17,700.0","5.08K","-4.21%"
"12/03/2020","19,000.0","18,800.0","19,300.0","18,800.0","1.10K","1.06%"
"11/03/2020","18,800.0","18,900.0","18,900.0","17,800.0","14.90K","-1.05%"
"10/03/2020","19,000.0","18,000.0","19,000.0","17,400.0","10.20K","2.98%"
"09/03/2020","18,450.0","18,500.0","18,500.0","18,450.0","2.21K","-6.82%"
"05/03/2020","19,800.0","19,000.0","19,800.0","18,600.0","9.14K","3.66%"
"04/03/2020","19,100.0","19,800.0","20,500.0","19,100.0","6.84K","-2.05%"
"03/03/2020","19,500.0","19,500.0","19,500.0","19,500.0","0.01K","1.30%"
"02/03/2020","19,250.0","18,400.0","19,350.0","18,400.0","18.34K","6.35%"
"28/02/2020","18,100.0","18,100.0","18,100.0","18,100.0","6.00K","-1.09%"
"27/02/2020","18,300.0","18,300.0","18,300.0","17,300.0","1.36K","0.00%"
"26/02/2020","18,300.0","17,600.0","18,600.0","17,600.0","2.14K","1.39%"
"25/02/2020","18,050.0","18,050.0","18,800.0","17,900.0","4.61K","-5.99%"
"24/02/2020","19,200.0","18,300.0","19,200.0","17,950.0","3.50K","-0.52%"
"21/02/2020","19,300.0","18,800.0","19,300.0","18,800.0","0.97K","-0.52%"
"20/02/2020","19,400.0","19,400.0","19,400.0","19,400.0","1.44K","2.65%"
"19/02/2020","18,900.0","19,600.0","19,650.0","18,900.0","2.91K","-2.83%"
"18/02/2020","19,450.0","19,000.0","19,450.0","18,800.0","2.71K","-1.52%"
"17/02/2020","19,750.0","18,900.0","19,750.0","18,800.0","1.82K","-0.25%"
"14/02/2020","19,800.0","19,200.0","19,800.0","19,100.0","1.76K","0.51%"
"13/02/2020","19,700.0","19,700.0","19,700.0","19,700.0","0.51K","-0.76%"
"12/02/2020","19,850.0","19,850.0","19,850.0","19,850.0","0.07K","0.00%"
"11/02/2020","19,850.0","19,850.0","19,850.0","19,850.0","0.01K","0.00%"
"10/02/2020","19,850.0","19,000.0","19,850.0","18,600.0","9.09K","-0.75%"
"07/02/2020","20,000.0","20,000.0","20,000.0","19,450.0","9.04K","0.50%"
"06/02/2020","19,900.0","19,100.0","20,200.0","19,100.0","11.09K","4.19%"
"05/02/2020","19,100.0","18,950.0","19,100.0","18,300.0","12.13K","0.53%"
"04/02/2020","19,000.0","18,100.0","19,000.0","17,900.0","20.64K","0.26%"
"03/02/2020","18,950.0","18,600.0","18,950.0","18,250.0","7.87K","-3.32%"
"31/01/2020","19,600.0","19,700.0","19,900.0","19,000.0","11.54K","-2.00%"
"30/01/2020","20,000.0","19,300.0","20,500.0","18,800.0","0.60K","2.56%"
"22/01/2020","19,500.0","19,800.0","20,300.0","19,500.0","1.75K","-6.70%"
"21/01/2020","20,900.0","19,500.0","21,200.0","19,500.0","145.52K","5.03%"
"20/01/2020","19,900.0","19,900.0","19,900.0","19,500.0","17.10K","4.74%"
"17/01/2020","19,000.0","19,400.0","19,600.0","19,000.0","8.48K","2.70%"
"16/01/2020","18,500.0","18,900.0","19,400.0","18,500.0","15.18K","1.93%"
"15/01/2020","18,150.0","18,900.0","19,000.0","18,150.0","8.24K","0.83%"
"14/01/2020","18,000.0","18,600.0","18,850.0","18,000.0","6.37K","0.00%"
"13/01/2020","18,000.0","18,700.0","18,900.0","17,700.0","10.26K","1.69%"
"10/01/2020","17,700.0","18,000.0","19,000.0","17,700.0","24.73K","-1.67%"
"09/01/2020","18,000.0","18,000.0","18,200.0","17,200.0","9.21K","0.00%"
"08/01/2020","18,000.0","18,000.0","18,200.0","18,000.0","11.83K","-2.17%"
"07/01/2020","18,400.0","17,700.0","18,600.0","17,700.0","7.13K","0.82%"
"06/01/2020","18,250.0","17,700.0","18,250.0","17,700.0","19.97K","6.73%"
"03/01/2020","17,100.0","18,350.0","18,350.0","17,100.0","18.49K","-3.93%"
"02/01/2020","17,800.0","17,700.0","17,800.0","16,950.0","37.92K","-2.20%"
"31/12/2019","18,200.0","18,200.0","18,500.0","17,900.0","10.52K","-2.93%"
"30/12/2019","18,750.0","18,900.0","18,900.0","18,300.0","3.93K","-1.32%"
"26/12/2019","19,000.0","18,500.0","19,000.0","18,200.0","12.50K","-1.55%"
"25/12/2019","19,300.0","18,500.0","19,300.0","18,500.0","0.23K","-1.03%"
"24/12/2019","19,500.0","19,000.0","19,900.0","18,400.0","2.94K","4.00%"
"23/12/2019","18,750.0","18,250.0","18,750.0","18,250.0","0.70K","0.27%"
"20/12/2019","18,700.0","18,200.0","18,700.0","18,200.0","1.54K","-0.53%"
"19/12/2019","18,800.0","18,400.0","18,800.0","18,100.0","0.25K","0.53%"
"18/12/2019","18,700.0","18,300.0","18,700.0","18,200.0","1.30K","-1.32%"
"17/12/2019","18,950.0","18,350.0","18,950.0","18,150.0","12.25K","-0.79%"
"16/12/2019","19,100.0","18,900.0","19,500.0","18,900.0","7.81K","0.79%"
"13/12/2019","18,950.0","18,300.0","18,950.0","18,200.0","5.06K","-0.26%"
"12/12/2019","19,000.0","18,000.0","19,000.0","18,000.0","4.20K","1.33%"
"11/12/2019","18,750.0","18,200.0","18,750.0","18,200.0","3.25K","-0.53%"
"10/12/2019","18,850.0","18,200.0","18,850.0","18,200.0","2.01K","0.00%"
"09/12/2019","18,850.0","18,200.0","18,850.0","18,200.0","1.59K","-1.31%"
"05/12/2019","19,100.0","18,300.0","19,100.0","18,200.0","2.41K","-1.04%"
"04/12/2019","19,300.0","19,300.0","19,300.0","19,300.0","0.01K","1.85%"
"03/12/2019","18,950.0","18,300.0","18,950.0","18,050.0","3.65K","0.26%"
"02/12/2019","18,900.0","18,600.0","18,900.0","18,400.0","5.04K","2.16%"
"29/11/2019","18,500.0","18,700.0","18,950.0","18,500.0","12.06K","-2.63%"
"28/11/2019","19,000.0","19,000.0","19,200.0","18,600.0","0.43K","0.00%"
"27/11/2019","19,000.0","19,000.0","19,000.0","18,600.0","1.58K","-1.55%"
"26/11/2019","19,300.0","19,250.0","19,300.0","19,000.0","1.39K","-1.03%"
"25/11/2019","19,500.0","19,500.0","19,500.0","19,500.0","0.05K","2.36%"
"22/11/2019","19,050.0","19,050.0","19,050.0","19,050.0","0.01K","-1.55%"
"21/11/2019","19,350.0","18,750.0","19,350.0","18,600.0","4.60K","0.78%"
"20/11/2019","19,200.0","19,000.0","19,300.0","18,700.0","5.13K","1.05%"
"19/11/2019","19,000.0","18,600.0","19,000.0","18,600.0","5.47K","0.00%"
"18/11/2019","19,000.0","18,800.0","19,000.0","18,400.0","13.80K","2.15%"
"15/11/2019","18,600.0","19,050.0","19,300.0","18,600.0","18.48K","-4.12%"
"14/11/2019","19,400.0","20,400.0","20,400.0","19,050.0","8.07K","-1.77%"
"13/11/2019","19,750.0","19,000.0","19,750.0","19,000.0","9.96K","4.50%"
"12/11/2019","18,900.0","19,300.0","19,600.0","18,900.0","11.90K","-4.55%"
