"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","12,000.0","12,000.0","12,000.0","12,000.0","-","-4.00%"
"04/05/2020","12,500.0","12,500.0","12,500.0","12,500.0","0.32K","0.00%"
"29/04/2020","12,500.0","12,000.0","12,500.0","12,000.0","8.50K","0.81%"
"23/04/2020","12,400.0","12,400.0","12,400.0","12,400.0","2.00K","-6.77%"
"22/04/2020","13,300.0","11,800.0","13,300.0","11,800.0","2.01K","5.98%"
"20/04/2020","12,550.0","12,550.0","12,550.0","12,550.0","0.02K","6.81%"
"17/04/2020","11,750.0","11,750.0","11,750.0","11,750.0","0.06K","0.43%"
"15/04/2020","11,700.0","11,700.0","12,000.0","11,700.0","5.11K","0.00%"
"14/04/2020","11,700.0","12,500.0","12,500.0","11,700.0","0.07K","-6.77%"
"08/04/2020","12,550.0","12,500.0","12,550.0","11,750.0","0.13K","6.81%"
"06/04/2020","11,750.0","11,750.0","11,750.0","11,750.0","0.11K","6.82%"
"01/04/2020","11,000.0","10,250.0","11,000.0","10,250.0","0.02K","0.00%"
"31/03/2020","11,000.0","11,000.0","11,000.0","11,000.0","0.02K","-6.38%"
"30/03/2020","11,750.0","11,750.0","11,750.0","11,750.0","0.12K","-6.37%"
"27/03/2020","12,550.0","12,550.0","12,550.0","12,550.0","0.01K","6.81%"
"25/03/2020","11,750.0","11,750.0","11,750.0","11,750.0","0.07K","6.82%"
"24/03/2020","11,000.0","11,000.0","11,000.0","11,000.0","0.50K","-5.17%"
"23/03/2020","11,600.0","11,600.0","11,600.0","11,600.0","0.70K","-3.33%"
"20/03/2020","12,000.0","12,000.0","12,000.0","12,000.0","0.21K","4.80%"
"19/03/2020","11,450.0","12,200.0","12,200.0","11,450.0","0.61K","-6.15%"
"18/03/2020","12,200.0","12,000.0","12,200.0","12,000.0","8.10K","0.00%"
"17/03/2020","12,200.0","12,200.0","12,200.0","12,200.0","1.91K","-2.40%"
"16/03/2020","12,500.0","13,000.0","13,000.0","12,500.0","0.14K","-3.85%"
"13/03/2020","13,000.0","13,000.0","13,000.0","13,000.0","0.12K","-6.47%"
"09/03/2020","13,900.0","14,000.0","14,000.0","13,900.0","18.00K","-2.80%"
"06/03/2020","14,300.0","14,250.0","14,300.0","14,250.0","5.00K","1.42%"
"05/03/2020","14,100.0","14,000.0","14,400.0","14,000.0","10.58K","-1.40%"
"04/03/2020","14,300.0","14,300.0","14,300.0","14,300.0","7.25K","0.00%"
"03/03/2020","14,300.0","14,100.0","14,300.0","13,900.0","1.53K","0.00%"
"02/03/2020","14,300.0","13,000.0","14,300.0","13,000.0","0.45K","2.51%"
"27/02/2020","13,950.0","12,950.0","14,500.0","12,950.0","12.78K","0.36%"
"25/02/2020","13,900.0","14,800.0","14,800.0","13,900.0","0.11K","0.36%"
"24/02/2020","13,850.0","13,850.0","13,850.0","13,850.0","0.01K","-6.42%"
"20/02/2020","14,800.0","14,500.0","14,800.0","14,500.0","11.94K","-3.27%"
"19/02/2020","15,300.0","14,300.0","15,300.0","14,300.0","11.55K","6.99%"
"18/02/2020","14,300.0","14,300.0","14,300.0","14,300.0","9.55K","-4.67%"
"17/02/2020","15,000.0","13,400.0","15,000.0","13,400.0","0.40K","4.90%"
"14/02/2020","14,300.0","14,300.0","14,300.0","14,300.0","0.01K","-6.84%"
"10/02/2020","15,350.0","15,350.0","15,350.0","15,350.0","0.01K","6.97%"
"07/02/2020","14,350.0","14,350.0","14,350.0","14,350.0","0.01K","-1.03%"
"06/02/2020","14,500.0","14,500.0","14,500.0","14,500.0","0.46K","0.00%"
"05/02/2020","14,500.0","14,500.0","14,500.0","14,500.0","0.10K","0.00%"
"04/02/2020","14,500.0","14,500.0","14,500.0","14,500.0","0.60K","0.00%"
"03/02/2020","14,500.0","15,000.0","15,000.0","14,500.0","0.59K","-6.45%"
"30/01/2020","15,500.0","15,500.0","15,500.0","15,500.0","0.03K","-3.73%"
"22/01/2020","16,100.0","16,100.0","16,100.0","16,100.0","0.01K","6.98%"
"21/01/2020","15,050.0","15,050.0","15,050.0","15,050.0","0.08K","6.74%"
"17/01/2020","14,100.0","14,100.0","14,100.0","14,100.0","0.28K","-6.62%"
"16/01/2020","15,100.0","15,100.0","15,100.0","15,100.0","0.02K","-5.63%"
"15/01/2020","16,000.0","16,000.0","16,000.0","16,000.0","0.01K","-5.33%"
"14/01/2020","16,900.0","16,900.0","16,900.0","16,900.0","0.01K","6.96%"
"10/01/2020","15,800.0","16,000.0","17,850.0","15,800.0","0.42K","-5.39%"
"09/01/2020","16,700.0","16,700.0","16,700.0","16,700.0","0.49K","-6.96%"
"08/01/2020","17,950.0","17,950.0","17,950.0","17,950.0","0.01K","-6.99%"
"30/12/2019","19,300.0","19,300.0","19,300.0","19,300.0","0.01K","-6.99%"
"17/12/2019","20,750.0","21,150.0","21,150.0","18,600.0","0.12K","4.01%"
"16/12/2019","19,950.0","17,850.0","20,400.0","17,850.0","0.13K","4.18%"
"06/12/2019","19,150.0","19,150.0","19,150.0","19,150.0","0.02K","6.98%"
"05/12/2019","17,900.0","19,950.0","19,950.0","17,900.0","0.52K","-6.77%"
"04/12/2019","19,200.0","18,000.0","19,200.0","18,000.0","0.02K","6.96%"
"03/12/2019","17,950.0","17,950.0","17,950.0","17,950.0","0.01K","6.85%"
"02/12/2019","16,800.0","15,000.0","16,800.0","15,000.0","3.54K","4.35%"
"29/11/2019","16,100.0","16,000.0","16,100.0","16,000.0","2.08K","-5.01%"
"27/11/2019","16,950.0","16,950.0","16,950.0","16,950.0","0.02K","5.28%"
"26/11/2019","16,100.0","18,000.0","18,000.0","16,000.0","11.35K","-5.29%"
"25/11/2019","17,000.0","19,250.0","19,250.0","17,000.0","0.02K","-5.56%"
"22/11/2019","18,000.0","18,000.0","20,600.0","18,000.0","0.72K","-6.98%"
"21/11/2019","19,350.0","19,350.0","19,350.0","19,350.0","0.24K","-6.97%"
"20/11/2019","20,800.0","20,000.0","20,800.0","20,000.0","0.02K","6.94%"
"15/11/2019","19,450.0","19,450.0","19,450.0","19,450.0","0.01K","2.37%"
"14/11/2019","19,000.0","19,000.0","19,000.0","19,000.0","0.05K","5.56%"
"13/11/2019","18,000.0","18,000.0","18,000.0","18,000.0","0.01K","3.75%"
"12/11/2019","17,350.0","16,000.0","17,350.0","15,150.0","1.07K","6.77%"
"08/11/2019","16,250.0","16,250.0","16,250.0","16,250.0","1.28K","6.91%"
"07/11/2019","15,200.0","15,200.0","15,200.0","15,200.0","0.01K","-6.75%"
"05/11/2019","16,300.0","16,400.0","16,400.0","16,300.0","0.99K","-6.86%"
"04/11/2019","17,500.0","17,500.0","17,500.0","17,500.0","0.01K","5.42%"
"01/11/2019","16,600.0","16,000.0","16,600.0","16,000.0","0.63K","6.75%"
"31/10/2019","15,550.0","15,550.0","15,550.0","15,550.0","0.26K","-6.89%"
"28/10/2019","16,700.0","16,700.0","16,700.0","16,700.0","0.02K","0.00%"
"25/10/2019","16,700.0","16,700.0","16,700.0","16,700.0","0.19K","0.00%"
"17/10/2019","16,700.0","16,500.0","16,700.0","16,500.0","0.65K","0.00%"
"03/10/2019","16,700.0","16,700.0","16,700.0","16,700.0","0.38K","0.00%"
"02/10/2019","16,700.0","16,700.0","16,700.0","16,700.0","0.17K","-0.60%"
"27/09/2019","16,800.0","16,800.0","16,800.0","16,800.0","0.02K","0.00%"
"26/09/2019","16,800.0","16,800.0","16,800.0","16,800.0","0.08K","-1.18%"
"18/09/2019","17,000.0","17,000.0","17,000.0","17,000.0","0.29K","0.59%"
"17/09/2019","16,900.0","16,900.0","16,900.0","16,900.0","4.50K","2.42%"
"11/09/2019","16,500.0","18,000.0","18,000.0","16,500.0","0.23K","-5.71%"
"04/09/2019","17,500.0","17,500.0","17,500.0","17,500.0","0.17K","5.42%"
