"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","64,800.0","64,500.0","64,800.0","64,500.0","110.64K","6.93%"
"04/05/2020","60,600.0","60,000.0","60,900.0","57,000.0","46.07K","6.32%"
"29/04/2020","57,000.0","56,700.0","60,600.0","53,100.0","96.58K","0.53%"
"28/04/2020","56,700.0","53,500.0","56,700.0","50,000.0","36.72K","6.98%"
"27/04/2020","53,000.0","55,800.0","55,800.0","53,000.0","50.10K","1.53%"
"24/04/2020","52,200.0","51,300.0","54,800.0","51,300.0","14.85K","1.75%"
"23/04/2020","51,300.0","52,000.0","52,000.0","51,300.0","15.36K","0.39%"
"21/04/2020","51,100.0","50,500.0","51,100.0","50,500.0","10.68K","1.19%"
"20/04/2020","50,500.0","54,000.0","54,500.0","50,000.0","10.80K","-0.98%"
"17/04/2020","51,000.0","49,100.0","52,800.0","49,100.0","2.02K","-1.54%"
"16/04/2020","51,800.0","50,500.0","51,800.0","50,500.0","32.11K","6.80%"
"15/04/2020","48,500.0","50,000.0","50,600.0","48,100.0","31.36K","0.62%"
"14/04/2020","48,200.0","45,600.0","50,000.0","45,500.0","25.22K","0.21%"
"13/04/2020","48,100.0","47,500.0","48,100.0","47,500.0","22.64K","6.65%"
"10/04/2020","45,100.0","48,000.0","48,500.0","45,100.0","4.95K","-6.04%"
"09/04/2020","48,000.0","48,000.0","48,000.0","47,500.0","1.06K","0.00%"
"08/04/2020","48,000.0","47,500.0","48,000.0","47,500.0","2.28K","-1.03%"
"07/04/2020","48,500.0","46,000.0","48,500.0","46,000.0","30.82K","4.30%"
"06/04/2020","46,500.0","46,800.0","47,000.0","45,000.0","43.61K","3.33%"
"03/04/2020","45,000.0","45,000.0","47,000.0","45,000.0","11.34K","-1.10%"
"01/04/2020","45,500.0","44,000.0","45,500.0","44,000.0","9.39K","-1.09%"
"31/03/2020","46,000.0","43,200.0","46,850.0","43,000.0","114.56K","0.00%"
"30/03/2020","46,000.0","49,800.0","49,800.0","43,700.0","3.74K","-1.92%"
"27/03/2020","46,900.0","44,100.0","46,900.0","44,000.0","38.57K","6.35%"
"26/03/2020","44,100.0","42,400.0","44,100.0","42,400.0","4.18K","6.27%"
"25/03/2020","41,500.0","42,200.0","42,200.0","41,500.0","0.02K","-1.66%"
"24/03/2020","42,200.0","42,200.0","43,000.0","42,200.0","14.30K","0.00%"
