"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","37,750.0","39,250.0","39,250.0","37,550.0","14.46K","0.67%"
"04/05/2020","37,500.0","37,700.0","38,200.0","37,150.0","122.35K","-2.34%"
"29/04/2020","38,400.0","38,800.0","38,800.0","38,350.0","28.08K","-0.90%"
"28/04/2020","38,750.0","39,000.0","39,500.0","38,100.0","46.69K","0.39%"
"27/04/2020","38,600.0","37,000.0","38,600.0","36,200.0","210.82K","6.93%"
"24/04/2020","36,100.0","35,800.0","36,300.0","35,000.0","18.66K","0.28%"
"23/04/2020","36,000.0","37,500.0","37,500.0","35,000.0","83.30K","-0.83%"
"22/04/2020","36,300.0","34,000.0","36,400.0","34,000.0","84.97K","2.11%"
"21/04/2020","35,550.0","37,500.0","38,000.0","35,550.0","111.75K","-6.94%"
"20/04/2020","38,200.0","37,500.0","38,450.0","37,200.0","107.12K","6.26%"
"17/04/2020","35,950.0","34,000.0","35,950.0","33,600.0","132.52K","6.99%"
"16/04/2020","33,600.0","33,300.0","33,900.0","33,200.0","43.98K","0.00%"
"15/04/2020","33,600.0","32,700.0","33,900.0","32,500.0","45.86K","2.75%"
"14/04/2020","32,700.0","33,050.0","33,400.0","32,400.0","47.34K","-2.10%"
"13/04/2020","33,400.0","33,000.0","34,500.0","32,600.0","52.48K","1.83%"
"10/04/2020","32,800.0","31,650.0","33,000.0","31,650.0","77.97K","3.80%"
"09/04/2020","31,600.0","32,700.0","32,700.0","31,350.0","68.47K","1.94%"
"08/04/2020","31,000.0","31,150.0","31,150.0","30,000.0","19.09K","0.32%"
"07/04/2020","30,900.0","29,200.0","31,600.0","29,200.0","14.15K","-0.96%"
"06/04/2020","31,200.0","29,600.0","31,450.0","29,600.0","67.59K","5.41%"
"03/04/2020","29,600.0","28,950.0","30,400.0","28,950.0","13.58K","2.25%"
"01/04/2020","28,950.0","28,500.0","29,100.0","28,200.0","27.08K","2.66%"
"31/03/2020","28,200.0","27,600.0","29,450.0","27,300.0","34.97K","2.17%"
"30/03/2020","27,600.0","27,450.0","29,800.0","27,400.0","50.16K","-5.48%"
"27/03/2020","29,200.0","30,400.0","30,550.0","29,200.0","33.38K","-3.79%"
"26/03/2020","30,350.0","30,300.0","30,700.0","30,250.0","11.82K","-2.10%"
"25/03/2020","31,000.0","31,000.0","31,000.0","29,600.0","48.20K","5.08%"
"24/03/2020","29,500.0","30,500.0","30,500.0","29,150.0","15.63K","1.20%"
"23/03/2020","29,150.0","31,000.0","31,000.0","29,150.0","84.71K","-6.87%"
"20/03/2020","31,300.0","32,000.0","32,000.0","30,800.0","59.25K","0.97%"
"19/03/2020","31,000.0","31,700.0","31,700.0","30,750.0","35.30K","-5.20%"
"18/03/2020","32,700.0","33,000.0","33,600.0","31,900.0","23.96K","-0.91%"
"17/03/2020","33,000.0","31,500.0","33,000.0","30,000.0","51.34K","3.61%"
"16/03/2020","31,850.0","31,000.0","32,000.0","31,000.0","39.14K","0.16%"
"13/03/2020","31,800.0","30,000.0","31,850.0","29,900.0","115.43K","-0.93%"
"12/03/2020","32,100.0","33,500.0","33,500.0","32,100.0","167.74K","-6.96%"
"11/03/2020","34,500.0","36,200.0","36,200.0","33,550.0","31.14K","-1.43%"
"10/03/2020","35,000.0","33,300.0","35,900.0","33,300.0","48.85K","1.30%"
"09/03/2020","34,550.0","34,600.0","36,500.0","34,550.0","95.67K","-6.87%"
"06/03/2020","37,100.0","36,800.0","37,400.0","36,800.0","9.53K","-0.80%"
"05/03/2020","37,400.0","38,100.0","38,100.0","37,350.0","44.94K","0.00%"
"04/03/2020","37,400.0","36,900.0","37,400.0","36,700.0","17.43K","1.63%"
"03/03/2020","36,800.0","37,000.0","37,500.0","36,700.0","16.35K","0.27%"
"02/03/2020","36,700.0","37,000.0","37,500.0","36,700.0","14.22K","-0.81%"
"28/02/2020","37,000.0","36,500.0","37,500.0","36,500.0","29.06K","-1.60%"
"27/02/2020","37,600.0","36,800.0","37,900.0","36,800.0","34.32K","-0.79%"
"26/02/2020","37,900.0","37,000.0","38,000.0","36,700.0","23.37K","-2.82%"
"25/02/2020","39,000.0","35,000.0","39,000.0","35,000.0","42.83K","6.41%"
"24/02/2020","36,650.0","38,500.0","38,500.0","36,650.0","117.69K","-6.98%"
"21/02/2020","39,400.0","40,500.0","40,900.0","39,100.0","27.92K","-2.48%"
"20/02/2020","40,400.0","40,600.0","42,000.0","39,500.0","79.63K","-0.49%"
"19/02/2020","40,600.0","37,600.0","40,950.0","37,600.0","57.90K","6.01%"
"18/02/2020","38,300.0","37,900.0","38,700.0","37,900.0","27.93K","1.06%"
"17/02/2020","37,900.0","37,950.0","38,000.0","37,000.0","14.68K","-0.79%"
"14/02/2020","38,200.0","38,000.0","38,250.0","37,700.0","26.14K","0.53%"
"13/02/2020","38,000.0","38,500.0","38,500.0","37,100.0","13.14K","-1.30%"
"12/02/2020","38,500.0","36,500.0","38,800.0","36,400.0","42.23K","5.48%"
"11/02/2020","36,500.0","35,750.0","36,500.0","35,000.0","75.25K","2.82%"
"10/02/2020","35,500.0","36,000.0","36,000.0","35,200.0","16.15K","-2.20%"
"07/02/2020","36,300.0","36,500.0","36,500.0","35,900.0","28.22K","-0.55%"
"06/02/2020","36,500.0","35,500.0","36,500.0","35,400.0","38.06K","2.82%"
"05/02/2020","35,500.0","33,900.0","36,150.0","33,500.0","44.87K","5.03%"
"04/02/2020","33,800.0","33,900.0","33,900.0","33,200.0","31.74K","1.81%"
"03/02/2020","33,200.0","33,150.0","34,800.0","32,700.0","117.09K","-5.55%"
"31/01/2020","35,150.0","37,100.0","38,400.0","35,000.0","110.01K","-6.52%"
"30/01/2020","37,600.0","40,100.0","40,100.0","37,600.0","41.62K","-6.70%"
"22/01/2020","40,300.0","39,900.0","40,600.0","39,700.0","30.39K","-0.25%"
"21/01/2020","40,400.0","39,700.0","40,400.0","39,500.0","13.67K","1.76%"
"20/01/2020","39,700.0","40,950.0","40,950.0","39,700.0","48.35K","-0.75%"
"17/01/2020","40,000.0","39,800.0","41,050.0","39,400.0","67.96K","0.50%"
"16/01/2020","39,800.0","40,000.0","40,000.0","38,500.0","29.40K","0.76%"
"15/01/2020","39,500.0","40,100.0","40,150.0","39,500.0","27.82K","-1.62%"
"14/01/2020","40,150.0","40,500.0","40,500.0","38,500.0","57.37K","-0.86%"
"13/01/2020","40,500.0","40,500.0","41,000.0","39,500.0","44.70K","0.00%"
"10/01/2020","40,500.0","42,200.0","42,200.0","40,500.0","32.91K","-3.57%"
"09/01/2020","42,000.0","42,200.0","43,000.0","41,300.0","82.73K","-0.47%"
"08/01/2020","42,200.0","43,600.0","43,750.0","42,000.0","47.56K","-3.76%"
"07/01/2020","43,850.0","43,200.0","43,850.0","42,850.0","65.53K","2.45%"
"06/01/2020","42,800.0","43,600.0","43,600.0","42,800.0","24.32K","-2.28%"
"03/01/2020","43,800.0","43,200.0","44,800.0","43,100.0","134.48K","1.39%"
"02/01/2020","43,200.0","43,200.0","43,200.0","42,600.0","20.87K","0.00%"
"31/12/2019","43,200.0","43,000.0","43,200.0","42,500.0","6.54K","0.47%"
"30/12/2019","43,000.0","43,750.0","43,750.0","43,000.0","9.92K","-1.38%"
"27/12/2019","43,600.0","43,600.0","43,750.0","42,600.0","19.84K","0.00%"
"26/12/2019","43,600.0","43,850.0","43,900.0","43,500.0","11.30K","0.00%"
"25/12/2019","43,600.0","43,100.0","43,900.0","43,100.0","35.99K","1.16%"
"24/12/2019","43,100.0","42,050.0","43,650.0","42,050.0","42.89K","0.23%"
"23/12/2019","43,000.0","44,350.0","44,400.0","42,500.0","71.68K","-3.04%"
"20/12/2019","44,350.0","44,100.0","44,500.0","43,800.0","49.05K","0.57%"
"19/12/2019","44,100.0","44,100.0","44,500.0","44,100.0","21.50K","0.00%"
"18/12/2019","44,100.0","44,150.0","44,600.0","44,100.0","36.56K","-0.11%"
"17/12/2019","44,150.0","44,000.0","44,750.0","44,000.0","42.70K","-0.79%"
"16/12/2019","44,500.0","45,400.0","45,400.0","44,200.0","158.64K","-2.09%"
"13/12/2019","45,450.0","45,200.0","45,650.0","45,100.0","39.56K","-0.33%"
"12/12/2019","45,600.0","44,750.0","45,600.0","44,750.0","83.03K","1.90%"
"11/12/2019","44,750.0","44,200.0","44,800.0","43,700.0","70.68K","1.94%"
"10/12/2019","43,900.0","43,900.0","44,250.0","43,400.0","70.93K","0.92%"
"09/12/2019","43,500.0","43,300.0","44,000.0","43,250.0","46.61K","0.58%"
"06/12/2019","43,250.0","43,100.0","43,600.0","43,000.0","24.57K","-0.57%"
"05/12/2019","43,500.0","43,200.0","44,150.0","43,200.0","74.59K","0.69%"
"04/12/2019","43,200.0","43,000.0","44,400.0","43,000.0","38.69K","-1.82%"
"03/12/2019","44,000.0","42,300.0","44,400.0","42,100.0","74.13K","1.85%"
"02/12/2019","43,200.0","45,500.0","46,100.0","43,150.0","273.35K","-6.80%"
"29/11/2019","46,350.0","47,450.0","47,800.0","46,200.0","101.44K","-2.22%"
"28/11/2019","47,400.0","48,400.0","48,600.0","47,400.0","101.79K","-1.66%"
"27/11/2019","48,200.0","47,200.0","48,850.0","47,200.0","264.90K","1.05%"
"26/11/2019","47,700.0","47,200.0","48,000.0","47,050.0","99.50K","0.00%"
"25/11/2019","47,700.0","48,000.0","48,500.0","46,700.0","144.67K","-0.63%"
"22/11/2019","48,000.0","50,000.0","50,700.0","47,800.0","202.02K","-4.00%"
"21/11/2019","50,000.0","50,000.0","50,900.0","49,100.0","210.34K","0.00%"
"20/11/2019","50,000.0","47,000.0","50,000.0","47,000.0","379.01K","6.38%"
"19/11/2019","47,000.0","45,600.0","47,300.0","45,000.0","179.84K","3.07%"
"18/11/2019","45,600.0","45,500.0","46,850.0","45,500.0","52.83K","-1.30%"
"15/11/2019","46,200.0","46,750.0","46,750.0","46,000.0","32.64K","0.00%"
"14/11/2019","46,200.0","46,500.0","46,900.0","46,200.0","28.95K","-1.70%"
"13/11/2019","47,000.0","47,200.0","47,700.0","46,400.0","56.14K","-1.47%"
"12/11/2019","47,700.0","47,800.0","48,350.0","46,900.0","104.46K","-0.42%"
"11/11/2019","47,900.0","47,600.0","48,300.0","46,400.0","113.20K","0.63%"
"08/11/2019","47,600.0","47,600.0","48,500.0","47,600.0","82.82K","0.00%"
"07/11/2019","47,600.0","46,100.0","48,200.0","46,100.0","269.07K","2.81%"
"06/11/2019","46,300.0","45,000.0","46,600.0","44,700.0","91.71K","2.21%"
"05/11/2019","45,300.0","45,000.0","45,400.0","44,650.0","40.34K","-0.22%"
"04/11/2019","45,400.0","44,600.0","45,500.0","44,600.0","42.08K","-0.22%"
"01/11/2019","45,500.0","45,600.0","46,200.0","44,950.0","37.71K","-1.41%"
"31/10/2019","46,150.0","46,600.0","47,500.0","46,050.0","92.39K","0.76%"
