"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","8,100.0","8,100.0","8,100.0","8,100.0","-","0.00%"
"04/05/2020","8,100.0","8,100.0","8,100.0","8,100.0","3.80K","0.00%"
"28/04/2020","8,100.0","8,100.0","8,100.0","8,100.0","5.00K","0.00%"
"27/04/2020","8,100.0","8,100.0","8,100.0","8,100.0","0.71K","0.00%"
"23/04/2020","8,100.0","8,100.0","8,100.0","8,100.0","1.30K","0.00%"
"22/04/2020","8,100.0","8,100.0","8,100.0","8,100.0","2.20K","1.25%"
"21/04/2020","8,000.0","8,000.0","8,000.0","8,000.0","1.00K","-2.44%"
"17/04/2020","8,200.0","8,200.0","8,200.0","8,200.0","0.10K","-1.20%"
"16/04/2020","8,300.0","8,300.0","8,300.0","8,300.0","0.10K","2.47%"
"15/04/2020","8,100.0","8,100.0","8,100.0","8,100.0","0.30K","0.00%"
"13/04/2020","8,100.0","8,100.0","8,100.0","8,100.0","0.20K","0.00%"
"10/04/2020","8,100.0","8,100.0","8,100.0","8,100.0","0.10K","0.00%"
"09/04/2020","8,100.0","8,100.0","8,100.0","8,100.0","0.10K","1.25%"
"07/04/2020","8,000.0","8,000.0","8,000.0","7,900.0","2.40K","0.00%"
"06/04/2020","8,000.0","8,000.0","8,000.0","7,800.0","9.40K","0.00%"
"03/04/2020","8,000.0","8,000.0","8,000.0","8,000.0","0.21K","1.27%"
"01/04/2020","7,900.0","7,900.0","7,900.0","7,900.0","0.10K","-1.25%"
"31/03/2020","8,000.0","8,000.0","8,000.0","8,000.0","3.10K","-5.88%"
"24/03/2020","8,500.0","8,000.0","8,500.0","8,000.0","0.81K","2.41%"
"23/03/2020","8,300.0","8,400.0","8,400.0","8,300.0","2.00K","-2.35%"
"20/03/2020","8,500.0","8,500.0","8,500.0","8,500.0","2.00K","-2.30%"
"19/03/2020","8,700.0","8,700.0","8,700.0","8,700.0","2.50K","0.00%"
"17/03/2020","8,700.0","8,700.0","8,700.0","8,300.0","1.20K","-2.25%"
"11/03/2020","8,900.0","8,900.0","8,900.0","8,900.0","0.10K","0.00%"
"09/03/2020","8,900.0","8,700.0","8,900.0","8,500.0","1.60K","7.23%"
"04/03/2020","8,300.0","8,300.0","8,300.0","8,300.0","-","-9.78%"
"03/03/2020","9,200.0","9,200.0","9,200.0","9,200.0","0.10K","2.22%"
"02/03/2020","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","1.12%"
"25/02/2020","8,900.0","8,900.0","8,900.0","8,900.0","0.10K","1.14%"
"24/02/2020","8,800.0","8,400.0","8,800.0","8,400.0","0.60K","-2.22%"
"21/02/2020","9,000.0","8,600.0","9,000.0","8,600.0","2.10K","1.12%"
"19/02/2020","8,900.0","8,600.0","8,900.0","8,600.0","0.20K","-1.11%"
"18/02/2020","9,000.0","9,000.0","9,000.0","9,000.0","0.20K","1.12%"
"12/02/2020","8,900.0","8,900.0","8,900.0","8,900.0","0.10K","1.14%"
"11/02/2020","8,800.0","8,800.0","8,800.0","8,800.0","0.10K","-1.12%"
"10/02/2020","8,900.0","8,900.0","8,900.0","8,900.0","0.10K","2.30%"
"07/02/2020","8,700.0","8,800.0","8,800.0","8,500.0","6.71K","-2.25%"
"06/02/2020","8,900.0","8,500.0","8,900.0","8,400.0","8.20K","0.00%"
"05/02/2020","8,900.0","8,400.0","8,900.0","8,400.0","2.60K","0.00%"
"04/02/2020","8,900.0","7,500.0","8,900.0","7,500.0","0.20K","7.23%"
"03/02/2020","8,300.0","8,300.0","8,300.0","8,300.0","6.20K","0.00%"
"31/01/2020","8,300.0","7,800.0","8,300.0","7,800.0","10.30K","-3.49%"
"30/01/2020","8,600.0","8,600.0","8,600.0","8,600.0","1.70K","-3.37%"
"22/01/2020","8,900.0","8,900.0","8,900.0","8,500.0","11.20K","0.00%"
"20/01/2020","8,900.0","8,400.0","8,900.0","8,400.0","0.20K","-3.26%"
"17/01/2020","9,200.0","9,000.0","9,200.0","7,900.0","4.21K","6.98%"
"15/01/2020","8,600.0","8,300.0","8,600.0","8,300.0","2.10K","-1.15%"
"09/01/2020","8,700.0","8,700.0","8,700.0","8,700.0","0.11K","3.57%"
