"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","20,700.0","20,250.0","20,950.0","19,650.0","717.86K","-1.43%"
"04/05/2020","21,000.0","20,800.0","21,250.0","20,350.0","817.15K","-0.94%"
"29/04/2020","21,200.0","20,650.0","21,400.0","20,600.0","1.17M","2.91%"
"28/04/2020","20,600.0","21,000.0","21,350.0","20,150.0","799.32K","-1.90%"
"27/04/2020","21,000.0","20,450.0","21,350.0","20,450.0","1.38M","3.70%"
"24/04/2020","20,250.0","20,500.0","20,700.0","19,900.0","486.17K","-2.17%"
"23/04/2020","20,700.0","20,900.0","20,950.0","20,050.0","1.13M","1.97%"
"22/04/2020","20,300.0","19,350.0","20,300.0","19,200.0","512.16K","-0.98%"
"21/04/2020","20,500.0","21,000.0","21,400.0","20,500.0","559.21K","-6.82%"
"20/04/2020","22,000.0","22,000.0","22,600.0","21,650.0","782.02K","4.02%"
"17/04/2020","21,150.0","19,900.0","21,150.0","19,750.0","1.35M","6.82%"
"16/04/2020","19,800.0","19,650.0","20,200.0","19,500.0","361.73K","1.54%"
"15/04/2020","19,500.0","19,100.0","20,350.0","19,100.0","544.08K","2.36%"
"14/04/2020","19,050.0","19,250.0","19,550.0","18,900.0","310.55K","-3.30%"
"13/04/2020","19,700.0","19,300.0","19,850.0","18,650.0","388.49K","-1.50%"
"10/04/2020","20,000.0","19,700.0","20,700.0","19,500.0","416.59K","-3.38%"
"09/04/2020","20,700.0","21,350.0","21,350.0","20,500.0","632.03K","0.73%"
"08/04/2020","20,550.0","20,550.0","20,550.0","18,850.0","4.53M","6.75%"
"07/04/2020","19,250.0","19,250.0","19,250.0","19,250.0","589.39K","6.94%"
"06/04/2020","18,000.0","16,900.0","18,000.0","16,900.0","1.48M","6.82%"
"03/04/2020","16,850.0","16,650.0","16,850.0","16,550.0","151.63K","1.20%"
"01/04/2020","16,650.0","16,500.0","16,750.0","16,250.0","333.35K","0.91%"
"31/03/2020","16,500.0","16,650.0","17,050.0","16,250.0","535.79K","-1.49%"
"30/03/2020","16,750.0","17,000.0","17,050.0","16,400.0","260.93K","-4.83%"
"27/03/2020","17,600.0","17,150.0","18,050.0","17,150.0","1.09M","2.62%"
"26/03/2020","17,150.0","17,700.0","18,350.0","17,000.0","540.62K","-6.03%"
"25/03/2020","18,250.0","17,400.0","18,900.0","16,950.0","2.27M","0.27%"
"24/03/2020","18,200.0","18,200.0","18,200.0","18,200.0","126.24K","-6.91%"
"23/03/2020","19,550.0","19,550.0","19,800.0","19,550.0","339.81K","-6.90%"
"20/03/2020","21,000.0","21,000.0","21,400.0","21,000.0","1.96M","-6.87%"
"19/03/2020","22,550.0","22,550.0","22,550.0","22,550.0","212.90K","-6.82%"
"18/03/2020","24,200.0","24,500.0","24,500.0","22,550.0","691.30K","0.00%"
"17/03/2020","24,200.0","21,950.0","25,000.0","21,950.0","750.84K","3.42%"
"16/03/2020","23,400.0","20,500.0","23,400.0","20,500.0","6.62M","6.85%"
"13/03/2020","21,900.0","21,900.0","21,900.0","21,900.0","714.27K","-6.81%"
"12/03/2020","23,500.0","23,500.0","23,850.0","23,500.0","977.45K","-6.93%"
"11/03/2020","25,250.0","26,000.0","26,300.0","25,250.0","1.74M","-6.83%"
"10/03/2020","27,100.0","27,100.0","27,200.0","27,100.0","1.27M","-6.87%"
"09/03/2020","29,100.0","29,100.0","29,200.0","29,100.0","822.93K","-6.88%"
"06/03/2020","31,250.0","31,500.0","31,600.0","30,650.0","1.64M","-5.02%"
"05/03/2020","32,900.0","31,700.0","32,900.0","31,200.0","2.24M","-1.79%"
"04/03/2020","33,500.0","34,500.0","34,550.0","33,400.0","1.34M","-2.76%"
"03/03/2020","34,450.0","33,800.0","34,750.0","33,300.0","4.45M","1.62%"
"02/03/2020","33,900.0","31,150.0","33,900.0","31,150.0","5.05M","6.60%"
"28/02/2020","31,800.0","34,150.0","34,200.0","31,800.0","1.04M","-6.88%"
"27/02/2020","34,150.0","35,000.0","35,050.0","34,150.0","1.21M","-6.57%"
"26/02/2020","36,550.0","36,500.0","38,700.0","36,350.0","1.74M","-5.68%"
"25/02/2020","38,750.0","39,050.0","39,450.0","38,650.0","1.06M","-6.74%"
"24/02/2020","41,550.0","43,050.0","43,100.0","41,550.0","1.13M","-6.94%"
"21/02/2020","44,650.0","44,000.0","44,850.0","43,950.0","538.18K","0.34%"
