"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","8,650.0","8,650.0","8,650.0","8,650.0","-","-6.99%"
"04/05/2020","9,300.0","9,300.0","9,300.0","9,300.0","0.02K","-7.00%"
"27/04/2020","10,000.0","10,000.0","10,000.0","10,000.0","0.08K","-5.66%"
"24/04/2020","10,600.0","10,000.0","10,600.0","10,000.0","0.17K","6.96%"
"23/04/2020","9,910.0","9,900.0","9,910.0","9,900.0","0.27K","6.90%"
"22/04/2020","9,270.0","9,270.0","9,270.0","9,270.0","0.08K","6.92%"
"21/04/2020","8,670.0","8,670.0","8,670.0","8,670.0","0.06K","6.91%"
"20/04/2020","8,110.0","8,100.0","8,110.0","8,100.0","0.04K","3.71%"
"17/04/2020","7,820.0","7,820.0","7,820.0","7,820.0","0.01K","-6.90%"
"16/04/2020","8,400.0","8,400.0","8,400.0","8,400.0","0.30K","0.00%"
"15/04/2020","8,400.0","8,330.0","8,400.0","8,330.0","0.02K","-6.15%"
"14/04/2020","8,950.0","8,930.0","8,950.0","8,930.0","0.07K","-6.77%"
"13/04/2020","9,600.0","9,550.0","9,600.0","9,550.0","0.03K","-6.34%"
"10/04/2020","10,250.0","10,250.0","10,250.0","10,250.0","0.02K","-6.82%"
"09/04/2020","11,000.0","11,800.0","11,800.0","11,000.0","1.22K","-6.78%"
"08/04/2020","11,800.0","11,800.0","11,800.0","11,800.0","0.08K","-6.72%"
"07/04/2020","12,650.0","11,100.0","12,650.0","11,050.0","0.03K","6.75%"
"06/04/2020","11,850.0","12,050.0","12,050.0","10,550.0","0.06K","4.87%"
"03/04/2020","11,300.0","11,300.0","12,200.0","11,300.0","0.08K","-7.00%"
"01/04/2020","12,150.0","11,250.0","12,150.0","11,250.0","0.06K","0.83%"
"31/03/2020","12,050.0","12,050.0","12,050.0","12,050.0","0.01K","-6.95%"
"27/03/2020","12,950.0","13,400.0","13,400.0","11,700.0","0.03K","3.19%"
"26/03/2020","12,550.0","12,550.0","12,550.0","12,550.0","0.01K","6.81%"
"25/03/2020","11,750.0","11,800.0","11,800.0","10,300.0","0.07K","6.33%"
"24/03/2020","11,050.0","10,350.0","11,050.0","10,350.0","0.03K","-0.45%"
"23/03/2020","11,100.0","12,700.0","12,700.0","11,100.0","0.02K","-6.72%"
"20/03/2020","11,900.0","10,400.0","11,900.0","10,400.0","0.03K","6.73%"
"19/03/2020","11,150.0","11,150.0","11,150.0","11,150.0","0.05K","-6.69%"
"18/03/2020","11,950.0","12,600.0","12,600.0","11,000.0","0.05K","1.27%"
"17/03/2020","11,800.0","11,850.0","11,850.0","10,350.0","2.24K","6.31%"
"16/03/2020","11,100.0","12,700.0","12,700.0","11,100.0","0.03K","-6.72%"
"12/03/2020","11,900.0","10,400.0","11,900.0","10,400.0","0.02K","6.73%"
"11/03/2020","11,150.0","10,250.0","11,150.0","10,250.0","0.12K","1.36%"
"10/03/2020","11,000.0","12,600.0","12,600.0","11,000.0","0.24K","-6.78%"
"09/03/2020","11,800.0","13,350.0","13,350.0","11,800.0","0.02K","-6.72%"
"06/03/2020","12,650.0","13,150.0","13,150.0","11,900.0","0.07K","-0.78%"
"05/03/2020","12,750.0","12,900.0","12,900.0","11,300.0","0.06K","5.37%"
"04/03/2020","12,100.0","12,100.0","12,100.0","10,600.0","0.07K","6.61%"
"03/03/2020","11,350.0","12,950.0","12,950.0","11,350.0","0.02K","-6.97%"
"02/03/2020","12,200.0","13,750.0","13,750.0","12,200.0","0.08K","-6.87%"
"28/02/2020","13,100.0","13,150.0","13,150.0","11,550.0","0.07K","5.65%"
"27/02/2020","12,400.0","10,850.0","12,450.0","10,850.0","0.08K","6.44%"
"26/02/2020","11,650.0","10,150.0","11,650.0","10,150.0","0.02K","6.88%"
"25/02/2020","10,900.0","10,900.0","10,900.0","10,900.0","0.02K","6.86%"
"24/02/2020","10,200.0","8,930.0","10,200.0","8,930.0","0.34K","6.47%"
"21/02/2020","9,580.0","11,000.0","11,000.0","9,580.0","0.27K","-6.99%"
"20/02/2020","10,300.0","11,050.0","11,800.0","10,300.0","0.03K","-6.79%"
"19/02/2020","11,050.0","11,050.0","12,450.0","11,050.0","0.15K","-6.75%"
"18/02/2020","11,850.0","10,450.0","11,950.0","10,450.0","0.36K","5.80%"
