"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2020","7,200.0","7,200.0","7,200.0","7,200.0","2.00K","-10.00%"
"04/11/2019","8,000.0","8,000.0","8,000.0","8,000.0","2.00K","-19.19%"
"24/09/2019","9,900.0","9,900.0","9,900.0","9,900.0","1.40K","0.00%"
"16/09/2019","9,900.0","9,900.0","9,900.0","9,900.0","0.10K","10.00%"
"15/07/2019","9,000.0","9,000.0","9,000.0","9,000.0","6.00K","-7.22%"
"23/04/2019","9,700.0","9,700.0","9,700.0","9,700.0","0.10K","-0.85%"
"22/04/2019","9,783.0","9,700.0","9,783.0","9,700.0","19.00K","0.86%"
"19/04/2019","9,700.0","9,700.0","9,700.0","9,700.0","11.00K","0.00%"
"18/04/2019","9,700.0","9,700.0","9,700.0","9,700.0","10.00K","0.00%"
"17/04/2019","9,700.0","9,700.0","9,700.0","9,700.0","33.60K","0.00%"
"16/04/2019","9,700.0","9,700.0","9,700.0","9,700.0","6.40K","-17.09%"
"11/04/2019","11,700.0","11,700.0","11,700.0","11,700.0","58.70K","-0.85%"
"10/04/2019","11,800.0","11,800.0","11,800.0","11,800.0","40.00K","0.85%"
"08/04/2019","11,700.0","11,700.0","11,700.0","11,700.0","50.00K","-9.30%"
"04/04/2019","12,900.0","12,900.0","12,900.0","12,900.0","45.70K","0.00%"
"03/04/2019","12,900.0","12,900.0","12,900.0","12,900.0","47.40K","-0.77%"
"02/04/2019","13,000.0","13,000.0","13,000.0","13,000.0","0.10K","0.78%"
"28/03/2019","12,900.0","12,900.0","12,900.0","12,900.0","60.00K","9.32%"
"27/03/2019","11,800.0","13,000.0","13,000.0","11,800.0","37.50K","-8.53%"
"26/03/2019","12,900.0","12,900.0","12,900.0","12,900.0","6.40K","4.88%"
"25/03/2019","12,300.0","12,300.0","12,300.0","12,300.0","45.00K","-8.89%"
"22/03/2019","13,500.0","11,200.0","13,500.0","11,200.0","71.50K","8.87%"
"01/02/2019","12,400.0","12,400.0","12,400.0","12,400.0","2.00K","0.00%"
"15/01/2019","12,400.0","12,400.0","12,400.0","12,400.0","0.10K","9.73%"
"16/11/2018","11,300.0","11,300.0","11,300.0","11,300.0","0.10K","-9.60%"
"15/11/2018","12,500.0","12,500.0","12,500.0","12,500.0","3.00K","9.65%"
"23/10/2018","11,400.0","11,400.0","11,400.0","11,400.0","0.50K","9.62%"
"02/10/2018","10,400.0","11,800.0","11,800.0","10,400.0","2.10K","-9.57%"
"01/10/2018","11,500.0","11,500.0","11,500.0","11,500.0","1.00K","4.55%"
"19/09/2018","11,000.0","11,000.0","11,000.0","11,000.0","1.00K","10.00%"
"13/09/2018","10,000.0","10,000.0","10,000.0","10,000.0","1.10K","-9.91%"
"07/09/2018","11,100.0","11,100.0","11,100.0","11,100.0","4.00K","6.73%"
"30/08/2018","10,400.0","10,400.0","10,400.0","10,400.0","0.10K","9.47%"
"14/08/2018","9,500.0","9,500.0","9,500.0","9,500.0","0.10K","-9.52%"
"08/08/2018","10,500.0","10,500.0","10,500.0","10,500.0","1.00K","9.38%"
"19/07/2018","9,600.0","9,600.0","9,600.0","9,600.0","1.00K","0.00%"
"26/06/2018","9,600.0","9,600.0","9,600.0","9,600.0","1.40K","9.09%"
"13/06/2018","8,800.0","8,800.0","8,800.0","8,800.0","0.40K","-2.22%"
"08/06/2018","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","-10.00%"
"07/06/2018","10,000.0","10,000.0","10,000.0","10,000.0","1.90K","5.26%"
"06/06/2018","9,500.0","9,500.0","9,500.0","9,500.0","1.30K","0.00%"
"05/06/2018","9,500.0","9,500.0","9,500.0","9,500.0","1.00K","7.95%"
"31/05/2018","8,800.0","8,800.0","8,800.0","8,800.0","0.50K","7.32%"
"30/05/2018","8,200.0","8,200.0","8,200.0","8,200.0","0.70K","-6.82%"
"25/05/2018","8,800.0","8,800.0","8,800.0","8,800.0","0.50K","-2.22%"
"22/05/2018","9,000.0","9,000.0","9,000.0","9,000.0","2.00K","0.00%"
"21/05/2018","9,000.0","9,000.0","9,000.0","9,000.0","3.50K","0.00%"
"16/05/2018","9,000.0","9,000.0","9,000.0","9,000.0","1.00K","9.76%"
"27/04/2018","8,200.0","8,200.0","8,200.0","8,200.0","0.70K","-8.89%"
"26/04/2018","9,000.0","9,000.0","9,000.0","9,000.0","0.20K","-5.26%"
