"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/07/2019","6,840","6,450","6,840","6,400","47.10K","6.88%"
"30/07/2019","6,400","6,200","6,400","6,200","0.76K","-3.76%"
"29/07/2019","6,650","6,660","6,660","6,650","25.99K","-6.99%"
"26/07/2019","7,150","6,300","7,150","6,300","0.05K","6.72%"
"25/07/2019","6,700","6,700","6,700","6,700","0.03K","0.00%"
"24/07/2019","6,700","6,700","6,700","6,700","4.04K","6.86%"
"23/07/2019","6,270","6,200","6,270","6,200","3.05K","7.00%"
"22/07/2019","5,860","5,990","6,220","5,830","16.19K","0.69%"
"19/07/2019","5,820","5,820","6,120","5,820","2.01K","-2.68%"
"18/07/2019","5,980","6,140","6,140","5,750","4.54K","3.82%"
"17/07/2019","5,760","5,760","6,400","5,760","0.05K","-3.84%"
"16/07/2019","5,990","5,990","6,000","5,680","8.31K","5.46%"
"15/07/2019","5,680","6,000","6,420","5,640","15.07K","-5.33%"
"12/07/2019","6,000","5,370","6,000","5,370","11.11K","4.35%"
"11/07/2019","5,750","5,750","5,750","5,750","3.49K","-6.96%"
"10/07/2019","6,180","6,180","6,180","6,180","0.18K","-6.93%"
"09/07/2019","6,640","6,640","6,640","6,640","0.15K","-6.87%"
"08/07/2019","7,130","7,130","7,130","7,130","0.02K","-6.92%"
"05/07/2019","7,660","7,660","7,660","7,660","0.01K","-6.93%"
"04/07/2019","8,230","8,230","8,230","8,230","0.01K","-6.90%"
"03/07/2019","8,840","8,840","8,840","8,840","0.10K","-6.95%"
"12/06/2019","9,500","9,500","9,500","9,500","0.01K","5.79%"
"04/06/2019","8,980","8,980","8,980","8,980","0.01K","-0.11%"
"23/05/2019","8,990","8,990","8,990","8,990","0.01K","-2.39%"
"20/05/2019","9,210","9,210","9,210","9,210","0.01K","-5.05%"
"15/05/2019","9,700","9,700","9,700","9,700","0.02K","6.13%"
"14/05/2019","9,140","8,580","9,140","7,980","0.04K","6.53%"
"13/05/2019","8,580","8,570","8,580","8,570","0.11K","-6.84%"
"10/05/2019","9,210","9,230","9,900","9,210","0.47K","-6.97%"
"09/05/2019","9,900","9,750","9,900","9,750","1.09K","1.54%"
"08/05/2019","9,750","9,800","9,800","9,600","2.51K","1.56%"
"07/05/2019","9,600","9,610","9,610","9,300","4.30K","0.00%"
"06/05/2019","9,600","9,600","9,690","9,600","2.87K","0.00%"
"03/05/2019","9,600","9,050","9,900","9,050","3.96K","3.23%"
"19/04/2019","9,300","9,300","9,300","9,300","0.01K","-7.00%"
"12/04/2019","10,000","10,000","10,000","10,000","0.06K","0.00%"
"10/04/2019","10,000","10,100","10,100","10,000","0.12K","5.82%"
"09/04/2019","9,450","9,450","9,450","9,450","0.02K","6.90%"
"01/04/2019","8,840","8,840","8,840","8,840","0.36K","-6.95%"
"29/03/2019","9,500","8,300","9,540","8,300","0.20K","6.50%"
"28/03/2019","8,920","8,920","8,920","8,920","0.01K","-6.99%"
"27/03/2019","9,590","8,930","9,590","8,930","0.02K","-0.10%"
"26/03/2019","9,600","10,000","10,000","9,600","0.41K","-0.93%"
"25/03/2019","9,690","8,430","9,690","8,430","0.02K","6.95%"
"22/03/2019","9,060","9,060","9,060","9,060","0.01K","-6.98%"
"21/03/2019","9,740","9,070","9,740","9,070","0.02K","-0.10%"
"20/03/2019","9,750","8,490","9,750","8,490","0.02K","6.91%"
"19/03/2019","9,120","9,120","9,120","9,120","0.01K","0.00%"
"18/03/2019","9,120","9,120","9,120","9,120","0.02K","-6.94%"
"15/03/2019","9,800","9,800","9,800","9,800","6.31K","0.00%"
"14/03/2019","9,800","9,800","9,800","9,800","7.12K","0.00%"
"13/03/2019","9,800","9,800","9,800","9,800","1.10K","1.03%"
"12/03/2019","9,700","9,800","9,800","9,700","3.23K","0.00%"
"11/03/2019","9,700","8,580","9,700","8,580","0.11K","5.43%"
"08/03/2019","9,200","8,600","9,200","8,600","0.02K","6.85%"
"06/03/2019","8,610","8,610","8,610","8,610","4.00K","0.00%"
"05/03/2019","8,610","8,610","8,610","8,610","0.01K","-6.92%"
"04/03/2019","9,250","9,260","9,260","9,250","15.07K","-0.11%"
"01/03/2019","9,260","8,060","9,260","8,060","0.02K","6.93%"
"27/02/2019","8,660","9,400","9,400","8,650","2.19K","-6.88%"
"26/02/2019","9,300","9,300","9,300","9,300","4.77K","-0.85%"
"25/02/2019","9,380","8,320","9,380","8,320","0.02K","4.92%"
"22/02/2019","8,940","7,800","8,940","7,800","0.02K","6.81%"
"21/02/2019","8,370","8,370","8,370","8,370","0.01K","-6.90%"
"20/02/2019","8,990","8,150","8,990","8,150","0.02K","2.63%"
"19/02/2019","8,760","8,760","8,760","8,760","1.78K","0.81%"
"18/02/2019","8,690","7,640","8,690","7,640","0.02K","5.85%"
"14/02/2019","8,210","7,200","8,210","7,200","0.13K","6.62%"
