"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","7,200","7,200","7,200","7,200","5.00K","-7.69%"
"29/04/2020","7,800","7,800","7,800","7,800","0.40K","11.43%"
"28/04/2020","7,000","7,000","7,000","7,000","5.00K","0.00%"
"24/04/2020","7,000","7,000","7,000","7,000","5.03K","-12.50%"
"23/04/2020","8,000","8,000","8,000","8,000","0.10K","11.11%"
"22/04/2020","7,200","7,000","7,200","7,000","5.10K","-7.69%"
"21/04/2020","7,800","7,000","8,000","7,000","11.20K","11.43%"
"20/04/2020","7,000","7,000","7,000","7,000","5.20K","-2.78%"
"17/04/2020","7,200","7,300","7,300","7,000","6.70K","2.86%"
"16/04/2020","7,000","7,000","7,000","7,000","5.00K","0.00%"
"15/04/2020","7,000","7,000","7,000","7,000","5.00K","0.00%"
"14/04/2020","7,000","7,000","7,000","7,000","6.00K","0.00%"
"10/04/2020","7,000","7,000","7,000","7,000","2.00K","-6.67%"
"09/04/2020","7,500","7,000","7,500","7,000","5.10K","1.35%"
"08/04/2020","7,400","7,000","7,400","6,800","7.10K","0.00%"
"07/04/2020","7,400","7,000","7,400","7,000","1.70K","5.71%"
"06/04/2020","7,000","7,000","7,000","7,000","5.00K","-6.67%"
"03/04/2020","7,500","7,500","7,500","7,000","6.20K","7.14%"
"01/04/2020","7,000","7,000","7,000","7,000","5.00K","-5.41%"
"30/03/2020","7,400","7,000","7,400","7,000","2.20K","0.00%"
"27/03/2020","7,400","7,400","7,400","7,400","0.10K","5.71%"
"24/03/2020","7,000","7,000","7,000","7,000","1.70K","0.00%"
"23/03/2020","7,000","7,000","7,000","7,000","-","0.00%"
"19/03/2020","7,000","7,000","7,000","7,000","0.10K","0.00%"
"17/03/2020","7,000","7,000","7,000","7,000","11.00K","-7.89%"
"16/03/2020","7,600","7,600","7,600","7,600","0.10K","2.70%"
"13/03/2020","7,400","7,500","7,500","7,400","0.50K","-5.13%"
"11/03/2020","7,800","7,800","7,800","7,800","0.10K","2.63%"
"06/03/2020","7,600","7,600","7,600","7,600","0.10K","0.00%"
"05/03/2020","7,600","7,800","7,800","7,300","0.70K","1.33%"
"03/03/2020","7,500","7,600","7,600","7,500","3.50K","-5.06%"
"02/03/2020","7,900","7,500","7,900","7,500","0.30K","1.28%"
"27/02/2020","7,800","7,800","7,800","7,800","0.10K","4.00%"
"26/02/2020","7,500","7,000","7,500","7,000","7.90K","0.00%"
"21/02/2020","7,500","7,500","7,500","7,500","0.10K","0.00%"
"19/02/2020","7,500","7,500","7,500","7,500","0.40K","7.14%"
"12/02/2020","7,000","7,100","7,100","7,000","2.00K","-1.41%"
"11/02/2020","7,100","7,000","7,100","7,000","4.90K","-2.74%"
"03/02/2020","7,300","7,300","7,300","7,300","0.20K","0.00%"
"31/01/2020","7,300","7,500","7,500","7,300","1.60K","0.00%"
"21/01/2020","7,300","7,300","7,300","7,300","2.70K","0.00%"
"20/01/2020","7,300","7,300","7,300","7,300","0.50K","-2.67%"
"16/01/2020","7,500","7,400","7,500","7,400","3.30K","-1.32%"
"15/01/2020","7,600","7,600","7,600","7,600","5.50K","-1.30%"
"10/01/2020","7,700","7,700","7,700","7,700","1.10K","0.00%"
"09/01/2020","7,700","7,700","7,700","7,700","0.60K","0.00%"
"08/01/2020","7,700","7,700","7,700","7,700","1.10K","4.05%"
"03/01/2020","7,400","7,400","7,400","7,400","0.10K","5.71%"
"02/01/2020","7,000","7,000","7,000","7,000","0.30K","-12.50%"
"31/12/2019","8,000","7,900","8,000","7,900","2.90K","2.56%"
"30/12/2019","7,800","7,800","7,800","7,800","0.10K","4.00%"
"27/12/2019","7,500","7,500","7,500","7,500","0.40K","0.00%"
"26/12/2019","7,500","7,300","7,500","7,300","1.80K","0.00%"
"25/12/2019","7,500","7,500","7,500","7,500","0.50K","-6.25%"
