"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","12,400.0","11,600.0","12,400.0","11,600.0","23.30K","9.73%"
"04/05/2020","11,300.0","10,200.0","11,300.0","10,200.0","21.31K","9.71%"
"29/04/2020","10,300.0","10,300.0","10,300.0","10,300.0","0.10K","8.42%"
"28/04/2020","9,500.0","9,500.0","9,500.0","9,500.0","0.70K","-1.04%"
"23/04/2020","9,600.0","9,600.0","9,700.0","9,600.0","16.00K","1.05%"
"22/04/2020","9,500.0","10,000.0","10,000.0","9,500.0","13.20K","-9.52%"
"20/04/2020","10,500.0","10,500.0","10,500.0","10,500.0","0.10K","0.00%"
"17/04/2020","10,500.0","10,500.0","10,600.0","10,200.0","9.80K","-4.55%"
"16/04/2020","11,000.0","10,100.0","11,000.0","10,100.0","1.20K","4.76%"
"15/04/2020","10,500.0","10,500.0","10,500.0","10,500.0","0.10K","5.00%"
"10/04/2020","10,000.0","10,800.0","10,800.0","10,000.0","0.20K","-2.91%"
"06/04/2020","10,300.0","10,300.0","10,300.0","10,300.0","0.10K","6.19%"
"01/04/2020","9,700.0","8,100.0","9,700.0","8,100.0","0.20K","7.78%"
"25/03/2020","9,000.0","9,000.0","10,800.0","9,000.0","23.04K","-10.00%"
"24/03/2020","10,000.0","9,900.0","10,000.0","9,900.0","1.00K","-9.09%"
"19/03/2020","11,000.0","11,000.0","11,000.0","11,000.0","2.10K","-7.56%"
"04/03/2020","11,900.0","11,900.0","11,900.0","11,900.0","0.10K","8.18%"
"02/03/2020","11,000.0","10,200.0","11,000.0","10,200.0","8.95K","10.00%"
"28/02/2020","10,000.0","10,000.0","10,000.0","10,000.0","0.10K","8.70%"
"27/02/2020","9,200.0","9,200.0","9,200.0","9,200.0","0.10K","0.00%"
"26/02/2020","9,200.0","9,200.0","9,200.0","9,200.0","10.00K","-8.00%"
"24/02/2020","10,000.0","10,500.0","10,500.0","10,000.0","1.50K","-4.76%"
"21/02/2020","10,500.0","10,500.0","10,500.0","10,500.0","0.50K","-7.08%"
"18/02/2020","11,300.0","11,300.0","11,300.0","11,300.0","0.70K","0.00%"
"17/02/2020","11,300.0","11,300.0","11,300.0","11,300.0","0.20K","0.89%"
"14/02/2020","11,200.0","10,500.0","11,200.0","10,500.0","7.38K","8.74%"
"13/02/2020","10,300.0","11,000.0","11,000.0","10,300.0","8.40K","-6.36%"
"12/02/2020","11,000.0","11,000.0","11,000.0","11,000.0","0.55K","-8.33%"
"05/02/2020","12,000.0","11,100.0","12,000.0","11,000.0","13.26K","9.09%"
"16/12/2019","11,000.0","11,000.0","11,000.0","11,000.0","0.10K","10.00%"
"13/12/2019","10,000.0","11,300.0","11,300.0","10,000.0","0.20K","-2.91%"
"10/12/2019","10,300.0","10,300.0","10,300.0","10,300.0","0.10K","9.57%"
"05/12/2019","9,400.0","9,400.0","9,400.0","9,400.0","0.10K","8.05%"
"29/11/2019","8,700.0","8,700.0","8,700.0","8,700.0","0.20K","-9.38%"
"25/11/2019","9,600.0","9,600.0","9,600.0","9,600.0","0.10K","7.87%"
"22/11/2019","8,900.0","8,900.0","8,900.0","8,900.0","0.10K","9.88%"
"13/11/2019","8,100.0","8,100.0","8,100.0","8,100.0","3.90K","-10.00%"
"07/11/2019","9,000.0","9,000.0","9,000.0","9,000.0","5.60K","-7.22%"
"22/10/2019","9,700.0","9,700.0","9,700.0","9,700.0","0.10K","2.11%"
"16/10/2019","9,500.0","9,500.0","9,500.0","9,500.0","0.10K","4.40%"
"14/10/2019","9,100.0","8,100.0","9,100.0","8,100.0","0.70K","2.25%"
"11/10/2019","8,900.0","8,900.0","8,900.0","8,900.0","0.10K","9.88%"
"03/10/2019","8,100.0","8,200.0","8,200.0","8,100.0","2.50K","0.00%"
"02/10/2019","8,100.0","8,100.0","8,100.0","8,100.0","1.80K","0.00%"
"01/10/2019","8,100.0","8,200.0","8,200.0","8,100.0","0.60K","0.00%"
"27/09/2019","8,100.0","8,100.0","8,100.0","8,100.0","2.70K","0.00%"
"25/09/2019","8,100.0","8,100.0","8,100.0","8,100.0","0.30K","-10.00%"
"23/09/2019","9,000.0","9,400.0","9,400.0","9,000.0","1.00K","-10.00%"
"20/09/2019","10,000.0","9,000.0","10,000.0","9,000.0","0.20K","0.00%"
"09/09/2019","10,000.0","10,000.0","10,000.0","10,000.0","0.10K","-4.76%"
"23/08/2019","10,500.0","10,500.0","10,500.0","10,500.0","0.10K","-4.55%"
"22/08/2019","11,000.0","11,000.0","11,000.0","11,000.0","0.10K","10.00%"
"20/08/2019","10,000.0","10,000.0","10,000.0","10,000.0","0.10K","6.38%"
"16/08/2019","9,400.0","9,400.0","9,400.0","9,400.0","0.70K","4.44%"
"15/08/2019","9,000.0","8,500.0","9,000.0","8,500.0","1.50K","0.00%"
"05/08/2019","9,000.0","9,000.0","9,000.0","9,000.0","0.50K","-10.00%"
"02/08/2019","10,000.0","10,000.0","10,000.0","10,000.0","0.10K","0.00%"
"30/07/2019","10,000.0","10,200.0","10,200.0","10,000.0","0.90K","7.91%"
"29/07/2019","9,267.0","9,267.0","9,267.0","9,267.0","30.00K","9.77%"
"26/07/2019","8,442.0","8,442.0","8,442.0","8,442.0","9.30K","9.92%"
"25/07/2019","7,680.0","7,680.0","7,680.0","7,680.0","13.50K","10.00%"
"24/07/2019","6,982.0","6,982.0","6,982.0","6,982.0","3.35K","10.00%"
"23/07/2019","6,347.0","6,347.0","6,347.0","6,347.0","1.50K","9.89%"
"07/06/2019","5,776.0","5,776.0","5,776.0","5,776.0","3.00K","-9.90%"
"31/05/2019","6,411.0","6,411.0","6,664.0","6,411.0","22.20K","-9.82%"
"29/05/2019","7,109.0","6,664.0","7,109.0","6,664.0","9.30K","0.00%"
"12/04/2019","7,109.0","7,109.0","7,109.0","7,109.0","0.30K","9.81%"
"05/04/2019","6,474.0","6,474.0","6,474.0","6,474.0","0.15K","6.25%"
"28/03/2019","6,093.0","5,585.0","6,093.0","5,585.0","1.65K","9.10%"
"21/03/2019","5,585.0","4,570.0","5,585.0","4,570.0","0.60K","9.98%"
"01/11/2018","5,078.0","5,078.0","5,078.0","5,078.0","0.60K","0.00%"
"17/10/2018","5,078.0","5,078.0","5,078.0","5,078.0","5.25K","0.00%"
"03/08/2018","5,078.0","5,078.0","5,078.0","5,078.0","7.88K","-3.61%"
"13/04/2018","5,268.0","5,268.0","5,268.0","5,268.0","4.50K","0.00%"
"12/04/2018","5,268.0","5,268.0","5,268.0","5,268.0","7.50K","4.65%"
"10/04/2018","5,034.0","5,034.0","5,034.0","5,034.0","10.50K","-4.44%"
"09/04/2018","5,268.0","5,268.0","5,268.0","5,268.0","7.50K","0.00%"
"05/04/2018","5,268.0","5,268.0","5,268.0","5,268.0","3.60K","4.65%"
"16/03/2018","5,034.0","5,034.0","5,034.0","5,034.0","5.70K","0.00%"
"15/03/2018","5,034.0","5,034.0","5,034.0","5,034.0","7.35K","0.00%"
"02/02/2018","5,034.0","5,034.0","5,034.0","5,034.0","0.15K","8.87%"
"31/01/2018","4,624.0","4,624.0","4,624.0","4,624.0","0.15K","9.73%"
"30/01/2018","4,214.0","4,214.0","4,214.0","4,214.0","0.15K","-10.01%"
"29/11/2017","4,683.0","4,683.0","4,683.0","4,683.0","1.50K","1.28%"
"28/11/2017","4,624.0","4,624.0","4,624.0","4,624.0","1.50K","-9.19%"
"27/11/2017","5,092.0","5,092.0","5,092.0","5,092.0","0.15K","-9.38%"
"15/11/2017","5,619.0","5,619.0","5,619.0","5,619.0","0.15K","9.09%"
"14/11/2017","5,151.0","5,151.0","5,151.0","5,151.0","0.15K","9.99%"
"20/10/2017","4,683.0","4,683.0","4,683.0","4,683.0","1.05K","0.00%"
