"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","15,050.0","15,800.0","15,800.0","15,000.0","19.24K","-0.33%"
"04/05/2020","15,100.0","15,000.0","16,000.0","14,900.0","64.22K","-2.89%"
"29/04/2020","15,550.0","15,000.0","15,900.0","15,000.0","371.19K","-0.32%"
"28/04/2020","15,600.0","15,100.0","16,150.0","14,850.0","478.94K","0.65%"
"27/04/2020","15,500.0","15,500.0","15,800.0","14,750.0","280.97K","3.33%"
"24/04/2020","15,000.0","14,850.0","15,000.0","14,600.0","11.96K","1.01%"
"23/04/2020","14,850.0","15,100.0","15,200.0","14,850.0","21.45K","-0.34%"
"22/04/2020","14,900.0","14,900.0","15,350.0","14,850.0","16.08K","-0.67%"
"21/04/2020","15,000.0","15,100.0","15,700.0","15,000.0","20.47K","-5.06%"
"20/04/2020","15,800.0","14,800.0","16,050.0","14,750.0","364.38K","5.33%"
"17/04/2020","15,000.0","14,800.0","15,600.0","14,750.0","114.86K","0.00%"
"16/04/2020","15,000.0","14,800.0","15,600.0","14,800.0","54.14K","-5.06%"
"15/04/2020","15,800.0","16,200.0","16,200.0","15,400.0","273.13K","-3.07%"
"14/04/2020","16,300.0","15,500.0","16,400.0","15,000.0","404.50K","6.19%"
"13/04/2020","15,350.0","14,150.0","15,350.0","13,800.0","509.86K","6.97%"
"10/04/2020","14,350.0","14,000.0","14,400.0","13,600.0","107.23K","1.06%"
"09/04/2020","14,200.0","14,000.0","14,500.0","13,650.0","67.00K","2.53%"
"08/04/2020","13,850.0","13,900.0","13,900.0","12,800.0","60.36K","2.97%"
"07/04/2020","13,450.0","14,300.0","14,300.0","13,450.0","65.05K","-5.94%"
"06/04/2020","14,300.0","13,400.0","14,800.0","13,400.0","22.83K","2.88%"
"03/04/2020","13,900.0","14,050.0","14,800.0","13,900.0","200.41K","-6.71%"
"01/04/2020","14,900.0","14,000.0","14,900.0","13,400.0","50.37K","3.47%"
"31/03/2020","14,400.0","12,800.0","14,400.0","12,650.0","43.40K","6.27%"
"30/03/2020","13,550.0","14,200.0","14,200.0","12,800.0","44.58K","-1.09%"
"27/03/2020","13,700.0","13,550.0","13,700.0","13,550.0","1.46K","-4.86%"
"26/03/2020","14,400.0","14,000.0","14,450.0","14,000.0","80.10K","-0.69%"
"25/03/2020","14,500.0","14,500.0","15,000.0","13,600.0","32.41K","0.00%"
"24/03/2020","14,500.0","14,800.0","14,800.0","14,500.0","11.08K","0.00%"
"23/03/2020","14,500.0","13,700.0","14,500.0","13,700.0","76.77K","-1.36%"
"20/03/2020","14,700.0","13,900.0","14,950.0","13,800.0","67.31K","-0.68%"
"19/03/2020","14,800.0","14,400.0","14,800.0","14,350.0","57.67K","-3.90%"
"18/03/2020","15,400.0","14,550.0","15,400.0","14,500.0","26.35K","1.32%"
"17/03/2020","15,200.0","15,400.0","15,400.0","14,450.0","81.00K","-1.94%"
"16/03/2020","15,500.0","14,950.0","16,000.0","14,900.0","120.91K","-3.13%"
"13/03/2020","16,000.0","14,750.0","16,000.0","14,750.0","74.98K","0.95%"
"12/03/2020","15,850.0","15,850.0","15,850.0","15,850.0","36.51K","-6.76%"
"11/03/2020","17,000.0","17,650.0","17,700.0","16,400.0","217.43K","-3.41%"
"10/03/2020","17,600.0","17,700.0","17,900.0","16,450.0","163.20K","-0.28%"
"09/03/2020","17,650.0","18,500.0","18,500.0","17,650.0","482.16K","-6.86%"
"06/03/2020","18,950.0","18,100.0","19,200.0","17,950.0","428.04K","3.84%"
"05/03/2020","18,250.0","17,500.0","18,500.0","17,500.0","283.50K","4.29%"
"04/03/2020","17,500.0","17,700.0","17,700.0","17,300.0","497.55K","-1.13%"
"03/03/2020","17,700.0","17,500.0","17,700.0","17,300.0","82.75K","1.72%"
"02/03/2020","17,400.0","17,900.0","18,000.0","17,400.0","51.94K","-2.79%"
"28/02/2020","17,900.0","17,400.0","17,900.0","16,950.0","247.83K","2.29%"
"27/02/2020","17,500.0","17,500.0","18,250.0","17,500.0","86.46K","-4.11%"
"26/02/2020","18,250.0","18,000.0","18,500.0","17,600.0","64.15K","-0.82%"
"25/02/2020","18,400.0","18,000.0","18,500.0","17,200.0","209.43K","0.82%"
"24/02/2020","18,250.0","18,700.0","18,700.0","17,650.0","427.19K","-3.69%"
"21/02/2020","18,950.0","19,100.0","19,100.0","18,700.0","156.26K","-1.30%"
"20/02/2020","19,200.0","19,200.0","19,200.0","18,900.0","242.30K","-1.03%"
"19/02/2020","19,400.0","19,400.0","19,400.0","19,100.0","124.23K","0.00%"
"18/02/2020","19,400.0","19,400.0","19,700.0","18,700.0","299.63K","-1.02%"
"17/02/2020","19,600.0","19,300.0","20,000.0","19,300.0","354.67K","1.03%"
"14/02/2020","19,400.0","18,900.0","19,500.0","18,700.0","230.05K","2.65%"
"13/02/2020","18,900.0","17,800.0","18,900.0","17,200.0","736.15K","6.78%"
"12/02/2020","17,700.0","18,200.0","18,600.0","17,700.0","122.88K","-2.75%"
"11/02/2020","18,200.0","17,700.0","18,200.0","17,600.0","516.13K","2.25%"
"10/02/2020","17,800.0","17,900.0","18,000.0","17,700.0","140.16K","-1.11%"
"07/02/2020","18,000.0","17,800.0","18,000.0","17,600.0","199.86K","1.12%"
"06/02/2020","17,800.0","17,100.0","18,200.0","16,700.0","374.29K","3.79%"
"05/02/2020","17,150.0","17,000.0","17,200.0","16,400.0","57.42K","0.00%"
"04/02/2020","17,150.0","18,200.0","18,200.0","17,150.0","101.15K","-6.79%"
"03/02/2020","18,400.0","18,300.0","18,400.0","17,450.0","365.01K","-1.87%"
"31/01/2020","18,750.0","19,400.0","19,450.0","18,400.0","125.75K","-3.60%"
"30/01/2020","19,450.0","19,400.0","19,450.0","18,100.0","241.44K","0.00%"
"22/01/2020","19,450.0","18,200.0","19,550.0","17,700.0","481.97K","6.28%"
"21/01/2020","18,300.0","17,600.0","18,300.0","17,400.0","149.98K","0.55%"
"20/01/2020","18,200.0","18,100.0","18,200.0","17,700.0","133.21K","0.55%"
"17/01/2020","18,100.0","18,100.0","18,200.0","17,500.0","77.20K","-0.55%"
"16/01/2020","18,200.0","18,500.0","18,500.0","17,000.0","172.49K","0.00%"
"15/01/2020","18,200.0","18,300.0","18,600.0","17,900.0","130.23K","-0.82%"
"14/01/2020","18,350.0","18,400.0","18,700.0","17,700.0","311.25K","-3.42%"
"13/01/2020","19,000.0","19,200.0","19,200.0","18,000.0","175.18K","-1.81%"
