"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","16,750.0","15,200.0","16,750.0","15,200.0","6.05K","3.40%"
"04/05/2020","16,200.0","15,000.0","16,200.0","15,000.0","51.03K","6.93%"
"29/04/2020","15,150.0","14,850.0","15,150.0","14,850.0","1.50K","-2.57%"
"28/04/2020","15,550.0","15,100.0","16,350.0","15,100.0","39.73K","1.63%"
"27/04/2020","15,300.0","16,000.0","16,250.0","15,300.0","35.55K","0.66%"
"24/04/2020","15,200.0","15,150.0","15,200.0","15,150.0","0.57K","-5.00%"
"23/04/2020","16,000.0","15,100.0","16,000.0","15,100.0","0.90K","-0.31%"
"22/04/2020","16,050.0","14,500.0","16,050.0","14,500.0","87.29K","7.00%"
"21/04/2020","15,000.0","15,000.0","15,000.0","14,700.0","5.18K","-3.23%"
"20/04/2020","15,500.0","16,550.0","16,550.0","15,000.0","4.89K","0.00%"
"17/04/2020","15,500.0","15,500.0","15,500.0","15,500.0","25.79K","6.90%"
"16/04/2020","14,500.0","14,750.0","14,750.0","14,000.0","6.03K","5.07%"
"15/04/2020","13,800.0","12,900.0","13,800.0","12,900.0","2.66K","6.98%"
"14/04/2020","12,900.0","12,900.0","12,900.0","12,900.0","0.03K","0.00%"
"13/04/2020","12,900.0","13,600.0","13,600.0","12,900.0","3.50K","-5.15%"
"10/04/2020","13,600.0","13,600.0","13,700.0","13,600.0","3.39K","-6.21%"
"09/04/2020","14,500.0","14,500.0","14,500.0","14,500.0","0.02K","-5.54%"
"08/04/2020","15,350.0","15,000.0","15,350.0","15,000.0","0.07K","0.00%"
"07/04/2020","15,350.0","13,500.0","15,350.0","13,500.0","0.51K","6.97%"
"06/04/2020","14,350.0","13,500.0","14,350.0","12,900.0","6.02K","6.30%"
"03/04/2020","13,500.0","13,500.0","13,500.0","13,500.0","2.12K","0.37%"
"01/04/2020","13,450.0","13,450.0","13,450.0","13,450.0","3.00K","6.75%"
"31/03/2020","12,600.0","12,600.0","12,600.0","12,600.0","0.01K","6.78%"
"30/03/2020","11,800.0","12,550.0","13,450.0","11,800.0","26.34K","-6.35%"
"27/03/2020","12,600.0","12,600.0","12,600.0","12,600.0","0.60K","-4.55%"
"26/03/2020","13,200.0","13,200.0","13,200.0","13,200.0","0.60K","-5.71%"
"25/03/2020","14,000.0","14,000.0","14,000.0","13,000.0","0.91K","2.56%"
"24/03/2020","13,650.0","12,900.0","13,650.0","12,900.0","0.51K","0.00%"
"23/03/2020","13,650.0","13,600.0","13,650.0","13,000.0","143.17K","6.64%"
"20/03/2020","12,800.0","12,400.0","12,800.0","12,400.0","0.11K","6.67%"
"19/03/2020","12,000.0","11,900.0","12,750.0","11,900.0","6.05K","-5.88%"
"18/03/2020","12,750.0","12,750.0","12,750.0","12,750.0","1.00K","6.69%"
"17/03/2020","11,950.0","11,950.0","11,950.0","11,950.0","0.01K","6.70%"
"16/03/2020","11,200.0","11,200.0","11,200.0","11,200.0","0.05K","-6.67%"
"13/03/2020","12,000.0","12,000.0","12,000.0","12,000.0","0.08K","-4.00%"
"12/03/2020","12,500.0","12,500.0","13,300.0","12,500.0","10.99K","0.00%"
"11/03/2020","12,500.0","13,000.0","13,000.0","12,500.0","4.47K","-3.10%"
"10/03/2020","12,900.0","12,400.0","12,900.0","12,400.0","0.45K","4.88%"
"04/03/2020","12,300.0","12,300.0","12,300.0","12,300.0","4.70K","0.82%"
"02/03/2020","12,200.0","12,200.0","12,200.0","12,200.0","0.01K","-6.15%"
"28/02/2020","13,000.0","13,000.0","13,000.0","13,000.0","0.50K","-5.80%"
"27/02/2020","13,800.0","13,800.0","13,800.0","13,800.0","1.05K","-6.76%"
"26/02/2020","14,800.0","14,800.0","14,800.0","14,800.0","0.01K","0.00%"
"25/02/2020","14,800.0","14,800.0","14,800.0","14,800.0","0.01K","6.47%"
"24/02/2020","13,900.0","13,900.0","13,900.0","13,900.0","0.01K","2.58%"
"21/02/2020","13,550.0","13,550.0","13,550.0","13,550.0","0.01K","6.69%"
"19/02/2020","12,700.0","13,000.0","13,000.0","12,700.0","3.92K","-6.62%"
"18/02/2020","13,600.0","13,600.0","13,600.0","13,600.0","0.15K","-6.85%"
"14/02/2020","14,600.0","12,700.0","14,600.0","12,700.0","0.11K","6.96%"
"13/02/2020","13,650.0","13,650.0","13,650.0","13,650.0","0.90K","6.64%"
"12/02/2020","12,800.0","11,250.0","12,800.0","11,250.0","1.01K","6.67%"
"11/02/2020","12,000.0","12,100.0","12,100.0","12,000.0","4.42K","0.00%"
"10/02/2020","12,000.0","12,700.0","12,700.0","12,000.0","0.02K","0.84%"
"07/02/2020","11,900.0","13,550.0","13,550.0","11,900.0","0.04K","-6.30%"
"06/02/2020","12,700.0","12,700.0","12,700.0","12,700.0","0.40K","0.40%"
"03/02/2020","12,650.0","12,650.0","12,650.0","12,650.0","1.00K","0.00%"
"30/01/2020","12,650.0","12,650.0","12,650.0","12,650.0","0.01K","-5.95%"
"17/01/2020","13,450.0","13,450.0","13,450.0","13,450.0","1.00K","-6.92%"
"14/01/2020","14,450.0","14,450.0","14,450.0","14,450.0","1.00K","-6.77%"
"13/01/2020","15,500.0","15,500.0","15,500.0","15,500.0","0.01K","-6.91%"
"10/01/2020","16,650.0","16,650.0","16,650.0","16,650.0","0.01K","-6.98%"
"09/01/2020","17,900.0","16,500.0","17,900.0","16,500.0","0.04K","1.13%"
"08/01/2020","17,700.0","15,450.0","17,700.0","15,450.0","0.12K","6.63%"
"07/01/2020","16,600.0","16,600.0","16,600.0","16,600.0","0.01K","-6.74%"
"02/01/2020","17,800.0","15,750.0","17,800.0","15,750.0","0.31K","5.33%"
"20/12/2019","16,900.0","16,900.0","16,900.0","16,900.0","0.02K","5.63%"
"18/12/2019","16,000.0","16,000.0","16,000.0","16,000.0","0.10K","6.67%"
"05/12/2019","15,000.0","15,000.0","15,000.0","15,000.0","0.30K","0.00%"
"02/12/2019","15,000.0","15,000.0","15,000.0","15,000.0","3.70K","0.00%"
"29/11/2019","15,000.0","15,000.0","15,000.0","15,000.0","2.96K","-3.23%"
"28/11/2019","15,500.0","15,500.0","15,500.0","15,500.0","2.71K","0.00%"
"27/11/2019","15,500.0","15,500.0","15,500.0","15,500.0","4.80K","0.00%"
"26/11/2019","15,500.0","15,500.0","15,500.0","15,500.0","1.13K","0.00%"
"25/11/2019","15,500.0","15,500.0","15,500.0","15,500.0","0.69K","0.00%"
"22/11/2019","15,500.0","15,500.0","15,500.0","15,500.0","2.00K","0.00%"
"21/11/2019","15,500.0","15,500.0","15,500.0","15,500.0","4.68K","0.00%"
"20/11/2019","15,500.0","15,500.0","15,500.0","15,500.0","0.90K","3.33%"
"13/11/2019","15,000.0","15,000.0","15,000.0","15,000.0","0.01K","-5.06%"
"11/11/2019","15,800.0","15,800.0","15,800.0","15,800.0","0.01K","5.33%"
"08/11/2019","15,000.0","15,000.0","15,000.0","15,000.0","0.01K","0.00%"
"05/11/2019","15,000.0","15,000.0","15,000.0","15,000.0","1.20K","0.00%"
"04/11/2019","15,000.0","15,000.0","15,000.0","15,000.0","0.13K","6.01%"
"31/10/2019","14,150.0","14,150.0","14,150.0","14,150.0","1.82K","6.79%"
"30/10/2019","13,250.0","13,250.0","13,250.0","13,250.0","0.25K","-5.69%"
"25/10/2019","14,050.0","14,050.0","14,050.0","14,050.0","0.02K","-4.10%"
"22/10/2019","14,650.0","14,650.0","14,650.0","14,650.0","0.15K","-2.66%"
"14/10/2019","15,050.0","15,050.0","15,050.0","15,050.0","0.01K","-0.99%"
"11/10/2019","15,200.0","15,200.0","16,200.0","15,200.0","37.64K","0.33%"
"10/10/2019","15,150.0","15,150.0","15,150.0","15,150.0","0.01K","-5.31%"
"08/10/2019","16,000.0","15,100.0","16,000.0","15,100.0","0.23K","0.31%"
"07/10/2019","15,950.0","15,050.0","15,950.0","15,050.0","0.23K","0.31%"
"04/10/2019","15,900.0","15,650.0","15,900.0","15,650.0","1.10K","1.60%"
"02/10/2019","15,650.0","15,650.0","16,500.0","15,650.0","2.70K","-6.85%"
"30/09/2019","16,800.0","16,800.0","16,800.0","16,800.0","0.40K","6.67%"
"27/09/2019","15,750.0","14,150.0","15,750.0","14,150.0","0.40K","5.00%"
"25/09/2019","15,000.0","15,000.0","15,000.0","15,000.0","14.09K","0.00%"
"24/09/2019","15,000.0","15,000.0","15,000.0","15,000.0","0.03K","-6.25%"
"23/09/2019","16,000.0","16,000.0","16,000.0","16,000.0","-","0.00%"
"20/09/2019","16,000.0","15,000.0","16,000.0","15,000.0","1.47K","3.90%"
"19/09/2019","15,400.0","15,450.0","15,450.0","15,400.0","3.01K","-6.10%"
"17/09/2019","16,400.0","15,450.0","16,400.0","15,400.0","0.63K","0.00%"
"16/09/2019","16,400.0","15,350.0","16,400.0","15,350.0","0.50K","1.23%"
"11/09/2019","16,200.0","16,200.0","16,200.0","16,200.0","0.10K","2.53%"
"10/09/2019","15,800.0","15,800.0","15,800.0","15,800.0","1.20K","-2.47%"
"09/09/2019","16,200.0","16,200.0","16,200.0","16,200.0","0.20K","2.53%"
"05/09/2019","15,800.0","15,800.0","15,800.0","15,800.0","3.32K","0.00%"
"03/09/2019","15,800.0","15,800.0","15,800.0","15,800.0","10.17K","0.00%"
"30/08/2019","15,800.0","16,800.0","16,800.0","15,800.0","1.51K","-5.95%"
"29/08/2019","16,800.0","15,600.0","16,800.0","15,600.0","1.19K","4.35%"
"28/08/2019","16,100.0","16,100.0","16,100.0","16,100.0","0.50K","0.00%"
"27/08/2019","16,100.0","16,100.0","16,100.0","16,100.0","0.02K","-0.62%"
"26/08/2019","16,200.0","16,200.0","16,200.0","16,200.0","0.50K","0.00%"
"23/08/2019","16,200.0","16,000.0","16,200.0","15,700.0","5.67K","3.18%"
"22/08/2019","15,700.0","15,700.0","15,700.0","15,700.0","0.01K","-6.55%"
"21/08/2019","16,800.0","17,000.0","17,000.0","16,000.0","1.40K","-1.18%"
"20/08/2019","17,000.0","17,000.0","17,000.0","17,000.0","0.18K","-5.56%"
"19/08/2019","18,000.0","16,300.0","18,000.0","16,300.0","1.01K","2.86%"
