"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","10,000.0","11,100.0","11,100.0","10,000.0","0.40K","-9.91%"
"04/05/2020","11,100.0","11,100.0","11,100.0","11,100.0","0.20K","0.00%"
"23/04/2020","11,100.0","10,200.0","11,100.0","10,200.0","2.60K","9.90%"
"09/04/2020","10,100.0","10,100.0","10,100.0","10,100.0","0.30K","-8.18%"
"06/04/2020","11,000.0","9,900.0","11,000.0","9,900.0","12.80K","10.00%"
"03/04/2020","10,000.0","10,000.0","10,000.0","10,000.0","0.70K","-8.26%"
"01/04/2020","10,900.0","10,900.0","10,900.0","10,900.0","0.30K","-9.92%"
"27/03/2020","12,100.0","12,100.0","12,100.0","12,100.0","0.10K","10.00%"
"26/03/2020","11,000.0","9,100.0","11,000.0","9,100.0","0.50K","10.00%"
"25/03/2020","10,000.0","10,500.0","10,500.0","10,000.0","0.40K","0.00%"
"19/03/2020","10,000.0","10,000.0","10,000.0","10,000.0","1.90K","-1.96%"
"12/03/2020","10,200.0","10,200.0","10,200.0","10,200.0","0.50K","-3.77%"
"09/03/2020","10,600.0","10,600.0","10,600.0","10,600.0","2.00K","0.00%"
"03/03/2020","10,600.0","10,600.0","10,600.0","10,600.0","0.21K","0.00%"
"02/03/2020","10,600.0","10,600.0","10,600.0","10,600.0","0.20K","0.95%"
"28/02/2020","10,500.0","10,500.0","10,500.0","10,500.0","4.00K","-0.94%"
"26/02/2020","10,600.0","10,300.0","10,600.0","10,300.0","0.40K","0.00%"
"19/02/2020","10,600.0","10,600.0","10,600.0","10,600.0","0.50K","3.92%"
"18/02/2020","10,200.0","10,600.0","10,600.0","10,200.0","0.40K","0.00%"
"13/02/2020","10,200.0","10,200.0","10,200.0","9,400.0","3.30K","-1.92%"
"11/02/2020","10,400.0","10,400.0","10,400.0","10,400.0","0.10K","-5.45%"
"06/02/2020","11,000.0","11,000.0","11,000.0","11,000.0","2.70K","7.84%"
"05/02/2020","10,200.0","10,200.0","10,200.0","10,200.0","0.20K","0.00%"
"04/02/2020","10,200.0","10,200.0","10,200.0","10,200.0","1.00K","0.00%"
"03/02/2020","10,200.0","11,000.0","11,000.0","10,200.0","1.40K","-7.27%"
"30/01/2020","11,000.0","11,300.0","11,300.0","11,000.0","4.10K","-1.79%"
"22/01/2020","11,200.0","11,500.0","11,500.0","11,100.0","4.30K","-4.27%"
"17/01/2020","11,700.0","11,700.0","11,700.0","11,700.0","0.10K","-1.68%"
"15/01/2020","11,900.0","11,900.0","11,900.0","11,900.0","0.80K","0.00%"
"14/01/2020","11,900.0","11,900.0","13,000.0","11,900.0","1.10K","0.00%"
"13/01/2020","11,900.0","11,900.0","11,900.0","11,900.0","0.20K","-11.19%"
"10/01/2020","13,400.0","13,400.0","13,400.0","13,400.0","-","12.61%"
"07/01/2020","11,900.0","11,545.0","11,900.0","11,545.0","0.86K","0.00%"
"06/01/2020","11,900.0","11,545.0","11,900.0","11,545.0","1.20K","0.00%"
"03/01/2020","11,900.0","11,900.0","11,989.0","11,900.0","2.00K","0.00%"
"02/01/2020","11,900.0","11,900.0","11,900.0","11,900.0","1.21K","0.00%"
"31/12/2019","11,900.0","11,900.0","11,989.0","11,545.0","3.40K","-0.74%"
"30/12/2019","11,989.0","11,989.0","11,989.0","11,722.0","2.53K","-11.19%"
"26/12/2019","13,500.0","13,500.0","13,500.0","13,500.0","1.00K","3.05%"
"23/12/2019","13,100.0","13,100.0","13,100.0","13,100.0","0.50K","-9.66%"
"19/12/2019","14,500.0","13,500.0","14,500.0","13,500.0","0.50K","7.41%"
"18/12/2019","13,500.0","12,900.0","13,500.0","12,900.0","0.39K","9.76%"
"13/12/2019","12,300.0","12,300.0","12,300.0","12,300.0","0.20K","0.00%"
"28/11/2019","12,300.0","12,700.0","12,700.0","12,300.0","5.00K","-3.15%"
"25/11/2019","12,700.0","12,100.0","12,700.0","11,500.0","8.60K","0.00%"
"19/11/2019","12,700.0","12,700.0","12,700.0","12,700.0","1.40K","0.00%"
"04/11/2019","12,700.0","12,500.0","12,700.0","12,500.0","0.50K","0.00%"
"11/10/2019","12,700.0","12,700.0","12,700.0","12,700.0","2.50K","1.60%"
"07/10/2019","12,500.0","12,500.0","12,500.0","12,500.0","0.10K","0.00%"
"04/10/2019","12,500.0","12,500.0","12,700.0","12,500.0","1.90K","0.00%"
"02/10/2019","12,500.0","12,500.0","12,500.0","12,500.0","0.20K","0.00%"
"25/09/2019","12,500.0","12,500.0","12,500.0","12,500.0","0.50K","0.00%"
"24/09/2019","12,500.0","12,500.0","12,500.0","12,500.0","0.50K","0.00%"
"20/09/2019","12,500.0","12,500.0","12,500.0","12,500.0","0.11K","-0.79%"
"19/09/2019","12,600.0","12,600.0","12,600.0","12,600.0","0.10K","-0.79%"
"17/09/2019","12,700.0","12,300.0","12,700.0","12,100.0","13.90K","0.00%"
"16/09/2019","12,700.0","12,200.0","12,700.0","12,200.0","0.30K","-0.78%"
"06/09/2019","12,800.0","12,400.0","12,800.0","12,100.0","7.30K","2.40%"
"03/09/2019","12,500.0","12,500.0","12,500.0","12,500.0","0.10K","0.00%"
"28/08/2019","12,500.0","12,600.0","13,000.0","12,500.0","3.57K","-3.85%"
"26/08/2019","13,000.0","12,700.0","13,000.0","12,500.0","4.30K","1.56%"
"23/08/2019","12,800.0","12,800.0","12,800.0","12,800.0","0.40K","0.00%"
"22/08/2019","12,800.0","12,800.0","12,800.0","12,800.0","0.10K","4.07%"
"21/08/2019","12,300.0","12,300.0","12,300.0","12,300.0","0.70K","-3.91%"
"16/08/2019","12,800.0","12,300.0","12,800.0","12,300.0","2.40K","4.07%"
"15/08/2019","12,300.0","12,500.0","12,500.0","12,300.0","3.90K","-5.38%"
"13/08/2019","13,000.0","13,000.0","13,000.0","13,000.0","2.00K","2.36%"
"12/08/2019","12,700.0","12,700.0","12,700.0","12,700.0","0.80K","-0.78%"
"09/08/2019","12,800.0","12,600.0","12,800.0","12,500.0","9.60K","1.59%"
"08/08/2019","12,600.0","12,600.0","12,600.0","12,600.0","3.21K","0.00%"
"07/08/2019","12,600.0","12,600.0","12,600.0","12,600.0","21.66K","-3.82%"
"05/08/2019","13,100.0","13,100.0","13,100.0","13,100.0","0.10K","3.15%"
"02/08/2019","12,700.0","12,700.0","13,200.0","12,000.0","8.70K","-3.05%"
"30/07/2019","13,100.0","12,700.0","13,100.0","12,700.0","0.20K","-0.76%"
"29/07/2019","13,200.0","12,700.0","13,200.0","12,700.0","1.04K","-1.49%"
"24/07/2019","13,400.0","13,800.0","13,800.0","12,600.0","15.70K","-2.90%"
"23/07/2019","13,800.0","12,800.0","13,800.0","12,700.0","2.40K","6.15%"
"19/07/2019","13,000.0","13,600.0","13,800.0","13,000.0","7.00K","-4.41%"
"17/07/2019","13,600.0","13,600.0","13,600.0","13,600.0","0.10K","7.94%"
"16/07/2019","12,600.0","12,600.0","12,600.0","12,500.0","5.21K","0.00%"
"15/07/2019","12,600.0","12,600.0","12,600.0","12,600.0","1.50K","-1.56%"
"12/07/2019","12,800.0","12,900.0","13,000.0","12,800.0","0.50K","-1.54%"
"11/07/2019","13,000.0","12,800.0","13,000.0","12,800.0","0.40K","-5.11%"
"10/07/2019","13,700.0","12,700.0","13,700.0","12,700.0","2.30K","9.60%"
"09/07/2019","12,500.0","12,500.0","12,500.0","12,500.0","1.20K","-1.57%"
"08/07/2019","12,700.0","12,700.0","12,700.0","12,700.0","1.50K","-1.55%"
"05/07/2019","12,900.0","13,000.0","13,000.0","12,900.0","2.20K","-3.01%"
"04/07/2019","13,300.0","13,000.0","13,300.0","13,000.0","0.42K","0.00%"
"02/07/2019","13,300.0","13,300.0","13,300.0","13,300.0","0.20K","6.40%"
"28/06/2019","12,500.0","12,700.0","12,700.0","12,500.0","1.71K","-1.57%"
"27/06/2019","12,700.0","12,600.0","13,200.0","12,600.0","15.20K","-2.31%"
