"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"21/04/2020","46,300","50,000","50,000","46,300","0.70K","-7.40%"
"20/04/2020","50,000","50,000","50,000","50,000","0.30K","2.04%"
"15/04/2020","49,000","47,000","49,000","47,000","0.20K","6.29%"
"10/04/2020","46,100","46,100","46,100","46,100","0.10K","-6.87%"
"09/04/2020","49,500","50,000","50,000","49,500","2.80K","9.76%"
"08/04/2020","45,100","45,100","45,100","45,100","0.10K","-0.22%"
"07/04/2020","45,200","49,500","49,600","45,200","10.20K","-8.69%"
"03/04/2020","49,500","49,500","49,500","49,400","4.60K","13.53%"
"01/04/2020","43,600","50,000","50,000","43,600","3.10K","-12.80%"
"24/03/2020","50,000","50,500","50,500","50,000","2.00K","-0.99%"
"23/03/2020","50,500","50,500","50,500","50,500","0.40K","2.02%"
"20/03/2020","49,500","54,000","54,000","49,500","0.40K","-10.00%"
"19/03/2020","55,000","54,000","55,000","54,000","0.90K","0.00%"
"17/03/2020","55,000","55,000","55,000","55,000","0.40K","0.00%"
"16/03/2020","55,000","56,600","56,600","55,000","0.60K","11.56%"
"13/03/2020","49,300","49,300","49,300","49,300","11.50K","-15.00%"
"12/03/2020","58,000","58,000","58,000","58,000","0.50K","12.19%"
"11/03/2020","51,700","51,700","51,700","51,700","0.50K","0.00%"
"10/03/2020","51,700","51,700","51,700","51,700","0.40K","0.00%"
"09/03/2020","51,700","51,700","51,700","51,700","0.60K","0.00%"
"04/03/2020","51,700","51,700","51,700","51,700","0.10K","-0.77%"
"27/02/2020","52,100","52,100","52,100","52,100","0.10K","0.00%"
"26/02/2020","52,100","52,100","52,100","52,100","0.10K","-0.76%"
"21/02/2020","52,500","52,500","52,500","52,500","0.40K","0.00%"
"18/02/2020","52,500","52,500","52,500","52,500","0.90K","-2.78%"
"14/02/2020","54,000","58,900","58,900","54,000","0.60K","2.86%"
"10/02/2020","52,500","52,500","52,500","52,500","0.10K","0.00%"
"06/02/2020","52,500","52,500","52,500","52,500","4.00K","0.00%"
"04/02/2020","52,500","52,500","52,500","52,500","1.00K","1.16%"
"03/02/2020","51,900","52,500","52,500","51,900","5.10K","-0.19%"
"31/01/2020","52,000","51,700","52,000","51,700","13.00K","-1.89%"
"21/01/2020","53,000","52,000","53,000","52,000","6.50K","2.32%"
"17/01/2020","51,800","51,800","51,800","51,800","0.10K","0.19%"
"16/01/2020","51,700","51,700","51,700","51,700","3.00K","0.00%"
"15/01/2020","51,700","51,700","51,700","51,700","2.00K","0.00%"
"14/01/2020","51,700","51,700","51,700","51,700","2.00K","0.00%"
"13/01/2020","51,700","51,700","51,700","51,700","4.50K","-0.58%"
"09/01/2020","52,000","52,000","52,000","52,000","1.00K","0.00%"
"08/01/2020","52,000","52,000","52,000","52,000","0.60K","0.58%"
"07/01/2020","51,700","51,700","52,000","51,700","3.20K","0.00%"
"06/01/2020","51,700","51,700","51,700","51,700","14.00K","0.00%"
"03/01/2020","51,700","51,700","51,700","51,700","5.00K","0.00%"
"27/12/2019","51,700","51,000","51,700","51,000","3.60K","1.37%"
"26/12/2019","51,000","51,000","51,000","51,000","0.20K","-0.78%"
"20/12/2019","51,400","51,400","51,400","51,400","0.50K","0.00%"
"17/12/2019","51,400","51,300","51,400","51,300","1.30K","0.00%"
"16/12/2019","51,400","51,400","51,400","51,400","8.20K","0.00%"
"13/12/2019","51,400","51,400","51,400","51,400","5.00K","0.00%"
"12/12/2019","51,400","51,400","51,400","51,400","10.30K","0.00%"
"10/12/2019","51,400","51,400","51,400","51,400","9.90K","0.00%"
"06/12/2019","51,400","51,600","52,000","51,400","4.90K","0.00%"
"05/12/2019","51,400","51,400","51,400","51,400","0.30K","-0.77%"
"04/12/2019","51,800","51,400","51,800","51,400","2.30K","0.78%"
"03/12/2019","51,400","52,000","52,000","51,400","6.50K","0.39%"
"02/12/2019","51,200","51,900","51,900","51,200","4.00K","-1.54%"
"29/11/2019","52,000","52,000","52,000","52,000","5.60K","0.00%"
"28/11/2019","52,000","53,500","53,500","52,000","18.10K","-3.70%"
"27/11/2019","54,000","54,000","54,000","54,000","6.00K","-0.18%"
