"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","7,100","7,100","7,100","7,100","13.60K","14.52%"
"27/04/2020","6,200","6,200","6,200","6,200","0.10K","-13.89%"
"14/04/2020","7,200","7,200","7,200","7,200","0.10K","-13.25%"
"10/04/2020","8,300","8,300","8,300","8,300","0.50K","-3.49%"
"19/03/2020","8,600","19,900","19,900","8,600","1.00K","-39.86%"
"10/02/2020","14,300","14,300","14,300","14,300","0.10K","13.49%"
"06/02/2020","12,600","12,600","12,600","12,600","0.10K","12.50%"
"05/02/2020","11,200","11,200","11,200","11,200","0.10K","13.13%"
"31/01/2020","9,900","9,900","9,900","9,900","0.10K","6.45%"
"21/01/2020","9,300","9,300","9,300","9,300","0.10K","14.81%"
"13/01/2020","8,100","8,200","8,200","8,100","0.20K","1.25%"
"07/01/2020","8,000","8,000","8,000","8,000","0.80K","0.00%"
"02/01/2020","8,000","8,000","8,000","8,000","0.20K","-11.11%"
"11/12/2019","9,000","9,000","9,000","9,000","0.60K","0.00%"
"02/12/2019","9,000","9,100","9,100","9,000","0.50K","0.00%"
"27/11/2019","9,000","9,000","9,000","9,000","3.00K","-9.09%"
"26/11/2019","9,900","9,900","9,900","9,900","0.10K","-14.66%"
"25/11/2019","11,600","11,600","11,600","11,600","0.10K","13.73%"
"13/11/2019","10,200","10,200","10,200","10,200","0.10K","13.33%"
"06/11/2019","9,000","9,000","9,000","9,000","0.10K","-7.22%"
"29/10/2019","9,700","9,700","9,700","9,700","0.10K","-14.16%"
"28/10/2019","11,300","11,300","11,300","11,300","0.10K","14.14%"
"25/10/2019","9,900","9,900","9,900","9,900","0.10K","23.75%"
"06/09/2019","8,000","7,800","8,000","7,800","1.00K","-5.88%"
"03/09/2019","8,500","8,500","8,500","8,500","0.10K","4.94%"
"30/08/2019","8,100","10,900","10,900","8,100","0.60K","-14.74%"
"29/08/2019","9,500","9,500","9,500","9,500","0.10K","14.46%"
"28/08/2019","8,300","8,300","8,300","8,300","0.10K","0.00%"
"23/08/2019","8,300","8,300","8,300","8,300","2.80K","0.00%"
"22/08/2019","8,300","8,300","8,300","8,300","0.10K","0.00%"
"19/08/2019","8,300","8,300","8,300","8,300","0.10K","6.41%"
"13/08/2019","7,800","7,600","7,800","7,600","0.60K","-8.24%"
