"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","26,800.0","26,800.0","26,800.0","26,800.0","-","9.84%"
"28/04/2020","24,400.0","24,400.0","24,400.0","24,400.0","1.00K","0.41%"
"27/04/2020","24,300.0","26,000.0","26,000.0","24,300.0","1.20K","2.53%"
"24/04/2020","23,700.0","23,700.0","23,700.0","23,700.0","2.50K","1.72%"
"23/04/2020","23,300.0","27,300.0","27,300.0","23,300.0","1.00K","-6.43%"
"22/04/2020","24,900.0","24,900.0","24,900.0","24,900.0","0.10K","9.69%"
"21/04/2020","22,700.0","22,700.0","22,700.0","22,700.0","0.10K","-0.87%"
"20/04/2020","22,900.0","24,200.0","24,200.0","22,900.0","0.20K","4.09%"
"17/04/2020","22,000.0","22,100.0","22,100.0","22,000.0","0.20K","-8.71%"
"16/04/2020","24,100.0","24,100.0","24,100.0","24,100.0","0.10K","3.88%"
"09/04/2020","23,200.0","23,200.0","23,200.0","23,200.0","0.10K","-5.31%"
"08/04/2020","24,500.0","24,500.0","24,500.0","23,100.0","1.60K","0.00%"
"01/04/2020","24,500.0","24,500.0","24,500.0","24,500.0","1.00K","0.00%"
"31/03/2020","24,500.0","26,900.0","26,900.0","22,400.0","0.45K","0.00%"
"30/03/2020","24,500.0","24,500.0","24,500.0","24,500.0","1.00K","0.00%"
"27/03/2020","24,500.0","24,500.0","24,500.0","24,500.0","0.10K","9.87%"
"25/03/2020","22,300.0","25,500.0","25,500.0","22,300.0","0.30K","-3.88%"
"24/03/2020","23,200.0","23,200.0","23,200.0","23,200.0","0.20K","-9.02%"
"23/03/2020","25,500.0","25,500.0","25,500.0","25,500.0","0.30K","-9.25%"
"20/03/2020","28,100.0","27,000.0","28,100.0","27,000.0","0.60K","9.77%"
"19/03/2020","25,600.0","28,100.0","28,100.0","25,500.0","0.80K","0.00%"
"18/03/2020","25,600.0","28,000.0","28,000.0","25,600.0","0.20K","-9.22%"
"16/03/2020","28,200.0","28,200.0","28,200.0","28,200.0","0.30K","9.73%"
"13/03/2020","25,700.0","25,700.0","25,700.0","25,700.0","0.10K","9.83%"
"12/03/2020","23,400.0","22,900.0","26,900.0","22,900.0","0.30K","-6.77%"
"11/03/2020","25,100.0","25,500.0","25,500.0","25,100.0","1.20K","-1.57%"
"10/03/2020","25,500.0","25,500.0","25,500.0","25,500.0","1.00K","1.59%"
"09/03/2020","25,100.0","25,100.0","25,100.0","25,100.0","0.40K","0.00%"
"02/03/2020","25,100.0","25,100.0","25,100.0","25,100.0","1.00K","-4.56%"
"27/02/2020","26,300.0","26,900.0","26,900.0","26,300.0","0.30K","-9.93%"
"25/02/2020","29,200.0","29,200.0","29,200.0","29,200.0","0.10K","-9.88%"
"24/02/2020","32,400.0","28,000.0","32,400.0","28,000.0","1.20K","6.93%"
"19/02/2020","30,300.0","27,400.0","30,300.0","27,400.0","0.41K","8.60%"
"18/02/2020","27,900.0","27,900.0","27,900.0","27,900.0","4.50K","-0.71%"
"14/02/2020","28,100.0","30,000.0","30,000.0","28,100.0","0.60K","-6.95%"
"13/02/2020","30,200.0","28,000.0","30,200.0","28,000.0","0.40K","7.86%"
"11/02/2020","28,000.0","28,000.0","28,000.0","28,000.0","0.20K","0.00%"
"07/02/2020","28,000.0","26,300.0","28,000.0","26,300.0","0.56K","-2.78%"
"06/02/2020","28,800.0","28,800.0","28,800.0","28,800.0","0.20K","-0.35%"
"05/02/2020","28,900.0","24,200.0","28,900.0","24,200.0","0.20K","9.06%"
"03/02/2020","26,500.0","26,100.0","26,600.0","26,100.0","1.10K","1.53%"
"31/01/2020","26,100.0","26,100.0","26,100.0","26,100.0","-","-10.00%"
"16/01/2020","29,000.0","29,000.0","29,000.0","29,000.0","1.00K","0.00%"
"15/01/2020","29,000.0","28,900.0","29,000.0","28,900.0","0.40K","0.00%"
"02/01/2020","29,000.0","29,000.0","29,000.0","29,000.0","2.80K","2.47%"
"30/12/2019","28,300.0","28,000.0","28,300.0","28,000.0","1.40K","-2.08%"
"27/12/2019","28,900.0","27,700.0","28,900.0","27,700.0","1.60K","-0.34%"
"26/12/2019","29,000.0","29,000.0","29,000.0","29,000.0","1.00K","-2.68%"
"24/12/2019","29,800.0","29,800.0","29,800.0","29,800.0","0.30K","-0.33%"
"19/12/2019","29,900.0","29,900.0","29,900.0","29,900.0","1.70K","9.93%"
"18/12/2019","27,200.0","27,200.0","27,200.0","27,200.0","2.00K","-6.21%"
