"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","9,850.0","9,990.0","9,990.0","9,800.0","341.76K","-1.50%"
"04/05/2020","10,000.0","10,200.0","10,200.0","9,880.0","439.71K","-1.96%"
"29/04/2020","10,200.0","10,550.0","10,650.0","10,150.0","474.13K","-4.23%"
"28/04/2020","10,650.0","11,250.0","11,300.0","10,500.0","987.11K","-5.33%"
"27/04/2020","11,250.0","10,600.0","11,250.0","10,600.0","514.14K","6.64%"
"24/04/2020","10,550.0","9,940.0","10,800.0","9,940.0","454.12K","-0.94%"
"23/04/2020","10,650.0","10,650.0","11,600.0","10,650.0","1.17M","-6.99%"
"22/04/2020","11,450.0","11,450.0","11,450.0","11,450.0","414.83K","-6.91%"
"21/04/2020","12,300.0","12,300.0","12,400.0","12,300.0","345.76K","-6.82%"
"20/04/2020","13,200.0","13,200.0","13,700.0","13,200.0","569.41K","-6.71%"
"17/04/2020","14,150.0","14,250.0","14,500.0","13,250.0","1.12M","-0.35%"
"16/04/2020","14,200.0","14,500.0","15,150.0","13,250.0","1.27M","0.00%"
"15/04/2020","14,200.0","12,400.0","14,200.0","12,400.0","1.06M","6.77%"
"14/04/2020","13,300.0","13,300.0","13,300.0","13,300.0","199.34K","-6.99%"
"13/04/2020","14,300.0","14,300.0","14,300.0","14,300.0","157.47K","-6.84%"
"10/04/2020","15,350.0","15,600.0","15,600.0","15,350.0","112.25K","-6.97%"
"09/04/2020","16,500.0","17,700.0","17,750.0","16,500.0","527.25K","-6.78%"
"08/04/2020","17,700.0","18,100.0","18,350.0","16,850.0","765.79K","-2.21%"
"07/04/2020","18,100.0","17,400.0","18,150.0","17,350.0","562.46K","4.62%"
"06/04/2020","17,300.0","16,750.0","17,300.0","16,750.0","327.89K","2.98%"
"03/04/2020","16,800.0","16,700.0","16,850.0","16,600.0","150.95K","0.60%"
"01/04/2020","16,700.0","16,700.0","16,900.0","16,650.0","127.19K","0.30%"
"31/03/2020","16,650.0","16,650.0","16,850.0","16,500.0","150.02K","0.00%"
"30/03/2020","16,650.0","16,750.0","16,800.0","16,500.0","119.14K","-0.60%"
"27/03/2020","16,750.0","16,600.0","16,750.0","16,600.0","139.41K","0.90%"
"26/03/2020","16,600.0","16,450.0","16,600.0","16,450.0","117.93K","0.91%"
"25/03/2020","16,450.0","16,700.0","16,750.0","16,400.0","200.93K","-0.60%"
"24/03/2020","16,550.0","16,550.0","16,700.0","16,500.0","141.19K","0.30%"
"23/03/2020","16,500.0","16,600.0","16,700.0","16,300.0","180.81K","-0.60%"
"20/03/2020","16,600.0","16,800.0","16,800.0","16,400.0","171.41K","-1.19%"
"19/03/2020","16,800.0","16,850.0","16,900.0","16,700.0","132.34K","-0.30%"
"18/03/2020","16,850.0","16,700.0","16,950.0","16,700.0","152.05K","0.90%"
"17/03/2020","16,700.0","16,600.0","16,700.0","16,500.0","148.72K","0.60%"
"16/03/2020","16,600.0","16,500.0","16,600.0","16,500.0","137.96K","0.61%"
"13/03/2020","16,500.0","16,600.0","16,600.0","16,350.0","113.65K","-0.60%"
"12/03/2020","16,600.0","16,650.0","16,750.0","16,500.0","117.15K","-0.30%"
