"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","10,800.0","10,800.0","10,800.0","10,800.0","-","0.00%"
"04/05/2020","10,800.0","10,800.0","10,800.0","10,800.0","1.40K","-1.82%"
"29/04/2020","11,000.0","11,000.0","11,100.0","11,000.0","10.31K","0.00%"
"28/04/2020","11,000.0","10,600.0","11,000.0","10,600.0","6.52K","3.29%"
"27/04/2020","10,650.0","10,600.0","10,650.0","10,550.0","10.08K","0.47%"
"24/04/2020","10,600.0","10,500.0","10,600.0","10,500.0","0.60K","0.47%"
"23/04/2020","10,550.0","10,500.0","10,550.0","10,200.0","4.83K","-3.21%"
"21/04/2020","10,900.0","10,850.0","10,900.0","10,850.0","0.02K","0.00%"
"20/04/2020","10,900.0","10,900.0","10,900.0","10,900.0","0.01K","1.87%"
"17/04/2020","10,700.0","10,600.0","10,700.0","10,500.0","15.97K","0.94%"
"16/04/2020","10,600.0","10,600.0","10,600.0","10,600.0","0.34K","-0.47%"
"15/04/2020","10,650.0","10,650.0","10,650.0","10,650.0","0.01K","0.00%"
"14/04/2020","10,650.0","10,700.0","10,700.0","10,600.0","1.25K","0.00%"
"13/04/2020","10,650.0","10,650.0","10,650.0","10,650.0","1.27K","-1.39%"
"10/04/2020","10,800.0","10,800.0","10,800.0","10,500.0","2.66K","0.00%"
"09/04/2020","10,800.0","11,000.0","11,000.0","10,800.0","6.11K","0.47%"
"08/04/2020","10,750.0","11,150.0","11,150.0","10,700.0","3.19K","-0.46%"
"07/04/2020","10,800.0","10,800.0","10,800.0","10,700.0","1.33K","-1.37%"
"06/04/2020","10,950.0","11,050.0","11,050.0","10,950.0","0.82K","1.39%"
"03/04/2020","10,800.0","11,000.0","11,000.0","10,800.0","1.40K","-1.82%"
"01/04/2020","11,000.0","11,000.0","11,000.0","11,000.0","0.70K","-2.22%"
"31/03/2020","11,250.0","10,550.0","11,250.0","10,500.0","33.11K","1.35%"
"30/03/2020","11,100.0","11,100.0","11,100.0","11,100.0","0.51K","-1.33%"
"26/03/2020","11,250.0","11,250.0","11,250.0","11,250.0","1.51K","2.27%"
"25/03/2020","11,000.0","11,000.0","11,000.0","11,000.0","3.08K","-2.65%"
"24/03/2020","11,300.0","11,300.0","11,300.0","11,300.0","1.71K","-0.88%"
"20/03/2020","11,400.0","11,500.0","11,600.0","11,400.0","2.41K","0.00%"
"19/03/2020","11,400.0","10,750.0","11,400.0","10,700.0","19.48K","-0.87%"
"18/03/2020","11,500.0","11,500.0","11,500.0","11,500.0","1.00K","0.00%"
"17/03/2020","11,500.0","11,600.0","11,700.0","11,450.0","1.37K","-0.86%"
"16/03/2020","11,600.0","11,600.0","11,600.0","11,600.0","0.40K","0.00%"
"13/03/2020","11,600.0","11,600.0","11,600.0","10,950.0","39.50K","-0.85%"
"12/03/2020","11,700.0","11,750.0","11,750.0","11,200.0","4.45K","0.00%"
"11/03/2020","11,700.0","11,700.0","11,700.0","11,300.0","4.70K","-0.43%"
"10/03/2020","11,750.0","11,750.0","11,900.0","11,750.0","3.12K","0.00%"
"09/03/2020","11,750.0","11,300.0","11,750.0","11,300.0","5.91K","0.00%"
"06/03/2020","11,750.0","11,600.0","11,750.0","11,000.0","17.13K","3.07%"
"05/03/2020","11,400.0","11,900.0","12,200.0","11,300.0","51.43K","-3.39%"
"04/03/2020","11,800.0","11,800.0","11,800.0","11,200.0","32.44K","3.06%"
"03/03/2020","11,450.0","11,800.0","11,800.0","11,450.0","15.95K","-1.72%"
"02/03/2020","11,650.0","11,900.0","11,900.0","11,000.0","21.02K","2.19%"
"28/02/2020","11,400.0","11,900.0","11,900.0","11,200.0","35.22K","-5.00%"
"27/02/2020","12,000.0","12,000.0","12,000.0","11,250.0","39.56K","0.42%"
"26/02/2020","11,950.0","12,000.0","12,000.0","11,950.0","0.61K","-2.05%"
"25/02/2020","12,200.0","11,200.0","12,200.0","11,200.0","25.29K","1.67%"
"24/02/2020","12,000.0","12,050.0","12,200.0","11,600.0","31.73K","1.69%"
"21/02/2020","11,800.0","11,850.0","12,250.0","11,800.0","34.72K","-4.45%"
"20/02/2020","12,350.0","12,200.0","12,350.0","12,100.0","21.26K","0.00%"
"19/02/2020","12,350.0","12,350.0","12,350.0","12,300.0","9.02K","0.41%"
"18/02/2020","12,300.0","11,800.0","12,400.0","11,800.0","7.92K","0.41%"
"17/02/2020","12,250.0","12,550.0","12,550.0","12,250.0","2.53K","-2.00%"
"14/02/2020","12,500.0","12,100.0","12,500.0","12,000.0","0.52K","5.93%"
"13/02/2020","11,800.0","12,000.0","12,600.0","11,800.0","38.91K","-6.72%"
"11/02/2020","12,650.0","12,650.0","12,650.0","12,650.0","0.02K","6.30%"
