"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","12,250.0","12,350.0","12,500.0","12,250.0","27.45K","-0.81%"
"04/05/2020","12,350.0","12,550.0","12,600.0","12,300.0","32.04K","-1.20%"
"29/04/2020","12,500.0","12,450.0","12,500.0","12,100.0","44.27K","0.40%"
"28/04/2020","12,450.0","12,050.0","12,500.0","12,050.0","35.15K","0.00%"
"27/04/2020","12,450.0","12,450.0","12,500.0","12,100.0","46.06K","-1.97%"
"24/04/2020","12,700.0","12,300.0","12,700.0","11,900.0","70.18K","5.83%"
"23/04/2020","12,000.0","12,600.0","12,600.0","12,000.0","53.07K","0.00%"
"22/04/2020","12,000.0","11,900.0","12,500.0","11,850.0","26.31K","0.00%"
"21/04/2020","12,000.0","12,050.0","12,450.0","11,900.0","10.45K","-0.41%"
"20/04/2020","12,050.0","12,100.0","12,700.0","11,900.0","31.53K","-5.12%"
"17/04/2020","12,700.0","12,500.0","12,800.0","12,250.0","35.13K","1.60%"
"16/04/2020","12,500.0","12,450.0","12,850.0","12,250.0","14.36K","-1.19%"
"15/04/2020","12,650.0","12,500.0","12,700.0","11,950.0","11.69K","1.20%"
"14/04/2020","12,500.0","12,600.0","12,900.0","11,850.0","31.02K","-1.19%"
"13/04/2020","12,650.0","12,700.0","13,500.0","11,850.0","29.80K","-0.39%"
"10/04/2020","12,700.0","12,100.0","12,800.0","12,100.0","14.82K","5.83%"
"09/04/2020","12,000.0","12,000.0","12,050.0","11,650.0","3.57K","0.42%"
"08/04/2020","11,950.0","12,000.0","12,100.0","11,450.0","26.32K","-0.42%"
"07/04/2020","12,000.0","11,700.0","12,300.0","11,600.0","22.65K","0.00%"
"06/04/2020","12,000.0","11,850.0","12,400.0","11,400.0","47.00K","2.13%"
"03/04/2020","11,750.0","11,700.0","11,750.0","11,350.0","8.94K","0.43%"
"01/04/2020","11,700.0","11,500.0","11,800.0","11,000.0","3.55K","2.63%"
"31/03/2020","11,400.0","11,500.0","11,500.0","10,900.0","24.46K","1.33%"
"30/03/2020","11,250.0","11,000.0","11,250.0","10,750.0","9.52K","-1.75%"
"27/03/2020","11,450.0","11,450.0","11,450.0","11,450.0","1.50K","1.33%"
"26/03/2020","11,300.0","11,200.0","11,600.0","10,950.0","22.51K","-3.83%"
"25/03/2020","11,750.0","11,800.0","11,800.0","11,700.0","2.21K","3.98%"
"24/03/2020","11,300.0","11,400.0","11,400.0","11,300.0","4.03K","5.61%"
"23/03/2020","10,700.0","11,500.0","11,850.0","10,700.0","96.79K","-6.96%"
"20/03/2020","11,500.0","12,200.0","12,350.0","11,450.0","41.49K","-6.50%"
"19/03/2020","12,300.0","12,150.0","12,350.0","11,500.0","7.03K","0.00%"
"18/03/2020","12,300.0","12,200.0","12,350.0","12,050.0","4.85K","0.41%"
"17/03/2020","12,250.0","12,000.0","12,250.0","11,400.0","16.81K","0.00%"
"16/03/2020","12,250.0","12,500.0","12,650.0","12,000.0","25.04K","-3.54%"
"13/03/2020","12,700.0","12,400.0","12,800.0","12,000.0","33.42K","-0.78%"
"12/03/2020","12,800.0","13,200.0","13,750.0","12,800.0","40.14K","-6.91%"
"11/03/2020","13,750.0","13,550.0","13,800.0","13,500.0","5.00K","-0.36%"
"10/03/2020","13,800.0","13,700.0","13,800.0","13,700.0","1.14K","0.73%"
"09/03/2020","13,700.0","13,600.0","13,700.0","13,000.0","1.91K","0.00%"
"06/03/2020","13,700.0","13,700.0","13,700.0","13,400.0","15.91K","-1.44%"
"05/03/2020","13,900.0","13,900.0","13,900.0","13,550.0","13.71K","0.00%"
"04/03/2020","13,900.0","13,650.0","14,000.0","13,600.0","44.40K","-1.07%"
"03/03/2020","14,050.0","14,200.0","14,200.0","13,550.0","7.94K","1.08%"
"02/03/2020","13,900.0","13,850.0","13,900.0","13,750.0","2.18K","0.00%"
"28/02/2020","13,900.0","13,850.0","13,900.0","13,850.0","3.20K","0.00%"
"27/02/2020","13,900.0","13,600.0","13,900.0","13,600.0","5.05K","0.72%"
"26/02/2020","13,800.0","13,800.0","13,800.0","13,800.0","1.32K","0.00%"
"25/02/2020","13,800.0","13,850.0","13,850.0","13,800.0","1.04K","0.73%"
"24/02/2020","13,700.0","13,700.0","13,900.0","13,700.0","66.01K","-1.44%"
"21/02/2020","13,900.0","13,900.0","14,000.0","13,800.0","42.47K","0.00%"
"20/02/2020","13,900.0","13,750.0","13,900.0","13,700.0","29.34K","0.72%"
"19/02/2020","13,800.0","13,600.0","13,800.0","13,600.0","12.42K","-0.72%"
"18/02/2020","13,900.0","13,900.0","14,000.0","13,500.0","68.95K","-0.71%"
"17/02/2020","14,000.0","14,000.0","14,000.0","13,900.0","5.62K","-1.41%"
"14/02/2020","14,200.0","14,000.0","14,250.0","13,900.0","11.50K","0.00%"
"13/02/2020","14,200.0","14,200.0","14,200.0","13,800.0","9.39K","0.00%"
"12/02/2020","14,200.0","14,100.0","14,200.0","13,900.0","17.10K","0.35%"
"11/02/2020","14,150.0","13,900.0","14,200.0","13,700.0","4.68K","0.35%"
"10/02/2020","14,100.0","14,100.0","14,100.0","14,100.0","0.02K","-0.70%"
"07/02/2020","14,200.0","13,800.0","14,200.0","13,800.0","16.85K","0.71%"
"06/02/2020","14,100.0","14,100.0","14,100.0","14,000.0","2.90K","1.08%"
"05/02/2020","13,950.0","14,100.0","14,100.0","13,900.0","8.95K","0.00%"
"04/02/2020","13,950.0","14,000.0","14,000.0","13,800.0","11.18K","0.72%"
"03/02/2020","13,850.0","13,200.0","14,000.0","13,200.0","1.10K","-1.77%"
"31/01/2020","14,100.0","14,000.0","14,200.0","13,500.0","17.32K","-0.70%"
"30/01/2020","14,200.0","14,000.0","14,300.0","13,800.0","12.90K","1.43%"
"22/01/2020","14,000.0","13,750.0","14,000.0","13,700.0","8.75K","1.82%"
"21/01/2020","13,750.0","13,650.0","13,750.0","13,650.0","1.64K","0.00%"
"20/01/2020","13,750.0","13,600.0","13,950.0","13,600.0","34.90K","0.73%"
"17/01/2020","13,650.0","13,950.0","13,950.0","13,500.0","25.94K","-1.80%"
"16/01/2020","13,900.0","13,950.0","13,950.0","13,700.0","8.23K","-0.36%"
"15/01/2020","13,950.0","14,200.0","14,200.0","13,700.0","22.48K","-1.41%"
"14/01/2020","14,150.0","14,050.0","14,150.0","13,900.0","3.90K","-0.35%"
"13/01/2020","14,200.0","14,000.0","14,200.0","13,700.0","2.61K","0.00%"
"10/01/2020","14,200.0","14,100.0","14,200.0","14,100.0","3.03K","0.00%"
"09/01/2020","14,200.0","13,550.0","14,200.0","13,550.0","9.22K","0.35%"
"08/01/2020","14,150.0","13,600.0","14,150.0","13,600.0","1.25K","-1.05%"
"07/01/2020","14,300.0","14,200.0","14,450.0","13,650.0","11.13K","0.35%"
"06/01/2020","14,250.0","14,100.0","14,350.0","13,500.0","20.72K","0.00%"
"03/01/2020","14,250.0","14,000.0","14,250.0","13,900.0","26.42K","-0.35%"
"02/01/2020","14,300.0","14,200.0","14,600.0","14,000.0","6.80K","2.14%"
"31/12/2019","14,000.0","14,300.0","14,300.0","14,000.0","15.93K","0.00%"
"30/12/2019","14,000.0","13,850.0","14,300.0","13,850.0","57.04K","0.36%"
"27/12/2019","13,950.0","13,700.0","14,000.0","13,650.0","21.36K","0.36%"
"26/12/2019","13,900.0","13,800.0","13,950.0","13,550.0","21.87K","0.72%"
"25/12/2019","13,800.0","13,700.0","13,900.0","13,500.0","16.21K","0.73%"
"24/12/2019","13,700.0","13,700.0","13,700.0","13,700.0","1.58K","-0.36%"
"23/12/2019","13,750.0","13,550.0","13,750.0","13,550.0","6.00K","0.36%"
"20/12/2019","13,700.0","13,700.0","13,750.0","13,400.0","26.43K","2.24%"
"19/12/2019","13,400.0","13,700.0","14,400.0","13,300.0","8.02K","-0.74%"
"18/12/2019","13,500.0","13,500.0","13,700.0","13,500.0","18.88K","0.37%"
"17/12/2019","13,450.0","13,650.0","13,700.0","13,450.0","23.45K","-1.47%"
"16/12/2019","13,650.0","13,350.0","13,650.0","13,350.0","13.29K","0.00%"
"13/12/2019","13,650.0","13,600.0","13,650.0","13,600.0","13.10K","-0.73%"
"12/12/2019","13,750.0","13,500.0","13,750.0","13,500.0","45.11K","0.73%"
"11/12/2019","13,650.0","13,500.0","13,650.0","13,500.0","13.81K","0.00%"
"10/12/2019","13,650.0","13,600.0","13,650.0","13,300.0","24.77K","0.00%"
"09/12/2019","13,650.0","13,350.0","13,700.0","13,350.0","32.06K","0.00%"
"06/12/2019","13,650.0","13,400.0","13,650.0","13,400.0","11.20K","0.74%"
"05/12/2019","13,550.0","13,250.0","13,550.0","13,150.0","24.93K","2.26%"
"04/12/2019","13,250.0","13,500.0","13,750.0","13,250.0","31.37K","-3.28%"
"03/12/2019","13,700.0","13,500.0","13,700.0","13,300.0","32.36K","0.00%"
"02/12/2019","13,700.0","13,700.0","13,700.0","13,350.0","9.97K","0.00%"
"29/11/2019","13,700.0","13,500.0","13,700.0","13,450.0","7.01K","0.00%"
"28/11/2019","13,700.0","13,500.0","13,700.0","13,500.0","5.01K","0.37%"
"27/11/2019","13,650.0","13,500.0","13,700.0","13,300.0","13.19K","0.37%"
